D L' R' F U2 F'
U2 L' D' R' U2 B
D' L2 B2 L R' B
D' L2 B2 R' L B
D R' L' F U2 F'
U2 R' D L' F U2
R' D L' F U2 F'
U2 D L' R' F U2
U2 D L' F R' U2
U2 D R' L' F U2
L2 D B2 L R' B'
L2 D B2 R' L B'
U2 D' L' R' U2 B
U2 D' R' L' U2 B
L2 D' B2 L R' B
L2 D' B2 R' L B
D' U2 L' R' U2 B
D U2 L' R' F U2
D U2 L' F R' U2
D' U2 R' L' U2 B
D U2 R' L' F U2
D B2 L D2 R2 B'
D B2 L D2 B' R2
D B2 L B' D2 R2
D' L R D2 L2 R2 B
D' L R D2 R2 L2 B
D' L R D2 R2 B L2
D L R D2 R2 B' L2
D L R D2 B' L2 R2
D L R D2 B' R2 L2
D L R B' D2 L2 R2
D L R B' D2 R2 L2
D' L U2 L2 R' U2 B
D L U2 L2 R' F U2
D' L U2 R' L2 U2 B
D L U2 L2 F R' U2
D L U2 R' L2 F U2
D' L D2 B2 L R2 B'
D' L D2 B2 L B' R2
D' L D2 B2 R2 L B'
D L D2 B2 L B R2
D' L B2 L B2 R' B
D L B2 L B2 R' B'
D' L B2 D2 L R2 B'
D' L B2 D2 L B' R2
D' L B2 D2 R2 L B'
D L B2 D2 L B R2
D' L' R F' R2 U2 F
D L' R F R2 B U2
D L' R' D F U2 F'
D' L' R' F U2 F' B
D' L' R' F U2 B F'
D L' R' D' F U2 F'
D' L' R' F' U2 F B
D' L' R' F' U2 B F
D' L' R' F2 U2 F2 B
D' L' R' F2 U2 B F2
D L' R' D2 F U2 F'
D L' R' F U2 D F'
D L' R' F U2 D' F'
D L' R' F U2 D2 F'
D L' R' F U2 F' D
D L' R' F U2 F' D'
D L' R' F U2 F' D2
D L' R' F D U2 F'
D L' R' F D' U2 F'
D L' R' F D2 U2 F'
D L' R' F B U2 F'
D L' R' F B' U2 F'
D L' R' F B2 U2 F'
D L' R' B F U2 F'
D L' R' B' F U2 F'
D L' R' B2 F U2 F'
R2 L' D' R F' U2 F
U2 L' R2 D' R F' U2
D' L' U2 R' U2 B R
U2 L' U2 D B2 L B'
D L' U2 F R' U2 R
D L' D R' F U2 F'
U2 L' D U2 B2 L B'
U2 L' D' R F' R2 U2
U2 L' D' R' U2 D B
U2 L' D' R' U2 D' B
U2 L' D' R' U2 D2 B
U2 L' D' R' U2 B D
U2 L' D' R' U2 B D'
U2 L' D' R' U2 B D2
U2 L' D' R' D U2 B
U2 L' D' R' D' U2 B
U2 L' D' R' D2 U2 B
U2 L' D' R' F U2 B
U2 L' D' R' F' U2 B
U2 L' D' R' F2 U2 B
D L' D' R' F U2 F'
U2 L' D' F R' U2 B
U2 L' D' F' R' U2 B
U2 L' D' F2 R' U2 B
D L' D2 R' F U2 F'
D L' F R2 B R U2
U2 L' F D' R' U2 B
D L' F B U2 F' L'
D L' F B2 U2 L F'
D L' F B2 U2 F' L
D' L' F' R' U2 F B
D' L' F' R' U2 B F
D L' F' R' F2 U2 F'
U2 L' F' D' R' U2 B
D' L' F2 R' U2 F2 B
D' L' F2 R' U2 B F2
U2 L' F2 D' R' U2 B
D L' B F U2 F' L'
L' R2 D' R F' U2 F
D L' B2 F U2 L F'
D L' B2 F U2 F' L
U2 L2 R' D L U2 B'
D' L2 U2 L R' U2 B
D' L2 U2 R' L U2 B
D L2 U2 L R' F' U2
D L2 U2 R' L F' U2
D L2 U2 R' F' L U2
U2 L2 D L R' U2 B'
U2 L2 D R' L U2 B'
D2 L2 D B2 L R' B
D2 L2 D B2 R' L B
U2 L2 D' L R' U2 B
U2 L2 D' R' L U2 B
D2 L2 D' B2 L R' B'
D2 L2 D' B2 R' L B'
D' L2 D2 B2 L R' B'
D' L2 D2 B2 R' L B'
D' L2 B R' B L R'
D' L2 B R' B R' L
D L2 B' L' B' L R'
D L2 B' L' B' R' L
D2 L2 B2 L D R' B
D' L2 B2 L R' D B
D' L2 B2 L R' D' B
D' L2 B2 L R' D2 B
D' L2 B2 L R' B D
D' L2 B2 L R' B D'
D' L2 B2 L R' B D2
D' L2 B2 L' R' B L2
D' L2 B2 L2 R' B L'
D2 L2 B2 R' D' L B'
D' L2 B2 R' L D B
D' L2 B2 R' L D' B
D' L2 B2 R' L D2 B
D' L2 B2 R' L B D
D' L2 B2 R' L B D'
D' L2 B2 R' L B D2
D' L2 B2 R' L' B L2
D' L2 B2 R' L2 B L'
B2 L2 B2 L' D' R' B
D' L2 B2 R' D L B
D' L2 B2 R' D' L B
D' L2 B2 R' D2 L B
D L2 B2 L' R' B' L2
D2 L2 B2 D L R' B
D2 L2 B2 D R' L B
D2 L2 B2 D' L R' B'
D2 L2 B2 D' R' L B'
D L2 B2 R' L' B' L2
D' L2 B2 D2 L R' B'
D' L2 B2 D2 R' L B'
B2 L2 B2 D' L' R' B
B2 L2 B2 D' R' L' B
B2 L2 B2 D' R' B L'
D' R L D2 L2 R2 B
D' R L D2 R2 L2 B
D' R L D2 R2 B L2
D R L D2 R2 B' L2
D R L D2 B' L2 R2
D R L D2 B' R2 L2
D R L B' D2 L2 R2
D R L B' D2 R2 L2
D' R L' F' R2 U2 F
D R L' F R2 B U2
D' R U2 L' R2 U2 B
D' R U2 L' F' R2 U2
D' R U2 R2 L' U2 B
D R U2 L' R2 F U2
D R U2 L' F R2 U2
D R U2 R2 L' F U2
D R D2 L2 B2 R' B
D' R' L' F U2 F' B
D' R' L' F U2 B F'
D' R' L' F' U2 F B
D' R' L' F' U2 B F
D' R' L' F2 U2 F2 B
D' R' L' F2 U2 B F2
D R' L' D F U2 F'
