U' R' U2 B' R' F'
U' B2 L F B R
U' B2 L B F R
U B2 L B R' F'
B L F B U' L B
B L B F U' L B
B' L' R' B' U L B
B' L' U' R' B' U L
R2 U R B L U2 B2
R2 U R B U2 B2 R'
R U D2 B' L2 R' F'
R U D2 B' R' L2 F'
R U D2 B' R' F' L2
R2 U F' B' R' F' L'
R2 U F2 B' L' R' F'
R2 U F2 B' R' L' F'
R2 U B' R' D2 L2 F'
R2 U B' R' D2 F' L2
R2 U B' R' F' D2 L2
R2 U B' F' R' F' L'
R2 U B' F2 L' R' F'
R2 U B' F2 R' L' F'
R U B' D2 L2 R' F'
R U B' D2 R' L2 F'
R U B' D2 R' F' L2
R2 U' R U2 B' R' F'
U R B L R2 U2 B2
U R B R2 L U2 B2
U R B R2 U2 B2 R'
R U' R2 U2 B' R' F'
U R B' D2 L2 R' F2
U R B' D2 L2 F2 R'
U R B' D2 R' L2 F2
U R B' D2 R' F2 L2
U R B' D2 F2 L2 R'
U R B' D2 F2 R' L2
B' R' L' B' U L B
U' R' U2 R' F' B' R'
U' R' U2 R' B' F' R'
U' R' U2 D B' R' F'
U' R' U2 D' B' R' F'
U' R' U2 D2 B' R' F'
U' R' U2 F B' R' F'
U' R' U2 F' B' R' F'
U' R' U2 F2 B' R' F'
U' R' U2 B' R' D F'
U' R' U2 B' R' D' F'
U' R' U2 B' R' D2 F'
U' R' U2 B' R' F' D
U' R' U2 B' R' F' D'
U' R' U2 B' R' F' D2
U' R' U2 B' D R' F'
U' R' U2 B' D' R' F'
U' R' U2 B' D2 R' F'
U' R' U2 B' F R' F'
U' R' U2 B' F' R' F'
U' R' U2 B' F2 R' F'
U R' U2 F R F2 B'
U R' U2 F R B' F2
U R' U2 F B' R F2
U' R' D U2 B' R' F'
U R' U2 B' F R F2
U' R' D' U2 B' R' F'
U' R' D2 U2 B' R' F'
U R' F B' R' F2 L'
U R' F2 U2 F R B'
U R' F2 U2 F B' R
U R' F2 U2 B' F R
U R' B L U2 F' B2
U R' B L U2 B2 F'
U R' B U2 F' B2 R'
U R' B U2 B2 F' R'
U R' B' F R' F2 L'
U R' B2 U2 F' B R'
U R' B2 U2 B F' R'
U' D R' U2 B' R' F'
U' D B2 L F B R
D' U B2 L B R' F'
U' D B2 L B F R
D2 U B2 L B R' F'
D U B2 L B R' F'
U D B2 L B R' F'
F' U B2 L B R' F'
F2 U B2 L B R' F'
F U B2 L B R' F'
U' D' R' U2 B' R' F'
D' U' R' U2 B' R' F'
D2 U' R' U2 B' R' F'
D U' R' U2 B' R' F'
F' U' R' U2 B' R' F'
F2 U' R' U2 B' R' F'
R D' F2 U B' R' F'
F U' R' U2 B' R' F'
U' D' B2 L F B R
D' U' B2 L F B R
D' U' B2 L B F R
U' D' B2 L B F R
D2 U' B2 L F B R
D2 U' B2 L B F R
D U' B2 L F B R
D U' B2 L B F R
U D' B2 L B R' F'
U' D2 R' U2 B' R' F'
F' U' B2 L F B R
F' U' B2 L B F R
F2 U' B2 L F B R
F2 U' B2 L B F R
F U' B2 L F B R
F U' B2 L B F R
R D2 U B' L2 R' F'
R D2 U B' R' L2 F'
R D2 U B' R' F' L2
U' D2 B2 L F B R
U' D2 B2 L B F R
U D2 B2 L B R' F'
U' F B2 L B R F
U F B2 L B R' F'
U F' B2 L B R' F'
R2 F2 U B' L' R' F'
R2 F2 U B' R' L' F'
U F2 B2 L B R' F'
U' B' L D2 F L' R
U' B' L D2 F R L'
L' B' L R' U B' L
L' B' R' L U B' L
L' B' R' U L B' L
L' B' R' U B' L B'
U B' R' D2 F L' F2
U B' R' F' B' L B
U B' R' F2 D2 F L'
U B' R' B' L F' B
U B' R' B' L B F'
U B' R' B' F' L B
U' B' D2 L F L' R
U' B' D2 L F R L'
U B' D2 R' F L' F2
U B' D2 F L' R' F'
U B' D2 F R' L' F'
U B' D2 F2 R' F' L'
U' B2 L R' F R B
U' B2 L D F B R
U' B2 L D B F R
U' B2 L D' F B R
U' B2 L D' B F R
U' B2 L D2 F B R
U' B2 L D2 B F R
U' B2 L F D B R
U' B2 L F D' B R
U' B2 L F D2 B R
U' B2 L F B R D
U' B2 L F B R D'
U' B2 L F B R D2
U' B2 L F B D R
U' B2 L F B D' R
U' B2 L F B D2 R
U' B2 L F B' R B2
U' B2 L F B2 R B'
U' B2 L B R F R
U' B2 L B R' F R
U' B2 L B R2 F R
U' B2 L B D F R
U' B2 L B D' F R
U' B2 L B D2 F R
U' B2 L B F R D
U' B2 L B F R D'
U' B2 L B F R D2
U' B2 L B F D R
U' B2 L B F D' R
U' B2 L B F D2 R
U' B2 L B' F R B2
U' B2 L B2 F R B'
U' B2 L2 B L' F R
U B2 L F B R' F'
U B2 L F' B R' F'
U B2 L F2 B R' F'
U B2 L B R' D F'
U B2 L B R' D' F'
U B2 L B R' D2 F'
U B2 L B R' F' D
U B2 L B R' F' D'
U B2 L B R' F' D2
U B2 L B D R' F'
U B2 L B D' R' F'
U B2 L B D2 R' F'
U B2 L B F R' F'
U B2 L B F' R' F'
U B2 L B F2 R' F'
U' B2 R' L F R B
U B2 L' B L2 R' F'
U B2 L' B R' L2 F'
U B2 L' B R' F' L2
U B2 L2 B L' R' F'
U B2 L2 B R' L' F'
U2 B2 U L F B R
U2 B2 U L B F R
U' B2 D L F B R
U' B2 D L B F R
U' B2 D' L F B R
U' B2 D' L B F R
U B2 U2 L F B R'
U B2 U2 L B R' F
U B2 U2 L B F R'
U' B2 D2 L F B R
U' B2 D2 L B F R
U' B2 F L B R F
U B2 F L B R' F'
U B2 F' L B R' F'
U B2 F2 L B R' F'
