U2 R' B' U' F U'
U F U R' B' U2
R' B' U' F U' B
B2 L R2 B2 D F' R
B2 L' U' B2 L2 F R
U2 L2 R' U B' U F
L2 R2 F2 L' D F' R
R2 L2 F2 L' D F' R
B' L2 U B' U L B2
F' L2 D R2 F2 L' F'
F' L2 D F' R2 F2 L'
F L2 B2 U' F L B2
R U D2 F U' L2 F
R2 U F L2 U' F L'
R2 U F U' L2 F L'
R U F U R2 B' U2
R U F U B' R2 U2
R U F U' D2 L2 F
R U F D2 U' L2 F
F' R D R2 D L2 F
F' R D2 L2 D' R2 F
F' R D2 L2 D' F R2
F' R D2 L2 F D' R2
U2 R B' R2 U' F U'
R' U' F U B' U2 B
U2 R' L2 U B' U F
U2 R' U' F L2 U' F
U2 R' U' F U B' U2
L2 U' B' U D2 F L'
F' R' D R2 D2 L2 F
L2 U' B' D2 U F L'
F' R' D B' U2 B R2
F2 R' D B' L U2 B
U2 R' D B' U' F U'
F' R' D' B' L2 U2 B
U2 R' D' B' U' F U'
U2 R' D2 B' U' F U'
R2 U2 R B' U' F U'
L2 U2 R' U B' U F
L U2 R' U2 D F' R
L U2 R' D U2 F' R
D2 R' B' U' F U' B
D' R' B' U' F U' B
U2 R' B' L2 U B' U
F' R' B' U' F2 U' B
F' R' B' U2 D B R2
F' R' B' U2 B D R2
F' R' B' D U2 B R2
F' R' B' D' L2 U2 B
F2 R' B' U2 D B R'
U2 R' B' U' D F U'
U2 R' B' U' D' F U'
U2 R' B' U' D2 F U'
U2 R' B' U' F U' D
U2 R' B' U' F U' D'
U2 R' B' U' F U' D2
U2 R' B' U' F D U'
U2 R' B' U' F D' U'
U2 R' B' U' F D2 U'
F2 R' B' D U2 B R'
U2 R' B' D U' F U'
U2 R' B' D' U' F U'
D R' B' U' F U' B
U2 R' B' D2 U' F U'
R U2 R2 B' U' F U'
U R' B' U' R F U'
L U2 D R' U2 F' R
B2 R2 L B2 D F' R
R2 U2 B' R U' F U'
R U2 B' R2 U' F U'
B2 R2 F U' L F2 B2
B2 R2 F U' L B2 F2
B2 R2 F U' F2 L B2
B2 R2 F' L B2 D R2
U2 R2 B' R U' F U'
L D U2 R' U2 F' R
B' U L2 B' U L B2
R D F' D L2 R2 F
R D F' D L2 F R2
R D F' D R2 L2 F
R' D B' U' F U' B
U2 D R' B' U' F U'
F U R' B' U' R U'
D' U F U R' B' U2
D2 U F U R' B' U2
D U F U R' B' U2
U D F U R' B' U2
F2 U F' U R' B' U2
F' U F2 U R' B' U2
U2 D' R' B' U' F U'
F U' L2 D' F B2 L
F U' L2 D' B2 F L
F U' L2 F D' B2 L
R' D' B' U' F U' B
U D' F U R' B' U2
B' U' D2 F U' L' B
B' U' D2 F U' B L'
B' U' F U' B' L B2
B' U' F B' U' L B2
R D2 L2 U' B' U F
R D2 L2 F U' B' U
B' U' B' F U' L B2
D' U2 R' B' U' F U'
D2 U2 R' B' U' F U'
U2 D2 R' B' U' F U'
R D2 U F U' L2 F
D U2 R' B' U' F U'
U D2 F U R' B' U2
R D2 F' L2 D R2 F
R D2 F' L2 D F R2
F' U2 R' D B' U2 R2
F' U2 R' D' L2 U2 F
F' U2 R' D' B' L2 U2
F2 U2 R' D B' L U2
R D2 F2 L2 F D R2
F' U2 R' B' U' F2 U'
F' U2 R' B' U2 D R2
F' U2 R' B' D U2 R2
F' U2 R' B' D' L2 U2
R' D2 B' U' F U' B
F U2 R' B' U B U
F' U2 D' L2 R' U2 F
F' U2 D' R' L2 U2 F
F' U2 D' R' B' L2 U2
U F L2 U R' U2 F
U F L2 B2 U' F L
U' F U R' B' U2 B
U' F U' R' B' U2 R
U2 F U F' R' B' U2
U F U R B' R2 U2
U F U R' D B' U2
U F U R' D' B' U2
U F U R' D2 B' U2
U F U R' B' U2 D
U F U R' B' U2 D'
U F U R' B' U2 D2
U F U R' B' D U2
U F U R' B' D' U2
U F U R' B' D2 U2
U F U R2 B' R U2
U F U D R' B' U2
U F U D' R' B' U2
U F U D2 R' B' U2
F' D L' R2 F2 L' F
L2 F U2 R' U B' U
F' D L2 R2 F2 L' F'
F' D L2 F' R2 F2 L'
U F D U R' B' U2
F' D R D2 L2 R F
F' D R D2 R L2 F
U F D' U R' B' U2
F' D R' B' U2 B R'
F' D R2 L' F2 L' F
F' D R2 L2 F2 L' F'
F' D R2 U2 R B' U2
F' D R2 U2 B' R U2
U F D2 U R' B' U2
F' D R2 F L2 F L'
F' D R2 F2 L2 F L
F' D B2 L R2 F' B2
F' D B2 L R2 B2 F'
F' D B2 R2 L F' B2
F' D B2 R2 L B2 F'
F' D B2 R2 F' L B2
R' F' D R2 D2 L2 F
R' F' D B' U2 B R2
R' F' D' B' L2 U2 B
F' D' R D2 L2 R2 F
F' D' R D2 L2 F R2
F' D' R D2 R2 L2 F
R F' D R2 D L2 F
F' D' R' B' L2 U2 B
R' F' B' U' F2 U' B
R' F' B' U2 D B R2
R' F' B' U2 B D R2
R' F' B' D U2 B R2
