F2 R F' R U' F2 L'
F R F' U R2 B U2
F R F' U' D2 L2 F'
F R F' U' D2 F' L2
F R F' U' F' D2 L2
F R F' D B2 U' F'
F R F' D2 U' L2 F'
F R F' D2 U' F' L2
R2 U' B L R U2 B
R2 U' B R L U2 B
F R' U' R2 F' U' F'
B2 U' L D' F' R B
U' D' R' F' U2 R F'
D' U' R' F' U2 R F'
U' D' F' R D2 L2 B
D' U' F' R D2 L2 B
U' D' F' R D2 B L2
D' U' F' R D2 B L2
D' U' F' R B D2 L2
U' D' F' R B D2 L2
U' D' F' B R B L
D' U' F' B R B L
D' U' F' B2 L R B
U' D' F' B2 L R B
U' D' F' B2 R L B
D' U' F' B2 R L B
U' D' B F' R B L
B2 U' D' L F' R B
D' U' B F' R B L
B2 U' D' F' L R B
B2 U' D' F' R L B
U' D' B2 L F' R B
D' U' B2 L F' R B
D' U' B2 F' L R B
U' D' B2 F' L R B
D' U' B2 F' R L B
U' D' B2 F' R L B
F' U2 R' U L' B U
F' U2 R' U B L' U
F2 D R' U2 F B R'
F2 D R' U2 B R' F
F2 D R' U2 B F R'
D' F' L D' B2 L R
D' F' L D' B2 R L
F2 D F B R' B L
F2 D B R' F B L
F2 D B R' B F L
F2 D B F R' B L
D' F' B2 L R D' B2
D' F' B2 L D' R B2
D' F' B2 L D' B2 R
D' F' B2 R L D' B2
B2 D' U' L F' R B
B2 D' U' F' L R B
B2 D' U' F' R L B
B2 D' F' L R D' B2
B2 D' F' L D' R B2
B2 D' F' L D' B2 R
B2 D' F' R L D' B2
U' B D' F' R B L
B2 F R F' U' L F'
B2 F R F' U' F' L
U' B2 L D' F' R B
D' B2 U' L F' R B
D' B2 U' F' L R B
D' B2 U' F' R L B
F B2 R F' U' L F'
F B2 R F' U' F' L
U' B2 D' L F' R B
U' B2 D' F' L R B
U' B2 D' F' R L B
D' B2 F' L R D' B2
D' B2 F' L D' R B2
D' B2 F' L D' B2 R
D' B2 F' R L D' B2
