U' L' F D2 B2 L
L' U F' R' U2 F2
L U F' R' B' U2
L' U' F D2 B2 L
R2 U' F2 L' F B
R2 U' F2 L' B F
R2 U' F2 B L' F
R2 U' B F2 L' F
D2 U F' R' B U2
U D2 F' R' B U2
U F' D2 R' B U2
R2 L U B' R U2 B2
F' L R' D' B' L U2
R2 L U' B D2 F2 L'
B' L U F' B' U2 L
D2 L U F' R' B U2
B' L U B' F' U2 L
B' L U B' F' U2 L
U2 L U' F' R' B' U2
U' L U2 F' R' B' U2
F' L D' R' B' L U2
U' L F' R' B' U2 R
R2 L' U' F2 L' F' B
R2 L' U' F2 L' B F'
R2 L' U' F2 B L' F'
R2 L' U' B F2 L' F'
B2 L' R2 U' F L2 B
B2 L' R2 U' F B L2
B2 L' R2 U' B F L2
D2 L' U F' R' B U2
U2 L' U F D2 B2 L
B2 L' U F' U2 L2 F2
B2 L' U F' U2 F2 L2
B2 L' U' F L2 D2 B2
U2 L' U' F' R' U2 F2
B2 L' U' F2 L2 F' B'
B2 L' U' F2 L2 B' F'
U' L' U2 F' R' U2 F2
U' L' D F D2 B2 L
U' L' D' F D2 B2 L
U' L' D2 F D2 B2 L
U' L' F L D2 B2 L
U' L' F L' D2 B2 L
U' L' F L2 D2 B2 L
U' L' F U2 R' F2 U2
U' L' F U2 F2 R' U2
U' L' F D2 L B2 L
U' L' F D2 L' B2 L
U' L' F D2 L2 B2 L
U' L' F D2 B2 L D
U' L' F D2 B2 L D'
U' L' F D2 B2 L D2
U' L' F D2 B2 D L
U' L' F D2 B2 D' L
U' L' F D2 B2 D2 L
U' L' F B2 L D2 B2
U' L' F B2 D2 L B2
U L' F D2 B2 L R'
U L' F D2 B2 R' L
U' L' F' R' U2 R F2
U L' F' L R' U2 F2
U L' F' R' L U2 F2
L R2 U B' R U2 B2
L' R2 U' F2 L' F' B
L' R2 U' F2 L' B F'
L' R2 U' F2 B L' F'
L' R2 U' B F2 L' F'
L R2 U' B D2 F2 L'
U' L' B2 F L D2 B2
U' L' B2 F D2 L B2
F' L2 R' U B' R' U
D2 L2 U F' R' B U2
U' L2 U2 F' R' U2 F'
U' L2 F D2 B2 L F
L' U D F' R' U2 F2
L U R2 B' R U2 B2
U' L2 B2 L F D2 B2
L U D F' R' B' U2
L' U D' F' R' U2 F2
L U D' F' R' B' U2
L' U D2 F' R' U2 F2
L' U F R' F2 U2 F2
L U D2 F' R' B' U2
L U F R' F2 B' U2
L U F R' B' F2 U2
L' U F' R' U2 F2 D
L' U F' R' U2 F2 D'
L' U F' R' U2 F2 D2
L' U F' R' D2 B2 U2
L' U F' R' B U2 F2
L' U F' R' B' U2 F2
L' U F' R' B2 U2 F2
L' U F' R2 U2 F2 L'
L' U F' D2 R' B2 U2
