U2 R' B2 U B U
B' U' B' U2 L B2
U' B' U' B' U2 L
R' B2 U B U B
B2 L B' D' R2 F' B'
B2 L B' D' R2 B' F'
B2 L' U B U L2 B
B2 L' U B U B L2
L2 R' B2 U' F U' B2
B2 L' B U L2 F B
B2 L' B U L2 B F
U2 L2 R' B2 U' F U'
B' L2 U D2 F L' B
B' L2 U D2 F B L'
B' L2 U D2 B F L'
B' L2 U F B' L B2
B' L2 U B' F L B2
B2 L2 U B U L' B
B2 L2 U B U B L'
R' L2 B2 U' F U' B2
B' L2 D2 U F L' B
B' L2 D2 U F B L'
B' L2 D2 U B F L'
U L2 F U R' B2 U2
U L2 F U B2 U2 L
D L2 F B2 U' L B2
R U D L2 F B2 U'
R U D L2 B2 F U'
U2 L2 B2 U' F U' L
D L2 B2 F U' L B2
L2 U F U R' B2 U2
L2 U F U B2 U2 L
R' U B' U' B' U2 B
U' R D' R2 F2 B' U
U' R D' R2 B' F2 U
U' R D' F2 R2 B' U
U' R D' F2 B' R2 U
U' R D' B' R2 F2 U
U' R D' B' F2 R2 U
U' R D2 B' U L2 F2
U' R D2 B' U F2 L2
U' R B' U D2 L2 F
U' R B' U' R2 B' U2
U' R B' U' B' R2 U2
U' R B' D2 U L2 F
U2 R B2 R2 U' F' U'
R' U' D' B' R2 F' U
R U' D' R2 F2 B' U
R U' D' R2 B' F2 U
R U' D' F2 R2 B' U
R U' D' F2 B' R2 U
R U' D' B' R2 F2 U
R U' D' B' F2 R2 U
R2 U' D2 B' U F2 L'
R U' D2 B' U L2 F2
R U' D2 B' U F2 L2
U2 R' L2 B2 U' F U'
U2 R' U D' R2 B' U
U2 R' U D' B' R2 U
U2 R' U D2 B' U F2
U2 R' U B' U' B' U2
U2 R' U' D L2 F U'
R2 U' B' U' R B' U2
R2 U' B' U' B' R U2
U2 R' D U' L2 F U'
R U' B' U D2 L2 F
R U' B' U' R2 B' U2
R U' B' U' B' R2 U2
R U' B' D2 U L2 F
U2 R' D' U R2 B' U
U2 R' D' U B' R2 U
U2 R' D2 U B' U F2
R2 U2 R B2 U B U
L2 U2 R' B2 U' F U'
U2 R' B U2 D' R2 F'
U2 R' B D L2 B U2
U2 R' B D B L2 U2
U2 R' B D' U2 R2 F'
U2 R' B D' B U2 R2
L U2 R' B2 U' F' U'
U2 R' B2 L U B U
F' R' B2 U B U B
U2 R' B2 L' U B U
R U2 R2 B2 U B U
U' R' B2 U B U B'
U2 R' B2 L2 U B U
F2 R' B2 U B U B
U2 R' B2 U D B U
U2 R' B2 U D' B U
U2 R' B2 U D2 B U
U2 R' B2 U B U D
U2 R' B2 U B U D'
U2 R' B2 U B U D2
U2 R' B2 U B D U
U2 R' B2 U B D' U
U2 R' B2 U B D2 U
U2 R' B2 D U B U
U2 R' B2 D' U B U
U2 R' B2 D2 U B U
F R' B2 U B U B
B' R2 U' F' B' U2 L
D2 R2 U' B' U F2 L'
B2 R2 U' F' U' L B2
B' R2 U' B' F' U2 L
L2 U2 B2 U' F U' L
R U2 B2 R2 U' F' U'
U' R2 D2 B' U F2 L'
R D L2 F B2 U' B2
D2 R2 F2 U' B' U L'
R D L2 B2 F U' B2
D' R2 F2 B' U L' B
D' R2 F2 B' U B L'
D2 R2 B' U F2 L' B
D2 R2 B' U F2 B L'
D2 R2 B' U B F2 L'
U' R2 B' U' R B' U2
U' R2 B' U' B' R U2
D' R2 B' F2 U L' B
D' R2 B' F2 U B L'
R D U L2 F B2 U'
R D U L2 B2 F U'
B' U L B' L F B2
B' U L B' L B2 F
B2 U L' B U L2 B
B2 U L' B U B L2
B' U L2 D2 F L' B
B' U L2 D2 F B L'
B' U L2 D2 B F L'
B' U L2 F B' L B2
B' U L2 B' F L B2
B2 U L2 B U L' B
B2 U L2 B U B L'
L2 D F' D R2 F2 L'
D U L2 F U R' U2
D U L2 F B2 U' L
D U L2 B2 F U' L
U D L2 F U R' U2
U D L2 F B2 U' L
U D L2 B2 F U' L
U2 D R' U' L2 F U'
B2 U D L2 B U L'
B' U D2 L2 F L' B
B' U D2 L2 F B L'
B' U D2 L2 B F L'
B' U B U2 R' B2 U2
B' U B U2 B2 U2 L
B2 U B U B' L B2
B' U B' L B2 D2 F2
R' D' U' B' R2 F' U
R D' R2 F2 B' U B
R D' R2 B' F2 U B
R D' U' R2 F2 B' U
R D' U' R2 B' F2 U
R D' U' F2 R2 B' U
R D' U' F2 B' R2 U
R D' U' B' R2 F2 U
R D' U' B' F2 R2 U
U2 D' R' U R' B' U
