R2 L U L' F' U'
U' L U' L' B U
U' L U' B L' U
L R2 U L' F' U'
L U L' U2 B U
L U' B U2 L' U'
B2 U2 B' U B' L
R2 F' B U' B' L
R2 F' B2 U' B2 L
L F2 U' B R U
R' B U' B' L R'
R' B U' B' R' L
R2 B F' U' B' L
R2 B2 F' U' B2 L
R' L U L' F U' R
R2 L U L F' L2 U'
R2 L U L' D F' U'
R2 L U L' D' F' U'
R2 L U L' D2 F' U'
R2 L U L' F' U' D
R2 L U L' F' U' D'
R2 L U L' F' U' D2
R2 L U L' F' D U'
R2 L U L' F' D' U'
R2 L U L' F' D2 U'
R2 L U L2 F' L U'
R2 L U D L' F' U'
R2 L U D' L' F' U'
R2 L U D2 L' F' U'
L R U D2 L' F U'
R L U D2 L' F U'
F' L R2 U L' F' U'
D' L R2 U L' F' U'
D2 L R2 U L' F' U'
F2 L R2 U L' F' U'
D L R2 U L' F' U'
F L R2 U L' F' U'
F' L U L' U2 B U
D' L U L' U2 B U
D2 L U L' U2 B U
F2 L U L' U2 B U
D L U L' U2 B U
F L U L' U2 B U
R2 L D U L' F' U'
U' L U' L B L2 U
U' L U' L' D B U
U' L U' L' D' B U
U' L U' L' D2 B U
U' L U' L' B U D
U' L U' L' B U D'
U' L U' L' B U D2
U' L U' L' B D U
U' L U' L' B D' U
U' L U' L' B D2 U
U' L U' D L' B U
U' L U' D B L' U
U' L U' D' L' B U
U' L U' D' B L' U
U' L U' D2 L' B U
U' L U' D2 B L' U
F' L U' B U2 L' U'
U' L U' B L' U D
U' L U' B L' U D'
U' L U' B L' U D2
U' L U' B L' D U
U' L U' B L' D' U
U' L U' B L' D2 U
D2 L U' B U2 L' U'
D' L U' B U2 L' U'
U' L U' B D L' U
U' L U' B D' L' U
U' L U' B D2 L' U
U' L U' B' L' B2 U
F2 L U' B U2 L' U'
D L U' B U2 L' U'
R2 L D' U L' F' U'
F L U' B U2 L' U'
L R D' F' D R F'
R L D' F' D R F'
R2 L D2 U L' F' U'
L R D2 U L' F U'
R L D2 U L' F U'
U' L D U' L' B U
U' L D U' B L' U
U' L D' U' L' B U
U' L D' U' B L' U
U' L D2 U' L' B U
U' L D2 U' B L' U
D2 L F2 U' B R U
D' L F2 U' B R U
F' L F2 U' B R U
F2 L F2 U' B R U
D L F2 U' B R U
F L F2 U' B R U
R2 L' U L F' U' L
L R' U L' F U' R
R2 L' U F' L U' L
U' L B' U' L' B2 U
U' L B' U' B2 L' U
U' L B2 U' B' L' U
B L' U2 L U' B' L
L' R2 U L F' U' L
L R2 U L F' L2 U'
L R2 U L' D F' U'
L R2 U L' D' F' U'
L R2 U L' D2 F' U'
L R2 U L' F' U' D
L R2 U L' F' U' D'
L R2 U L' F' U' D2
L R2 U L' F' D U'
L R2 U L' F' D' U'
L R2 U L' F' D2 U'
L2 R2 U L2 F' U' L
R2 L2 U L2 F' U' L
L R2 U L2 F' L U'
L' R2 U F' L U' L
L R2 U D L' F' U'
L R2 U D' L' F' U'
L R2 U D2 L' F' U'
U2 L' F' B U L2 B'
U2 L' B U L2 D' B2
U2 L' B F' U L2 B'
L R2 D U L' F' U'
B' L' B2 R' U B' L
L R2 D' U L' F' U'
L R2 D2 U L' F' U'
U' L2 U' B L2 U L
B L2 U2 L2 U' B' L
B' L2 D' B L R2 F'
B' L2 D' B R2 L F'
B' L2 D' B R2 F' L
L U L' R2 F' R2 U'
L U L' U2 D B U
L U L' U2 D' B U
L U L' U2 D2 B U
L U L' U2 B U D
L U L' U2 B U D'
L U L' U2 B U D2
L U L' U2 B D U
L U L' U2 B D' U
L U L' U2 B D2 U
L U L' D U2 B U
B2 L2 F L2 U' B2 L
L U L' D' U2 B U
L U L' D2 U2 B U
L U L' F U2 B U
L U L' F' U2 B U
L U L' F2 U2 B U
L U R2 L' F' R2 U'
U' L2 B' D' L' R2 B2
U' L2 B' D' L' B2 R2
U' L2 B' D' R2 L' B2
U' L2 B' D' R2 B2 L'
U' L2 B' D' B2 L' R2
U' L2 B' D' B2 R2 L'
L U D L' U2 B U
L U D' L' U2 B U
L U D2 L' U2 B U
L U F2 U2 B R U
L2 U B2 L2 F U' L
R' U' L U' L' B' U
L U' R2 U2 L' F' U'
L2 U' D B U L' F2
L U' D B U2 L' U'
L U' D' B U2 L' U'
L2 U' D2 B R2 U L'
L U' D2 B U2 L' U'
L U' F2 B R F2 U
L2 U' B U D L' F2
L2 U' B U2 L2 U' L
L2 U' B D U L' F2
L U' B R U2 L' U'
L U' B R' U2 L' U'
L2 U' B D2 R2 U L'
L U' B R2 U2 L' U'
L U' B U2 L' U' D
L U' B U2 L' U' D'
L U' B U2 L' U' D2
L U' B U2 L' D U'
L U' B U2 L' D' U'
L U' B U2 L' D2 U'
L U' B U2 D L' U'
L U' B U2 D' L' U'
L U' B U2 D2 L' U'
L U' B D U2 L' U'
L U' B D' U2 L' U'
L U' B D2 U2 L' U'
L U' B F2 R F2 U
L' U' B2 R' B' U L2
U' R' F' U F L R
U' R' F' U F R L
D2 R' B U' B' L R'
D2 R' B U' B' R' L
D' R' B U' B' L R'
D' R' B U' B' R' L
F' R' B U' B' L R'
F' R' B U' B' R' L
F2 R' B U' B' L R'
F2 R' B U' B' R' L
D R' B U' B' L R'
D R' B U' B' R' L
F R' B U' B' L R'
F R' B U' B' R' L
D2 R2 L U L' F' U'
D' R2 L U L' F' U'
F' R2 L U L' F' U'
F2 R2 L U L' F' U'
D R2 L U L' F' U'
F R2 L U L' F' U'
U R2 U' F' R2 U' L
R2 D L U L' F' U'
L2 D L' U' B U F2
L2 D L' F2 U' B U
D' R2 F' B U' B' L
D2 R2 F' B U' B' L
D' R2 F' B2 U' B2 L
F' R2 F' B U' B' L
D2 R2 F' B2 U' B2 L
F' R2 F' B2 U' B2 L
F2 R2 F' B U' B' L
F2 R2 F' B2 U' B2 L
D R2 F' B U' B' L
D R2 F' B2 U' B2 L
F R2 F' B U' B' L
F R2 F' B2 U' B2 L
D' R2 B F' U' B' L
D2 R2 B F' U' B' L
F' R2 B F' U' B' L
F2 R2 B F' U' B' L
D R2 B F' U' B' L
L D R2 U L' F' U'
F R2 B F' U' B' L
D' R2 B2 F' U' B2 L
L D U L' U2 B U
D2 R2 B2 F' U' B2 L
F' R2 B2 F' U' B2 L
U' D L U' L' B U
F2 R2 B2 F' U' B2 L
U' D L U' B L' U
L2 D U' B U L' F2
D R2 B2 F' U' B2 L
F R2 B2 F' U' B2 L
L D U' B U2 L' U'
R2 D F' B U' B' L
R2 D F' B2 U' B2 L
B U R U2 R' B' L
R' D B U' B' L R'
R' D B U' B' R' L
B2 U R' U B' U B'
L D F2 U' B R U
L2 D B U B' L' F2
B U R' U2 R B' L
B U R' U2 B' L R
B U R' U2 B' R L
R2 D B F' U' B' L
R D B U' R' B' L
B U R2 U2 R2 B' L
B U R2 U2 B' L R2
B U R2 U2 B' R2 L
B U R2 B' L R2 F'
B U R2 B' R2 L F'
B U R2 B' R2 F' L
R2 D B2 F' U' B2 L
R2 D' L U L' F' U'
R D' L F' D R F'
D' U' L U' L' B U
U' D' L U' L' B U
D' U' L U' B L' U
U' D' L U' B L' U
D2 U' L U' L' B U
D2 U' L U' B L' U
B U B L B2 L F
B U B L2 F B2 L
B U B L2 B2 F L
D U' L U' L' B U
D U' L U' B L' U
B U B' L R2 F' R2
B U B' L U2 B U2
L D' R2 U L' F' U'
B U B' R2 L F' R2
B U B' R2 F' L R2
B U B' R2 F' R2 L
L D' U L' U2 B U
F' U' L U' L' B U
F' U' L U' B L' U
F2 U' L U' L' B U
F2 U' L U' B L' U
B U B2 D2 F2 B L
B U B2 D2 B L F2
B U B2 D2 B F2 L
L D' U' B U2 L' U'
F U' L U' L' B U
F U' L U' B L' U
B U' L' B' L B' R'
R2 D' F' B U' B' L
R2 D' F' B2 U' B2 L
R' D' B U' B' L R'
R' D' B U' B' R' L
L D' F2 U' B R U
R2 D' B F' U' B' L
R2 D' B2 F' U' B2 L
R2 D2 L U L' F' U'
L2 D2 L' U' B R2 U
U' D2 L U' L' B U
U' D2 L U' B L' U
B U' F U2 F' B' L
B U' F U2 B' L F'
B U' F U2 B' F' L
B U' F' U2 F B' L
B U' F' U2 B' F L
B U' F2 U2 F2 B' L
B U' F2 U2 B' L F2
B U' F2 U2 B' F2 L
B2 U' B D' B L R2
B2 U' B D' B R2 L
B U' F2 B' L F2 R
B U' B L' B2 L R'
B U' B L' B2 R' L
B U' B' L U2 L' U2
B U' B' L F2 R F2
B2 U' B2 L U' B U
L D2 R2 U L' F' U'
B U' B' L2 D2 L' R2
B U' B' L2 D2 R2 L'
B U' B' F2 L F2 R
L D2 U L' U2 B U
L2 D2 U' B R2 U L'
L D2 U' B U2 L' U'
R2 D2 F' B U' B' L
R2 D2 F' B2 U' B2 L
R' D2 B U' B' L R'
R' D2 B U' B' R' L
L2 D2 B R2 U B' L'
L D2 F2 U' B R U
R2 D2 B F' U' B' L
R2 D2 B2 F' U' B2 L
R2 F L U L' F2 U'
B2 U2 F B' U B' L
R2 F L2 D L' R2 F2
R2 F L2 D L' F2 R2
R2 F L2 D R2 L' F2
B' U2 F' B2 U B' L'
B2 U2 F' B' U B' L
B2 U2 F2 B' U B' L
B2 U2 B' U B' L D
B2 U2 B' U B' L D'
B2 U2 B' U B' L D2
B2 U2 B' U B' D L
B2 U2 B' U B' D' L
B2 U2 B' U B' D2 L
B2 U2 B' F U B' L
B2 U2 B' F' U B' L
B2 U2 B' F2 U B' L
B' U2 B2 F' U B' L'
L F U' B R' U F'
R' F B U' B' L R'
R' F B U' B' R' L
U2 F' L2 B U L' B2
U2 F' L2 B U B2 L'
U' F' R' U F L R
