R U L B R F
F R U L B R
F' L R D B R F2
F2 L R D B R F'
F' L R B R D F2
F' L R B D R F2
F2 L R B D R F'
R2 L U' R' U F' B
R2 L U' R' U B F'
U L R' F R' D B2
F L R2 U' R' U B
U L R2 F U R U'
F L U' R U R B
U L F R' D R' B2
U L F R2 U R' U'
U L F U R U' R
F' L' R U' L2 B R
F' L' R U' B L2 R
F' L' R U' B R L2
F L' R U L2 B R
F L' R U B L2 R
F L' R U B R L2
L R2 U' R' U F' B
L R2 U' R' U B F'
F L2 R U L' B R
F L2 R U B L' R
F L2 R U B R L'
U L2 U L' R2 F B'
U L2 U L' R2 B' F
U L2 U L' F R2 B'
U L2 U L' F B' R2
U L2 U L' B' R2 F
U L2 U L' B' F R2
U L2 U R2 L' F B'
U L2 U R2 L' B' F
R' U L R2 B R F
R' U L F R' D2 B2
R' U L F D2 R' B2
R U L D B R F
R U L D' B R F
R U L D2 B R F
R U L F D2 B R'
R U L B R D F
R U L B R D' F
R U L B R D2 F
R U L B R F D
R U L B R F D'
R U L B R F D2
R U L B R' F R2
R U L B R2 F R'
R U L B D R F
R U L B D' R F
R U L B D2 R F
R U L B' R F B2
R U L B' R B2 F
R U L B2 R F B'
R U L B2 R B' F
R U L2 B L' R F
R U L2 B R L' F
R U R D2 L F B'
R U R D2 L B' F
R' U R' D2 L F B'
R' U R' D2 L B' F
R' U R2 L B R F
R U D L B R F
R U D' L B R F
F' R L D B R F2
F2 R L D B R F'
F' R L B R D F2
F' R L B D R F2
F2 R L B D R F'
F' R L' U' L2 B R
R U D2 L B R F
F' R L' U' B L2 R
F' R L' U' B R L2
F R L' U L2 B R
F R L' U B L2 R
F R L' U B R L2
F R L2 U L' B R
F R L2 U B L' R
F R L2 U B R L'
R' U F' U2 L R' F'
R' U F' U2 R' L F'
R' U F' U2 R' F' L
R U F' L F B R
R U F' L B F R
F R U L D B R
F R U L D' B R
F R U L D2 B R
F R U L B R D
F R U L B R D'
F R U L B R D2
F R U L B D R
F R U L B D' R
F R U L B D2 R
F R U L B' R B2
F R U L B2 R B'
F R U L' B L2 R
F R U L' B R L2
F R U L2 B L' R
F R U L2 B R L'
F R U R D2 L B'
F R U D L B R
F R U D' L B R
F R U D2 L B R
F2 R D L B R F'
F R D U L B R
R' U' L R2 B R F'
F R D' U L B R
F R D2 U L B R
R U' L B R' F' R2
R' U' R' D2 L F' B'
R' U' R' D2 L B' F'
R' U' R' D2 F' L B'
R' U' R' F' D2 L B'
R2 U' R' U L F' B
R2 U' R' U L B F'
R2 U' R' U F' L B
R' U' R2 L B R F'
U R' L F R' D B2
R' U' F' U2 L R' F
R' U' F' U2 L F R'
R' U' F' U2 R' L F
B2 R' F' U' L' U' R'
F R2 L U' R' U B
U R2 L F U R U'
F R2 U' R' U L B
F' R2 D2 L D F2 B'
F' R2 D2 L D B' F2
F' R2 D2 L B' D F2
U R2 F' L D' F B2
U R2 F' L D' B2 F
U R2 F' L F D' B2
U R2 F2 D' L F B'
U R2 F2 D' L B' F
R D U L B R F
R D' U L B R F
F U' R U L R B
F U' R U R L B
R D2 U L B R F
F' U2 L' U' R2 B' L2
F' U2 L' U' B' L2 R2
F' U2 L' U' B' R2 L2
R2 D2 F' L D F2 B'
R2 D2 F' L D B' F2
R2 D2 F' L B' D F2
L' F R U L2 B R
L' F R U B L2 R
L' F R U B R L2
L F R2 U' R' U B
L F U' R U R B
U F' L R2 D' F B2
U F' L R2 D' B2 F
U F' L R2 F D' B2
U F' L F R2 D' B2
U F' L' U L2 R2 F
U F' L' U L2 F R2
U F' L' U R2 L2 F
U F' R2 L D' F B2
U F' R2 L D' B2 F
U F' R2 L F D' B2
R' F' U' L' U' L2 R'
R' F' U' L' U' R' L2
R' F' U2 L R' D F2
R' F' U2 L D R' F2
R' F' U2 L D F2 R'
R' F' U2 R' L D F2
R2 F' D2 L D F2 B'
R2 F' D2 L D B' F2
R2 F' D2 L B' D F2
L F2 R D B R F'
L F2 R B D R F'
U F2 R2 D' L F B'
U F2 R2 D' L B' F
