U' L D' R2 F B2
U' L D' R2 B2 F
U' L D' F R2 B2
U' L D' F B2 R2
U' L D' B2 R2 F
U' L D' B2 F R2
U' L F D' R2 B2
U' L F D' B2 R2
D2 F2 R U' L F
L' B' R' B' U L2
U' L R D' R2 F B2
U' L R D' R2 B2 F
U' L R D' F R2 B2
U' L R D' F B2 R2
U' L R D' B2 R2 F
U' L R D' B2 F R2
U' L R F D' R2 B2
U' L R F D' B2 R2
U L R D' R2 F' B2
U L R D' R2 B2 F'
U' L R' D' R2 F B2
U' L R' D' R2 B2 F
U' L R' D' F R2 B2
U' L R' D' F B2 R2
U' L R' D' B2 R2 F
U' L R' D' B2 F R2
U' L R' F D' R2 B2
U' L R' F D' B2 R2
U L R' D' F' R2 B2
U L R' D' F' B2 R2
U L R' D' B2 F' R2
U L R' F' D' R2 B2
U L R' F' D' B2 R2
U' L R2 D' R2 F B2
U' L R2 D' R2 B2 F
U' L R2 D' F R2 B2
U' L R2 D' F B2 R2
U' L R2 D' B2 R2 F
U' L R2 D' B2 F R2
U' L R2 F D' R2 B2
U' L R2 F D' B2 R2
U' L D' R B2 R F
U' L D' R' F R' B2
U' L D' R2 F B2 D
U' L D' R2 F B2 D'
U' L D' R2 F B2 D2
U' L D' R2 B2 D F
U' L D' R2 B2 D' F
U' L D' R2 B2 D2 F
U' L D' R2 B2 F D
U' L D' R2 B2 F D'
U' L D' R2 B2 F D2
U L D' R' F' R' B2
U' L D' F R B2 R
U' L D' F R2 B2 D
U' L D' F R2 B2 D'
U' L D' F R2 B2 D2
U' L D' F B' R2 B'
U' L D' F B2 R2 D
U' L D' F B2 R2 D'
U' L D' F B2 R2 D2
U' L D' F' R2 F2 B2
U' L D' F' R2 B2 F2
U' L D' F' B2 R2 F2
U' L D' B' R2 F B'
U' L D' B' R2 B' F
U' L D' B' F R2 B'
U' L D' B2 R' F R'
U' L D' B2 R2 D F
U' L D' B2 R2 D' F
U' L D' B2 R2 D2 F
U' L D' B2 R2 F D
U' L D' B2 R2 F D'
U' L D' B2 R2 F D2
U' L D' B2 F R2 D
U' L D' B2 F R2 D'
U' L D' B2 F R2 D2
U' L D' B2 F' R2 F2
U L D' B2 R' F' R'
U' L F R D' R2 B2
U' L F R D' B2 R2
U' L F R' D' R2 B2
U' L F R' D' B2 R2
U' L F R2 D' R2 B2
U' L F R2 D' B2 R2
U' L F U' L2 B2 U
U' L F U' B2 L2 U
U' L F D' R B2 R
U' L F D' R2 B2 D
U' L F D' R2 B2 D'
U' L F D' R2 B2 D2
U' L F D' B' R2 B'
U' L F D' B2 R2 D
U' L F D' B2 R2 D'
U' L F D' B2 R2 D2
L' R B' R' B' U L2
U' L F2 D' F' R2 B2
U' L F2 D' F' B2 R2
U' L F2 D' B2 F' R2
U' L B2 L2 U L2 F
D' L' R' U L2 R' F'
D' L' R' U R' L2 F'
D' L' R' U R' F' L2
U L' R B2 U L2 F
U L' R' B2 U L2 F'
U L' R' B2 U F' L2
D' L' U L2 R' F' R'
U' L' U L2 D' R2 F
U' L' U L2 D' F R2
D' L' U R' L2 F' R'
U' L' U L2 F D' R2
D' L' U R' F' L2 R'
D' L' U R' F' R' L2
D L' U' L' B' U2 L'
B2 L' U' D' R' B U2
B2 L' U2 B2 U' L F
B2 L' D' U' R' B U2
R' L' B' R' B' U L2
L' R' B' R' B' U L2
B' L' D2 R' B U L
R2 L' B' R' B' U L2
R L' B' R' B' U L2
U2 L' F R B2 U L2
U2 L' F B2 R U L2
D' L' B' R' U L2 R'
D' L' B' R' U R' L2
U' L' B2 R2 U L2 F'
U' L' B2 R2 U F' L2
U' L' B2 U' B U2 L2
U2 L' B2 U L F L
U L' B2 R' U L2 F'
U L' B2 R' U F' L2
U2 L' B2 F R U L2
L' R2 B' R' B' U L2
L' U L2 R D' R2 F'
L' U L2 R' D' F' R2
L' U L2 R' F' D' R2
L' U L2 D' R' F' R'
L' U R L2 D' R2 F'
L' U R' L2 D' F' R2
L' U R' L2 F' D' R2
L' U R' F' L2 D' R2
U' R L D' R2 F B2
U' R L D' R2 B2 F
U' R L D' F R2 B2
U' R L D' F B2 R2
U' R L D' B2 R2 F
U' R L D' B2 F R2
U' R L F D' R2 B2
U' R L F D' B2 R2
U R L D' R2 F' B2
U R L D' R2 B2 F'
U R L' B2 U L2 F
F2 R U' L D' R2 F
F2 R U' L D' F R2
F2 R U' L F D' R2
F2 R U' D' L R2 F
F2 R U' D' L F R2
F2 R U' D' R2 L F
F2 R D' U' L R2 F
F2 R D' U' L F R2
F2 R D' U' R2 L F
R' U' L D' R2 F B2
R' U' L D' R2 B2 F
R' U' L D' F R2 B2
R' U' L D' F B2 R2
R' U' L D' B2 R2 F
R' U' L D' B2 F R2
R' U' L F D' R2 B2
R' U' L F D' B2 R2
R2 U' L D' R2 F B2
