F L B2 D R F'
L U' R B U B
R F U L R B2
R F U L B2 R
R F U R L B2
L F B2 D R F'
L B2 U' R B U
L B2 F D R F'
D L U' L R B U
D L U' R L B U
F L D R D' F' B2
F L D R D' B2 F'
F L D R F' D' B2
L' R F U L2 R B2
L' R F U L2 B2 R
L' R F U R L2 B2
L' R F U R B2 L2
R2 L F R B2 D' F2
L' R F U B2 L2 R
L' R F U B2 R L2
R' L F B2 D' R F2
L' R F' U L2 B2 R'
R' L F' B2 D' F2 R
D' L F D R F' B2
D' L F D R B2 F'
D' L F D B2 R F'
F2 L F B2 D F2 R
F2 L F' R B2 D F2
F2 L F' B2 R D F2
F2 L F' B2 D R F2
R2 L B2 U L F U'
R' L B2 D' F R F
R' L B2 F D' R F2
R' L B2 F' D' F2 R
F L B D B R F'
U2 L B' R' D' F2 B'
U2 L B' R' D' B' F2
U2 L B' R' B' D' F2
F L B' D R F' B'
F L B' D R B' F'
F L B' D B' R F'
F L B2 D R D F'
F L B2 D R D' F'
F L B2 D R D2 F'
F L B2 D R F' D
F L B2 D R F' D'
F L B2 D R F' D2
F2 L B2 F D F2 R
F2 L B2 F' R D F2
F2 L B2 F' D R F2
U' L' R B U L2 B
U' L' R B U B L2
U L' R B' U B' L2
R L' F U L2 R B2
R L' F U L2 B2 R
R L' F U R L2 B2
R L' F U R B2 L2
R L' F U B2 L2 R
R L' F U B2 R L2
L R' F B2 D' R F2
R L' F' U L2 B2 R'
L R' F' B2 D' F2 R
F2 L' F U' L2 B2 R'
L R' B2 D' F R F
L R' B2 F D' R F2
L R' B2 F' D' F2 R
F2 L' F' U' L2 R B2
F2 L' F' U' L2 B2 R
F2 L' F' U' R L2 B2
F2 L' F' U' R B2 L2
F2 L' F' U' B2 L2 R
F2 L' F' U' B2 R L2
U L' B' R U B' L2
F L' B2 L2 D R F'
U' L2 R B U L' B
U' L2 R B U B L'
F L2 R B2 D' L' F
L R2 F R B2 D' F2
F' L2 U' B2 L' R' F'
