L' R U2 F' U' L2
R L' U2 F' U' L2
F2 L' R F' U' L2
L' R' B R2 U L2
R' L' B R2 U L2
F2 R L' F' U' L2
L' R U L2 U F' U'
F2 L R F' L2 U' L2
D2 L R B' L2 U L2
R' L U' L2 B R2 U
R' L U' B L2 R2 U
R' L U' B R2 L2 U
L' R U2 D' F' B2 U'
L' R U2 D' B2 F' U'
L' R U2 F' U' L2 D
L' R U2 F' U' L2 D'
L' R U2 F' U' L2 D2
L' R U2 F' D' B2 U'
L' R U2 F' B U' L2
L' R U2 F' B' U' L2
L' R U2 F' B2 U' L2
L' R U2 B F' U' L2
F2 L U L2 R F' U'
L' R U2 B' F' U' L2
F2 L U R L2 F' U'
F2 L U R F' L2 U'
L' R U2 B2 F' U' L2
L' R D F2 U2 F U'
D2 L U' R B' L2 U
D2 L U' B' L2 R U
D2 L U' B' R L2 U
L' R D' U2 F' B2 U'
L' R D' U2 B2 F' U'
L' R F U L2 D R2
L' R F U2 F2 U' L2
L' R F D F2 U R2
L' R F' U L2 D2 R2
L R F2 L2 B' U L2
R L F2 L2 B' U L2
L' R F2 U2 F U' L2
R' L B L2 R2 U L2
R' L B R2 L2 U L2
L' R B U2 F' U' L2
L' R B' U2 F' U' L2
R' L B' D' R2 F2 B2
R' L B' D' R2 B2 F2
R' L B' D' F2 R2 B2
R' L B' D' F2 B2 R2
R' L B' D' B2 R2 F2
R' L B' D' B2 F2 R2
L' R B2 U2 F' U' L2
D L B R' D' F2 B2
D L B R' D' B2 F2
R L' U L2 U F' U'
D2 L B' L2 R U L2
D2 L B' R L2 U L2
L R' U' L2 B R2 U
L R' U' B L2 R2 U
L R' U' B R2 L2 U
D2 L' R U2 F U' L2
R L' U2 D' F' B2 U'
R L' U2 D' B2 F' U'
U' L' R U2 F' U' L2
B' L' R U2 F' U' L'
U2 L' R U2 F' U' L2
R L' U2 F' U' L2 D
R L' U2 F' U' L2 D'
R L' U2 F' U' L2 D2
R L' U2 F' D' B2 U'
R L' U2 F' B U' L2
R L' U2 F' B' U' L2
R L' U2 F' B2 U' L2
F2 L' R D' F' B2 U'
F2 L' R D' B2 F' U'
D' L' R F' U L2 R
D' L' R F' U R L2
R L' U2 B F' U' L2
U L' R U2 F' U' L2
R L' U2 B' F' U' L2
F2 L' R F' U' L2 D
F2 L' R F' U' L2 D'
F2 L' R F' U' L2 D2
F2 L' R F' D' B2 U'
F2 L' R F' B U' L2
F2 L' R F' B' U' L2
F2 L' R F' B2 U' L2
R L' U2 B2 F' U' L2
F2 L' R B F' U' L2
D L' R B U L2 R'
D L' R B U R' L2
F2 L' R B' F' U' L2
F2 L' R B2 F' U' L2
R L' D F2 U2 F U'
B' L' R' B R2 U L
U' L' R' B R2 U L2
U2 L' R' B R2 U L2
U L' R' B R2 U L2
R L' D' U2 F' B2 U'
R L' D' U2 B2 F' U'
R L' F U L2 D R2
R' L' F B R2 U L2
L' R' F B R2 U L2
R L' F U2 F2 U' L2
R L' F D F2 U R2
R' L' F' B R2 U L2
R L' F' U L2 D2 R2
L' R' F' B R2 U L2
R' L' F2 B R2 U L2
L' R' F2 B R2 U L2
R L' F2 U2 F U' L2
R' L' B R2 U L2 D
R' L' B R2 U L2 D'
R' L' B R2 U L2 D2
R' L' B R2 D F2 U
R' L' B R2 F U L2
R' L' B R2 F' U L2
R' L' B R2 F2 U L2
L' R' B R2 U L2 D
L' R' B R2 U L2 D'
L' R' B R2 U L2 D2
R' L' B U L2 D' F2
L' R' B R2 D F2 U
L' R' B R2 F U L2
L' R' B R2 F' U L2
L' R' B R2 F2 U L2
L' R' B U L2 D' F2
L R' B L2 R2 U L2
L R' B R2 L2 U L2
B L' D' R F' U R
R' L' B F R2 U L2
L' R' B F R2 U L2
R' L' B F' R2 U L2
L' R' B F' R2 U L2
R' L' B F2 R2 U L2
L' R' B F2 R2 U L2
R L' B U2 F' U' L2
R' L' B' R2 B2 U L2
L' R' B' R2 B2 U L2
L R' B' D' R2 F2 B2
L R' B' D' R2 B2 F2
L R' B' D' F2 R2 B2
L R' B' D' F2 B2 R2
R L' B' U2 F' U' L2
L R' B' D' B2 R2 F2
L R' B' D' B2 F2 R2
R' L' B2 R2 B' U L2
L' R' B2 R2 B' U L2
R L' B2 U2 F' U' L2
F2 L' B R F' U' L2
D L' B R U L2 R2
D L' B R U R2 L2
F2 L' B' R F' U' L2
F2 L' B2 R F' U' L2
R' U L' B R2 U L2
D2 R L B' L2 U L2
F2 R L F' L2 U' L2
D2 R L' U2 F U' L2
B' R L' U2 F' U' L'
U' R L' U2 F' U' L2
U2 R L' U2 F' U' L2
D' R L' F' U L2 R
D' R L' F' U R L2
F2 R L' D' F' B2 U'
F2 R L' D' B2 F' U'
F2 R L' F' U' L2 D
F2 R L' F' U' L2 D'
F2 R L' F' U' L2 D2
F2 R L' F' D' B2 U'
F2 R L' F' B U' L2
F2 R L' F' B' U' L2
F2 R L' F' B2 U' L2
F2 R L' B F' U' L2
U R L' U2 F' U' L2
F2 R L' B' F' U' L2
F2 R L' B2 F' U' L2
D R L' B U L2 R'
D R L' B U R' L2
F2 R D L' F' U' L2
F2 R D' L' F' U' L2
F2 R D2 L' F' U' L2
R' U' L' B R2 U L2
F' R F' L' R U' L2
L U' L2 R U2 F' U'
F' R F' R L' U' L2
L U' L2 R' B R2 U
L U' R L2 U2 F' U'
L U' R' L2 B R2 U
L U' R' B L2 R2 U
L U' R' B R2 L2 U
B' R' L' B R2 U L
U' R' L' B R2 U L2
U2 R' L' B R2 U L2
U R' L' B R2 U L2
B2 R' U L' B R2 U
B2 R' U B L' R2 U
B2 R' U B R2 L' U
R' U2 L' B R2 U L2
R2 U2 L' R' B' U L2
B' R' B L' R2 U L2
R2 U2 R' L' B' U L2
B' R' B R2 L' U L2
R U2 F' U' D' L B'
R U2 F' D' U' L B'
R U2 F2 R F U' L
R D L' U2 F' U' L2
L' D R F2 B U R'
L' D R B F2 U R'
F2 U L' R F' U' L2
F2 U R L' F' U' L2
