D' L B2 D R2 F'
F' L2 R U L' R
F' L2 R U R L'
L2 U R2 D' L' F
F' R L2 U L' R
F' R L2 U R L'
R2 D' L' F L2 B2
R2 D' L' F B2 L2
R2 D' L' B2 F L2
L2 R U L' D R F'
L2 R U R D' L' F
L2 R U D L' R F'
L2 R U D R L' F'
L2 R U D' L' R F
L2 R U D' R L' F
D L R F' D' R2 B
D' L R B2 D R2 F'
D' L R' B2 D R2 F'
F' L R2 U' L R' U
F' L R2 U' R' L U
D' L R2 B2 D R2 F'
F' L U' L R U R
L2 R D U L' R F'
L2 R D U R L' F'
F' L U' R L U R
L2 R D' U L' R F
L2 R D' U R L' F
R2 L F' U' L R U
R2 L F' U' R L U
L2 R' U R' D' L' F
L2 R' U D' L' R' F
L2 R' U D' L' F R'
L2 R' U D' R' L' F
D' L B' D B' R2 F'
D' L B2 R2 D F' R2
D' L B2 D R2 D F'
D' L B2 D R2 D' F'
D' L B2 D R2 D2 F'
D' L B2 D R2 F' D
D' L B2 D R2 F' D'
D' L B2 D R2 F' D2
D' L B2 D F R2 F'
D' L B2 D F' R2 F'
D' L B2 D F2 R2 F'
L2 R' D' U L' R' F
L2 R' D' U L' F R'
L2 R' D' U R' L' F
F L' U2 L' U L' R2
F L' U2 L' U R2 L'
F L' D' F2 R B2 U'
F L' D' F2 B2 R U'
F L' D' B2 F2 R U'
R' L2 U R' D' L' F
R' L2 U D' L' R' F
R' L2 U D' L' F R'
R' L2 U D' R' L' F
R L2 U L' D R F'
R L2 U R D' L' F
R L2 U D L' R F'
R L2 U D R L' F'
R L2 U D' L' R F
R L2 U D' R L' F
D' L' F2 U' L2 F' B2
D' L' F2 U' L2 B2 F'
D' L' F2 U' F' L2 B2
D' L' F2 U' F' B2 L2
D' L' F2 U' B2 L2 F'
D' L' F2 U' B2 F' L2
F L' F2 R U' L2 R
F L' F2 R U' R L2
R L2 D U L' R F'
R L2 D U R L' F'
R' L2 D' U L' R' F
R' L2 D' U L' F R'
R' L2 D' U R' L' F
R L2 D' U L' R F
R L2 D' U R L' F
F' L2 R U L' R D
F' L2 R U L' R D'
F' L2 R U L' R D2
F' L2 R U L' D R
F' L2 R U L' D' R
F' L2 R U L' D2 R
F' L2 R U R L' D
F' L2 R U R L' D'
F' L2 R U R L' D2
F' L2 R U R D L'
F' L2 R U R D' L'
F' L2 R U R D2 L'
F' L2 R U D L' R
F' L2 R U D R L'
F' L2 R U D' L' R
F' L2 R U D' R L'
F' L2 R U D2 L' R
F' L2 R U D2 R L'
F' L2 R D U L' R
F' L2 R D U R L'
F' L2 R D' U L' R
F' L2 R D' U R L'
F' L2 R D2 U L' R
F' L2 R D2 U R L'
F' L2 R B U L' R
F' L2 R B U R L'
F' L2 R B' U L' R
F' L2 R B' U R L'
F' L2 R B2 U L' R
F' L2 R B2 U R L'
F2 L2 U L R2 F L2
F2 L2 U L F L2 R2
F2 L2 U L F R2 L2
L R2 F' U' L R U
L R2 F' U' R L U
U' L2 U R2 D' L' F
F2 L2 U R2 L F L2
F L2 U L' R2 D F2
U2 L2 U R2 D' L' F
F L2 U R2 L' D F2
U L2 U R2 D' L' F
D2 L2 U2 D L' F B2
D2 L2 U2 D L' B2 F
D2 L2 U2 D B2 L' F
F L2 U2 L U' L2 R2
F L2 U2 L U' R2 L2
D2 L2 D L' F B2 R'
D2 L2 D L' B2 R' F
D2 L2 D L' B2 F R'
F' L2 D R B2 U L'
D2 L2 D U2 L' F B2
D2 L2 D U2 L' B2 F
D2 L2 D U2 B2 L' F
F' L2 D B2 R U L'
F L2 D B2 R' U L'
D2 L2 D' F2 R U2 F'
L2 U L' R D R F'
L2 U R L' D R F'
L2 U R D L' R F'
L2 U R D R L' F'
L2 U R D' L' R F
L2 U R D' R L' F
F' L2 B R U L' R
F' L2 B R U R L'
L2 U R' D' L' R' F
L2 U R' D' L' F R'
L2 U R' D' R' L' F
F' L2 B' R U L' R
F' L2 B' R U R L'
L2 U R2 D' L' D F
L2 U R2 D' L' D' F
L2 U R2 D' L' D2 F
L2 U R2 D' L' F D
L2 U R2 D' L' F D'
L2 U R2 D' L' F D2
F' L2 B2 R U L' R
F' L2 B2 R U R L'
L2 U D' L' D R2 F
L2 U D' L' D F R2
F L2 B2 R' U L' R'
F L2 B2 R' U R' L'
D' R L B2 D R2 F'
D R L F' D' R2 B
F' R L2 U L' R D
F' R L2 U L' R D'
F' R L2 U L' R D2
F' R L2 U L' D R
F' R L2 U L' D' R
F' R L2 U L' D2 R
F' R L2 U R L' D
F' R L2 U R L' D'
F' R L2 U R L' D2
F' R L2 U R D L'
F' R L2 U R D' L'
F' R L2 U R D2 L'
F' R L2 U D L' R
F' R L2 U D R L'
F' R L2 U D' L' R
F' R L2 U D' R L'
F' R L2 U D2 L' R
F' R L2 U D2 R L'
F' R L2 D U L' R
F' R L2 D U R L'
F' R L2 D' U L' R
F' R L2 D' U R L'
F' R L2 D2 U L' R
F' R L2 D2 U R L'
F' R L2 B U L' R
F' R L2 B U R L'
F' R L2 B' U L' R
F' R L2 B' U R L'
F' R L2 B2 U L' R
F' R L2 B2 U R L'
F' R U R D' L B2
F' R U D' L R B2
F' R U D' L B2 R
F' R U D' R L B2
F' R D' U L R B2
F' R D' U L B2 R
F' R D' U R L B2
R2 U' L2 U D' L' F
D R F' L D' R2 B
R2 U' L2 D' U L' F
D R F' D' L R2 B
D R F' D' R2 L B
D' R' L B2 D R2 F'
R2 U' F' L2 R U L'
R2 U' F' R L2 U L'
F' R' D' L R' F2 B2
F' R' D' L R' B2 F2
F' R' D' L F2 R' B2
F' R' D' R' L F2 B2
F' R' D' R' L B2 F2
F' R' D' R' F2 L B2
F' R' D' F2 L R' B2
F' R' D' F2 R' L B2
F' R2 L U' L R' U
F' R2 L U' R' L U
D' R2 L B2 D R2 F'
F' R2 U' L2 R' U L'
F' R2 U' R' L2 U L'
U' R2 D' L' F L2 B2
U' R2 D' L' F B2 L2
U' R2 D' L' B2 F L2
R' D L R F' R2 B
U2 R2 D' L' F L2 B2
U2 R2 D' L' F B2 L2
U2 R2 D' L' B2 F L2
B2 R2 D' F2 L' F B2
B2 R2 D' F2 L' B2 F
B2 R2 D' F2 B2 L' F
F R2 D' L B2 D F2
B2 R2 D' B2 F2 L' F
U R2 D' L' F L2 B2
U R2 D' L' F B2 L2
U R2 D' L' B2 F L2
R D L R D2 F' B2
R D L R D2 B2 F'
F R2 D2 L D F2 B2
F R2 D2 L D B2 F2
R' D R L F' R2 B
R2 D L2 D2 L' F B2
R2 D L2 D2 L' B2 F
R2 D L2 D2 B2 L' F
R' D R F' L R2 B
R' D R F' R2 L B
R D R L D2 F' B2
R D R L D2 B2 F'
L2 D R B2 U L' F'
R D R D2 L F' B2
R D R D2 L B2 F'
R D R D2 F' L B2
D' U L B2 D R2 F'
F' U L2 R U L' R
F' U L2 R U R L'
F2 U L2 U L' R2 F
F2 U L2 U L' F R2
F2 U L2 U R2 L' F
F' U R L2 U L' R
F' U R L2 U R L'
F2 U R2 D' L F B2
F2 U R2 D' L B2 F
L2 D B2 R U L' F'
R' D' L R B2 R2 F'
L2 D B2 U D2 L' F
L2 D B2 D2 U L' F
R' D' L' R' F L2 B2
R' D' L' R' F B2 L2
R' D' L' R' B2 F L2
R2 D' L R2 B2 R2 F'
R2 D' L U2 B' U2 B'
R' D' L' F L2 R' B2
R' D' L' F R' L2 B2
R' D' L' F R' B2 L2
R D' L R' B2 R2 F'
R2 D' L B D2 F2 B
R2 D' L B D2 B F2
R2 D' L B2 R2 F' R2
R2 D' L B2 U2 B U2
R2 D' L' F L' B2 L'
R2 D' L' F L2 B2 D
R2 D' L' F L2 B2 D'
R2 D' L' F L2 B2 D2
R2 D' L' F B L2 B
R2 D' L' F B2 L2 D
R2 D' L' F B2 L2 D'
R2 D' L' F B2 L2 D2
R2 D' L' F' L2 F2 B2
R2 D' L' F' L2 B2 F2
R D' L B2 R2 F' R'
R2 D' L' F' B2 L2 F2
R2 D' L' F2 L2 F' B2
R2 D' L' F2 L2 B2 F'
R D' L' R F L2 B2
R D' L' R F B2 L2
R2 D' L' F2 B2 L2 F'
R D' L' R B2 F L2
R2 D' L' B F L2 B
R2 D' L' B2 F L2 D
