D' R U' L F' R
D' R U' F' L R
D' R U' F' R L
B' L R F' B U' L
B' L R B F' U' L
D' L U R U' F' R
F2 L D' R F' R B2
F2 L D' R F' B2 R
F2 L D' R B2 F' R
F2 L D' F' R F' B2
F2 L D' F' R B2 F'
F2 L D' F' B2 R F'
F2 L D' B2 R F' R
F2 L D' B2 F' R F'
L' R F' B' L U' L
L R F' B' L U' L'
R L F' B' L U' L'
L' R B' L F' U' L
L2 R B' L F' U' L2
L' R B' F' L U' L
L R B' F' L U' L'
R L B' F' L U' L'
B' L B R F' U' L
D' L' R U' L2 F' R
D' L' R U' F' L2 R
D' L' R U' F' R L2
D2 L' R F L' U' L'
F2 L' R' B R' U L2
R L' F' B' L U' L
R L' B' L F' U' L
R L' B' F' L U' L
F2 L' B R' B U L2
D' L2 R U' L' F' R
R L2 B' L F' U' L2
L U D' R U' F' R
B' R L F' B U' L
B' R L B F' U' L
D' R L' U' L2 F' R
D' R L' U' F' L2 R
D' R L' U' F' R L2
D2 R L' F L' U' L'
D' R L2 U' L' F' R
D' R U' L F' R D
D' R U' L F' R D'
D' R U' L F' R D2
D' R U' L F' D R
D' R U' L F' D' R
D' R U' L F' D2 R
D' R U' L' F' L2 R
D' R U' L' F' R L2
D' R U' F' L R D
D' R U' F' L R D'
D' R U' F' L R D2
D' R U' F' L D R
D' R U' F' L D' R
D' R U' F' L D2 R
D' R U' F' R L D
D' R U' F' R L D'
D' R U' F' R L D2
D' R U' F' R D L
D' R U' F' R D' L
D' R U' F' R D2 L
D' R U' F' D L R
D' R U' F' D R L
D' R U' F' D' L R
D' R U' F' D' R L
D' R U' F' D2 L R
D' R U' F' D2 R L
D2 R F L' F U' L2
D' R F U' F2 L R
D' R F U' F2 R L
B' R F' L B U' L
F2 R' L' B R' U L2
B R' B U D B2 L
B R' B D U B2 L
R D L' F' U' L2 F2
R D L' F' U' F2 L2
B' U L R F' B U'
B' U L R B F' U'
B' U R L F' B U'
B' U R L B F' U'
D' U R U' L F' R
D' U R U' F' L R
D' U R U' F' R L
R D F' L' U' F L2
B' U R F' L B U'
R D F' U' L' F L2
L2 D' R U' L' F' R
L' D' R B2 U' F' R
L D' U R U' F' R
U' D' R U' L F' R
D' U' R U' L F' R
U' D' R U' F' L R
U' D' R U' F' R L
D' U' R U' F' L R
D' U' R U' F' R L
U2 D' R U' L F' R
U2 D' R U' F' L R
U2 D' R U' F' R L
U D' R U' L F' R
U D' R U' F' L R
U D' R U' F' R L
L' D' B2 R U' F' R
D' U2 R U' L F' R
D' U2 R U' F' L R
D' U2 R U' F' R L
B' U2 L R F' U' L'
R D2 F L' F2 U' L2
B' U2 R L F' U' L'
B' U2 R F' L U' L2
R D2 F' U2 R U L
R F' L B' L U' L'
D' F' R F' L D' B2
R F' L' B' L U' L
R F' L2 U' D L' F
R F' L2 D U' L' F
R F' L2 B' L U' L2
D' F' U' L R F' B
D' F' U' L R B F'
D' F' U' R L F' B
D' F' U' R L B F'
D' F' U' R F' L B
F D' L R F' R B'
F D' L R F' B' R
F D' L R B' F' R
R F' U' L2 D L' F
R F' U' D L' F L2
F D' L F' R F' B'
F D' L F' R B' F'
F D' L F' B' R F'
F D' L B' R F' R
F D' L B' F' R F'
R F' D L' U' F L2
R F' D U' L' F L2
F D' R L F' R B'
F D' R L F' B' R
F D' R L B' F' R
F D' R F' L R B'
F D' R F' L B' R
F D' R F' R L B'
R F' B' L B U' L
R F' B2 U R' U2 F'
F D' F' L R F' B'
F D' F' L R B' F'
F D' F' L B' R F'
F D' F' R L F' B'
F D' F' R L B' F'
F D' F' R F' L B'
R F2 D2 F L' U' L2
L' B' L R F' U' L
L2 B' L R F' U' L2
L' B' R L F' U' L
R B' L F' B U' L
R B' L B F' U' L
L' B' R F' L U' L
L2 B' R L F' U' L2
L B' R F' L U' L'
L B' U L R F' U'
L B' U R L F' U'
L B' U R F' L U'
R B' F' L B U' L
R B2 F' U R' U2 F'
