F L2 R' U' L' R2
F L2 R' U' R2 L'
L U L R' F U'
L U L F R' U'
L U R' L F U'
F R D L F2 B2
F R D L B2 F2
F R D F2 L B2
F R' L2 U' L' R2
F R' L2 U' R2 L'
U' R' F' L2 U' L'
R' F L2 U' L' R
R' F L2 U' R L'
R2 L U L R F U'
L R U L R2 F U'
L R U L F R2 U'
F L R U L R2 U'
F L R U R2 L U'
R2 L U R L F U'
R L U L R2 F U'
R L U L F R2 U'
L R U R2 L F U'
R L U R2 L F U'
U' L R' F' L U' L'
U L R' F L U' L'
U2 L U L R' F' U'
F L U L R' U' R2
U2 L U R' L F' U'
U2 L U R' F' L U'
F L U R' L U' R2
U L U R' F L U'
U L U F L R' U'
U L U F R' L U'
R' L F L U' L' R
R' L F L U' R L'
U L F L R' U' L'
D L F R D F B2
D L F R D B2 F
D L F R F D B2
U L F R' L U' L'
L2 R' U2 B' U L' R'
L2 R' U2 B' U R' L'
F' L' U' L' R' U' L'
L R' F L U' L' R
L R' F L U' R L'
F' L' U' R' L' U' L'
L R2 U L R F U'
L R2 U R L F U'
R' L2 U2 B' U L' R'
R' L2 U2 B' U R' L'
F' L2 R' U L U2 L2
F' L2 R' U' L' D2 R2
F L2 R' U' L' R2 D
F L2 R' U' L' R2 D'
F L2 R' U' L' R2 D2
F L2 R' U' R2 L' D
F L2 R' U' R2 L' D'
F L2 R' U' R2 L' D2
F L2 R' U' R2 D L'
F L2 R' U' R2 D' L'
F L2 R' U' R2 D2 L'
F' L2 R' B2 U' L' R'
F' L2 R' B2 U' R' L'
U2 L2 R' B' U' L' R'
U2 L2 R' B' U' R' L'
F L2 R' B U' L' R2
F L2 R' B U' R2 L'
F L2 R' B' U' L' R2
F L2 R' B' U' R2 L'
F L2 R' B2 U' L' R2
F L2 R' B2 U' R2 L'
F L2 U' L' R D B2
F L2 U' R L' D B2
F L2 U' R D L' B2
F L2 U' R D B2 L'
F L2 D R' U' L' R2
F L2 D R' U' R2 L'
F L2 D' R' U' L' R2
F L2 D' R' U' R2 L'
L U L R F R2 U'
L U L R' D F U'
L U L R' D' F U'
L U L R' D2 F U'
L U L R' F U' D
L U L R' F U' D'
L U L R' F U' D2
L U L R' F D U'
L U L R' F D' U'
L U L R' F D2 U'
L U L D R' F U'
L U L D F R' U'
L U L D' R' F U'
L U L D' F R' U'
L U L D2 R' F U'
L U L D2 F R' U'
L U L F R' U' D
L U L F R' U' D'
L U L F R' U' D2
L U L F R' D U'
L U L F R' D' U'
L U L F R' D2 U'
L U L F D R' U'
L U L F D' R' U'
L U L F D2 R' U'
L U L F' R' F2 U'
F L2 D2 R' U' L' R2
F L2 D2 R' U' R2 L'
U' L2 F R' F' U' L'
L U R L F R2 U'
L U R' L D F U'
L U R' L D' F U'
L U R' L D2 F U'
L U R' L F U' D
L U R' L F U' D'
L U R' L F U' D2
L U R' L F D U'
L U R' L F D' U'
L U R' L F D2 U'
L U R' D L F U'
L U R' D' L F U'
U' L2 B U' L' B' R'
L U R' D2 L F U'
L U R' F L F U'
L U R' F' L F U'
L U R' F2 L F U'
F L2 B U' L' R B'
F L2 B U' L' B' R
F L2 B U' R L' B'
L U D L R' F U'
L U D L F R' U'
L U D R' L F U'
L U D' L R' F U'
L U D' L F R' U'
L U D' R' L F U'
F R L U L R2 U'
F R L U R2 L U'
L U D2 L R' F U'
L U D2 L F R' U'
L U D2 R' L F U'
L U F L R' F U'
L U F L F R' U'
L U F R' L F U'
L U F' L R' F U'
L U F' L F R' U'
L U F' R' L F U'
F R U L2 R2 U' L'
F R U R2 L2 U' L'
L U F2 L R' F U'
L U F2 L F R' U'
L U F2 R' L F U'
F R D L F2 B2 D
F R D L F2 B2 D'
F R D L F2 B2 D2
F R D L B2 F2 D
F R D L B2 F2 D'
F R D L B2 F2 D2
F' R D F2 L R B2
F' R D F2 L B2 R
F' R D F2 R L B2
F R D L' F2 L2 B2
F R D L' F2 B2 L2
F R D L' B2 L2 F2
F R D L' B2 F2 L2
F R D L2 B2 L' F2
F R D F' L F' B2
F R D F' L B2 F'
F R D F2 L B2 D
F R D F2 L B2 D'
F R D F2 L B2 D2
F R D F2 L' B2 L2
F R D F2 L2 B2 L'
F R D' L D2 F2 B2
F R D' L D2 B2 F2
F R F D L F2 B2
F R F D L B2 F2
F R F D F2 L B2
F R F' D L F2 B2
F R F' D L B2 F2
F R F' D F2 L B2
F R F2 D L F2 B2
F R F2 D L B2 F2
F R F2 D F2 L B2
L2 U' R' F' U' F L'
F R B2 D F2 B2 L
F R B2 D B2 L F2
F R B2 D B2 F2 L
U' R' L F' L U' L'
U R' L F L U' L'
F' R' L2 U L U2 L2
F' R' L2 U' L' D2 R2
F' R' L2 B2 U' L' R'
F' R' L2 B2 U' R' L'
F R' L2 U' L' R2 D
F R' L2 U' L' R2 D'
F R' L2 U' L' R2 D2
F R' L2 U' R2 L' D
F R' L2 U' R2 L' D'
F R' L2 U' R2 L' D2
F R' L2 U' R2 D L'
F R' L2 U' R2 D' L'
F R' L2 U' R2 D2 L'
U2 R' L2 B' U' L' R'
U2 R' L2 B' U' R' L'
F R' L2 B U' L' R2
F R' L2 B U' R2 L'
F R' L2 B' U' L' R2
F R' L2 B' U' R2 L'
F R' L2 B2 U' L' R2
F R' L2 B2 U' R2 L'
F' R' U' D F2 L R
F' R' U' D F2 R L
F R' U' R2 D L F2
F R' U' R2 D F2 L
F' R' D U' F2 L R
F' R' D U' F2 R L
U' R' D F' U' L F'
U' R' D F' U' F' L
F R' F L2 U' L' R2
F R' F L2 U' R2 L'
D R' F U' R F L
U' R' F' L2 U' L' D
U' R' F' L2 U' L' D'
U' R' F' L2 U' L' D2
U' R' F' L2 U' D L'
U' R' F' L2 U' D' L'
U' R' F' L2 U' D2 L'
U' R' F' L2 D U' L'
U' R' F' L2 D' U' L'
U' R' F' L2 D2 U' L'
U' R' F' L2 B U' L'
U' R' F' L2 B' U' L'
U' R' F' L2 B2 U' L'
F2 R' F' L2 U' L' R
F2 R' F' L2 U' R L'
U' R' F' U' D L F2
U' R' F' U' D F2 L
U' R' F' D U' L F2
U' R' F' D U' F2 L
F R' F' L2 U' L' R2
F R' F' L2 U' R2 L'
F' R' F2 L2 U' L' R
F' R' F2 L2 U' R L'
F R' F2 L2 U' L' R2
F R' F2 L2 U' R2 L'
R D L F R F B2
R D L F R B2 F
R D L F B2 R F
R D L B2 F R F
L D U L R' F U'
L D U L F R' U'
L D U R' L F U'
R' D F U' R F L
R D F R F L B2
F U L2 R' U' L' R2
F U L2 R' U' R2 L'
F U R D L F2 B2
F U R D L B2 F2
F U R D F2 L B2
U' D R' F' U' L F'
U' D R' F' U' F' L
F U R' L2 U' L' R2
F U R' L2 U' R2 L'
L D' U L R' F U'
L D' U L F R' U'
L D' U R' L F U'
D U' R' F' U' L F'
D U' R' F' U' F' L
F U' L2 R' U' L' R2
F U' L2 R' U' R2 L'
F U' R D L F2 B2
F U' R D L B2 F2
F U' R D F2 L B2
F U' R' L2 U' L' R2
F U' R' L2 U' R2 L'
L D2 U L R' F U'
L D2 U L F R' U'
L D2 U R' L F U'
F U2 L2 R' U' L' R2
F U2 L2 R' U' R2 L'
F U2 R D L F2 B2
F U2 R D L B2 F2
F U2 R D F2 L B2
F U2 R' L2 U' L' R2
F U2 R' L2 U' R2 L'
L F L R' U' L' R2
L F L R' U' R2 L'
R' F L2 U' L' R D
R' F L2 U' L' R D'
R' F L2 U' L' R D2
R' F L2 U' L' D R
R' F L2 U' L' D' R
R' F L2 U' L' D2 R
R' F L2 U' R L' D
R' F L2 U' R L' D'
R' F L2 U' R L' D2
R' F L2 U' R D L'
R' F L2 U' R D' L'
R' F L2 U' R D2 L'
R' F L2 U' D L' R
R' F L2 U' D R L'
R' F L2 U' D' L' R
R' F L2 U' D' R L'
R' F L2 U' D2 L' R
R' F L2 U' D2 R L'
R' F L2 D U' L' R
R' F L2 D U' R L'
R' F L2 D' U' L' R
R' F L2 D' U' R L'
R' F L2 D2 U' L' R
R' F L2 D2 U' R L'
R' F L2 B U' L' R
R' F L2 B U' R L'
R' F L2 B' U' L' R
R' F L2 B' U' R L'
R' F L2 B2 U' L' R
R' F L2 B2 U' R L'
R F L2 R2 U' L' R'
R F L2 R2 U' R' L'
U' F R' F' L2 U' L'
D F R D F L B2
D F R F L D B2
D F R F D L B2
L F R U L R2 U'
