F2 L U' B' L' U
U L U' B' U F2
U L F2 U' B' U
U2 L' F U' F L2
L U' B' L' U F2
D R2 F' U L R
D R2 F' U R L
F' U D L F' R
F' U D F' L R
F' U D F' R L
F' D U L F' R
F' D U L F' R
F' D U F' L R
F' D U F' R L
D F' R2 U L R'
D F' R2 U R' L
U F' D L F' R
U F' D F' L R
U F' D F' R L
U F2 L U' B' U
L B' L' U L F2
L B' L' U F2 L
F2 L R U' B' L' U
U L R U' B' U F2
U L R F2 U' B' U
F2 L R' U' B' L' U
U L R' U' B' U F2
U L R' F2 U' B' U
R' L U' B' L' U F2
F2 L R2 U' B' L' U
R2 L U' B' L' U F2
L R U' B' L' U F2
U L R2 U' B' U F2
R L U' B' L' U F2
U L R2 F2 U' B' U
U L U L2 F U' F
U L U D' L2 F U'
U L U' R B' U F2
F2 L U' D B' L' U
U L U' R' B' U F2
F2 L U' D' B' L' U
U L U' R2 B' U F2
F2 L U' D2 B' L' U
U L U' D R2 B' U
U L U' D B' R2 U
F' L U' B' L' U F'
F2 L U' B L' B2 U
F2 L U' B' L' U D
F2 L U' B' L' U D'
F2 L U' B' L' U D2
F2 L U' B' L' D U
F2 L U' B' L' D' U
F2 L U' B' L' D2 U
U2 L U' B' U F2 B
U2 L U' B' U B F2
F2 L U' B' D L' U
F2 L U' B' D' L' U
F2 L U' B' D2 L' U
F2 L U' B2 L' B U
F L U' B' L' U F
U L U' B' R U F2
U L U' B' R' U F2
U L U' B' R2 U F2
U L U' B' U F2 D
U L U' B' U F2 D'
U L U' B' U F2 D2
U L U' B' D R2 U
F2 L D U' B' L' U
U L D U' R2 B' U
U L D U' B' R2 U
U2 L D' L2 F U' L2
F2 L D' U' B' L' U
U L D' U L2 F U'
F2 L D2 U' B' L' U
U L F U' B' U F
R' L B' L' U L F2
R' L B' L' U F2 L
R2 L B' L' U L F2
R2 L B' L' U F2 L
L R B' L' U L F2
L R B' L' U F2 L
R L B' L' U L F2
R L B' L' U F2 L
U L F' U' B' U F'
U L F2 R U' B' U
U L F2 R' U' B' U
U2 L F2 U' B' U B
U L F2 R2 U' B' U
U L F2 U' D B' U
U L F2 U' D' B' U
U L F2 U' D2 B' U
U L F2 U' B' U D
U L F2 U' B' U D'
U L F2 U' B' U D2
U L F2 U' B' D U
U L F2 U' B' D' U
U L F2 U' B' D2 U
U L F2 D U' B' U
U L F2 D' U' B' U
U L F2 D2 U' B' U
U L F2 B D' R2 B'
U L F2 B D' B' R2
F2 L B U' L' B2 U
F2 L B U' B2 L' U
F' L B' L' U L F'
F' L B' L' U F' L
F L B' L' U F L
B L B' L' U L2 F2
B L B' L' U F2 L2
U L B F2 D' R2 B'
U L B F2 D' B' R2
L R' U' B' L' U F2
F2 L B2 U' L' B U
F2 L B2 U' B L' U
U L' U F U' F L2
U' L' U' F U' F L2
U2 L' D' F L2 B2 U'
U2 L' D' F B2 L2 U'
U2 L' D' B2 F L2 U'
L R' B' L' U L F2
L R' B' L' U F2 L
U2 L' F U' F L2 D
U2 L' F U' F L2 D'
U2 L' F U' F L2 D2
U2 L' F U' F' L2 F2
