U' L R2 F2
U' L F2 R2
U' R2 L F2
U' R2 F2 L
U' F2 L R2
U' F2 R2 L
U' L R' F2 R'
U' L R2 F2 D
U' L R2 F2 D'
U' L R2 F2 D2
F2 L R2 D B2
U' L F R2 F
R2 L F2 D B2
U' L F2 R2 D
U' L F2 R2 D'
U' L F2 R2 D2
U' L' R2 F2 L2
U' L' F2 L2 R2
U' L' F2 R2 L2
L R2 F2 D B2
L' U' L2 R2 F2
L' U' L2 F2 R2
L2 U' L' R2 F2
L2 U' L' F2 R2
L' U' R2 L2 F2
L' U' R2 F2 L2
L2 U' R2 L' F2
L' U' F2 L2 R2
L' U' F2 R2 L2
U' R' L F2 R'
U' R' F2 L R'
U' R' F2 R' L
U' R2 L F2 D
U' R2 L F2 D'
U' R2 L F2 D2
U' R2 L' F2 L2
F2 R2 L D B2
F2 R2 D L B2
U' R2 F' L F'
U' R2 F2 L D
U' R2 F2 L D'
U' R2 F2 L D2
U' R2 F2 L D2
U' R2 F2 D L
U' R2 F2 D' L
U' R2 F2 D2 L
F' U' L F' R2
F U' R2 F L
F U' F L R2
F U' F R2 L
B2 U' R2 F2 L'
F' U' F' L R2
F' U' F' R2 L
U' F R2 F L
U' F' L F' R2
R2 F2 L D B2
D' F2 L2 U' L'
U' F2 L R2 D
U' F2 L R2 D'
U' F2 L R2 D2
L F2 R2 D B2
U' F2 R2 L D
U' F2 R2 L D'
U' F2 R2 L D2
U' F2 R2 D L
U' F2 R2 D' L
U' F2 R2 D2 L
R2 F2 D L B2
R2 L U R2 U' F2
U' L R' F R' F
U' L R' F2 R' D
U' L R' F2 R' D'
U' L R' F2 R' D2
U' L R' F2 D R'
U' L R' F2 D' R'
U' L R' F2 D2 R'
F2 L R2 U R2 U'
F2 L R2 D B2 D
F2 L R2 D B2 D'
F2 L R2 D B2 D2
U L R2 F2 D2 B2
F2 L R2 B D B2
U' L R2 F D F
U' L R2 F D' F
U' L R2 F D2 F
F2 L R2 B' D B2
U' L R2 F' D F'
U' L R2 F' D' F'
U' L R2 F' D2 F'
F2 L R2 B2 D B2
R2 L D B2 D' F2
B2 L U' R2 F2 L'
R2 L F D F B2
R2 L F D F B2
R2 L F D B2 F
R2 L F' D F' B2
R2 L F' D B2 F'
R2 L F2 U R2 U'
R2 L F2 D B2 D
R2 L F2 D B2 D'
R2 L F2 D B2 D2
R2 L F2 B D B2
R2 L F2 B' D B2
R2 L F2 B2 D B2
U' L F R' F R'
U' L F R2 D F
U' L F R2 D' F
U' L F R2 D2 F
U' L F R2 F D
U' L F R2 F D'
U' L F R2 F D2
U L F R2 F B
U L F R2 B F
F' L F' R2 D B2
R2 L B F2 D B2
D' L F2 L U' L'
U' L F2 R D R
R2 L B' F2 D B2
U' L F2 R D' R
U' L F2 R D2 R
U' L F2 R' D R'
U' L F2 R' D' R'
U' L F2 R' D2 R'
U L F2 R2 D2 B2
U' L F2 B R2 B'
U' L F2 B2 R2 B2
R2 L B2 F2 D B2
F2 L B R2 D B2
U' L B R2 F2 B'
U' L B R2 B' F2
U' L B F2 R2 B'
F2 L B' R2 D B2
U' L B2 R2 F2 B2
U' L B2 R2 B2 F2
F2 L B2 R2 D B2
U' L B2 F2 R2 B2
U' L' R' F2 L2 R'
U' L' R' F2 R' L2
U' L' R2 F' L2 F'
U' L' R2 F2 L2 D
U' L' R2 F2 L2 D'
U' L' R2 F2 L2 D2
F' L' U' L2 F' R2
F' L' U' F' L2 R2
F' L' U' F' R2 L2
B2 L' U' R2 F2 L'
U L' U2 L2 R2 F2
U L' U2 L2 F2 R2
U L' U2 R2 L2 F2
U L' U2 R2 F2 L2
U L' U2 F2 L2 R2
U L' U2 F2 R2 L2
R2 L' F2 L2 D B2
U' L' F R2 F L2
U' L' F' L2 F' R2
L R2 U R2 U' F2
U' L' F2 L2 R2 D
U' L' F2 L2 R2 D'
U' L' F2 L2 R2 D2
U' L' F2 R2 L2 D
U' L' F2 R2 L2 D'
U' L' F2 R2 L2 D2
L R2 D B2 D' F2
F2 L2 R2 D L' B2
F2 L2 R2 D B2 L'
L R2 F D F B2
L R2 F D B2 F
L' R2 F2 L2 D B2
L R2 F' D F' B2
L R2 F' D B2 F'
F' L2 U' L' F' R2
D' L2 U' L' D R2
L R2 F2 U R2 U'
D' L2 U' D L' R2
D' L2 U' D R2 L'
L R2 F2 D B2 D
L R2 F2 D B2 D'
L R2 F2 D B2 D2
L R2 F2 B D B2
L R2 F2 B' D B2
B2 L2 U' R2 F2 L'
L R2 F2 B2 D B2
U L2 U2 L' R2 F2
U L2 U2 L' F2 R2
L R2 B F2 D B2
U L2 U2 R2 L' F2
D' L2 D U' L' R2
D' L2 D U' R2 L'
L R2 B' F2 D B2
L R2 B2 F2 D B2
D' L2 F2 U R U2
R2 U R2 U' L F2
R2 U R2 U' F2 L
U2 R U L R F2
U2 R U R L F2
U2 R U R F2 L
U R U2 L R F2
U R U2 R L F2
U R U2 R L F2
U R U2 R F2 L
L' U' L R2 F2 L
L' U' L F2 L R2
L' U' L F2 R2 L
L2 U' L R2 F2 L2
L' U' L2 R' F2 R'
L' U' L2 R2 F2 D
L' U' L2 R2 F2 D'
L' U' L2 R2 F2 D2
L2 U' L F2 L2 R2
L2 U' L F2 R2 L2
L2 U' L' R' F2 R'
L2 U' L' R2 F2 D
L2 U' L' R2 F2 D'
L2 U' L' R2 F2 D2
L' U' L2 F R2 F
L' U' L2 F2 R2 D
L' U' L2 F2 R2 D'
L' U' L2 F2 R2 D2
L2 U' L' F R2 F
L2 U' L' F2 R2 D
L2 U' L' F2 R2 D'
L2 U' L' F2 R2 D2
L2 U' L2 R2 F2 L
L' U' R' L2 F2 R'
L2 U' L2 F2 L R2
L2 U' L2 F2 R2 L
L' U' R' F2 L2 R'
L' U' R' F2 R' L2
U' R F2 L D2 R2
L' U' R2 L F2 L
L' U' R2 L2 F2 D
L' U' R2 L2 F2 D'
L' U' R2 L2 F2 D2
L' U' R2 F' L2 F'
L2 U' R' L' F2 R'
L' U' R2 F2 L2 D
L' U' R2 F2 L2 D'
L' U' R2 F2 L2 D2
L2 U' R2 L F2 L2
L2 U' R2 L' F2 D
L2 U' R2 L' F2 D'
L2 U' R2 L' F2 D2
L2 U' R2 L2 F2 L
L U' R2 F2 D' L2
L' U' F R2 F L2
U' R' L F R' F
U' R' L F2 R' D
U' R' L F2 R' D'
U' R' L F2 R' D2
U' R' L F2 D R'
U' R' L F2 D' R'
U' R' L F2 D2 R'
L' U' F' L2 F' R2
U' R' L' F2 L2 R'
U' R' L' F2 R' L2
L' U' F2 L2 R2 D
L' U' F2 L2 R2 D'
L' U' F2 L2 R2 D2
L' U' F2 R2 L2 D
L' U' F2 R2 L2 D'
L' U' F2 R2 L2 D2
U2 R' U L R' F2
U2 R' U L F2 R'
U2 R' U L F2 R'
U2 R' U R' L F2
U2 R' U R' F2 L
U2 R' U F2 L R'
U2 R' U F2 R' L
L U' F2 R2 D' L2
U R' U2 L R' F2
U R' U2 L F2 R'
U R' U2 R' L F2
U R' U2 R' F2 L
U R' U2 F2 L R'
U R' U2 F2 R' L
U' R' F R' F L
U' R' F' L F' R'
U' R' F2 L R' D
U' R' F2 L R' D'
U' R' F2 L R' D2
U' R' F2 L D R'
U' R' F2 L D' R'
U' R' F2 L D2 R'
U' R' F2 R' L D
U' R' F2 R' L D'
U' R' F2 R' L D2
U' R' F2 R' D L
U' R' F2 R' D' L
U' R' F2 R' D2 L
U' R' F2 D L R'
U' R' F2 D R' L
U' R' F2 D R' L
U' R' F2 D' L R'
U' R' F2 D' R' L
U' R' F2 D2 L R'
U' R' F2 D2 R' L
F2 R2 L U R2 U'
F2 R2 L D B2 D
F2 R2 L D B2 D'
F2 R2 L D B2 D2
U' R2 L F D F
U' R2 L F D' F
U' R2 L F D2 F
U' R2 L F' D F'
U' R2 L F' D' F'
U' R2 L F' D2 F'
F2 R2 L B D B2
F2 R2 L B' D B2
F2 R2 L B2 D B2
U' R2 L' F' L2 F'
U' R2 L' F2 L2 D
U' R2 L' F2 L2 D'
U' R2 L' F2 L2 D2
U R2 L F2 D2 B2
F2 R2 L2 D L' B2
F2 R2 L2 D B2 L'
F2 R2 U R2 U' L
U' R2 D L D' F2
F2 R2 D L B2 D
F2 R2 D L B2 D'
F2 R2 D L B2 D2
U R2 U2 L F2 R
F2 R2 D L' B2 L2
F2 R2 D L2 B2 L'
F2 R2 D' L D2 B2
U' R2 D2 L D2 F2
F R2 D F L B2
R2 D L B2 D' F2
U' R2 F D F L
U' R2 F D' F L
U' R2 F D2 F L
U' R2 F' L D F'
U' R2 F' L D' F'
U' R2 F' L D2 F'
U' R2 F' L F' D
U' R2 F' L F' D'
U' R2 F' L F' D2
U' R2 F' L' F' L2
F R2 F L D B2
U' R2 F' D L F'
U' R2 F' D F' L
