U2 L' F B U B'
U2 L' B F U B'
U2 B U D' B' L
U2 B D' U B' L
R' L U' B' L' U' R'
R2 L U' B' L' F' U'
B L U2 B' L' U' B
U2 L B U D B' L2
U2 L B U2 B2 U' B
U2 L B D U B' L2
U2 L B D2 F2 U B'
U' L B' D2 F2 U' F2
L R' U' B' L' U' R'
B' L' U F B2 R' U
U L' U F L B U
B' L' U B2 R' F U
B' L' U B2 F R' U
U' L' U' F B U B'
U' L' U' B F U B'
U2 L' D F B U B'
U2 L' D B F U B'
U2 L' D' F B U B'
U2 L' D' B F U B'
U2 L' D2 F B U B'
U2 L' D2 B F U B'
U2 L' F L B U B'
U2 L' F L' B U B'
U2 L' F L2 B U B'
U2 L' F D B U B'
U2 L' F D' B U B'
U2 L' F D2 B U B'
U2 L' F B U D B'
U2 L' F B U D' B'
U2 L' F B U D2 B'
U2 L' F B U B' D
U2 L' F B U B' D'
U2 L' F B U B' D2
U2 L' F B D U B'
U2 L' F B D' U B'
U2 L' F B D2 U B'
L2 R2 U' L2 F' U' L'
R2 L2 U' L2 F' U' L'
L2 R2 U' F' L2 U' L
R2 L2 U' F' L2 U' L
L R2 U' B' L' F' U'
U2 L' B D F U B'
U2 L' B D' F U B'
U2 L' B D2 F U B'
U2 L' B F U D B'
U2 L' B F U D' B'
U2 L' B F U D2 B'
U2 L' B F U B' D
U2 L' B F U B' D'
U2 L' B F U B' D2
U2 L' B F D U B'
U2 L' B F D' U B'
U2 L' B F D2 U B'
U L2 U L2 B U L
U L2 U B L2 U L'
U2 L2 B U B L B2
L2 U D B U L F2
L2 U D B U F2 L
L2 U D2 B R2 U L
L' U F B2 R' B' U
L2 U B U D L F2
L2 U B U D F2 L
L2 U B U2 L2 U' L'
L2 U B D U L F2
L2 U B D U F2 L
L2 U B D2 R2 U L
L U B U2 L' B2 U'
L U B U2 B2 L' U'
L U B D2 F2 R U
L' U B2 R' F B' U
L' U B2 R' B' F U
L' U B2 F R' B' U
R2 U' L F' B' U' F
R2 U' L B' F' U' F
L2 U' L2 U2 B U L
R2 U' F' U' D F L'
R2 U' F' D U' F L'
L U' B' L' U' D' R2
L U' B' L' U2 B2 U
L U' B' L' D' U' R2
L U' B' L' D2 F2 U'
L U' B' D' L' U' R2
L U' B' D2 L' F2 U'
R' U2 L' F B' U B
R' U2 L' B' F U B
D2 R2 F' U F R U2
D' R2 F' U' L2 B' L
D R2 F' U R F U2
L2 D U B U L F2
L2 D U B U F2 L
R2 D F' U R F U2
U2 D F B U B' L'
D' U B U' R' B' U2
U2 D B U D2 B' L
U2 D B D2 U B' L
D U B U L2 F L'
U2 D B F U B' L'
U D B U L2 F L'
B2 U' L2 F U' F' L'
R2 D' F' U' L2 B' L
U2 D' B U B2 L B
U2 D' B U' R' U2 B'
U D' B U' R' B' U2
L2 D2 U B R2 U L
B' U2 L' F B2 U B2
B' U2 L' B2 F U B2
D U2 F B U B' L'
D' U2 B U B2 L B
D' U2 B U' R' U2 B'
D2 U2 B U D B' L
D2 U2 B D U B' L
U2 D2 B U D B' L
U2 D2 B D U B' L
D U2 B U D2 B' L
D U2 B D2 U B' L
D U2 B F U B' L'
B2 U2 D' B' U L B
U2 F L' F B U B'
U2 F L' B F U B'
D2 F R2 F' U' B L
B2 U2 B' L' F U B
B2 U2 B' L2 U B L
B' U2 B2 L' F U B2
U2 F B U D' B' L
U2 F B D' U B' L
F2 D R2 F' U R U2
U2 F' L' F B U B'
U2 F' L' B F U B'
F2 D F2 R2 F' U' L'
R2 F' U D F U2 L'
R2 F' U' D' L2 B' L
R2 F' D U F U2 L'
R2 F' D' U' L2 B' L
U2 F' B U D' B' L
U2 F' B D' U B' L
B2 D' U2 B' U L B
U2 F2 L' F B U B'
U2 F2 L' B F U B'
R2 F2 D R2 F U' L'
R2 F2 D F R2 U' L'
D F2 D R2 F' U' L'
U2 F2 B U D' B' L
U2 F2 B D' U B' L
F D2 R2 F' U' B L
U2 B L' D F L' U
U2 B L' F L U B'
U2 B L2 U' F R U2
U2 B U D' B' L D
U2 B U D' B' L D'
U2 B U D' B' L D2
U2 B U D' B' D L
U2 B U D' B' D' L
U2 B U D' B' D2 L
U B U D L2 F L'
L B U' L' B2 U' R'
U B U' D' B' U2 L
L B U2 L' B2 U' B2
U2 B D F U B' L'
L B U2 B2 L' U' B2
U2 B D' U B' L D
U2 B D' U B' L D'
U2 B D' U B' L D2
U2 B D' U B' D L
U2 B D' U B' D' L
U2 B D' U B' D2 L
U2 B D' F U B' L
U2 B D' F' U B' L
U B D U L2 F L'
U2 B D' F2 U B' L
U B D' U' B' U2 L
U2 B F U D' B' L
U2 B F D' U B' L
U2 B F' U D' B' L
U2 B F' D' U B' L
U2 B F2 U D' B' L
U2 B F2 D' U B' L
U2 B' L' F B2 U B'
U2 B' L' B2 F U B'
L B' L' U2 B2 U B2
D' B' U2 B2 U B2 L
U' B2 L2 F U' F' L'
L' B2 U R' F B' U
L' B2 U R' B' F U
L' B2 U F R' B' U
U B2 D' R2 B' U L
U B2 D' B' R2 U L
