U2 L' F L' B2 U
U2 L' F B2 L' U
F L' F B2 R' U
F L' B2 R' F U
U2 L' B2 F L' U
F L' B2 F R' U
D2 R' F2 B R' U'
D2 R' B R' F2 U'
D2 R' B F2 R' U'
U' D' L R2 B' L
D' U' L R2 B' L
U' D' L B' L R2
U' D' L B' R2 L
D' U' L B' L R2
D' U' L B' R2 L
U' D' R2 L B' L
D' U' R2 L B' L
U' D' R2 B' L B'
D' U' R2 B' L B'
U' D' B' L R2 B'
U' D' B' L B' R2
U' D' B' R2 L B'
D' U' B' L R2 B'
D' U' B' L B' R2
D' U' B' R2 L B'
F U2 L' F B2 U
F U2 L' B2 F U
U2 F L' F B2 U
U2 F L' B2 F U
F U2 B2 L' F U
L' F B2 L' R' U
L' F B2 R' L' U
U2 F B2 L' F U
D2 F2 R' B R' U'
D2 F2 B R' B U'
D2 B R' F2 B U'
D2 B R' B F2 U'
D2 B F2 R' B U'
D' B' U' L R2 B'
D' B' U' L B' R2
D' B' U' R2 L B'
L' B2 R' F L' U
U2 B2 L' F L' U
L' B2 F L' R' U
L' B2 F R' L' U
U2 B2 F L' F U
D' L R2 B' L D F2
L' R F B2 L' R' U
L' R F B2 R' L' U
L' R B2 R' F L' U
L' R B2 F L' R' U
L' R B2 F R' L' U
D' L B' L R2 D F2
D' L B' R2 L D F2
F L' R F B2 R' U
F L' R B2 R' F U
F L' R B2 F R' U
F L' R' F B2 R' U
F L' R' B2 R' F U
F L' R' B2 F R' U
F L' R2 F B2 R' U
F L' R2 B2 R' F U
F L' R2 B2 F R' U
U L' U F L' B2 U
U L' U F B2 L' U
U L' U B2 F L' U
U' L' U' F L' B2 U
U' L' U' F B2 L' U
R' L' F B2 L' R' U
R' L' F B2 R' L' U
L' R' F B2 L' R' U
L' R' F B2 R' L' U
U' L' U' B2 F L' U
R2 L' F B2 L' R' U
R2 L' F B2 R' L' U
R L' F B2 L' R' U
R L' F B2 R' L' U
R' L' B2 R' F L' U
L' R' B2 R' F L' U
U' L' F L' B2 U F'
U2 L' F L B2 L2 U
U2 L' F L' U D' R2
U2 L' F L' D' U R2
B2 L' F L' U D F2
B2 L' F L' U2 L2 U'
B2 L' F L' D U F2
U2 L' F L' B2 U D
U2 L' F L' B2 U D'
U2 L' F L' B2 U D2
U2 L' F L' B2 D U
U2 L' F L' B2 D' U
U2 L' F L' B2 D2 U
B2 L' F L' D2 R2 U
R2 L' B2 R' F L' U
F L' F R B2 R' U
R L' B2 R' F L' U
R' L' B2 F L' R' U
R' L' B2 F R' L' U
L' R' B2 F L' R' U
L' R' B2 F R' L' U
F L' F R' B2 R' U
F L' F R2 B2 R' U
U2 L' F D' L' U R2
R2 L' B2 F L' R' U
U2 L' F B L' B U
R2 L' B2 F R' L' U
U' L' F B2 L' U F'
U2 L' F B2 L' U D
