L' R U' R' F U
L' R U' F R' U
R L' U' R' F U
R L' U' F R' U
B' L2 U B L R
B' L2 U B R L
D2 R U' F' R' U
R U B2 L B' U'
B U R D' B' L
B U D' R B' L
B U D' B' L R
B U D' B' R L
B D' U R B' L
B D' U B' L R
B D' U B' R L
D' B' U L B R
L2 B' U B L R
L2 B' U B R L
D2 L R U' F' R' U
U L R U R' B' U'
L2 R U B U' L F
L R U B2 L B U'
L' R U' R F R2 U
L' R U' R' D F U
L' R U' R' D' F U
L' R U' R' D2 F U
L' R U' R' F U D
L' R U' R' F U D'
L' R U' R' F U D2
L' R U' R' F D U
L' R U' R' F D' U
L' R U' R' F D2 U
R L U B2 L B U'
L' R U' D R' F U
L' R U' D F R' U
L' R U' D' R' F U
L' R U' D' F R' U
L R U' R' U2 B' U'
L' R U' D2 R' F U
L2 R U' R' F' U L'
L' R U' D2 F R' U
L' R U' F R' U D
L' R U' F R' U D'
L' R U' F R' U D2
L' R U' F R' D U
L' R U' F R' D' U
L' R U' F R' D2 U
L' R U' F D R' U
L' R U' F D' R' U
L' R U' F D2 R' U
L' R U' F' R' F2 U
R L U' R' U2 B' U'
L2 R U' F' R' U L'
B' L U B R D L2
B' L U B D L2 R
B' L U B D R L2
L' R D U' R' F U
L' R D U' F R' U
L' R D' U' R' F U
L' R D' U' F R' U
U2 L U' B' L' U' R
L' R D2 U' R' F U
B' L U2 B' U' R B2
L' R D2 U' F R' U
B' L U2 B' U' B2 R
B2 L U2 B' U' R B'
B2 L U2 B' U' B' R
L' R F' U' R' F2 U
L' R F' U' F2 R' U
L' R F2 U' F' R' U
U L F B' U' F' R
U L F2 B' U' F2 R
D' L B' U L B R
B' L B' U R B2 L
R L' U' R F R2 U
R L' U' R' D F U
R L' U' R' D' F U
R L' U' R' D2 F U
R L' U' R' F U D
R L' U' R' F U D'
R L' U' R' F U D2
R L' U' R' F D U
R L' U' R' F D' U
R L' U' R' F D2 U
R L' U' D R' F U
R L' U' D F R' U
R L' U' D' R' F U
R L' U' D' F R' U
R2 L' U' F R2 U R
U L B' F U' F' R
R L' U' D2 R' F U
R L' U' D2 F R' U
R L' U' F R' U D
R L' U' F R' U D'
R L' U' F R' U D2
R L' U' F R' D U
R L' U' F R' D' U
R L' U' F R' D2 U
R L' U' F D R' U
R L' U' F D' R' U
