L U' F B' L2 U'
L U' B' F L2 U'
L' U2 F B' U B
L' U2 B' F U B
R' L U' F B' L2 U'
R2 L U' F B' L2 U'
L R U' F B' L2 U'
R' L U' B' F L2 U'
R L U' F B' L2 U'
R2 L U' B' F L2 U'
L R U' B' F L2 U'
R L U' B' F L2 U'
L' R U2 F B' U B
L' R U2 B' F U B
B' L U' F B' L2 U'
B2 L U' F B' L2 U'
D L U' F L2 U' L
B L U' F B' L2 U'
B' L U' B' F L2 U'
B2 L U' B' F L2 U'
B L U' B' F L2 U'
U' L F B' L2 U' R
U' L B' L2 F U' R
U' L B' F L2 U' R
L R' U' F B' L2 U'
L R' U' B' F L2 U'
R' L' U2 F B' U B
L' R' U2 F B' U B
R2 L' U2 F B' U B
R' L' U2 B' F U B
L' R' U2 B' F U B
R L' U2 F B' U B
R2 L' U2 B' F U B
R L' U2 B' F U B
B' L' U2 F B' U B
U' L' U2 F B' U R'
B2 L' U2 F B' U B
D' L' U2 B' U L B
B L' U2 F B' U B
B' L' U2 B' F U B
U' L' U2 B' F U R'
U L' U2 F L U R
B2 L' U2 B' F U B
B L' U2 B' F U B
U' L' F' U2 F2 U R
U' L' F2 U2 F' U R
L R2 U' F B' L2 U'
L R2 U' B' F L2 U'
L' R2 U2 F B' U B
L' R2 U2 B' F U B
L' U F B' R2 U F'
L' U F B' U' B U2
L' U B' R2 F U F2
L' U B' F R2 U F'
L' U B' F U' B U2
L' U' L2 F B' U' F'
L' U' L2 B' F U' F'
L U' L2 U2 F B' U
L U' L2 U2 B' F U
L U' D F B' U' F
L U' D B' F U' F
L U' F L2 U2 F U
L U' F D B' U' F2
L U' F B L2 B2 U'
L U' F B' L2 U' D
L U' F B' L2 U' D'
L U' F B' L2 U' D2
L U' F B' L2 D U'
L U' F B' L2 D' U'
L U' F B' L2 D2 U'
L U' F B' U' D F2
L U' F B' D U' F2
L U' F B2 L2 B U'
L U' F' B' L2 F2 U'
L U' F2 B' L2 F' U'
L U' B F L2 B2 U'
L U' B' L2 U2 B' U
L U' B' D F U' F
L U' B' F L2 U' D
L U' B' F L2 U' D'
L U' B' F L2 U' D2
L U' B' F L2 D U'
L U' B' F L2 D' U'
L U' B' F L2 D2 U'
L U' B' F U' D F2
L U' B' F D U' F2
L U' B' F' L2 F2 U'
L U' B' F2 L2 F' U'
L U' B2 F L2 B U'
L' U2 D F B' U B
L' U2 D B' F U B
L' U2 D' F B' U B
L' U2 D' B' F U B
L' U2 D2 F B' U B
L' U2 D2 B' F U B
L' U2 F D B' U B
L' U2 F D' B' U B
L' U2 F D2 B' U B
L' U2 F B' L U B
L' U2 F B' L' U B
L' U2 F B' L2 U B
L' U2 F B' U D B
L' U2 F B' U D' B
L' U2 F B' U D2 B
L' U2 F B' U B D
L' U2 F B' U B D'
L' U2 F B' U B D2
L' U2 F B' D U B
L' U2 F B' D' U B
L' U2 F B' D2 U B
L U2 F B' L2 U' B
L' U2 B' L' U B L
L' U2 B' D F U B
L' U2 B' D' F U B
L' U2 B' D2 F U B
L' U2 B' F L U B
L' U2 B' F L' U B
L' U2 B' F L2 U B
L' U2 B' F U D B
L' U2 B' F U D' B
L' U2 B' F U D2 B
L' U2 B' F U B D
L' U2 B' F U B D'
L' U2 B' F U B D2
L' U2 B' F D U B
L' U2 B' F D' U B
L' U2 B' F D2 U B
L U2 B' F L2 U' B
L' D U2 F B' U B
L' D U2 B' F U B
L D U' F B' U' F
L D U' B' F U' F
U' D L' F U' L' R
U' D L' F U' R L'
D U' L' F U' L' R
D U' L' F U' R L'
L' D' U2 F B' U B
L' D' U2 B' F U B
L D' B2 U' F B U'
L D' B2 U' B F U'
L' D2 U2 F B' U B
L' D2 U2 B' F U B
L F R2 B' L2 U' B2
L' F B' U' F' U2 F
L F B' L2 R2 U' B
L F B' L2 U F' U2
L F B' R2 L2 U' B
L F' B' L2 F2 U' B'
L' B U2 F B2 U B2
L' B U2 B2 F U B2
L B U' F L2 B2 U'
L B U' F B2 L2 U'
L B U' B2 F L2 U'
L B' L2 U2 B' U B
L B' U' F L2 U' L2
L' B' F U' F' U2 F
L B' F L2 R2 U' B
L B' F L2 U F' U2
L B' F R2 L2 U' B
L B' F' L2 F2 U' B'
L' B2 U2 F B U B'
L' B2 U2 B F U B'
L B2 U' F L2 B U'
L B2 U' F B L2 U'
L B2 U' B F L2 U'
