R2 D' B' L D F2
D' B' L D R2 F2
D' B' L D F2 R2
R2 L U B' L2 R' U'
R2 L U B' R' L2 U'
B' L R2 U B' L2 U'
B' L U B' L2 U' R2
B2 L B R2 D L2 F2
B2 L B R2 D F2 L2
B' L B' L2 U' B R2
B2 L B' L2 U' R2 B2
B2 L B' L2 U' B2 R2
B' L' R2 U' F U F'
B' L' U' F U F' R2
B' L' U2 F U R2 B
B2 L' U2 F U B R2
B L' U2 F U R2 B2
B L' U2 F U B2 R2
B L' D' F2 R2 B U'
L R2 U B' L2 R' U'
L R2 U B' R' L2 U'
D' L' F2 U' L B' L
D' L' F2 U' B' L B'
D' L' F2 B' U' L B'
D' L' B' F2 U' L B'
F2 R U R D' B' L
F2 R U D' R B' L
F2 R U D' B' L R
F2 R U D' B' R L
L U B' L2 R' U' R'
L U B' R' L2 U' R'
L' U' L R2 D' B' L
F2 R D' U R B' L
F2 R D' U B' L R
F2 R D' U B' R L
L' U' R2 L D' B' L
D' R B' L D R2 F2
D' R B' L D F2 R2
F2 R' D' R' F2 B' L
F2 R' D' R' B' L F2
F2 R' D' R' B' F2 L
F2 R' D' F2 R' B' L
D' R' B' L D R2 F2
D' R' B' L D F2 R2
L' U2 D F L' B2 U
L' U2 D F B2 L' U
L' U2 D B2 F L' U
B' R2 L U B' L2 U'
B' R2 L' U' F U F'
L' U2 F L U R2 B'
L' U2 F L U B' R2
B' R2 U L B' L2 U'
B' R2 U L' U2 F U
U' R2 D' B' L D F2
F' R2 D' B' L' F L2
U2 R2 D' B' L D F2
U R2 D' B' L D F2
D' R2 B' L D R2 F2
D' R2 B' L D F2 R2
F2 R2 B' D L' F L'
F2 R2 B' D F L' F
L' D U2 F L' B2 U
L' D U2 F B2 L' U
B' U L B' L2 U' R2
L' D U2 B2 F L' U
L' D F L' B2 R' U
B' U L' U2 F U R2
F U R2 D' B' L F
D' U B' L D R2 F2
D' U B' L D F2 R2
R' D' R' B' L D F2
R D' R B' L D F2
L' D' F2 R2 B R' U'
R2 D' B' L U L2 U'
R2 D' B' L D F2 D
R2 D' B' L D F2 D'
R2 D' B' L D F2 D2
R2 D' B' L F D F2
R2 D' B' L F' D F2
R2 D' B' L F2 D F2
R2 D' B' U L' U' L2
R2 D' B' D L D F2
R2 D' B' D' L D F2
R2 D' B' D2 L D F2
R D' B' L R D F2
R D' B' L D R F2
R D' B' R L D F2
U' D' B' L D R2 F2
U' D' B' L D F2 R2
D' U' B' L D R2 F2
D' U' B' L D F2 R2
U2 D' B' L D R2 F2
U2 D' B' L D F2 R2
U D' B' L D R2 F2
U D' B' L D F2 R2
D' U2 B' L D R2 F2
D' U2 B' L D F2 R2
R2 F' D' B' L' F L2
R' F2 R' D' F2 B' L
R' F2 R' D' B' L F2
R' F2 R' D' B' F2 L
D' F2 U2 R U B' L
D' B L' F2 U' B2 L
D' B' L R D R2 F2
D' B' L R D F2 R2
D' B' L R' D R2 F2
D' B' L R' D F2 R2
D' B' L R2 D R2 F2
D' B' L R2 D F2 R2
D' B' L U L2 F2 U'
D' B' L U F2 L2 U'
D' B' L D R' F2 R'
D' B' L D R2 F2 D
D' B' L D R2 F2 D'
D' B' L D R2 F2 D2
D' B' L D F R2 F
D' B' L D F2 R2 D
D' B' L D F2 R2 D'
D' B' L D F2 R2 D2
R2 B' L U B' L2 U'
R2 B' L' U' F U F'
D' B' R L D R2 F2
D' B' R L D F2 R2
D' B' R' L D R2 F2
D' B' R' L D F2 R2
D' B' R2 L D R2 F2
D' B' R2 L D F2 R2
D' B' U L' F2 U' L2
R2 B' U L B' L2 U'
R2 B' U L' U2 F U
D' B' D L R2 D F2
D' B' D R2 L D F2
R2 B2 L B D L2 F2
R2 B2 L B D F2 L2
