L' R F L' B U
L' R F B L' U
L' R B F L' U
R L' F L' B U
R L' F B L' U
R L' B F L' U
R F L' F B U
R F L' B F U
R F B L' F U
R B L' F L' U
R B F L' F U
D' L R B U B2 L
L' R F L B L2 U
L' R F L' D B U
L' R F L' D' B U
L' R F L' D2 B U
L' R F L' B U D
L' R F L' B U D'
L' R F L' B U D2
L' R F L' B D U
L' R F L' B D' U
L' R F L' B D2 U
L' R F D L' B U
L' R F D B L' U
L' R F D' L' B U
L' R F D' B L' U
L' R F D2 L' B U
L' R F D2 B L' U
L' R F B L' U D
L' R F B L' U D'
L' R F B L' U D2
L' R F B L' D U
L' R F B L' D' U
L' R F B L' D2 U
L' R F B D L' U
L' R F B D' L' U
L' R F B D2 L' U
L' R F B' L' B2 U
L2 R B L F L' U
L' R B F L' U D
L' R B F L' U D'
L' R B F L' U D2
L' R B F L' D U
L' R B F L' D' U
L' R B F L' D2 U
L' R B F D L' U
L' R B F D' L' U
L' R B F D2 L' U
L' R B' F L' B2 U
B' L' R F L' B U
B' L' R F B L' U
B2 L' R F L' B U
U2 L' R F B' L' U
B2 L' R F B L' U
B L' R F L' B U
B L' R F B L' U
B' L' R B F L' U
U L' R F L' U R
B2 L' R B F L' U
U2 L' R B' F L' U
B L' R B F L' U
R2 L' F L' R' B U
R L' F L B L2 U
R L' F L' D B U
R L' F L' D' B U
R L' F L' D2 B U
R L' F L' B U D
R L' F L' B U D'
R L' F L' B U D2
R L' F L' B D U
R L' F L' B D' U
R L' F L' B D2 U
R2 L' F R' L' B U
R2 L' F R' B L' U
R L' F D L' B U
R L' F D B L' U
R L' F D' L' B U
R L' F D' B L' U
R L' F D2 L' B U
R L' F D2 B L' U
R L' F B L' U D
R L' F B L' U D'
R L' F B L' U D2
R L' F B L' D U
R L' F B L' D' U
R L' F B L' D2 U
R L' F B D L' U
R L' F B D' L' U
R L' F B D2 L' U
R L' F B' L' B2 U
R L' B F L' U D
R L' B F L' U D'
R L' B F L' U D2
R L' B F L' D U
R L' B F L' D' U
R L' B F L' D2 U
R L' B F D L' U
R L' B F D' L' U
R L' B F D2 L' U
R L' B' F L' B2 U
F L' F' R F2 B U
F L' F' R B F2 U
U2 L' B' R F L' U
L' R2 F L' R' B U
L' R2 F R' L' B U
L' R2 F R' B L' U
R L2 B L F L' U
L' U R F L' U R
D' R L B U B2 L
B' R L' F L' B U
B' R L' F B L' U
B2 R L' F L' B U
B2 R L' F B L' U
B' R L' B F L' U
U2 R L' F B' L' U
B R L' F L' B U
B2 R L' B F L' U
B R L' F B L' U
U2 R L' B' F L' U
B R L' B F L' U
U R L' F L' U R
B' R F L' F B U
B' R F L' B F U
B2 R F L' F B U
B2 R F L' B F U
U2 R F L' F B' U
U2 R F L' B' F U
B R F L' F B U
B R F L' B F U
B' R F B L' F U
B2 R F B L' F U
B R F B L' F U
D2 R F' B U2 R' U'
D2 R F' B' L B2 U
B' R B L' F L' U
B2 R B L' F L' U
D' R B U B2 L B'
B R B L' F L' U
B' R B F L' F U
D2 R B F' U2 R' U'
D R B U' F' R U2
D2 R B' L F' B2 U
D2 R B' L B2 F' U
B2 R B F L' F U
B R B F L' F U
D2 R B' F' L B2 U
L' U2 R F L' B' U
R D' L B U B2 L
R D' B U B2 L B'
R D2 B U2 R' B U'
R2 F L' R' F B U
R2 F L' R' B F U
R2 F L' F R' B U
R F L' D F B U
R F L' D B F U
R F L' D' F B U
R F L' D' B F U
R F L' D2 F B U
R F L' D2 B F U
R F L' F D B U
R F L' F D' B U
R F L' F D2 B U
R F L' F B U D
R F L' F B U D'
R F L' F B U D2
R F L' F B D U
R F L' F B D' U
R F L' F B D2 U
R F L' B D F U
R F L' B D' F U
R F L' B D2 F U
R F L' B F U D
R F L' B F U D'
R F L' B F U D2
R F L' B F D U
R F L' B F D' U
R F L' B F D2 U
R2 F R' L' F B U
R2 F R' L' B F U
R2 F R' B L' F U
L' F D' L' U F R
R F B L' D F U
R F B L' D' F U
R F B L' D2 F U
R F B L' F U D
R F B L' F U D'
R F B L' F U D2
R F B L' F D U
R F B L' F D' U
R F B L' F D2 U
R F B' L' F B2 U
R F B' L' B2 F U
L' B R F L' B U
L' B R F B L' U
L' B R B F L' U
R B L' F L' U D
R B L' F L' U D'
R B L' F L' U D2
R B L' F L' D U
R B L' F L' D' U
R B L' F L' D2 U
R B L' F D L' U
R B L' F D' L' U
R B L' F D2 L' U
R B U D' L B' L
R B U D' B' L B'
R B D' L U B' L
R B D' U L B' L
R B D' U B' L B'
D2 B' L R F' B U
D2 B' L R B F' U
R B F L' D F U
R B F L' D' F U
R B F L' D2 F U
R B F L' F U D
R B F L' F U D'
R B F L' F U D2
R B F L' F D U
R B F L' F D' U
R B F L' F D2 U
D2 B' R L F' B U
D2 B' R L B F' U
D2 B' R F' L B U
L' B' R F L' B U
L' B' R F B L' U
L' B' R B F L' U
R B' L' F L' B2 U
R B' L' F B2 L' U
R B' L' B2 F L' U
R B' F L' F B2 U
R B' F L' B2 F U
D2 B2 R F' B L U
D2 B2 R B L F' U
L' B2 R F L' B U
D2 B2 R B F' L U
L' B2 R F B L' U
D' B2 R B U L B'
L' B2 R B F L' U
R B2 D' B' U L B'
