D2 L2 R F' U R2
D2 R L2 F' U R2
D2 R F' L2 U R2
R F2 L' F U R2
R2 B2 L B' U' R
D2 L R F' L U R2
L2 R U2 R B U' R
L R U2 R B' U' R
F2 L R2 B' L2 U' R
R L U2 R B' U' R
L R U2 B' R U' R
R L U2 B' R U' R
L' R F2 L' F' U R2
R2 L B' U' D' R F'
R2 L B' D' U' R F'
R2 L B2 L B U' R
R2 L' U2 R' F U R2
R L' F2 L' F' U R2
F2 L' F2 R2 B U' R
L' R2 U2 R' F U R2
L2 R2 U2 R' F' U R2
R2 L2 U2 R' F' U R2
R L2 U2 R B U' R
D2 L2 R D F' B2 U
D2 L2 R D B2 F' U
D2 L2 R F' U R2 D
D2 L2 R F' U R2 D'
D2 L2 R F' U R2 D2
D2 L2 R F' D B2 U
D2 L2 R F' B U R2
D2 L2 R F' B' U R2
D2 L2 R F' B2 U R2
D2 L2 R B F' U R2
D2 L2 R B' F' U R2
D2 L2 R B2 F' U R2
L R2 B' U' D' R F'
L R2 B' D' U' R F'
L R2 B2 L B U' R
R' U R' B2 L B' U'
R' U D2 L2 R' B U'
R' U D2 R' L2 B U'
R' U D2 R' B L2 U'
D2 R L F' L U R2
D2 R L2 D F' B2 U
D2 R L2 D B2 F' U
D2 R L2 F' U R2 D
D2 R L2 F' U R2 D'
D2 R L2 F' U R2 D2
D2 R L2 F' D B2 U
D2 R L2 F' B U R2
D2 R L2 F' B' U R2
D2 R L2 F' B2 U R2
D2 R L2 B F' U R2
D2 R L2 B' F' U R2
D2 R L2 B2 F' U R2
D2 R F L2 F2 U R2
D R F U L' R2 B2
D R F U L' B2 R2
D R F U R2 L' B2
D R F U R2 B2 L'
D R F U B2 L' R2
D R F U B2 R2 L'
D2 R F' L2 U R2 D
D2 R F' L2 U R2 D'
D2 R F' L2 U R2 D2
D2 R F' L2 D B2 U
D2 R F' L2 B U R2
D2 R F' L2 B' U R2
D2 R F' L2 B2 U R2
D2 R F' U R2 D' B2
D2 R F' B L2 U R2
D2 R F' B' L2 U R2
D R F' U R2 B2 L
D2 R F' B2 L2 U R2
U' R F2 L' F U R2
U2 R F2 L' F U R2
U R F2 L' F U R2
D2 R B L2 F' U R2
D2 R B F' L2 U R2
R' U' R2 F2 L' F U
D2 R B' L2 F' U R2
D2 R B' F' L2 U R2
D2 R B2 L2 F' U R2
D2 R B2 F' L2 U R2
D2 R' U' L2 R2 F' U
D2 R' U' R2 L2 F' U
D2 R' U' R2 F' L2 U
D R' F L' B2 D' F2
D R' F B2 L' D' F2
D R' F B2 D' L' F2
D R' F' B2 D' F2 L'
D R' B2 F L' D' F2
D R' B2 F D' L' F2
D R' B2 F' D' F2 L'
F2 R2 L B' L2 U' R
L' D R F U R2 B2
L' D R F U B2 R2
U' R2 B2 L B' U' R
B' R2 B2 L B' U' R'
U2 R2 B2 L B' U' R
U R2 B2 L B' U' R
D2 U L2 R F' U R2
D2 U R L2 F' U R2
D2 U R F' L2 U R2
D2 U' L2 R F' U R2
D2 U' R L2 F' U R2
D2 U' R F' L2 U R2
R' D' F2 B' D L B'
R' D' B' F2 D L B'
R' D2 L2 R' B U' R
L D2 L2 R F U R2
L' D2 R F L2 U R2
R' D2 R' L2 B U' R
U' D2 L2 R F' U R2
D2 U2 L2 R F' U R2
R' D2 R' B L2 U' R
L D2 R L2 F U R2
U2 D2 L2 R F' U R2
U' D2 R L2 F' U R2
D2 U2 R L2 F' U R2
U' D2 R F' L2 U R2
R' D2 U L2 R' B U'
U D2 L2 R F' U R2
R' D2 U R' L2 B U'
D2 U2 R F' L2 U R2
R' D2 U R' B L2 U'
U2 D2 R L2 F' U R2
U2 D2 R F' L2 U R2
U D2 R L2 F' U R2
U D2 R F' L2 U R2
R F L' F L' U R2
D F R' B2 D' L' F
F D R F' R2 B2 L
F D R' B2 L2 F L'
L' F2 L' R2 B U' R
L2 F2 L' R2 B' U' R
R F2 L' D F B2 U
R F2 L' D B2 F U
R F2 L' F U R2 D
R F2 L' F U R2 D'
R F2 L' F U R2 D2
R F2 L' F D B2 U
R F2 L' F B U R2
R F2 L' F B' U R2
R F2 L' F B2 U R2
R F2 L' B F U R2
R F2 L' B' F U R2
R F2 L' B2 F U R2
L' F2 R2 L' B U' R
L2 F2 R2 L' B' U' R
L' F2 R2 B L' U' R
L F2 R2 B' L' U' R
B' D2 L2 R F' U R
B' D2 R L2 F' U R
B' D2 R F' L2 U R
R F2 B L' F U R2
R F2 B' L' F U R2
R F2 B2 L' F U R2
R B F2 L' F U R2
R2 B' L B' L U' R
R2 B2 L D B' U' R
R2 B2 L D' B' U' R
R2 B2 L D2 B' U' R
R B' F2 L' F U R2
R2 B2 L B' U' R D
R2 B2 L B' U' R D'
R2 B2 L B' U' R D2
R2 B2 L B' U' D R
R2 B2 L B' U' D' R
R2 B2 L B' U' D2 R
R2 B2 L B' D U' R
R2 B2 L B' D' U' R
R2 B2 L B' D2 U' R
R B2 F2 L' F U R2
