D' L2 B' L F R
D F U2 L' R F'
D F U2 R L' F'
F L U' B' L2 U' R
D' L B' U2 L B' R'
D' L' D2 F L' R B'
D' L' D2 F L' B' R
D' L' D2 F R L' B'
D' L' F L' R B' L
D' L' F L' B' L R
D' L' F L' B' R L
D' L' F R L' B' L
D L' F L' R F' B'
D L' F L' R B' F'
D L' F L' B' R F'
D L' F R L' F' B'
D L' F R L' B' F'
D' L2 R B' L F R
D' L2 R' B' L F R
D' L2 R2 B' L F R
D' L2 U2 B' L R' F'
D' L2 U2 B' R' L F'
D' L2 U2 B' R' F' L
D' L2 F R B' L F
D L2 F R B' L' F'
D' L2 F B' L R F
D' L2 F B' R L F
D L2 F B' L' R F'
D L2 F B' R L' F'
D' L2 B' L R F R
D' L2 B' L R' F R
D' L2 B' L R2 F R
D' L2 B' L D F R
D' L2 B' L D' F R
D' L2 B' L D2 F R
D' L2 B' L F R D
D' L2 B' L F R D'
D' L2 B' L F R D2
D' L2 B' L F D R
D' L2 B' L F D' R
D' L2 B' L F D2 R
D' L2 B' R L F R
D' L2 B' R' L F R
D' L2 B' R2 L F R
D' L2 B' D L F R
D' L2 B' D' L F R
D' L2 B' D2 L F R
D' L2 B' F L R F
D' L2 B' F R L F
D L2 B' F L' R F'
D L2 B' F R L' F'
D' R L2 B' L F R
D R F U2 L' R F2
D R F U2 R L' F2
D' R' L2 B' L F R
D R' F B U2 L' R
D R' F B U2 R L'
D R' B F U2 L' R
D R' B F U2 R L'
D' R2 L2 B' L F R
R' D F U2 L' R F'
R' D F U2 R L' F'
R2 D F U2 L' R F'
R2 D F U2 R L' F'
R D F U2 L' R F'
R D F U2 R L' F'
R' D' L2 B' L F R
R2 D' L2 B' L F R
R D' L2 B' L F R
U2 D' L2 B' L R' F
U2 D' L2 B' L F R'
U2 D' L2 B' R' L F
F U' L B' L2 U' R
D' U2 L2 B' L R' F
D' U2 L2 B' L F R'
D' U2 L2 B' R' L F
D' F L B' U2 L R
D' F L B' U2 R L
D F L R F' L2 B'
D F L U2 L2 R F'
D F L U2 R L2 F'
D F L U2 R F' L2
D F L2 U2 L R F'
D F L2 U2 R L F'
D F L2 U2 R F' L
D F R L F' L2 B'
D F R' U2 L' R2 F'
D F R' U2 R2 L' F'
D F R' B U2 L' R2
D F R' B U2 R2 L'
D F U2 L R F' L2
D F U2 L' R D F'
D F U2 L' R D' F'
D F U2 L' R D2 F'
D F U2 L' R F' D
D F U2 L' R F' D'
D F U2 L' R F' D2
D F U2 L2 R F' L
D F U2 R L F' L2
D F U2 R L' D F'
D F U2 R L' D' F'
D F U2 R L' D2 F'
D F U2 R L' F' D
D F U2 R L' F' D'
D F U2 R L' F' D2
D F U2 R L2 F' L
D F U2 R D L' F'
D F U2 R D' L' F'
D F U2 R D2 L' F'
D F U2 D2 L' R F
D F U2 D2 R L' F
D F D2 U2 L' R F
D F D2 U2 R L' F
D F B U2 L' R F'
D F B U2 R L' F'
D F B' U2 L' R F'
D F B' U2 R L' F'
D F B2 U2 L' R F'
D F B2 U2 R L' F'
B' D F U2 L' R F'
B' D F U2 R L' F'
D F' L' R F2 U2 F
B2 D F U2 L' R F'
B2 D F U2 R L' F'
B D F U2 L' R F'
B D F U2 R L' F'
D F' R L' F2 U2 F
D F' R F2 U2 R F
B' D' L2 B' L F R
B2 D' L2 B' L F R
B D' L2 B' L F R
D F2 R F' L' R B
D F2 R F' R L' B
D F2 R F' R B L'
D B F U2 L' R F'
D B F U2 R L' F'
D B' F U2 L' R F'
D B' F U2 R L' F'
D B2 F U2 L' R F'
D B2 F U2 R L' F'
