B L B' U' R' F2
B L B' U' F2 R'
F' L2 U' F' L' R'
F' L2 U' F' R' L'
L2 U' R' F' L' F'
L2 U' F' L' F' R'
U' R' F D F L'
L' U2 F U R' F
L' U2 F U F R'
F U' R' D F L'
F U' D R' F L'
F U' D F L' R'
F U' D F R' L'
U' F R' D F L'
U' F D R' F L'
U' F D F L' R'
U' F D F R' L'
F D U' R' F L'
F D U' F L' R'
F D U' F R' L'
L2 F' U' F' L' R'
L2 F' U' F' R' L'
R' F2 U' L' F U
R' L U R B' U' F2
R' L U B' R U' F2
U' L R' U B' U' F2
F2 L R' U R B' U'
F2 L R' U B' R U'
U' L R' F2 U B' U'
B2 L U' B' U' F2 B
B2 L U' B' U' B F2
B L D' B' L2 U' R'
B L F B' U' R' F
B L F B' U' F R'
R' L B' R U' R' F2
R' L B' R U' F2 R'
R2 L B' R2 U' R' F2
R2 L B' R2 U' F2 R'
B L F' B' U' F' R'
U' L F2 R' U B' U'
L R' U R B' U' F2
B2 L B' L U' F2 R
B' L B' L2 U' F2 R
B L B' L U' R' F2
B L B' L U' F2 R'
B L B' L' U' R' F2
B L B' L' U' F2 R'
B L B' L2 U' R' F2
B L B' L2 U' F2 R'
L R' U B' R U' F2
F' L B' U' D2 F' R
B' L B' U L U2 F2
U' L B' U' F2 B R'
U' L B' U' B R' F2
U' L B' U' B F2 R'
B2 L B' U' F2 D R2
B L B' U' R F2 R2
B L B' U' R' F2 D
B L B' U' R' F2 D'
B L B' U' R' F2 D2
B L B' U' F R' F
F' L B' D2 U' F' R
B L B' U' F2 R' D
B L B' U' F2 R' D'
B L B' U' F2 R' D2
B L B' U' F2 D R'
B L B' U' F2 D' R'
B L B' U' F2 D2 R'
B L B' D' L2 U' R'
B L B' F U' R' F
B L B' F U' F R'
B L B' F' U' F' R'
U' L' R' U' F U F
U' L' R' F' D' L2 F'
U' L' R' F' D' F' L2
U' L' R' F2 U' F' U
U L' U F U R' F
U L' U F U F R'
F' L' U' F' R' D' L2
F' L' U' F' D' L2 R'
F' L' U' F' D' R' L2
U' L' U' F U R' F
U' L' U' F U F R'
F' L' U2 F U R' F2
F' L' U2 F U F2 R'
B L' U2 F U R F
R' L' F2 U' L' F' U
L' R' F2 U' L' F' U
B L' D' L2 B' U' R'
L R' B' R U' R' F2
L R' B' R U' F2 R'
F' L' F U' R' F2 L'
U' L' F' D' L2 F' R'
U' L' F' D' F' L2 R'
U' L' F' D' F' R' L2
U' L' F2 U' F' U R'
F' L2 U' L F' L' R'
F' L2 U' L F' R' L'
F' L2 U' L' F' L' R'
F' L2 U' L' F' R' L'
F' L2 U' L2 F' L' R'
F' L2 U' L2 F' R' L'
D' L2 U' R' B' L B
F' L2 U' D F' L' R'
F' L2 U' D F' R' L'
F' L2 U' D' F' L' R'
F' L2 U' D' F' R' L'
F' L2 U' D2 F' L' R'
F' L2 U' D2 F' R' L'
F' L2 U' F' L' R' D
F' L2 U' F' L' R' D'
F' L2 U' F' L' R' D2
F' L2 U' F' L' D R'
F' L2 U' F' L' D' R'
F' L2 U' F' L' D2 R'
F' L2 U' F' R' L' D
F' L2 U' F' R' L' D'
F' L2 U' F' R' L' D2
F' L2 U' F' R' D L'
F' L2 U' F' R' D' L'
F' L2 U' F' R' D2 L'
F' L2 U' F' D L' R'
F' L2 U' F' D R' L'
