D2 R' B U' R2 F2
D2 R' B U' F2 R2
D2 L R' B U' R2 F2
D2 L R' B U' F2 R2
R' L D B' L2 F U'
L R B D B2 L2 F
R L B D B2 L2 F
R' L B' L2 U' R2 F
R' L B' L2 U' F R2
R' L B' U B' U2 R2
D2 L' R' B U' R2 F2
D2 L' R' B U' F2 R2
L R' D B' L2 F U'
L2 R' B U' R2 F' L'
L R' B' L2 U' R2 F
L R' B' L2 U' F R2
L R' B' U B' U2 R2
F2 L' B2 U F L U
D2 L2 R' B U' R2 F2
D2 L2 R' B U' F2 R2
D L2 R' F U' L' R2
D L2 R' F U' R2 L'
R' L2 B U' R2 F' L'
D L2 D R' B U' R2
D2 R U R2 B U' F2
B' R D L2 F L' B'
D2 R F D' F L2 B'
D R F D L' F2 B2
D R F D L' B2 F2
D R F D B2 L' F2
D R F' D F2 L' B2
D R F' D F2 B2 L'
D R F' D B2 F2 L'
D2 R' L B U' R2 F2
D2 R' L B U' F2 R2
D2 R' L' B U' R2 F2
D2 R' L' B U' F2 R2
D2 R' L2 B U' R2 F2
D2 R' L2 B U' F2 R2
D R' L2 F U' L' R2
D R' L2 F U' R2 L'
D2 R' D' L2 F2 B U'
D2 R' D' L2 B F2 U'
D2 R' D' F2 L2 B U'
D2 R' D' F2 B L2 U'
D2 R' D' B L2 F2 U'
D2 R' D' B F2 L2 U'
D R' F L2 U' L R2
D R' F L2 U' R2 L
D2 R' F B U' R2 F
D2 R' F B U' F R2
D2 R' F' B U' F' R2
D2 R' B L U' R2 F2
D2 R' B L U' F2 R2
D2 R' B L' U' R2 F2
D2 R' B L' U' F2 R2
D2 R' B L2 U' R2 F2
D2 R' B L2 U' F2 R2
D2 R' B U' R' F2 R'
D2 R' B U' R2 F2 D
D2 R' B U' R2 F2 D'
D2 R' B U' R2 F2 D2
D2 R' B U' F R2 F
D2 R' B U' F2 R2 D
D2 R' B U' F2 R2 D'
D2 R' B U' F2 R2 D2
D2 R' B D' L2 F2 U'
D2 R' B D' F2 L2 U'
D2 R' B F U' R2 F
D2 R' B F U' F R2
D2 R' B F' U' F' R2
L' D L2 R' B' U' R2
L' D R' L2 B' U' R2
L D R' B' L2 U' R2
B2 U L U2 B' U' R
R D F B2 D L' F2
R D F' B2 D F2 L'
D2 U R' B U' R2 F2
D2 U R' B U' F2 R2
R' D B' L2 F U' L'
R D B2 F D L' F2
R D B2 F' D F2 L'
D2 U' R' B U' R2 F2
D2 U' R' B U' F2 R2
L D2 R' B' U' R2 F2
L D2 R' B' U' F2 R2
U' D2 R' B U' R2 F2
U' D2 R' B U' F2 R2
D2 U2 R' B U' R2 F2
D2 U2 R' B U' F2 R2
U2 D2 R' B U' R2 F2
U2 D2 R' B U' F2 R2
U D2 R' B U' R2 F2
U D2 R' B U' F2 R2
R D2 F D' F L' B2
R D2 F D' F B2 L'
R D2 F D' B2 F L'
B' D L2 R F L' B'
B' D R L2 F L' B'
F2 D2 R' B U' F2 R
F D2 R' B U' R' F2
F D2 R' B U' F2 R'
R' B L2 U' R2 F' L'
R B D B2 L2 F L'
R B' D L2 F L' B2
R B' D L2 F B2 L'
R B' D L2 B2 F L'
R' B2 L B' U' R2 F'
R2 B2 L U' R B' U'
R2 B2 L U' B' R U'
B2 F2 L' U F L2 U
F2 B2 L' U F L2 U
