U L' R F' R U2
U L' F' R F' U2
R U L' F' R U2
U R L' F' R U2
F' U R F' U2 R
U F' R F' U2 R
U L R F' L2 R U2
U L R F' R L2 U2
L' R F' R U' L U'
U' L D2 L R2 B' L
U' L D2 L B' L R2
U' L D2 L B' R2 L
U' L D2 R2 L B' L
U' L D2 R2 B' L B'
U' L D2 B' L R2 B'
U' L D2 B' L B' R2
U' L D2 B' R2 L B'
U L F' L2 R F' U2
U L F' R L2 F' U2
U L F' R F' L2 U2
U' L' R F' R U2 F
U L' R F' R U2 D
U L' R F' R U2 D'
U L' R F' R U2 D2
U L' R F' R D U2
U L' R F' R D' U2
U L' R F' R D2 U2
U L' R F' D R U2
U L' R F' D' R U2
U L' R F' D2 R U2
U L' R' F U2 L' B
U L' R' F U2 B L'
U L' R' F2 U2 B L
U L' R2 F U2 L' B'
U L' R2 F' R U2 B
R L' F' R U' L U'
U L' U2 D2 L B' L
U L' U2 D2 B' L B'
U L' D2 U2 L B' L
U L' D2 U2 B' L B'
U L' F R' U2 L' B
U L' F R' U2 B L'
U L' F R2 U2 L' B'
U' L' F' R F' U2 F2
U L' F' R D F' U2
U L' F' R D' F' U2
U L' F' R D2 F' U2
U L' F' R F' U2 D
U L' F' R F' U2 D'
U L' F' R F' U2 D2
U L' F' R F' D U2
U L' F' R F' D' U2
U L' F' R F' D2 U2
U L' F2 R F' U2 L'
U L' F2 R' U2 B L
U L2 R F' L R U2
U L2 R F' R L U2
R' U L' R2 F' R U2
U L2 D2 L U2 B' L
R U L F' L2 R U2
R U L F' R L2 U2
U' L2 D2 B' L B' R'
R' U L' F U2 L' B
R' U L' F U2 B L'
R' U L' F2 U2 B L
R U L' F' R U2 D
R U L' F' R U2 D'
R U L' F' R U2 D2
R U L' F' R D U2
R U L' F' R D' U2
R U L' F' R D2 U2
R U L' F' D R U2
R U L' F' D' R U2
R U L' F' D2 R U2
U L2 F' L R F' U2
R U L2 F' L R U2
R U L2 F' R L U2
U L2 F' R L F' U2
U L2 F' R F' L U2
R' U R2 L' F' R U2
U R L F' L2 R U2
U R L F' R L2 U2
U' R L' F' R U2 F
U R L' F' R U2 D
U R L' F' R U2 D'
U R L' F' R U2 D2
U R L' F' R D U2
U R L' F' R D' U2
U R L' F' R D2 U2
U R L' F' D R U2
U R L' F' D' R U2
U R L' F' D2 R U2
B' R U L' F' R U2
B2 R U L' F' R U2
U R L2 F' L R U2
U R L2 F' R L U2
B R U L' F' R U2
R' U F2 U2 B L R
R' U F2 U2 B R L
U' R U2 L' F' R U2
R U' L' F' R U2 F
L' U' D2 L U' B' L
U R' L' F U2 L' B
U R' L' F U2 B L'
U R' L' F2 U2 B L
F' R' U R2 F' U2 R
F' R' U' D2 L2 B R'
F' R' U' D2 B L2 R'
F' R' U' D2 B R' L2
F' R' D2 U' L2 B R'
F' R' D2 U' B L2 R'
F' R' D2 U' B R' L2
F2 R' F' U' L' B R2
F2 R' F' U' B L' R2
F2 R' F' U' B R2 L'
D R' F2 B R' U' R2
U R' F2 U2 B L R
U R' F2 U2 B R L
D R' B R' U L' U2
D R' B R' F2 U' R
D R' B F2 R' U' R2
U R2 L' F U2 L' B'
U R2 L' F' R U2 B
U R2 F U2 L' B' R'
F' U L R F' U2 R
B' U L' R F' R U2
F' U L' R F' U2 R
D' U L' U F L' U
D2 U L' U2 L2 B' L
B2 U L' R F' R U2
D2 U L' D2 F U2 L'
B' U L' F' R F' U2
B U L' R F' R U2
B2 U L' F' R F' U2
F' U L2 R F' U2 R
B U L' F' R F' U2
F' U R L F' U2 R
F' U R L' F' U2 R
B' U R L' F' R U2
F' U R L2 F' U2 R
B2 U R L' F' R U2
F' U R F L' F2 U2
F' U R F' L U2 R
F' U R F' L' U2 R
F' U R F' L2 U2 R
F' U R F' U2 R D
F' U R F' U2 R D'
F' U R F' U2 R D2
F' U R F' U2 D R
F' U R F' U2 D' R
F' U R F' U2 D2 R
F' U R F' D U2 R
F' U R F' D' U2 R
F' U R F' D2 U2 R
B U R L' F' R U2
B' U F' R F' U2 R
B2 U F' R F' U2 R
B U F' R F' U2 R
D2 U' L B' D2 L R2
D2 U' L B' D2 R2 L
U D' L' U F L' U
F' U' R F' U2 R F
U2 D' F L' F U R
F' U' R' D2 L2 B R'
F' U' R' D2 B L2 R'
F' U' R' D2 B R' L2
D2 U' B' L D2 R2 B'
D2 U' B' L D2 B' R2
D2 U' B' L B' D2 R2
U' D2 L B' D2 L R2
U' D2 L B' D2 R2 L
U D2 L' U2 L2 B' L
U D2 L' D2 F U2 L'
L' D2 U' L U' B' L
D' U2 F L' F U R
U' D2 B' L D2 R2 B'
U' D2 B' L D2 B' R2
U' D2 B' L B' D2 R2
U F R2 U2 L' B' R'
F U2 B' U L' R' B
F U2 B' U R' L' B
F U2 B' U R' B L'
U F U2 L' B' R' B
U F U2 B' L' R' B
U F U2 B' R' L' B
U F U2 B' R' B L'
U F' L R F' U2 R
U F' L' R F' U2 R
U' F' R F' U2 R F2
U F' L2 R F' U2 R
L' F' R F' U' L U'
U F' R L F' U2 R
U F' R L' F' U2 R
U F' R L2 F' U2 R
U F' R F L' F2 U2
U F' R F' L U2 R
U F' R F' L' U2 R
U F' R F' L2 U2 R
U F' R F' U2 R D
U F' R F' U2 R D'
U F' R F' U2 R D2
U F' R F' U2 D R
U F' R F' U2 D' R
U F' R F' U2 D2 R
U F' R F' D U2 R
U F' R F' D' U2 R
U F' R F' D2 U2 R
U2 F' U' R F' U2 R
D F2 R' B R' U' R'
U F2 R' U2 B L R2
U F2 R' U2 B R2 L
D2 F2 U' L R B' L
D2 F2 U' L B' L R
D2 F2 U' L B' R L
D2 F2 U' R L B' L
D2 F2 U' R B' L B'
D2 F2 U' B' L R B'
D2 F2 U' B' L B' R
D2 F2 U' B' R L B'
U F2 U2 R' B L R2
U F2 U2 R' B R2 L
D2 F2 B' U' L R B'
D2 F2 B' U' L B' R
D2 F2 B' U' R L B'
D F2 B R' B U' R2
D2 B U L' R' F U2
D2 B U L' F R' U2
D2 B U R' L' F U2
D B R' F2 B U' R
D B R' B U L' U2
D B R' B F2 U' R
R B U L' F' R U2
F' B U R F' U2 R
D B F2 R' B U' R2
D2 B' U L' U2 L2 B'
D2 B' U L' F U2 L2
D2 B' U' L D2 R2 B'
D2 B' U' L D2 B' R2
D2 B' U' L B' D2 R2
R B' U L' F' R U2
B' F' U R F' U2 R
F' B' U R F' U2 R
B2 F' U R F' U2 R
B F' U R F' U2 R
D2 B' F2 U' L R B'
D2 B' F2 U' L B' R
D2 B' F2 U' R L B'
R B2 U L' F' R U2
F' B2 U R F' U2 R
