F' L' D R F' U2
U L' D2 B' U L
U L' F B' U L'
U L' B' F U L'
F' R D' L' F U2
D' U L' F B' U
D2 U L' B' U L
D' U L' B' F U
U D' L' F B' U
U D' L' B' F U
U D2 L' B' U L
U F U L' B' R'
F' D L' R F' U2
F' D R L' F' U2
F' D' L' R F U2
F' D' R L' F U2
F' L' R F U L' U
F' L' R F' U' R U'
F' L' R2 D R' U2 B
F' L' U F2 U L' B'
U' L' U2 L F U' L'
F' L' D R D F' U2
F' L' D R D' F' U2
F' L' D R D2 F' U2
F' L' D R F' U2 D
F' L' D R F' U2 D'
F' L' D R F' U2 D2
F' L' D R F' D U2
F' L' D R F' D' U2
F' L' D R F' D2 U2
U L' D2 F B' U L
U L' D2 F' B' U L
U L' D2 F2 B' U L
U L' D2 B' U L D
U L' D2 B' U L D'
U L' D2 B' U L D2
U L' D2 B' U D L
U L' D2 B' U D' L
U L' D2 B' U D2 L
U L' D2 B' D U L
U L' D2 B' D' U L
U L' D2 B' D2 U L
U L' D2 B' F U L
U L' D2 B' F' U L
U L' D2 B' F2 U L
B L' F U L' R F
B L' F U R L' F
U L' F D B' U L'
U L' F D' B' U L'
U L' F D2 B' U L'
U L' F B' U L' D
U L' F B' U L' D'
U L' F B' U L' D2
U L' F B' U D L'
U L' F B' U D' L'
U L' F B' U D2 L'
U L' F B' D U L'
U L' F B' D' U L'
U L' F B' D2 U L'
F' L' F' U' R B U'
U L' F' B' U' R U2
U L' B' U F L' F'
U L' B' F U L' D
U L' B' F U L' D'
U L' B' F U L' D2
U L' B' F U D L'
U L' B' F U D' L'
U L' B' F U D2 L'
U L' B' F D U L'
U L' B' F D' U L'
U L' B' F D2 U L'
U L' B' F' U' R U2
F' L2 R D' L U2 B'
F' L2 D L R F' U2
F' L2 D R L F' U2
F' L2 D R F' L U2
F' L2 D' L R U2 B'
F' L2 D' R L U2 B'
L2 U L U2 F U' L'
R' U L' D2 B' U L
R' U L' F B' U L'
R' U L' B' F U L'
R2 U L' D2 B' U L
B L2 F L' R D' B2
B L2 F L' D' R B2
B L2 F L' D' B2 R
R2 U L' F B' U L'
B L2 F R L' D' B2
R U L' D2 B' U L
U L2 F L B' U L2
R U L' F B' U L'
R2 U L' B' F U L'
R U L' B' F U L'
R' U D' L' F B' U
R' U D' L' B' F U
R2 U D' L' F B' U
R2 U D' L' B' F U
R U D' L' F B' U
R U D' L' B' F U
R' U D2 L' B' U L
R2 U D2 L' B' U L
R U D2 L' B' U L
F' R L' F U L' U
R' U F U L' B' R'
F' R L' F' U' R U'
R2 U F U L' B' R'
F' R L2 D' L U2 B'
R U F U L' B' R'
D2 R U L' B' U L
D' R U L' F B' U
D' R U L' B' F U
D R U L' F' B' U
D R U L' B' F' U
F' R U' F2 U' R B
F' R D' L' D F U2
F' R D' L' D' F U2
F' R D' L' D2 F U2
F' R D' L' F U2 D
F' R D' L' F U2 D'
F' R D' L' F U2 D2
F' R D' L' F D U2
F' R D' L' F D' U2
F' R D' L' F D2 U2
F' R F U L' B' U
D2 R' U L' B' U L
D' R' U L' F B' U
D' R' U L' B' F U
F' R2 L' D R' U2 B
D2 R2 U L' B' U L
D' R2 U L' F B' U
D' R2 U L' B' F U
F' R2 D L' R' U2 B
F' R2 D R' L' U2 B
F' R2 D' L' R' F U2
F' R2 D' L' F R' U2
F' R2 D' R' L' F U2
U' R2 F2 R F' U' L'
F U L U L2 R B'
F U L U L2 B' R
F U L U R L2 B'
D' U L' D F B' U
D' U L' D B' F U
D' U L' D' F B' U
D' U L' D' B' F U
D' U L' D2 F B' U
D' U L' D2 B' F U
D' U L' F D B' U
D' U L' F D' B' U
D' U L' F D2 B' U
D' U L' F B' U D
D' U L' F B' U D'
D' U L' F B' U D2
D' U L' F B' D U
D' U L' F B' D' U
D' U L' F B' D2 U
D2 U L' F B' U L
D2 U L' F' B' U L
D2 U L' F2 B' U L
D' U L' B' D F U
D' U L' B' D' F U
D2 U L' B' U L D
D2 U L' B' U L D'
D2 U L' B' U L D2
D' U L' B' D2 F U
D2 U L' B' U D L
D2 U L' B' U D' L
D2 U L' B' U D2 L
D' U L' B' F U D
D' U L' B' F U D'
D' U L' B' F U D2
D' U L' B' F D U
D' U L' B' F D' U
D' U L' B' F D2 U
D2 U L' B' D U L
D2 U L' B' D' U L
D2 U L' B' D2 U L
D2 U L' B' F U L
D2 U L' B' F' U L
D2 U L' B' F2 U L
D U L' D B' U L
U D L' D B' U L
F U L2 U L R B'
F U L2 U L B' R
F U L2 U R L B'
D' U B L' F B' U
D' U B L' B' F U
D' U B' L' F B' U
D' U B' L' B' F U
D2 U B' L' B' U L2
F' U F2 U L' R B'
F' U F2 U L' B' R
F' U F2 U R L' B'
D' U B2 L' F B' U
D' U B2 L' B' F U
R' D' U L' F B' U
R' D' U L' B' F U
R2 D' U L' F B' U
R2 D' U L' B' F U
R D' U L' F B' U
R D' U L' B' F U
U D' L' D F B' U
