B L F B U L'
B L B F U L'
B F L B U L2
F B L B U L2
B L D2 B U' R' U2
U' L F U B2 U L'
U' L F U2 L' D' R2
U' L F U2 D' L' R2
U' L F U2 D' R2 L'
U' L F D L2 U2 L
U' L F D' U2 L' R2
U' L F D' U2 R2 L'
B L F D B U L'
B L F D' B U L'
B L F D2 B U L'
B L F B U L' D
B L F B U L' D'
B L F B U L' D2
B L F B U D L'
B L F B U D' L'
B L F B U D2 L'
B L F B D U L'
B L F B D' U L'
B L F B D2 U L'
B L F' B U' R U2
B L B U F L' F'
B L B F U L' D
B L B F U L' D'
B L B F U L' D2
B L B F U D L'
B L B F U D' L'
B L B F U D2 L'
B L B F D U L'
B L B F D' U L'
B L B F D2 U L'
B L B F' U' R U2
B L B2 D2 B' U L
D' L' F U R B R
D' L' F B L U R2
B L' F B L2 U L
F L' B L B U L'
B L' B L2 F U L'
D' L' B F L U R2
B L' B F L2 U L
D' L2 U R B L R
D' L2 U R B R L
B' L2 U2 R' F U' L'
B' L2 U2 F R' U' L'
B L2 D' L' F B U
B L2 D' L' B F U
B L2 D' B L' F U
B L2 F B U L' B'
D' L2 B L F U R2
B L2 B L' F U L'
B L2 B D' L' F U
B L2 B F U L' B'
F U L' R D' B R2
F U L' R' D' R2 B
F U L' D' R B R
F U R L' D' B R2
F U R D' L' B R2
F U R D' B L' R2
F U R D' B R2 L'
F U R' L' D' R2 B
F U R' D' L' R2 B
F U R' D' R2 L' B
F U R' D' R2 B L'
B2 U D L D B' L
F U D' L' R B R
F U D' R L' B R
F U D' R B L' R
F U D' R B R L'
B2 U D2 B' D' L B'
F U' L' D' B' R2 F'
F' U' D' R U2 R B
F U' D L2 U2 L B'
F U' D' L' B' R2 F'
B2 U' F' D' R F' U2
U' F L' D' B' R2 F'
U2 F R U' L' D' R2
U2 F R U' D' L' R2
U2 F R U' D' R2 L'
U2 F R U2 B2 U L'
U2 F R D' U' L' R2
U2 F R D' U' R2 L'
B2 U2 B D R' B U'
B2 D L U D B' L
B2 D L D U B' L
U' F D L2 U2 L B'
U' F D' L' B' R2 F'
U2 F D' R U' L' R
U2 F D' R U' R L'
L' F B L B U L2
L2 F B L B U L2
B2 D U L D B' L
L F B L B U L2
F D U' L2 U2 L B'
B2 D' L' D' F L' U
B D' L B U D L2
B D' L B U2 B2 U'
B D' L B D U L2
B D' L B D2 F2 U
U' F' D' R U2 R B
B D' L' F L2 B U
B D' L' F B L2 U
B D' L' B F L2 U
U2 F' D2 F2 R U' L'
F' D' U' R U2 R B
F D' U L' R B R
F D' U R L' B R
F D' U R B L' R
F D' U R B R L'
F D' U' L' B' R2 F'
F D' B L U L2 R2
F D' B L U R2 L2
B D2 L B U' R' U2
B2 D2 U B' D' L B'
D' B L U2 B' U' R2
D2 B L D2 B2 U L
L' B L F B U L'
L' B L B F U L'
L2 B L F B U L'
D' B L' F L2 U R2
L2 B L B F U L'
B2 D2 F D L' F U
L B L F B U L'
L B L B F U L'
B2 D2 F2 U L' B' L
B' D2 B' U D L B'
B' D2 B' D U L B'
B' D2 B2 L B U L
F' B L F2 B U L'
F' B L B U' R U2
F' B L B F2 U L'
F2 B L F' B U L'
F2 B L B F' U L'
B F L D F2 B U
B F L D B F2 U
B F L F B U L2
B F L F' B U L2
B F L F2 B U L2
B F L B U L2 D
B F L B U L2 D'
B F L B U L2 D2
B F L B D F2 U
B F L B F U L2
B F L B F' U L2
B F L B F2 U L2
F B L D F2 B U
F B L D B F2 U
F B L F B U L2
F B L F' B U L2
B2 F L2 U D L B'
F B L F2 B U L2
F B L B U L2 D
F B L B U L2 D'
F B L B U L2 D2
F B L B D F2 U
F B L B F U L2
F B L B F' U L2
F B L B F2 U L2
B2 F L2 D U L B'
B F L' B L2 U L2
D2 B D2 L B2 U L
F B L' B L2 U L2
L' B F L B U L2
L2 B F L B U L2
B2 F U L2 D L B'
L B F L B U L2
B2 F U D L B' L2
B2 F U B' L' D' B2
B2 F U2 B R' U' L'
B2 F U2 B2 U' L' B'
B2 F D L U B' L2
B2 F D U L B' L2
B F D L B U L2
F B D L B U L2
B F D' L B U L2
D2 B' R' F2 L' U' L2
F B D' L B U L2
B F D2 L B U L2
F B D2 L B U L2
B F' L F2 B U L'
B F' L B U' R U2
B F' L B F2 U L'
D2 B' U2 R' F2 U' L
D2 B' U2 F2 R' U' L
B2 F' U' D' R F' U2
B2 F' D' U' R F' U2
B2 F' D2 F2 U L' B'
B F2 L F' B U L'
B F2 L B F' U L'
F B2 L2 U D L B'
F B2 L2 D U L B'
F' B2 U' D' R F' U2
F B2 U L2 D L B'
F B2 U D L B' L2
F B2 U B' L' D' B2
B2 F2 U2 B R' U' L
F2 B2 U2 B R' U' L
F' B2 D' U' R F' U2
F B2 U2 B R' U' L'
F B2 U2 B2 U' L' B'
F B2 D L U B' L2
F B2 D U L B' L2
F' B2 D2 F2 U L' B'
