R' U F L' R F2
R' U F R L' F2
B R' U F L' F2
B R' F U L' F2
B U2 L U' F L'
B F R' U L' F'
F B R' U L' F'
U2 L U2 B U F L'
R' U L F L' R F2
R' U L F R L' F2
R' U L' F L' R F2
R' U L' F R L' F2
R' U L2 F L' R F2
R' U L2 F R L' F2
R' U R' F L' R F'
R' U R' F R L' F'
R' U F L R F2 L2
R' U F L' R F2 D
R' U F L' R F2 D'
R' U F L' R F2 D2
R' U F L' R' F2 R2
R' U F L' R2 F2 R'
R' U F L2 R F2 L
R' U F R L F2 L2
R' U F R L' F2 D
R' U F R L' F2 D'
R' U F R L' F2 D2
R' U F R L2 F2 L
R' U F R' L' F2 R2
R' U F R2 L' F2 R'
R' U F' U2 L' R U2
R' U F' U2 R L' U2
B R U' D2 B R' U2
B R D R2 U F' L'
B R D2 U' B R' U2
B R F R2 U L' F'
B R F U' B U2 L'
B R F' U' B R U2
B' R B2 U L2 F L'
B R' U L F L' F2
F' R' U F R F2 L'
B R' U L' F L' F2
B R' U L2 F L' F2
F R' U L' F R F2
B R' U F L F2 L2
B R' U F L' F2 D
B R' U F L' F2 D'
B R' U F L' F2 D2
B R' U F L2 F2 L
B R' U F' U2 R U2
F' R' U' R2 B L U2
F' R' D' F2 U F R
R' U2 L F U' L' F2
L' U2 L B U F L'
B2 R' D2 B' U L F'
B2 R' D2 B' U F' L
B R' F R U L' F2
B R' F R' U L' F2
B R' F R2 U L' F2
B' R' F B2 U L' F2
B R' F U L F2 L2
B R' F U L' F2 D
B R' F U L' F2 D'
B R' F U L' F2 D2
B R' F U L2 F2 L
B2 R' F B' U L' F2
B R' F D R2 U L'
F2 R' F2 U F L' R
F2 R' F2 U F R L'
B2 R' B' U F L' F2
B2 R' B' F U L' F2
B' R' B2 U F L' F2
B' R' B2 F U L' F2
R2 U2 F' U R U2 F'
B R2 U F D2 L' F
B R2 F R U L' F'
B R2 F U D2 L' F
B R2 F D2 U L' F
B R2 F' U' R U2 F'
R2 D R2 B R' F' U
B U F L' U' R U
B U F U' R U L'
B U F' L D F2 L'
B U F2 D' F' L' F
B2 U2 L U' F L' R
B2 U2 L U' F R L'
B U2 L U' F L' D
B U2 L U' F L' D'
B U2 L U' F L' D2
B U2 L U' F D L'
B U2 L U' F D' L'
B U2 L U' F D2 L'
B U2 L B U' F L'
B U2 L B' U' F L'
B U2 L B2 U' F L'
B U2 L' U' L2 F L'
B2 U2 L2 F U' L' F
B U2 L2 U' L' F L'
B U2 L2 U' F L' F
B U2 D' L B' U' F
U F L' U' B R U
R' F R B U L' F2
B U2 B L U' F L'
R' F U L' F R F
B U2 B' L U' F L'
B U2 B2 L U' F L'
U F U' B R U L'
B D R F' R2 U F'
B D R F' U' B U2
R2 F D2 B2 U L' F
B D R' U2 B U' F'
U F B R U B' L'
F D B R' U L' F'
R2 F' U' R U2 F' R'
B D' U2 L B' U' F
F D' B R' U L' F'
B D2 R U' B R' U2
B2 D2 R' B' U L F'
B2 D2 R' B' U F' L
D2 B R U' R2 U2 F'
D2 B R U' B R2 U2
D B R F' R2 U F'
D B R F' U' B U2
D2 B R2 U' R U2 F'
D B R' U2 B U' F'
B2 D2 B' R' U L F'
B2 D2 B' R' U F' L
R' B U F L' R F2
R' B U F R L' F2
F D2 B R' U L' F'
D' B U2 L B' U' F
U B U L F L' B'
U B U D2 B' L F
U B U B' L F L'
F' B R' U D2 L2 F'
F' B R' U D2 F' L2
F' B R' U F' D2 L2
F' B R' U' R2 B U2
B F R U' B U2 L'
F' B R' D' F2 U F
F' B R' D2 U L2 F'
F' B R' D2 U F' L2
B' F R' B2 U L' F'
F2 B R' F U F2 L'
F B R U' B U2 L'
F2 B R' F2 U F L'
B2 F R' B' U L' F'
F' B R2 U' R' B U2
B F R' U L F' L2
B F R' U L' D F'
B F R' U L' D' F'
B F R' U L' D2 F'
B F R' U L' F' D
B F R' U L' F' D'
B F R' U L' F' D2
B F R' U L2 F' L
B F R' U D L' F'
B F R' U D' L' F'
B F R' U D2 L' F'
B F R' D U L' F'
B F R' D' U L' F'
B F R' D2 U L' F'
F B R' U L F' L2
F B R' U L' D F'
F B R' U L' D' F'
F B R' U L' D2 F'
F B R' U L' F' D
F B R' U L' F' D'
F B R' U L' F' D2
F B R' U L2 F' L
F B R' U D L' F'
U B D2 U B' L F
F B R' U D' L' F'
F B R' U D2 L' F'
F B R' D U L' F'
F B R' D' U L' F'
F B R' D2 U L' F'
B F R2 U D2 L' F
U B F R U B' L'
B F R2 D2 U L' F
F' B U F2 D' L' F
F B R2 U D2 L' F
F B R2 D2 U L' F
B F U2 L U' F L2
F B U2 L U' F L2
B F D R' U L' F'
F B D R' U L' F'
B F D' R' U L' F'
F B D' R' U L' F'
B F D2 R' U L' F'
F B D2 R' U L' F'
R' B' U F L' R F2
R' B' U F R L' F2
B F' R' U D2 L2 F'
B F' R' U D2 F' L2
B F' R' U F' D2 L2
B F' R' U' R2 B U2
B F' R' D' F2 U F
B F' R' D2 U L2 F'
B F' R' D2 U F' L2
B F' R2 U' R' B U2
F B' R' B2 U L' F'
B F' U F2 D' L' F
U2 B2 L U' F L' R
U2 B2 L U' F R L'
U2 B2 L2 F U' L' F
R' B2 U F L' R F2
R' B2 U F R L' F2
B F2 R' F U F2 L'
B F2 R' F2 U F L'
F B2 R' B' U L' F'
