U' L2 U2 L' F L'
U' L2 U2 F L' F
U R' F L' F2 R
D2 B' R' U L R'
D2 B' R' U R' L
U2 L U L U2 F L'
U L U2 L U2 F L'
U' L U2 F L' D2 R2
U' L F L' D2 R2 B
U' L B' U2 F L' R
U' L B' U2 F R L'
U' L B2 U2 R' F L'
U' L B2 U2 F L' R'
U' L B2 U2 F R' L'
U L' R2 F2 R F' L'
U' L' D2 B' L' U2 L2
U L' F2 R' F' L' R2
U L' F2 R' F' R2 L'
U' L2 R U2 L' F L'
U' L2 R U2 F L' F
U' L2 R' U2 L' F L'
U' L2 R' U2 F L' F
U' L2 R2 U2 L' F L'
U' L2 R2 U2 F L' F
U' L2 U F U L' F
U' L2 U' L' U' F L'
U' L2 U2 L' F L' D
U' L2 U2 L' F L' D'
U' L2 U2 L' F L' D2
U' L2 U2 L' F D L'
U' L2 U2 L' F D' L'
U' L2 U2 L' F D2 L'
U' L2 U2 F L' D F
U' L2 U2 F L' D' F
U' L2 U2 F L' D2 F
U' L2 U2 F L' F D
U' L2 U2 F L' F D'
U' L2 U2 F L' F D2
U' L2 D2 R' B R' U2
U' L2 D2 B R' B U2
U L2 F' R B U2 B'
R' U R' F L' F2 R
R2 U R' F L' F2 R
U' L2 B U2 L' F L'
U' L2 B U2 F L' F
R U R' F L' F2 R
U' L2 B' U2 L' F L'
U' L2 B' U2 F L' F
U' L2 B2 U2 L' F L'
U' L2 B2 U2 F L' F
U' R L2 U2 L' F L'
U' R L2 U2 F L' F
R' U' L2 U2 L' F L'
R' U' L2 U2 F L' F
R2 U' L2 U2 L' F L'
R2 U' L2 U2 F L' F
U R F D2 L' R2 F'
U R F D2 R2 L' F'
R U' L2 U2 L' F L'
R U' L2 U2 F L' F
D R F' U2 F' L' U'
U R F2 D2 R2 F' L'
U R B L2 F U2 L'
D2 R B' R' U L R2
D2 R B' R' U R2 L
U' R' L2 U2 L' F L'
U' R' L2 U2 F L' F
B' R' D2 B' U L R2
B' R' D2 B' U R2 L
B' R' F U D2 L' R2
B' R' F U D2 R2 L'
B' R' F U' L2 U2 L
B' R' F D' B2 U L'
B' R' F D2 U L' R2
B' R' F D2 U R2 L'
U R' F L' R F2 R
U R' F L' R' F2 R
U R' F L' R2 F2 R
U R' F L' F2 R D
U R' F L' F2 R D'
U R' F L' F2 R D2
U R' F L' F2 D R
U R' F L' F2 D' R
U R' F L' F2 D2 R
U R' F R L' F2 R
U R' F R' L' F2 R
U R' F R2 L' F2 R
B' R' F' U' L2 R U2
B' R' F' U' R L2 U2
U R' F' R' D2 L2 R2
U R' F' R' D2 R2 L2
U R' F' U2 L2 R U2
U R' F' U2 R L2 U2
D R' B L F2 R U'
U' R2 L2 U2 L' F L'
U' R2 L2 U2 F L' F
U R2 L' F2 R F' L'
U R2 F L' F2 R F'
U R2 F D2 L' R2 F
U R2 F D2 L' F R2
U R2 F D2 R2 L' F
D2 R2 B' R' U L R
D2 R2 B' R' U R L
F' U L2 R B U2 B'
F U L' R' F2 R F
F U L' R2 F2 R F'
F U L' U2 L' B' U2
F U L' F' R' F' R
F U L' F2 R' F' R2
F' U R L2 B U2 B'
F' U R B L2 F U2
F' U R' D2 L2 F' R2
F' U R' D2 F' L2 R2
F' U R' D2 F' R2 L2
F U R D2 L' R2 F'
F' U R' F' D2 L2 R2
F' U R' F' D2 R2 L2
F U R D2 R2 L' F'
F U R' L' F2 R F
D2 U R2 D2 L' F L'
D2 U R2 D2 F L' F
F U R' D2 L' F' R2
F U R2 L' F2 R F'
F U R2 D2 L' R2 F
F U R2 D2 L' F R2
F U R2 D2 R2 L' F
F U D2 L' R' F' R'
F U D2 R' L' F' R'
F U D2 R2 D2 L' F
B U F L' D F2 R
D2 U' L' B' U2 L R2
D2 U' L' B' U2 R2 L
F' U' L' R B' L' U2
F' U' L' B' L' R U2
F' U' L' B' R L' U2
F' U' L2 U2 F2 L' F
F' U' L2 D2 R U2 F'
F' U' R L' B' L' U2
F U' L' B' L' U2 L
F U' L2 U2 L' F L2
D2 U' B R' U2 R' F'
D2 U' B' L F R2 B
U' D2 L' B' U2 L R2
U' D2 L' B' U2 R2 L
U D2 R2 D2 L' F L'
U D2 R2 D2 F L' F
U' D2 B R' U2 R' F'
U' D2 B' L F R2 B
R' D2 B' R' U L R'
R' D2 B' R' U R' L
R2 D2 B' R' U L R'
R2 D2 B' R' U R' L
R D2 B' R' U L R'
R D2 B' R' U R' L
U F L' R' F2 R F
U F L' R2 F2 R F'
U F L' U2 L' B' U2
U F L' F' R' F' R
U F L' F2 R' F' R2
U F R D2 L' R2 F'
U F R D2 R2 L' F'
U F R' L' F2 R F
U F R' D2 L' F' R2
U F R2 L' F2 R F'
U F R2 D2 L' R2 F
U F R2 D2 L' F R2
U F R2 D2 R2 L' F
B' D R F' R2 B U
B' D R' U2 F2 B U'
B' D R' U2 B F2 U'
U F D2 L' R' F' R'
U F D2 R' L' F' R'
D2 F B' R' U L R'
D2 F B' R' U R' L
U F D2 R2 D2 L' F
U2 F' L' U L' R U2
U2 F' L' U R L' U2
U2 F' L' F2 U' L' R
U2 F' L' F2 U' R L'
U F' L2 R B U2 B'
U F' R L2 B U2 B'
U F' R B L2 F U2
U F' R' D2 L2 F' R2
U F' R' D2 F' L2 R2
U F' R' D2 F' R2 L2
U F' R' F' D2 L2 R2
U F' R' F' D2 R2 L2
U2 F' D L' F2 U' L'
D2 F' B' R' U L R'
D2 F' B' R' U R' L
U F2 R D2 R2 F' L'
U F2 R' D2 F' L' R2
U F2 R' D2 F' R2 L'
U F2 R' F' D2 L' R2
U F2 R' F' D2 R2 L'
B' D' B2 U2 L B' U'
F D' B' R' B' U L'
F D' B2 U D L' F
F D' B2 D U L' F
D2 F2 B' R' U L R'
D2 F2 B' R' U R' L
U F2 D2 R' F' L' R'
U F2 D2 R' F' R' L'
F D2 R' U L' R' F'
F D2 R' U R' L' F'
F D2 U L' R' F' R'
F D2 U R' L' F' R'
F D2 U R2 D2 L' F
U' B L2 U2 L' F L'
U' B L2 U2 F L' F
F D2 B' R' U L' R'
F D2 B' R' U R' L'
D2 B D B2 R' U L
B' F R' U D2 L' R2
B' F R' U D2 R2 L'
B' F R' U' L2 U2 L
B' F R' D' B2 U L'
B' F R' D2 U L' R2
B' F R' D2 U R2 L'
B F U L' D F2 R
F B U L' D F2 R
U' B' L2 U2 L' F L'
U' B' L2 U2 F L' F
B' F D' R' B2 U L'
D2 B' R' U L R' D
D2 B' R' U L R' D'
D2 B' R' U L R' D2
D2 B' R' U L D R'
D2 B' R' U L D' R'
D2 B' R' U L D2 R'
D2 B' R' U R' L D
D2 B' R' U R' L D'
D2 B' R' U R' L D2
D2 B' R' U R' D L
D2 B' R' U R' D' L
D2 B' R' U R' D2 L
D2 B' R' U D L R'
D2 B' R' U D R' L
D2 B' R' U D' L R'
D2 B' R' U D' R' L
D2 B' R' U D2 L R'
D2 B' R' U D2 R' L
B' F D2 R' U L' R'
B' F D2 R' U R' L'
D2 B' R' D U L R'
D2 B' R' D U R' L
D2 B' R' D' U L R'
D2 B' R' D' U R' L
D2 B' R' D2 U L R'
D2 B' R' D2 U R' L
D2 B' R' F U L R'
D2 B' R' F U R' L
D' B' R' D' B' U L
D2 B' R' F' U L R'
D2 B' R' F' U R' L
D2 B' R' F2 U L R'
D2 B' R' F2 U R' L
D B' R F' R2 B U
B F D' B2 R' U L'
D B' R' U2 F2 B U'
D B' R' U2 B F2 U'
F B D' B2 R' U L'
B' F' R' U D2 L2 R2
B' F' R' U D2 R2 L2
B' F' R' U' L2 R2 U2
B' F' R' U' R2 L2 U2
B' F' R' D' F2 B2 U
B' F' R' D' B2 F2 U
B' F' R' D2 U L2 R2
B' F' R' D2 U R2 L2
F' B' R' U D2 L2 R2
F' B' R' U D2 R2 L2
F' B' R' U' L2 R2 U2
F' B' R' U' R2 L2 U2
F' B' R' D' F2 B2 U
F' B' R' D' B2 F2 U
F' B' R' D2 U L2 R2
F' B' R' D2 U R2 L2
D' B' D' R' B' U L
F B' R' U D2 L' R2
F B' R' U D2 R2 L'
F B' R' U' L2 U2 L
F B' R' D' B2 U L'
F B' R' D2 U L' R2
F B' R' D2 U R2 L'
D2 B' F R' U L R'
D2 B' F R' U R' L
D2 B' F' R' U L R'
D2 B' F' R' U R' L
D2 B' F2 R' U L R'
D2 B' F2 R' U R' L
U' B2 L2 U2 L' F L'
U' B2 L2 U2 F L' F
F B' D' R' B2 U L'
F B' D2 R' U L' R'
F B' D2 R' U R' L'
D' B2 U D L' F L'
D' B2 U D F L' F
D' B2 U2 L B' L U'
D' B2 U2 B' L B' U'
D' B2 D U L' F L'
D' B2 D U F L' F
D' B2 D F U L' F
D' B2 D2 R F' R U
D' B2 D2 F' R F' U
