F' R D B' U2 R2
F' R D' L2 U2 F
F' R D' B' L2 U2
F' R B' U' F2 U'
F' R B' U2 D R2
F' R B' D U2 R2
F' R B' D' L2 U2
F U F2 R B' U2
F U F2 B' R U2
F U B' F2 R U2
F' D R B' U2 R
F' D B' R U2 R
F' D' L2 R U2 F
F' D' R L2 U2 F
F' D' R B' L2 U2
F' D' B' L2 R U2
F' D' B' R L2 U2
F' B' R U' F2 U'
F' B' R U2 D R2
F' B' R D U2 R2
F' B' R D' L2 U2
B' F' R U' F2 U'
B' F' R U2 D R2
B' F' R D U2 R2
B' F' R D' L2 U2
F' B' U' F2 U' L'
B' F' U' F2 U' L'
F' B' D R U2 R
B' F' D R U2 R
F' B' D' L2 R U2
F' B' D' R L2 U2
B' F' D' L2 R U2
B' F' D' R L2 U2
F' L' U' F2 U' L' F
F' L2 R U' F2 U' F'
F' L2 R U2 D R2 F
F' L2 R U2 D F R2
F' L2 R D U2 R2 F
F' L2 R D U2 F R2
F' L2 R D' L2 B' U2
L2 R2 F L' D' B R'
R2 L2 F L' D' B R'
L2 R2 F B L' D' R2
L2 R2 F B D' L' R2
L2 R2 F B D' R2 L'
R2 L2 F B L' D' R2
R2 L2 F B D' L' R2
R2 L2 F B D' R2 L'
F L2 U F2 U2 L F'
F L2 U F2 U2 F' L
F' L2 U' F2 U' L' F'
F L2 U' D2 F L B2
F L2 U' F L2 B' L'
L2 R2 B F L' D' R2
L2 R2 B F D' L' R2
L2 R2 B F D' R2 L'
R2 L2 B F L' D' R2
R2 L2 B F D' L' R2
R2 L2 B F D' R2 L'
L2 R2 B' U F L' B2
L2 R2 B' U F B2 L'
L2 R2 B' U B2 F L'
F' L2 D R U2 R F
R2 L2 B' U F L' B2
R2 L2 B' U F B2 L'
R2 L2 B' U B2 F L'
F L2 D R2 U' F L
F' L2 D' L2 R B' U2
F' L2 D' L2 B' R U2
F' L2 D' R L2 B' U2
F L2 D2 U' F L B2
B' L2 F' R U B' U
F2 L2 F' U' B' L' F2
F' R L2 U' F2 U' F'
