B U' R' F L' B'
B U' F L' R' B'
B U' F R' L' B'
R' B U' R' F L'
R' B U' F L' R'
R' B U' F R' L'
F L' R B D R' B2
F L' R B' D B2 R'
F L' R2 B R' D B2
F L' B' D' B2 R' B
R' U F L' R2 B R'
R' U F R2 L' B R'
R' U F R2 B L' R'
R' U F R2 B R' L'
F R L' B D R' B2
F R L' B' D B2 R'
B R U' R2 F L' B'
R' U B U2 R' F L'
R' U B U2 F L' R'
R' U B U2 F R' L'
B R U' F L' R2 B'
B R U' F L' B' R2
B R U' F R2 L' B'
R' U B2 U2 F L' R
R' U B2 U2 F R L'
F R B L' D R' B2
F R B D L' R' B2
F R B D R' L' B2
F R B D R' B2 L'
F R B' D B2 L' R'
F R B' D B2 R' L'
R' U' F L' B R' B'
R' U' F B R' B' L'
R' U' F2 D2 F' L' R
R' U' F2 D2 F' R L'
R' U' B R' F B' L'
R' U' B R' B' F L'
R' U' B F R' B' L'
D R' D' B U' R' F
D R' D' B U' F R'
B R' F B L' D' B2
U' R' B U' R' F L'
U' R' B U' F L' R'
U' R' B U' F R' L'
U2 R' B U' R' F L'
U2 R' B U' F L' R'
U2 R' B U' F R' L'
B R' B F L' D' B2
U R' B U' R' F L'
U R' B U' F L' R'
U R' B U' F R' L'
F R2 L' B R' D B2
B R2 U R F L' B
B R2 U R F B L'
B R2 U R B F L'
R' U2 B U R' F L'
R' U2 B U F L' R'
R' U2 B U F R' L'
B R2 U' R F L' B'
F R2 B L' R' D B2
F R2 B R' L' D B2
F R2 B R' D L' B2
F R2 B R' D B2 L'
B U R F L' B R2
B U R F B L' R2
B U R F B R2 L'
B U R B R2 F L'
B U R B F L' R2
B U R B F R2 L'
B U R' F L' D2 B2
B U R' F D2 L' B2
B U R' F D2 B2 L'
F U R' B U' L' R'
F U R' B U' R' L'
B U F L' R B R2
B U F R L' B R2
B U F R B L' R2
B U F R B R2 L'
F U B U' L' R' B'
F U B U' R' L' B'
B U' R F L' R2 B'
B U' R F L' B' R2
B U' R F R2 L' B'
B U' R' F L' D B'
B U' R' F L' D' B'
B U' R' F L' D2 B'
B U' R' F L' B' D
B U' R' F L' B' D'
B U' R' F L' B' D2
B U' R' F D L' B'
B U' R' F D' L' B'
B U' R' F D2 L' B'
B U' R' F B L' B'
B U' R' F B' L' B'
B U' R' F B2 L' B'
B U' R' B F L' B'
B U' R' B' F L' B'
B U' R' B2 F L' B'
B U' F L' R B' R2
B U' F L' R' D B'
B U' F L' R' D' B'
B U' F L' R' D2 B'
B U' F L' R' B' D
B U' F L' R' B' D'
B U' F L' R' B' D2
B U' F L' R2 B' R
B U' F L' D R' B'
B U' F L' D' R' B'
B U' F L' D2 R' B'
B U' F R L' B' R2
B U' F R' L' D B'
B U' F R' L' D' B'
B U' F R' L' D2 B'
B U' F R' L' B' D
B U' F R' L' B' D'
B U' F R' L' B' D2
B U' F R' D L' B'
B U' F R' D' L' B'
B U' F R' D2 L' B'
B U' F R' B L' B'
B U' F R' B' L' B'
B U' F R' B2 L' B'
B U' F R2 L' B' R
B U' F D L' R' B'
B U' F D R' L' B'
B U' F D' L' R' B'
B U' F D' R' L' B'
B U' F D2 L' R' B'
B U' F D2 R' L' B'
B U' F B L' B' R'
B U' B F L' B' R'
B2 U2 F L' R D' B2
B2 U2 F L' D' R B2
B2 U2 F L' D' B2 R
B2 U2 F R L' D' B2
B U2 F L' R' D B2
R2 F L' B D R' B
B U2 F R' L' D B2
B U2 F R' D L' B2
B U2 F R' D B2 L'
R F L' B D R' B2
R F L' B' D B2 R'
F D L' U R' F U'
F D L' U F R' U'
R2 F B L' D R' B
R2 F B D L' R' B
R2 F B D R' L' B
R2 F B D R' B L'
R F B L' D R' B2
R F B D L' R' B2
R F B D R' L' B2
R F B D R' B2 L'
R F B' D B2 L' R'
R F B' D B2 R' L'
R' F' B U' F2 L' R'
R' F' B U' F2 R' L'
F2 D2 F' L' R D B2
F2 D2 F' R L' D B2
F2 D2 F' R D L' B2
F2 D2 F' R D B2 L'
R2 B R U' R2 F L'
R2 B R U' F L' R2
R2 B R U' F R2 L'
R2 B R' F L' D B2
R2 B R' F D L' B2
R2 B R' F D B2 L'
U' B U' R' F L' B'
R' B U' R F L' R2
R' B U' R F R2 L'
R' B U' R' F L' D
R' B U' R' F L' D'
R' B U' R' F L' D2
R' B U' R' F D L'
R' B U' R' F D' L'
R' B U' R' F D2 L'
U' B U' F L' R' B'
U' B U' F R' L' B'
R' B U' F L' R' D
R' B U' F L' R' D'
R' B U' F L' R' D2
R' B U' F L' D R'
R' B U' F L' D' R'
R' B U' F L' D2 R'
R' B U' F R' L' D
R' B U' F R' L' D'
R' B U' F R' L' D2
R' B U' F R' D L'
R' B U' F R' D' L'
R' B U' F R' D2 L'
R' B U' F D L' R'
R' B U' F D R' L'
R' B U' F D' L' R'
R' B U' F D' R' L'
R' B U' F D2 L' R'
R' B U' F D2 R' L'
R B R2 U' R F L'
U2 B U' R' F L' B'
U2 B U' F L' R' B'
