U L2 F L' F2 R
F R2 B U L' F2
D2 U' F' L2 B' L
U' D2 F' L2 B' L
U' F L F2 L2 B'
U F L F2 L2 R
U F L F2 R L2
F D R2 B U L'
U' F' U2 R F U2
U F' U2 R U2 R'
U L R' F2 R F' L'
L' R U2 L U F L'
U' L D2 F' L2 B' L
U' L F L F2 L2 B'
U L F L' F R F
U' L F' U2 R F U2
U L F2 R F' L' F2
D' L B' U2 L' U F'
R L' U2 L U F L'
D' L' U2 F L U F2
U' L' D2 F' L2 B' L
U' L' F L F2 L2 B'
U L' F L' F2 D2 R2
U L' F L2 F2 L R
U L' F L2 F2 R L
U' L' F' U2 R F U2
U L' F' U2 L R U2
U L' F' U2 R L U2
D' L2 U' D' F' L' B2
D' L2 U' D' F' B2 L'
D' L2 U' D' B2 F' L'
D' L2 U' F' D' L' B2
D' L2 U' F' D' B2 L'
D' L2 U2 L2 U F' L'
D' L2 D' U' F' L' B2
D' L2 D' U' F' B2 L'
D' L2 D' U' B2 F' L'
R' U L F2 R F' L'
U' L2 D2 F' L2 B' L
U' L2 F L F2 L2 B'
U L2 F L' R F2 R
U L2 F L' R' F2 R
U L2 F L' R2 F2 R
U L2 F L' F2 R D
U L2 F L' F2 R D'
U L2 F L' F2 R D2
U L2 F L' F2 D R
U L2 F L' F2 D' R
U L2 F L' F2 D2 R
U L2 F R L' F2 R
U L2 F R' L' F2 R
U L2 F R2 L' F2 R
U' L2 F' U2 R F U2
U L2 F' R' D2 L2 R2
U L2 F' R' D2 R2 L2
U L2 F' U2 L2 R U2
U L2 F' U2 R L2 U2
F' L2 B D' R2 B2 L
R2 U D2 B R' U2 B'
R2 U F B U2 B' L'
F R U L' F R F
R2 U F' B R U2 B'
U' R U2 L R' F L'
U' R U2 L F L' R'
U' R U2 L F R' L'
U' R U2 R' L F L'
R2 U B U2 D2 B' L
R2 U B D2 U2 B' L
R2 U B F U2 B' L'
R2 U B F' R U2 B'
U R F' R B U2 B'
L' U' F L' F2 D' B2
R2 U' D2 B R' U2 R
U R' L F2 R F' L'
U' R' U2 R F L' F2
L' U2 L U F L' F2
L' U2 L F U L' F2
L U2 L' U F L' F2
L U2 L' F U L' F2
L2 U2 L2 U F L' F2
L2 U2 L2 F U L' F2
L U2 D' L' F U F2
L' U2 F L U L2 F2
L' U2 F L U F2 L2
L2 U2 F L2 U L F2
L2 U2 F L2 U F2 L
L U2 F U L' F2 B'
L U2 F U L' B' F2
D2 R2 U B R' U2 B'
D2 R2 U' B R' U2 R
U' R2 U2 R2 F L' F2
U' R2 U2 F L' R2 F'
U' R2 U2 F R2 L' F'
U' R2 U2 F2 R2 F' L'
F R2 D B R2 U L'
U' R2 D2 L2 B R' U2
U' R2 D2 B L2 R' U2
U' R2 D2 B R' L2 U2
U' R2 F L' R2 F' B
U' R2 F L' R2 B F'
U' R2 F R2 L' F' B
U' R2 F R2 L' B F'
U' R2 F R2 B L' F'
U R2 D2 B R' U2 B'
U R2 F B U2 B' L'
U R2 F' B R U2 B'
F R2 B R U L' F2
F R2 B R' U L' F2
F R2 B R2 U L' F2
F R2 B U L F2 L2
F R2 B U L' F2 D
F R2 B U L' F2 D'
F R2 B U L' F2 D2
F R2 B U L2 F2 L
F R2 B D R2 U L'
U R2 B U2 D2 B' L
U R2 B D2 U2 B' L
U R2 B F U2 B' L'
U R2 B F' R U2 B'
F U L' U F' U' F'
B' U L2 F L' F2 R
F U L' F D R2 F
F U L' F D F R2
B2 U L2 F L' F2 R
F U L' F2 U F U'
B U L2 F L' F2 R
D2 U R2 B R' U2 B'
U' D F' L2 D B' L
U' D F' D L2 B' L
B' U F L F2 L2 R
B' U F L F2 R L2
L2 D' L B' U' F' B'
L2 D' L B' U' B' F'
B2 U F L F2 L2 R
B2 U F L F2 R L2
B U F L F2 L2 R
B U F L F2 R L2
L2 D' L2 U' F' L' B2
L2 D' L2 U' F' B2 L'
L2 D' L2 U' B2 F' L'
B' U F' U2 R U2 R'
B2 U F' U2 R U2 R'
D2 U B' U2 L F' B
D2 U B' U2 L B F'
D2 U B' U2 F' L B
B U F' U2 R U2 R'
D2 U B2 U2 F' L' B2
D2 U B2 U2 F' B2 L'
D2 U B2 U2 B2 F' L'
D2 U' L F' L2 B' L
D' U' L' F' D' L2 B'
U' D' L' F' D' L2 B'
D2 U' L' F' L2 B' L
D2 U' L2 F' L2 B' L
L D' U2 L' F U F2
D2 U' R2 B R' U2 R'
D2 U' F' L B' L B'
D2 U' F' L2 B' L D
D2 U' F' L2 B' L D'
D2 U' F' L2 B' L D2
D2 U' F' L2 B' D L
D2 U' F' L2 B' D' L
D2 U' F' L2 B' D2 L
D' U' F' D' L2 B' L
U' D' F' D' L2 B' L
D2 U' F' B' L2 B' L'
D U' F' L2 D B' L
D U' F' D L2 B' L
D2 U' F2 D2 F L' B2
D2 U' F2 D2 F B2 L'
D2 U' F2 D2 B2 F L'
D2 U' B R' U2 R F'
D2 U' B' L' F' L2 B'
B' U' D2 F' L2 B' L
D2 U' B' F' L2 B' L'
B2 U' D2 F' L2 B' L
B' U' F L F2 L2 B'
B2 U' F L F2 L2 B'
B U' D2 F' L2 B' L
B U' F L F2 L2 B'
U' D2 L F' L2 B' L
B' U' F' U2 R F U2
B2 U' F' U2 R F U2
U' D2 L' F' L2 B' L
B U' F' U2 R F U2
U' D2 L2 F' L2 B' L
L2 D2 R2 U B R' U2
R2 D2 U B R' U2 B'
U' D2 R2 B R' U2 R'
R2 D2 U' B R' U2 R
U' D2 F' L B' L B'
U' D2 F' L2 B' L D
U' D2 F' L2 B' L D'
U' D2 F' L2 B' L D2
U' D2 F' L2 B' D L
U' D2 F' L2 B' D' L
U' D2 F' L2 B' D2 L
F U2 L F' U' L2 F'
F U2 L F' U' F' L2
U D2 R2 B R' U2 B'
U' D2 F' B' L2 B' L'
F' U2 R U' R' F U'
F' U2 R U' F R' U'
U' D2 F2 D2 F L' B2
U' D2 F2 D2 F B2 L'
U' D2 F2 D2 B2 F L'
U' D2 B R' U2 R F'
F U2 L2 F' U' L F'
F U2 L2 F' U' F' L
U' D2 B' L' F' L2 B'
U' D2 B' F' L2 B' L'
U D2 B' U2 L F' B
U D2 B' U2 L B F'
U D2 B' U2 F' L B
U' F L F2 L2 D B'
U' F L F2 L2 D' B'
U' F L F2 L2 D2 B'
U' F L F2 L2 B' D
U' F L F2 L2 B' D'
U' F L F2 L2 B' D2
U' F L F2 B L2 B'
U' F L F2 B' L2 B'
U' F L F2 B2 L2 B'
U' F L B F2 L2 B'
U' F L B' F2 L2 B'
U' F L B2 F2 L2 B'
U' F L' R2 F2 B R2
U' F L' R2 B R2 F2
U' F L' R2 B F2 R2
U' F L' U2 F' U2 F'
U D2 B2 U2 F' L' B2
U D2 B2 U2 F' B2 L'
U D2 B2 U2 B2 F' L'
U' F L' F D2 F B2
U' F L' F D2 B2 F
U' F L' F2 L2 B' L2
U' F L' F2 U2 F U2
F U2 D' L2 F' U' L
U F L R F2 L2 R
U F L R F2 R L2
U F L R' F2 L2 R
U F L R' F2 R L2
U F L R2 F2 L2 R
U F L R2 F2 R L2
U F L F' L2 F' R
U F L F2 L2 R D
U F L F2 L2 R D'
U F L F2 L2 R D2
U F L F2 L2 D R
U F L F2 L2 D' R
U F L F2 L2 D2 R
U F L F2 R L2 D
U F L F2 R L2 D'
U F L F2 R L2 D2
U' F L2 F2 L2 B' L'
U2 F L2 U' L F2 R
U F L' U2 L U2 F2
U F L' F2 U2 L U2
U F L' F2 B2 R' B2
U F L' B2 R' F2 B2
U F L' B2 R' B2 F2
U F L' B2 F2 R' B2
U F L2 F2 D2 L R2
U F L2 F2 D2 R2 L
F U2 F' U' F L' F2
U F R L F2 L2 R
U F R L F2 R L2
F2 U2 F2 B U' L F'
F2 U2 F2 B U' F' L
U' F R2 L' F2 B R2
U' F R2 L' B R2 F2
U' F R2 L' B F2 R2
U' F R2 B L' R2 F2
U' F R2 B L' F2 R2
U' F R2 B R2 L' F2
U F R' L F2 L2 R
U F R' L F2 R L2
F2 U2 B F2 U' L F'
F2 U2 B F2 U' F' L
U F R2 L F2 L2 R
U F R2 L F2 R L2
U2 F U L' F2 D2 B2
R2 F R2 B U L' F'
U2 F U' L F2 L2 R
U2 F U' L F2 R L2
U F U2 L' F2 D2 B2
U' F B L F2 L2 B'
U' F B' L F2 L2 B'
U' F B2 L F2 L2 B'
U F D2 B2 U2 L' B2
U F D2 B2 U2 B2 L'
U F B U2 B' L' F2
F D R2 D B U L'
F D R2 D' B U L'
F D R2 D2 B U L'
F D R2 B U L' D
F D R2 B U L' D'
F D R2 B U L' D2
F D R2 B U D L'
F D R2 B U D' L'
F D R2 B U D2 L'
F D R2 B D U L'
F D R2 B D' U L'
F D R2 B D2 U L'
U F B' U2 L' F2 B
U F B' U2 L' B F2
U F B' U2 B L' F2
U' F' L' U2 R U2 B
U F B2 L' F2 B2 R'
U F B2 L' B2 R' F2
U F B2 L' B2 F2 R'
U' F' L' F2 L' F2 B'
U' F' L' F2 L' B' F2
U F B2 U2 L' F2 B2
U F B2 U2 L' B2 F2
U F B2 U2 B2 L' F2
U' F' L2 U2 R U2 B'
U F' L U2 L' R U2
U F' L U2 R L' U2
U' F' L2 F2 B' L' F2
U F' L F2 L' R F2
U F' L F2 R L' F2
U' F' L2 B' U2 R U2
U' F' L2 B' F2 L' F2
U F' L' U2 L R U2
