F' B R U2 R2
B F' R U2 R2
B' L F' R B2 U2
B L F' R U2 R2
B' L F' B2 R U2
F' L B R U2 R2
B' L B2 F' R U2
B L' F' R U2 R2
F' L' B R U2 R2
B L2 F' R U2 R2
F' L2 B R U2 R2
R2 F L' F2 B R'
R2 F L' B R' F2
R2 F L' B F2 R'
R2 F B L' R' F2
R2 F B L' F2 R'
R2 F B R' L' F2
L' F' B R U2 R2
U' F' B R U2 R2
D2 F' B R' U2 R2
U2 F' B R U2 R2
L2 F' B R U2 R2
R2 F' B R' D2 L2
L F' B R U2 R2
U F' B R U2 R2
F' B L R U2 R2
F' B L' R U2 R2
F' B L2 R U2 R2
F' B R L U2 R2
F' B R L' U2 R2
F' B R L2 U2 R2
F' B R U2 R2 D
F' B R U2 R2 D'
F' B R U2 R2 D2
F' B R D2 L2 U2
L' B F' R U2 R2
R2 B F L' R' F2
R2 B F L' F2 R'
U' B F' R U2 R2
R2 B F R' L' F2
D2 B F' R' U2 R2
L2 B F' R U2 R2
L2 B F' R U2 R2
U2 B F' R U2 R2
R2 B F' R' D2 L2
L B F' R U2 R2
F' B U2 R' D2 L2
U B F' R U2 R2
F' B D R U2 R2
F' B D' R U2 R2
F' B D2 R U2 R2
F' B' L R B2 U2
B' F' L R B2 U2
F' B' L B2 R U2
B' F' L B2 R U2
B F' L R U2 R2
F' B' R L B2 U2
B' F' R L B2 U2
B F' L' R U2 R2
F' B' R B2 U2 R'
B' F' R B2 U2 R'
B F' L2 R U2 R2
B2 F' R B' U2 R'
B F' R L U2 R2
B F' R L' U2 R2
B F' R L2 U2 R2
B F' R U2 R2 D
B F' R U2 R2 D'
B F' R U2 R2 D2
B F' R D2 L2 U2
B F' U2 R' D2 L2
B F' D R U2 R2
B F' D' R U2 R2
B F' D2 R U2 R2
F' B2 R B' U2 R'
R2 L F L' F2 B R'
R2 L F L' B R' F2
R2 L F L' B F2 R'
R2 L F B L' R' F2
R2 L F B L' F2 R'
R2 L F B R' L' F2
R2 L F' B R' D2 L2
B L F' L R U2 R2
B L F' L' R U2 R2
B' L F' R U2 D2 F2
B' L F' R D2 U2 F2
B' L F' R B2 U2 D
B' L F' R B2 U2 D'
B' L F' R B2 U2 D2
B' L F' R B2 D U2
B' L F' R B2 D' U2
B' L F' R B2 D2 U2
B L F' L2 R U2 R2
R2 L B F L' R' F2
B' L F' R' B2 R2 U2
R2 L B F L' F2 R'
R2 L B F R' L' F2
B L F' R L U2 R2
B L F' R L' U2 R2
B L F' R L2 U2 R2
B L F' R U2 R2 D
B L F' R U2 R2 D'
B L F' R U2 R2 D2
B L F' R D2 L2 U2
B' L F' R2 B2 U2 L
R2 L B F' R' D2 L2
B' L F' U2 D2 F2 L'
D2 L F' B R' U2 R2
B L F' U2 R' D2 L2
B' L F' D2 R U2 F2
B L F' D R U2 R2
B' L F' D2 U2 F2 L'
U2 L F' B R U2 R2
U' L F' B R U2 R2
B L F' D' R U2 R2
B' L F' B' R B' U2
B L F' D2 R U2 R2
B' L F' B2 R U2 D
B' L F' B2 R U2 D'
B' L F' B2 R U2 D2
B' L F' B2 R D U2
B' L F' B2 R D' U2
B' L F' B2 R D2 U2
B' L F' B2 D R U2
B' L F' B2 D' R U2
B' L F' B2 D2 R U2
U L F' B R U2 R2
F' L B L R U2 R2
F L F2 B U2 L2 R'
F L F2 B U2 R' L2
F' L B L' R U2 R2
F' L B L2 R U2 R2
F' L B R L U2 R2
F' L B R L' U2 R2
F' L B R L2 U2 R2
F' L B R U2 R2 D
F' L B R U2 R2 D'
F' L B R U2 R2 D2
F' L B R D2 L2 U2
F' L B U2 R' D2 L2
F' L B D R U2 R2
