F2 R U2 F' U F
R' U' F2 B R U'
R' U' B F2 R U'
U' R' F2 B R U'
U' R' B F2 R U'
U' R2 F2 R B U'
D2 U L' F B2 U
D2 U L' B2 F U
D2 U B2 L' F U
U D2 L' F B2 U
U D2 L' B2 F U
U D2 B2 L' F U
U' F2 R U2 F' U
U' F2 R' B R2 U'
F2 L R U2 F' U F
D2 L U L2 F B2 U
D2 L U L2 B2 F U
L' R F' U2 F' U' F
R' L' U2 F2 B U' F2
L' R' U2 F2 B U' F2
R' L' U2 B F2 U' F2
L' R' U2 B F2 U' F2
F2 L' R U2 F' U F
D2 L' U F B2 U B2
D2 L' U B2 F U B2
R L' F' U2 F' U' F
U L' D B' U L R2
U L' D B' U R2 L
D2 L' F B2 U D2 F2
D2 L' F B2 U' B2 U2
D2 L' F B2 D' R2 U
D2 L' F B2 D2 U F2
D L' B' U L R2 F'
D L' B' U R2 L F'
D L' B' U R2 F' L
D2 L' B2 D' R2 F U
D2 L' B2 D' F R2 U
D2 L' B2 D2 F U F
D2 L' B2 F U D2 F2
D2 L' B2 F U' B2 U2
D2 L' B2 F D' R2 U
D2 L' B2 F D2 U F2
F2 L2 R U2 F' U F
D' L2 U L F U L'
D' L2 U F L U L2
R' U L' U2 F2 B U'
R' U L' U2 B F2 U'
D' L2 F U L U L2
D' L2 F U2 L' D' B2
R U L' D F' U R2
R U L' D2 F' B2 U
R U L' D2 B2 F' U
R U L' F' U2 F' U'
D' L2 F' R U L U
D' L2 F2 U L F U
R U D L' F' U R2
F2 R L U2 F' U F
R U D2 L' F' B2 U
R U D2 L' B2 F' U
F2 R L' U2 F' U F
R U D2 B2 L' F' U
F2 R L2 U2 F' U F
D2 R U L' F B2 U
D2 R U L' B2 F U
D2 R U B2 L' F U
R U F' U2 F' R U'
F2 R U2 D F' U F
F2 R U2 D' F' U F
F2 R U2 D2 F' U F
F2 R U2 F' R U F
F2 R U2 F' R' U F
F2 R U2 F' R2 U F
F2 R U2 F' U D F
F2 R U2 F' U D' F
F2 R U2 F' U D2 F
F2 R U2 F' U F D
F2 R U2 F' U F D'
F2 R U2 F' U F D2
F2 R U2 F' D U F
F2 R U2 F' D' U F
F2 R U2 F' D2 U F
F2 R D U2 F' U F
F2 R D' U2 F' U F
F2 R D2 U2 F' U F
U' R F2 R U2 F U
R U' R F2 R B U'
R' U' R' F2 R B U'
R U' R2 F2 B R U'
R U' R2 B F2 R U'
D2 R' U L' F B2 U
D2 R' U L' B2 F U
D2 R' U B2 L' F U
R' U' F2 D B R U'
R' U' F2 D' B R U'
R' U' F2 D2 B R U'
R' U' F2 B R U' D
R' U' F2 B R U' D'
R' U' F2 B R U' D2
R' U' F2 B R D U'
R' U' F2 B R D' U'
R' U' F2 B R D2 U'
U2 R' U F2 B R U'
R' U' F2 B D R U'
R' U' F2 B D' R U'
R' U' F2 B D2 R U'
R' U' F2 B' R B2 U'
U2 R' U B F2 R U'
R' U' F2 B2 R B' U'
R2 U' F2 R B U' L
R' U' B R F2 R U'
R' U' B R' F2 R U'
R U' F2 R U2 F U
R' U' B R2 F2 R U'
L2 U' F2 B2 R' B U'
R2 U' F2 B R U' L
F2 R' U' B R2 U' R2
R' U' B F2 R U' D
R' U' B F2 R U' D'
R' U' B F2 R U' D2
R' U' B F2 R D U'
R' U' B F2 R D' U'
R' U' B F2 R D2 U'
R' U' B F2 D R U'
R' U' B F2 D' R U'
R' U' B F2 D2 R U'
R2 U' B F2 R U' L
R' U' B' F2 R B2 U'
L2 U' B2 R' F2 B U'
L2 U' B2 R' B F2 U'
R' U' B2 F2 R B' U'
L2 U' B2 F2 R' B U'
U' R' F2 D B R U'
U' R' F2 D' B R U'
U' R' F2 D2 B R U'
U' R' F2 B R U' D
U' R' F2 B R U' D'
U' R' F2 B R U' D2
U' R' F2 B R D U'
U' R' F2 B R D' U'
U' R' F2 B R D2 U'
U' R' F2 B D R U'
U' R' F2 B D' R U'
U' R' F2 B D2 R U'
U' R' F2 B' R B2 U'
U' R' F2 B2 R B' U'
U R' F2 L' B R U'
U2 R' F2 B R U' F2
U' R' B R F2 R U'
U' R' B R' F2 R U'
U' R' B R2 F2 R U'
F2 R' B L2 R2 U' F
F2 R' B R2 L2 U' F
F2 R' B R2 U B' U2
U R' F2 B L' R U'
U R' F2 B R L' U'
U' R' B F2 R U' D
U' R' B F2 R U' D'
U' R' B F2 R U' D2
U' R' B F2 R D U'
U' R' B F2 R D' U'
U' R' B F2 R D2 U'
U' R' B F2 D R U'
U' R' B F2 D' R U'
U' R' B F2 D2 R U'
U2 R' B F2 R U' F2
F2 R' B' R2 B2 U' F'
U' R' B' F2 R B2 U'
U R' B F2 L' R U'
U R' B F2 R L' U'
U' R' B2 F2 R B' U'
D2 R2 U L' F B2 U
D2 R2 U L' B2 F U
D2 R2 U B2 L' F U
R' U2 F2 B R U' F2
R' U2 B F2 R U' F2
U' R2 F2 R D B U'
U' R2 F2 R D' B U'
U' R2 F2 R D2 B U'
U' R2 F2 R B U' D
U' R2 F2 R B U' D'
U' R2 F2 R B U' D2
U' R2 F2 R B D U'
U' R2 F2 R B D' U'
U' R2 F2 R B D2 U'
B' R2 F2 R B U' F
U' R2 F2 D R B U'
U2 R2 F2 R B U' F2
U' R2 F2 D' R B U'
U' R2 F2 D2 R B U'
U' R2 F2 B R B U'
U' R2 F2 B' R B U'
U' R2 F2 B2 R B U'
U' R2 B F2 R B U'
U' R2 B' F2 R B U'
U' R2 B2 F2 R B U'
R D U L' F' U R2
D2 U L' D' F U R2
D2 U L' F U D' R2
D2 U L' F D' U R2
D2 U L' F B2 U D
D2 U L' F B2 U D'
D2 U L' F B2 U D2
D2 U L' F B2 D U
D2 U L' F B2 D' U
D2 U L' F B2 D2 U
D2 U L' B2 D F U
D2 U L' B2 D' F U
D2 U L' B2 D2 F U
D2 U L' B2 F U D
D2 U L' B2 F U D'
D2 U L' B2 F U D2
D2 U L' B2 F D U
D2 U L' B2 F D' U
D2 U L' B2 F D2 U
D U L' B' U L R2
D U L' B' U R2 L
U D L' B' U L R2
U D L' B' U R2 L
L' D B' U L R2 F'
L' D B' U R2 L F'
L' D B' U R2 F' L
U2 D R2 B' L D' B2
D2 U B L' F B U
D2 U B L' B F U
U2 D B' L R2 D' B2
R D' L2 U L F' U
R D' L2 U F' L U
U2 D B' R2 L D' B2
L D' L2 F U2 L' B2
L D' L2 F U2 B2 L'
D U B' L' U L2 R2
D U B' L' U R2 L2
L D' L2 F' R U2 B2
D2 U B2 L' D F U
D2 U B2 L' D' F U
D2 U B2 L' D2 F U
D2 U B2 L' F U D
D2 U B2 L' F U D'
D2 U B2 L' F U D2
D2 U B2 L' F D U
D2 U B2 L' F D' U
D2 U B2 L' F D2 U
U D B' L' U L2 R2
U D B' L' U R2 L2
D2 U' L' F B2 R' U
D2 U' L' B2 R' F U
D2 U' L' B2 F R' U
L D' F L2 U2 L B2
L D' F' L2 R U2 B2
L D' F' R L2 U2 B2
F2 U' R U2 F' U R'
F2 U' R' B R2 U' R'
F' U' F' R U2 F' U
F' U' F' R' B R2 U'
U' D2 L' F B2 R' U
D2 U2 L' F B2 U F'
U' D2 L' B2 R' F U
U' D2 L' B2 F R' U
