D2 R2 B' D' B' L
D B D B2 L R2
D B D B2 R2 L
D B' L D R2 B2
D B' L D B2 R2
D2 B' R2 D' B' L
D B' D L R2 B2
D B' D L B2 R2
D B' D R2 L B2
D2 L R2 U B' U' B'
D2 L R2 B D L2 B
D2 L R2 B D B L2
D2 L R2 B2 U B U'
D2 L U B' U' R2 B'
D2 L U B' U' B' R2
L2 R F2 U F U F
D L B D B2 L R2
D L B D B2 R2 L
D L B' L D R2 B2
D L B' L D B2 R2
D L B' D L R2 B2
D L B' D L B2 R2
D L B' D R2 L B2
D2 L B2 R2 U' F' U
D2 L B2 U B U' R2
D2 L' R2 U' F U B2
D2 L' R2 B2 U' F U
D2 L' U' F U R2 B2
D2 L' U' F U B2 R2
L2 R' F2 U' B U' F2
D2 L' F U F' R2 B2
D2 L' F U F' B2 R2
D2 L' F U B2 F' R2
D L' B D B2 L R2
D L' B D B2 R2 L
D L' B' L D R2 B2
D L' B' L D B2 R2
D L' B' D L R2 B2
D L' B' D L B2 R2
D L' B' D R2 L B2
D2 L' B2 R2 U' F U
D2 L' B2 U' F U R2
F2 L2 R U F' U F'
U2 L2 R F2 U F U
F2 L2 R' U' B U' F2
U2 L2 R' F2 U' B U'
F2 L2 U R F' U F'
R' L2 F2 U' B U' F2
R L2 F2 U F U F
F2 L2 U2 F D' F L'
F L2 U2 D F' B' L
F L2 U2 D B' L F'
F L2 U2 D B' F' L
F L2 U2 F' D B' L
F' L2 D F' B' U2 L
F' L2 D B' F' U2 L
F L2 D U2 F' B' L
F L2 D U2 B' L F'
F L2 D U2 B' F' L
F' L2 D' F' R B' U2
F' L2 D' F' B' R U2
F' L2 D' B' F' R U2
D' L2 F B2 U L' F'
U2 L2 F D' F U2 L'
F' L2 F' D B' U2 L
U2 L2 F' D' F' R U2
U2 L2 F2 R U F' U
U2 L2 F2 R' U' B U'
D L2 B D B2 L R2
D L2 B D B2 R2 L
D L2 B' L D R2 B2
D L2 B' L D B2 R2
