F R F' U D R2
F R F' U2 F2 U'
F R F' D U R2
F R F' D2 B2 U
R' U2 F2 B L U'
R' U2 B L F2 U'
R' U2 B F2 L U'
R F' U2 L' F' U'
D B' U L R2 F
D B' U L F R2
D B' U R2 L F
U L D R2 D2 F L'
U L D' F D2 L' R2
U L D' F D2 R2 L'
D2 L' F L R B2 U
D2 L' F L B2 R U
D2 L' F R L B2 U
F' L' F' B2 R' B U'
F' L' B2 F' R' B U'
F L2 R F' B' L2 U
F L2 R B' L2 F' U
F L2 R B' F' L2 U
F L2 B' L2 R F' U
F L2 B' R L2 F' U
F L2 B' R F' L2 U
F R L2 F' B' L2 U
F R L2 B' L2 F' U
F R L2 B' F' L2 U
F R U2 F U' D' L2
F R U2 F U2 F2 U
F R U2 F D' U' L2
F R U2 F D2 B2 U'
F R D F' U D R2
F R D F' U2 F2 U'
F R D F' D U R2
F R D F' D2 B2 U
F R D' F' U D R2
F R D' F' U2 F2 U'
F R D' F' D U R2
F R D' F' D2 B2 U
F R D2 F' U D R2
F R D2 F' U2 F2 U'
F R D2 F' D U R2
F R D2 F' D2 B2 U
F2 R F' R U2 F U'
B' R F' U2 L' F' U'
B2 R F' U2 L' F' U'
B R F' U2 L' F' U'
F R F' U R D R2
F R F' U R' D R2
F R F' U R2 D R2
F R F' U D R2 D
F R F' U D R2 D'
F R F' U D R2 D2
F R F' U' D' L2 U2
F' R F2 R F B U
F' R F2 R B F U
F R F' U2 F2 U' D
F R F' U2 F2 U' D'
F R F' U2 F2 U' D2
F R F' U2 F2 D U'
F R F' U2 F2 D' U'
F R F' U2 F2 D2 U'
F R F' D U R2 D
F R F' D U R2 D'
F R F' D U R2 D2
F R F' D B U R2
F R F' D B' U R2
F R F' D B2 U R2
F R F' D' U' L2 U2
F R F' D2 B2 U D
F R F' D2 B2 U D'
F R F' D2 B2 U D2
F R F' D2 B2 D U
F R F' D2 B2 D' U
F R F' D2 B2 D2 U
F R F' B U D R2
F R F' B U2 F2 U'
F R F' B D U R2
F R F' B D2 B2 U
F R F' B' U D R2
F R F' B' U2 F2 U'
F R F' B' D U R2
F R F' B' D2 B2 U
F R F' B2 U D R2
F R F' B2 U2 F2 U'
F R F' B2 D U R2
F R F' B2 D2 B2 U
F R B F' U D R2
F R B F' U2 F2 U'
F R B F' D U R2
F R B F' D2 B2 U
D R B' U L R F
D R B' U R L F
F R B' F' U D R2
F R B' F' U2 F2 U'
F R B' F' D U R2
F R B' F' D2 B2 U
F R B2 F' U D R2
F R B2 F' U2 F2 U'
F R B2 F' D U R2
F R B2 F' D2 B2 U
U R' U F2 B L U'
U R' U B L F2 U'
U R' U B F2 L U'
U' R' U' F2 B U' F
U' R' U' B F2 U' F
B' R' U2 F2 B L U'
B' R' U2 B L F2 U'
B' R' U2 B F2 L U'
B2 R' U2 F2 B L U'
B2 R' U2 B L F2 U'
B2 R' U2 B F2 L U'
B R' U2 F2 B L U'
B R' U2 B L F2 U'
B R' U2 B F2 L U'
R' U2 L F2 B L U'
R' U2 L B L F2 U'
R' U2 L B F2 L U'
R' U2 L' F2 B L U'
R' U2 L' B L F2 U'
R' U2 L' B F2 L U'
R' U2 L2 F2 B L U'
R' U2 L2 B L F2 U'
R' U2 L2 B F2 L U'
F R' F2 R2 F' B U
F R' F2 R2 B F' U
U2 R' B L R F2 U'
U2 R' B R L F2 U'
U2 R' B R F2 L U'
R' U2 D B L U' R2
R' U2 F' B L F' U'
R' U2 F2 L B L U'
R' U2 F2 L' B L U'
R' U2 F2 L2 B L U'
R' U2 F2 D B L U'
R' U2 F2 D' B L U'
R' U2 F2 D2 B L U'
R' U2 F2 B L U' D
R' U2 F2 B L U' D'
R' U2 F2 B L U' D2
R' U2 F2 B L D U'
R' U2 F2 B L D' U'
R' U2 F2 B L D2 U'
R' U2 F2 B D L U'
R' U2 F2 B D' L U'
R' U2 F2 B D2 L U'
R' U2 B L U' D R2
R' U2 B L D U' R2
R' U2 B L F2 U' D
R' U2 B L F2 U' D'
R' U2 B L F2 U' D2
R' U2 B L F2 D U'
R' U2 B L F2 D' U'
R' U2 B L F2 D2 U'
R' U2 B L' F2 L2 U'
R' U2 B D L U' R2
R' U2 B F' L F' U'
R' U2 B F2 L U' D
R' U2 B F2 L U' D'
R' U2 B F2 L U' D2
R' U2 B F2 L D U'
R' U2 B F2 L D' U'
R' U2 B F2 L D2 U'
R U2 F2 U2 F R U
R' U2 B F2 D L U'
R' U2 B F2 D' L U'
R' U2 B F2 D2 L U'
F' R2 B U2 L' B' U'
D' U L F L' D2 R2
R' D U2 B L U' R2
D U L R2 D2 F L'
U D L R2 D2 F L'
U' D R B R' U2 R2
R D F' U2 L' U' R2
D U R2 L D2 F L'
U D R2 L D2 F L'
D U R2 D2 L F L'
D U R2 B' L F B
D U R2 B' L B F
U D R2 D2 L F L'
U D R2 B' L F B
U D R2 B' L B F
U' D B R' U2 F' R'
U' D B' U2 L R2 F
U' D B' U2 L F R2
U' D B' U2 R2 L F
D U B' L F B R2
D U B' L B R2 F
D U B' L B F R2
U D B' L F B R2
U D B' L B R2 F
U D B' L B F R2
U D' L F L' D2 R2
