U' L U2 D' F L'
U' L D' U2 F L'
U' D' L U2 F L'
D' U' L U2 F L'
R F' U' L U2 F
U' L R U F' U F2
U' L R U2 F D' L2
U' L R' U' B U' F
U' L U R F' U F2
U' L U2 D' F L' D
U' L U2 D' F L' D'
U' L U2 D' F L' D2
U' L U2 D' F D L'
U' L U2 D' F D' L'
U' L U2 D' F D2 L'
U' L D B R' U2 F
U' L D B' U2 F L
U' L D' R U2 F L'
U' L D' R' U2 F L'
U' L D' R2 U2 F L'
U' L D' U2 F L' D
U' L D' U2 F L' D'
U' L D' U2 F L' D2
U' L D' U2 F D L'
U' L D' U2 F D' L'
U' L D' U2 F D2 L'
U' L D' B U2 F L'
U' L D' B' U2 F L'
U' L D' B2 U2 F L'
U' L B U2 D' F L'
U' L B D' U2 F L'
U' L B' U2 D' F L'
U' L B' D' U2 F L'
U' L B' D' U2 F L'
U' L B2 U2 D' F L'
U' L B2 D' U2 F L'
R2 U R' F' L' D2 R2
U' R L U F' U F2
U' R L U2 F D' L2
D' R U' L U2 F L'
R2 U B2 R' F' L' B2
R2 U B2 R' F' B2 L'
R2 U B2 R' B2 F' L'
R' U' L U' B U' F
R2 U' L U2 F' L' F2
R U' L U F' U F2
R U' L U2 F D' L2
R2 U' L B U2 F L
R2 U' L B' R' U2 F
R2 U' L' B' L2 R' U2
R2 U' L' B' R' L2 U2
B' R F' R2 B' U R'
F' R F' U' L U2 F
F2 R F' U' L U2 F
B' R F' B' R2 U R
B2 R F' B R' U R'
F R F' U' L U2 F
B2 R B F' R' U R'
B' R B' F' R2 U R
U' R' L U' B U' F
D' R' U' L U2 F L'
B R' U2 L B U' R'
B' R' U2 F B U' R
B' R' U2 B F U' R
B' R' B U' L U2 L'
B' R' B' U R' D L2
B' R' B' U D L2 R'
B' R' B' U D R' L2
B' R' B' D U L2 R'
B' R' B' D U R' L2
B' R' B' D2 F2 U R'
B2 R2 U D' R F' L'
D' R2 U' L U2 F L'
R2 U2 B2 U' R' F' L'
B2 R2 D' U R F' L'
B2 R2 B R' F' U R2
U' D L U2 D2 F L'
U' D L D2 U2 F L'
U' D L B R' U2 F
U' D L B' U2 F L
U' D L' B' L2 U2 L'
R D F' U' L U2 F
U' D B2 U2 R' F' L'
D' U' L R U2 F L'
U' D' L R U2 F L'
D' U' L R' U2 F L'
U' D' L R' U2 F L'
D' U' L R2 U2 F L'
U' D' L R2 U2 F L'
D' U' L U2 F L' D
D' U' L U2 F L' D'
D' U' L U2 F L' D2
D' U' L U2 F D L'
D' U' L U2 F D' L'
D' U' L U2 F D2 L'
U' D' L U2 F L' D
U' D' L U2 F L' D'
U' D' L U2 F L' D2
U' D' L U2 F D L'
U' D' L U2 F D' L'
U' D' L U2 F D2 L'
D2 U' L U' B' U' F
D' U' L B U2 F L'
U' D' L B U2 F L'
D' U' L B' U2 F L'
U' D' L B' U2 F L'
D' U' L B2 U2 F L'
U' D' L B2 U2 F L'
D U' L U2 D2 F L'
D U' L D2 U2 F L'
D U' L B R' U2 F
D U' L B' U2 F L
U' D' R L U2 F L'
D' U' R L U2 F L'
D U' L' B' L2 U2 L'
F' U' L U2 D' F L'
F' U' L D' U2 F L'
F2 U' L U2 D' F L'
F2 U' L D' U2 F L'
D' U' R' L U2 F L'
U' D' R' L U2 F L'
F U' L U2 D' F L'
F U' L D' U2 F L'
U' D' R2 L U2 F L'
D' U' R2 L U2 F L'
R D' F' U' L U2 F
F' U' D' L U2 F L'
F2 U' D' L U2 F L'
F U' D' L U2 F L'
U' D2 L U' B' U' F
D U' B2 U2 R' F' L'
R D2 F' U' L U2 F
D' F U' L U2 F L2
B' D R' B' U L R'
B' D R' B' U R' L
R F' R U' L U2 F
R F' R' U' L U2 F
D' F' U' L R U2 F
D' F' U' R L U2 F
R F' R2 U' L U2 F
R F' U B2 R' F' B2
R F' U B2 R' B2 F'
R F' U' L U2 D F
R F' U' L U2 D' F
R F' U' L U2 D2 F
R F' U' L U2 F D
R F' U' L U2 F D'
R F' U' L U2 F D2
R F' U' L D U2 F
R F' U' L D' U2 F
R F' U' L D2 U2 F
R F' U' L B U2 F
R F' U' L B' U2 F
R F' U' L B2 U2 F
R F' U' L' B' L2 U2
R F' U' D L U2 F
R F' U' D' L U2 F
R F' U' D2 L U2 F
R F' U' B2 U2 R' F'
R F' D U' L U2 F
R F' D' U' L U2 F
R F' D2 U' L U2 F
F' D' U' L U2 F L'
F2 D' U' L U2 F L'
R F' B' R' B' U R'
F D' U' L U2 F L'
R2 B' R' F' B' U R'
R2 B' R' B' F' U R'
R B' F' R' B' U R'
R B2 D2 F' R U R2
