R F' L' U R2
L' R F' L' U R2
L R F' L' U R2
L2 R F' L' U R2
R L F' L' U R2
R L' F' L' U R2
R L2 F' L' U R2
U' R F' U B R2
R D F' L' B2 U
R D F' B2 L' U
R D B2 F' L' U
R F' L' U R2 D
R F' L' U R2 D'
R F' L' U R2 D2
R F' L' D B2 U
R F' L' B U R2
R F' L' B' U R2
R F' L' B2 U R2
R F' D L' B2 U
R F' D B2 L' U
R F' B L' U R2
R F' B' L' U R2
R F' B2 L' U R2
R B F' L' U R2
R B' F' L' U R2
R B2 F' L' U R2
U' L R F' U B R2
L' R D F' L' B2 U
L' R D F' B2 L' U
L2 R D F' L' B2 U
L R D F' L' B2 U
L2 R D F' B2 L' U
L R D F' B2 L' U
L' R D B2 F' L' U
R L D F' L' B2 U
R L D F' B2 L' U
L2 R D B2 F' L' U
L R D B2 F' L' U
R L D B2 F' L' U
L' R F' L' U R2 D
L' R F' L' U R2 D'
L' R F' L' U R2 D2
L' R F' L' D B2 U
L' R F' L' B U R2
L' R F' L' B' U R2
L' R F' L' B2 U R2
L R F' L' U R2 D
L R F' L' U R2 D'
L R F' L' U R2 D2
L R F' L' D B2 U
L2 R F' L' U R2 D
L2 R F' L' U R2 D'
L2 R F' L' U R2 D2
L2 R F' L' D B2 U
L R F' L' B U R2
L R F' L' B' U R2
L R F' L' B2 U R2
L2 R F' L' B U R2
L2 R F' L' B' U R2
L2 R F' L' B2 U R2
R L F' L' U R2 D
R L F' L' U R2 D'
R L F' L' U R2 D2
R L F' L' D B2 U
R L F' L' B U R2
R L F' L' B' U R2
R L F' L' B2 U R2
L' R F' D L' B2 U
L' R F' D B2 L' U
L R F' D L' B2 U
L' R F' B L' U R2
L2 R F' D L' B2 U
L R F' D B2 L' U
L' R F' B' L' U R2
L2 R F' D B2 L' U
R L F' D L' B2 U
L' R F' B2 L' U R2
R L F' D B2 L' U
L R F' B L' U R2
L2 R F' B L' U R2
L R F' B' L' U R2
L2 R F' B' L' U R2
L R F' B2 L' U R2
R L F' B L' U R2
L2 R F' B2 L' U R2
R L F' B' L' U R2
R L F' B2 L' U R2
L' R B F' L' U R2
L R B F' L' U R2
L2 R B F' L' U R2
R L B F' L' U R2
L' R B' F' L' U R2
L R B' F' L' U R2
L2 R B' F' L' U R2
R L B' F' L' U R2
L' R B2 F' L' U R2
L R B2 F' L' U R2
L2 R B2 F' L' U R2
R L B2 F' L' U R2
U' L' R F' U B R2
U L' R F' U R2 B'
U L' R F' U B' R2
R L' D F' L' B2 U
R L' D F' B2 L' U
R L' D B2 F' L' U
R L' F' L' U R2 D
R L' F' L' U R2 D'
R L' F' L' U R2 D2
R L' F' L' D B2 U
R L' F' L' B U R2
R L' F' L' B' U R2
R L' F' L' B2 U R2
R L' F' D L' B2 U
R L' F' D B2 L' U
R L' F' B L' U R2
R L' F' B' L' U R2
R L' F' B2 L' U R2
R L' B F' L' U R2
R L' B' F' L' U R2
F' L' F R F' U R2
R L' B2 F' L' U R2
R L2 D F' L' B2 U
R L2 D F' B2 L' U
R L2 D B2 F' L' U
U' L2 R F' U B R2
R L2 F' L' U R2 D
R L2 F' L' U R2 D'
R L2 F' L' U R2 D2
R L2 F' L' D B2 U
R L2 F' L' B U R2
R L2 F' L' B' U R2
R L2 F' L' B2 U R2
R L2 F' D L' B2 U
R L2 F' D B2 L' U
R L2 F' B L' U R2
R L2 F' B' L' U R2
R L2 F' B2 L' U R2
R L2 B F' L' U R2
R L2 B' F' L' U R2
R L2 B2 F' L' U R2
R U L' R2 B' D L2
R U R2 L' B' D L2
U' R L F' U B R2
U' R L' F' U B R2
U R L' F' U R2 B'
U R L' F' U B' R2
U' R L2 F' U B R2
D R U L' R2 B' L
D R U L' B' L R2
D R U L' B' R2 L
D R U R2 L' B' L
F R U2 F' R U R
U' R D F' B2 U B'
U' R D B2 F' U B'
B' R D2 F' L' U R
D2 R F' L' F U R2
U' R F' L U B R2
B' R F' L' B U R'
U' R F' L' U B R2
U' R F' L2 U B R2
B2 R F' L' U D2 R2
B2 R F' L' U' L2 U2
B2 R F' L' D' B2 U
B2 R F' L' D2 U R2
U' R F' U B R2 D
U' R F' U B R2 D'
U' R F' U B R2 D2
U' R F' U B' R2 B2
U' R F' U B2 R2 B'
B R F' L' B' U R'
