D B' U L F' R'
D B' U F' L R'
D B' U F' R' L
R2 U R2 D' F' L' R
R2 U R2 D' F' R L'
B' R F' R' U F' R'
F' R F' B' U R' F
F' R F' B' U F R'
F2 R F' B' U R' F2
F2 R F' B' U F2 R'
F R F' B' U F' R'
F' R B' F' U R' F
F' R B' F' U F R'
F2 R B' F' U R' F2
F2 R B' F' U F2 R'
F R B' F' U F' R'
F' R' U B U' B' R'
R' U2 F B U' R F'
B' R2 U R2 F' L' R'
B' R2 U R2 F' R' L'
B R2 U' L B U2 L
B' R2 U' B U2 L R
B' R2 U' B U2 R L
B2 R2 U' B U2 L R'
B2 R2 U' B U2 R' L
R' U2 B F U' R F'
F' U R' F' B U' B'
F' U R' B F' U' B'
B' U D' F L' R' F2
B' U D' F L' F2 R'
B' U D' F R' L' F2
B' U D' F' R' D2 L2
B' U F' R' U B U'
B' U F2 D' R' F L'
B' U F2 D' F L' R'
B' U F2 D' F R' L'
U2 D' F U' L' R F2
U2 D' F U' R L' F2
D' U2 F U' L' R F2
D' U2 F U' R L' F2
D' F B' U L' R' F2
D' F B' U L' F2 R'
D' F B' U R' L' F2
D F B' U L R' F2
D F B' U L F2 R'
D F B' U R' L F2
D F B' U R' F2 L
D F B' U F2 L R'
D F B' U F2 R' L
F D R2 B' U L R'
F D R2 B' U R' L
U F' R U' F' B U
U F' R U' B F' U
U F' R' U F' B U'
U F' R' U B F' U'
F2 D B' U R' F L
F2 D B' U F L R'
F2 D B' U F R' L
R F' R' B' U F' R'
F D B' R2 U L R
F D B' R2 U R L
L F' D B' L R' B
L F' D B' R' L B
B' D' U F L' R' F2
B' D' U F L' F2 R'
B' D' U F R' L' F2
B' D' U F' R' D2 L2
R F' B' R U R2 F'
R F' B' R2 U R F'
B' D' F U L' R' F2
B' D' F U L' F2 R'
B' D' F U R' L' F2
F2 D' B' U R' F L'
F2 D' B' U F L' R'
F2 D' B' U F R' L'
D F2 B' U R' F L
D F2 B' U F L R'
D F2 B' U F R' L
B' F R F' U F' R2
D B' L F' D R' B
R B' R U R2 F' L'
D' B' U F L' R' F2
D' B' U F L' F2 R'
D' B' U F R' L' F2
D' B' U F' R' D2 L2
D B' U L D F' R'
D B' U L D' F' R'
D B' U L D2 F' R'
D B' U L F R' F2
D B' U L F' R' D
D B' U L F' R' D'
D B' U L F' R' D2
D B' U L F' D R'
D B' U L F' D' R'
D B' U L F' D2 R'
D B' U L F2 R' F
D B' U L' F' L2 R'
D B' U L' F' R' L2
D B' U D L F' R'
D B' U D F' L R'
D B' U D F' R' L
D B' U D' L F' R'
D B' U D' F' L R'
D B' U D' F' R' L
D B' U D2 L F' R'
D B' U D2 F' L R'
D B' U D2 F' R' L
D B' U F L R' F2
D B' U F L F2 R'
D B' U F R' L F2
D B' U F R' F2 L
D B' U F' L R' D
D B' U F' L R' D'
D B' U F' L R' D2
D B' U F' L D R'
D B' U F' L D' R'
D B' U F' L D2 R'
D B' U F' R' L D
D B' U F' R' L D'
D B' U F' R' L D2
D B' U F' R' D L
D B' U F' R' D' L
D B' U F' R' D2 L
D B' U F' D L R'
D B' U F' D R' L
D B' U F' D' L R'
D B' U F' D' R' L
D B' U F' D2 L R'
D B' U F' D2 R' L
D B' U F2 R' F L
B' F' R F' U R2 F
B' F' R F' U F R2
F' B' R F' U R2 F
F' B' R F' U F R2
B' F' R' U B U' B'
F2 B' R F' U R2 F2
F2 B' R F' U F2 R2
F' B' R' U B U' B'
F B' R F' U F' R2
D B' D U L F' R'
D B' D U F' L R'
D B' D U F' R' L
D B' D' U L F' R'
D B' D' U F' L R'
D B' D' U F' R' L
F2 B' U D' R' F L'
F2 B' U D' F L' R'
F2 B' U D' F R' L'
D' B' F U L' R' F2
D' B' F U L' F2 R'
D' B' F U R' L' F2
D B' D2 U L F' R'
D B' D2 U F' L R'
D B' D2 U F' R' L
D B' F U L R' F2
D B' F U L F2 R'
D B' F U R' L F2
D B' F U R' F2 L
D B' F U F2 L R'
D B' F U F2 R' L
D B' F2 U R' F L
D B' F2 U F L R'
D B' F2 U F R' L
R B' F' R U R2 F'
R B' F' R2 U R F'
F2 B' D' U R' F L'
F2 B' D' U F L' R'
F2 B' D' U F R' L'
B' F2 R F' U R2 F2
B' F2 R F' U F2 R2
B' F2 U D' R' F L'
B' F2 U D' F L' R'
B' F2 U D' F R' L'
R2 B2 U' B' L R' U2
R2 B2 U' B' R' L U2
B' F2 D' U R' F L'
B' F2 D' U F L' R'
B' F2 D' U F R' L'
