R' U' L B U' R2
D2 U' L B' U' R
U' D2 L B' U' R
U2 L R U' F' U F
U' L R' B R U' R
U2 L R' B U' R2 B'
U2 L R' B U' B' R2
U' L U' R U' F' U
U' L D B' U' L R
U' L D B' U' R L
R' L F B U' R2 B
R' L B U' R2 D B2
R' L B F U' R2 B
R' L' U' L2 B U' R2
L' R' U' L2 B U' R2
L2 R' U' L' B U' R2
R' L' U' B L2 U' R2
L' R' U' B L2 U' R2
L2 R' U' B L' U' R2
D2 L' U' L2 B' U' R
L R' F B U' R2 B
L R' B U' R2 D B2
L R' B F U' R2 B
R' L2 U' L' B U' R2
R' L2 U' B L' U' R2
R U L U2 L' F' U
U2 R L U' F' U F
U2 R U L U2 F' U
R U F' U2 F L U'
U2 R U' F' U2 L U'
R' U' L D' F2 B U'
R' U' L D' B F2 U'
R' U' L F B U' R2
R' U' L F' B U' R2
R' U' L F2 B U' R2
R' U' L B U' R2 D
R' U' L B U' R2 D'
R' U' L B U' R2 D2
R' U' L B D' F2 U'
R' U' L B F U' R2
R' U' L B F' U' R2
R' U' L B F2 U' R2
R' U' L' B L2 U' R2
B2 R F D' F2 L2 B'
R' U' L2 B L' U' R2
U2 R F' U L U' L'
U R F' B2 R' U R
R' U' D' L F2 B U'
R' U' D' L B F2 U'
R' U' D' F2 L B U'
U' R' L B R U' R
U R B2 F' R' U R
R' U' F L B U' R2
U2 R' L B U' R2 B'
U2 R' L B U' B' R2
R' U' F' L B U' R2
R' U' F2 L B U' R2
U2 R' U L B U' R2
D2 R' U' L B' U' R2
U R' U2 L B U' R2
B2 R' U2 B U' R2 B'
B2 R' U2 B U' B' R2
R' U2 L B U' R2 B'
R' U2 L B U' B' R2
L U2 R U' F' R' U
U' D L B' U' L R
U' D L B' U' R L
B2 U R F' R2 U R2
L' D B R' U2 R2 F2
L' D B R' U2 F2 R2
B2 U R' U2 B U' R2
L' D B' U2 L R F2
L' D B' U2 R L F2
L' D B' U2 R F2 L
U' D B' U' L R F
U' D B' U' R L F
D2 U' L D B' U' R
D2 U' L D' B' U' R
D2 U' L D2 B' U' R
D2 U' L B' U' R D
D2 U' L B' U' R D'
D2 U' L B' U' R D2
D2 U' L B' U' D R
D2 U' L B' U' D' R
D2 U' L B' U' D2 R
D2 U' L B' D U' R
D2 U' L B' D' U' R
D2 U' L B' D2 U' R
R' D' U' L F2 B U'
R' D' U' L B F2 U'
D U' L B' U' L R
D U' L B' U' R L
R' D' U' F2 L B U'
U2 D' R F L' D F2
D U' B' U' L R F
R' D2 L2 U' L' B U'
D U' B' U' R L F
R' D2 L2 U' B L' U'
U' D2 L D B' U' R
U' D2 L D' B' U' R
U' D2 L D2 B' U' R
U' D2 L B' U' R D
U' D2 L B' U' R D'
U' D2 L B' U' R D2
U' D2 L B' U' D R
U' D2 L B' U' D' R
U' D2 L B' U' D2 R
U' D2 L B' D U' R
U' D2 L B' D' U' R
U' D2 L B' D2 U' R
D2 U2 L B' U' B R
U2 D2 L B' U' B R
D2 U2 R U L B' U'
D' U2 R F L' D F2
U2 D2 R U L B' U'
B2 U2 R U' F' R2 U
B2 U2 R F D' L2 F2
B2 U2 R F D' F2 L2
R' F L B U' R2 B
B U2 D' R F L' F2
B D L B' U2 L R
B D L B' U2 R L
B D' U2 R F L' F2
D B D' R' U2 R2 F'
D B D' R' B U2 R2
U B' R2 U R' F' L'
U B2 R F' R2 U R2
U B2 R' U2 B U' R2
D B2 U R' F' U R2
