B' L2 R' B U' R
B' R' L2 B U' R
B' R' L2 B U' R
B' R' B L2 U' R
B' U L2 R' B U'
B' U R' L2 B U'
B' U R' B L2 U'
B2 D L F2 B' L
B2 D L B' L F2
B2 D L B' F2 L
B2 D F2 L B' L
B2 D F2 B' L B'
B2 D B' L F2 B'
B2 D B' L B' F2
B2 D B' F2 L B'
L2 B' R' B U' R
B' L U L R' B U'
B' L U R' L B U'
L2 R U2 F' L' U R'
B' L' R' B L' U' R
B' L' U L' R' B U'
B' L' U R' L' B U'
B' L' U R' B L' U'
L2 R' B U2 L U R
L2 R' B' R' B2 U' R2
U' L' F2 R F' U B'
R L2 U2 F' L' U R'
U L2 R U2 F' U B
B' L2 R' D B U' R
B' L2 R' D' B U' R
B' L2 R' D2 B U' R
B' L2 R' B U' R D
B' L2 R' B U' R D'
B' L2 R' B U' R D2
B' L2 R' B U' D R
B' L2 R' B U' D' R
B' L2 R' B U' D2 R
B' L2 R' B D U' R
B' L2 R' B D' U' R
B' L2 R' B D2 U' R
B2 L2 R' B R' U' R2
U L2 R' B R2 U' B
U L2 R' B U F' U2
R' L2 B U2 L U R
R' L2 B' R' B2 U' R2
B' L2 F R' B U' R
B' L2 F' R' B U' R
B' L2 F2 R' B U' R
B2 L2 B R' B U' R
F' L2 B' R' B U' R
F2 L2 B' R' B U' R
F L2 B' R' B U' R
U R L2 U2 F' U B
B' R' L' B L' U' R
B' R' L2 D B U' R
B' R' L2 D' B U' R
B' R' L2 D2 B U' R
B' R' L2 B U' R D
B' R' L2 B U' R D'
B' R' L2 B U' R D2
B' R' L2 B U' D R
B' R' L2 B U' D' R
B' R' L2 B U' D2 R
B' R' L2 B D U' R
B' R' L2 B D' U' R
B' R' L2 B D2 U' R
B2 R' L2 B R' U' R2
U R' L2 B R2 U' B
U R' L2 B U F' U2
B' R' D B U' R F2
R' U2 L2 B U' R B
B' R' B L2 U' R D
B' R' B L2 U' R D'
B' R' B L2 U' R D2
B' R' B L2 U' D R
B' R' B L2 U' D' R
B' R' B L2 U' D2 R
B' R' B L2 D U' R
B' R' B L2 D' U' R
B' R' B L2 D2 U' R
B2 R' B L2 R' U' R2
B' R' B U' R D F2
B2 R' B R' L2 U' R2
B' R' B U' D R F2
B' R' B D U' R F2
U R' B L2 R2 U' B
U R' B L2 U F' U2
B' R' B' L2 B2 U' R
U R' B R2 L2 U' B
R' U2 B L2 U' R B
B' U L' R' B L' U'
U' D L' U F2 B' L
U' D L' U B' L F2
U' D L' U B' F2 L
B' U L2 R' D B U'
B' U L2 R' D' B U'
B' U L2 R' D2 B U'
B' U L2 R' B U' D
B' U L2 R' B U' D'
B' U L2 R' B U' D2
B' U L2 R' B D U'
B' U L2 R' B D' U'
B' U L2 R' B D2 U'
B2 U L2 R' B R' U'
B2 U L2 B R' B U'
B' U R' L' B L' U'
B' U R' L2 D B U'
B' U R' L2 D' B U'
B' U R' L2 D2 B U'
B' U R' L2 B U' D
B' U R' L2 B U' D'
B' U R' L2 B U' D2
B' U R' L2 B D U'
B' U R' L2 B D' U'
B' U R' L2 B D2 U'
B2 U R' L2 B R' U'
B' U R' D B U' F2
B' U R' B L2 U' D
B' U R' B L2 U' D'
B' U R' B L2 U' D2
B' U R' B L2 D U'
B' U R' B L2 D' U'
B' U R' B L2 D2 U'
B' U R' B U' D F2
B' U R' B D U' F2
B' U R' B' L2 B2 U'
B2 U R' B L2 R' U'
B2 U R' B R' L2 U'
L2 D B' R' U' L R
L2 D B' R' U' R L
B2 U B L2 R' B U'
B2 U B R' L2 B U'
B2 U B R' B L2 U'
D2 U' L' R2 F U B'
D2 U' L' F R2 U B'
D U' L' U F2 B' L
D U' L' U B' L F2
D U' L' U B' F2 L
B U B2 L2 R' B U'
B U B2 R' L2 B U'
B U B2 R' B L2 U'
D2 U' R2 L' F U B'
B' U' R' B L2 F U'
L D2 L B' R' U' R
U' D2 L' R2 F U B'
U' D2 L' F R2 U B'
U' D2 R2 L' F U B'
R D2 F' R2 U R B
B2 D L F' B' L F'
B2 D L F2 B' L D
B2 D L F2 B' L D'
B2 D L F2 B' L D2
