R' L U' L B U'
D L B R' U2 F2
D L B' U2 L F2
L R' U' L B U'
D L B' U2 F2 L
L U' D2 L B' U'
L D2 U' L B' U'
L R U F' U2 L U'
D L R B R' U2 F2
D L R B' U2 L F2
D L R B' U2 F2 L
R L U F' U2 L U'
R' L U' L D B U'
R' L U' L D' B U'
R' L U' L D2 B U'
R' L U' L B U' D
R' L U' L B U' D'
R' L U' L B U' D2
R' L U' L B D U'
R' L U' L B D' U'
R' L U' L B D2 U'
R' L U' L' B L2 U'
L R U' L U2 F' U
R2 L U' L B U' L
R' L U' L2 B L' U'
R L U' L U2 F' U
R' L U' D L B U'
R' L U' D' L B U'
R' L U' D2 L B U'
D L R' B R' U2 F2
D L R' B' U2 L F2
D L R' B' U2 F2 L
D L R2 B R' U2 F2
D L R2 B' U2 L F2
D L R2 B' U2 F2 L
D2 L U R2 U2 B' U'
R' L D U' L B U'
D2 L U' D' B' U' F2
D2 L U' D2 B' L2 U'
R' L D' U' L B U'
D2 L U' B' U' D' F2
D2 L U' B' U2 R2 U
D2 L U' B' D' U' F2
D2 L U' B' D2 L2 U'
D L U' B' U' L F2
D L U' B' U' F2 L
D' L U2 F L' D2 F2
D' L U2 F D2 L' F2
D' L U2 F' D2 F2 L'
D L U2 F D2 F L'
R' L D2 U' L B U'
D L U2 F2 B' L B
D L U2 B' L F2 B
D L U2 B' L B F2
D L U2 B' F2 L B
D2 L D B2 U' B U'
D2 L D' U' B' U' F2
D2 L D2 U' B' L2 U'
D' L D2 B R' U2 F2
D' L D2 B' U2 L F2
D' L D2 B' U2 F2 L
D' L F' R F B2 U2
D' L F' R B2 F U2
D' L F' B2 R F U2
L R B2 U F' R' U
R L B2 U F' R' U
D L B R' U2 F2 D
D L B R' U2 F2 D'
D L B R' U2 F2 D2
D L B R' D2 B2 U2
D L B R' B U2 F2
D L B R' B' U2 F2
D L B R' B2 U2 F2
D L B R2 U2 F2 L'
D2 L B D B2 U2 L2
D2 L B D' R2 U2 F2
D' L B D2 B R' U2
D L B D2 R' B2 U2
D L B D2 B2 U2 L
D L B' R U2 L F2
D L B' R U2 F2 L
D L B' R' U2 L F2
D L B' R' U2 F2 L
D L B' R2 U2 L F2
D L B' R2 U2 F2 L
D' L B' U2 L2 F L'
L R' U' L D B U'
L R' U' L D' B U'
L R' U' L D2 B U'
L R' U' L B U' D
L R' U' L B U' D'
L R' U' L B U' D2
L R' U' L B D U'
L R' U' L B D' U'
L R' U' L B D2 U'
D L B' U2 L F2 D
D L B' U2 L F2 D'
D L B' U2 L F2 D2
D L B' U2 L' F2 L2
L R' U' L' B L2 U'
D L B' U2 F' L F'
D L B' U2 F2 L D
D L B' U2 F2 L D'
D L B' U2 F2 L D2
D L B' U2 F2 D L
D L B' U2 F2 D' L
D L B' U2 F2 D2 L
L R' U' L2 B L' U'
D' L B' D2 B' U2 L
D L B' D2 B2 R' U2
L R' U' D L B U'
L R' U' D' L B U'
L R' U' D2 L B U'
D2 L B2 U R2 F' U
D' L B2 U F U L'
D' L B2 U2 F L' F'
D L B2 U2 F' L' F'
D' L B2 F' R F U2
L R' D U' L B U'
L R' D' U' L B U'
L R' D2 U' L B U'
L R2 U' L B U' L
D L' B L2 R' U2 F2
D L' B R' L2 U2 F2
D' L' B' L2 U2 F L'
D L' B' L2 U2 L' F2
L U R F' U2 L U'
L U R' U2 L B U'
D L2 B L' R' U2 F2
D L2 B R' L' U2 F2
D L2 B R' U2 F2 R
D L2 B' L' U2 L2 F2
D L2 B' L' U2 F2 L2
D L2 B' U2 F2 L R
D L2 B' U2 F2 R L
D R L B R' U2 F2
D R L B' U2 L F2
D R L B' U2 F2 L
L U' L R' B R U'
L U' L D B' U' L
R' U' L2 F2 B U' R
R' U' L2 B U L' U2
R' U' L2 B F2 U' R
L U' R' L B R U'
L U' D L B' U' L
