U' L2 B' L B2 R'
B' R2 F' U' L B2
D2 U B L2 F L'
U D2 B L2 F L'
B' D' R2 F' U' L
U' B U2 R' U2 R
U B U2 R' B' U2
U' B' L' B2 L2 R'
U' B' L' B2 R' L2
U B' L' B2 L2 F
R' L U2 L' U' B' L
D L U2 B' L' U' B2
U L D2 B L2 F L'
U' L B U2 L' R' U2
U' L B U2 R' L' U2
U L B U2 R' B' U2
U' L B' L B2 D2 R2
U' L B' L2 B2 L' R'
U' L B' L2 B2 R' L'
U L B' L' B2 L2 F
L R' U2 L' U' B' L
U' L' R B2 R' B L
U L' D2 B L2 F L'
D L' F U2 L U' B
U L' B U2 R' B' U2
U' L' B' L B' R' B'
U L' B' L' B2 L2 F
U' L' B2 R' B L B2
D L2 U D F2 B L
D L2 U D B L F2
D L2 U D B F2 L
D L2 U B D L F2
D L2 U B D F2 L
D L2 U2 L2 U' B L
D L2 D U F2 B L
D L2 D U B L F2
D L2 D U B F2 L
U L2 D2 B L2 F L'
B L2 F' D R2 F2 L'
U' L2 B R D2 L2 R2
U' L2 B R D2 R2 L2
U' L2 B U2 L2 R' U2
U' L2 B U2 R' L2 U2
U' L2 B' L R B2 R'
U' L2 B' L R' B2 R'
U' L2 B' L R2 B2 R'
U' L2 B' L B2 R' D
U' L2 B' L B2 R' D'
U' L2 B' L B2 R' D2
U' L2 B' L B2 D R'
U' L2 B' L B2 D' R'
U' L2 B' L B2 D2 R'
U' L2 B' R L B2 R'
U L2 B U2 R' B' U2
U' L2 B' R' L B2 R'
U' L2 B' R2 L B2 R'
U L2 B' L' B2 L2 F
R2 U D2 F' R U2 R'
U' R L' B2 R' B L
U R U2 R' B' L B2
L U B' L B2 D F2
R U' L' B2 R' B L
R2 U' D2 F' R U2 F
R2 U' F' U2 D2 F L'
R2 U' F' D2 U2 F L'
R2 U' F' B R' U2 F
R2 U' F' B' U2 F L
B' R' U' L B' R' B'
R2 U' B F' R' U2 F
U R' U2 L' R B' L
U R' U2 L' B' L R
U R' U2 L' B' R L
U R' U2 R L' B' L
R2 U' B' F' U2 F L
L' U2 L U' B' L B2
L' U2 L B' U' L B2
L U2 L' U' B' L B2
L2 U2 L2 U' B' L B2
L U2 L' B' U' L B2
L2 U2 L2 B' U' L B2
U' R' B R' F' U2 F
L' U2 D L B' U' B2
D2 R2 U F' R U2 R'
D2 R2 U' F' R U2 F
L' U2 B' U' L F B2
L' U2 B' U' L B2 F
L2 U2 B' L2 U' L' B2
L2 U2 B' L2 U' B2 L'
U R2 U2 R2 B' L B2
L U2 B' L' U' L2 B2
L U2 B' L' U' B2 L2
U R2 U2 B' L R2 B
U R2 U2 B' R2 L B
U R2 U2 B2 R2 B L
B' R2 D' F' R2 U' L
U' R2 D2 F' R U2 F
U R2 D2 L2 F' R U2
L2 D L' F U F B
L2 D L' F U B F
U R2 D2 F' L2 R U2
U R2 D2 F' R L2 U2
L2 D L2 U F2 B L
L2 D L2 U B L F2
L2 D L2 U B F2 L
B' R2 F' R U' L B2
B' R2 F' R' U' L B2
B' R2 F' R2 U' L B2
B' R2 F' U' L B2 D
B' R2 F' U' L B2 D'
B' R2 F' U' L B2 D2
B' R2 F' U' L' B2 L2
B' R2 F' U' L2 B2 L'
U' R2 F' U2 D2 F L'
B' R2 F' D' R2 U' L
U' R2 F' D2 U2 F L'
