B' U' L R2 F' R
B' U' R2 L F' R
B' U' R2 F' L R
B' U' R2 F' R L
B' L R2 F' D R B2
B' L R2 F' D B2 R
B' L' U' L2 R2 F' R
B' L' U' R2 L2 F' R
B' L' U' R2 F' L2 R
B' L' U' R2 F' R L2
F L' U' B' U' L B
B' L2 U' L' R2 F' R
B' L2 U' R2 L' F' R
B' R2 L F' D R B2
B' R2 L F' D B2 R
B' R2 F' L D R B2
B' R2 F' L D B2 R
B' R2 F' D L R B2
B' R2 F' D L B2 R
B' R2 F' D R L B2
B' U R2 U2 L F' R
B' U R2 U2 F' L R
B' U R2 U2 F' R L
B U R' D2 B' L U2
B U D2 R' B' L U2
B' U' L R F' R F'
B' U' L R2 F' R D
B' U' L R2 F' R D'
B' U' L R2 F' R D2
B' U' L R2 F' D R
B' U' L R2 F' D' R
B' U' L R2 F' D2 R
B' U' L F' R2 F' R'
B' U' L' R2 F' L2 R
B' U' L' R2 F' R L2
B' U' R L F' R F'
B' U' R F' L R F'
B' U' R F' R L F'
B' U' R F' R F' L
B' U' R2 L F' R D
B' U' R2 L F' R D'
B' U' R2 L F' R D2
B' U' R2 L F' D R
B' U' R2 L F' D' R
B' U' R2 L F' D2 R
B' U' R2 L' F' L2 R
B' U' R2 L' F' R L2
B' U' R2 F' L R D
B' U' R2 F' L R D'
B' U' R2 F' L R D2
B' U' R2 F' L D R
B' U' R2 F' L D' R
B' U' R2 F' L D2 R
B' U' R2 F' R L D
B' U' R2 F' R L D'
B' U' R2 F' R L D2
B' U' R2 F' R D L
B' U' R2 F' R D' L
B' U' R2 F' R D2 L
B' U' R2 F' D L R
B' U' R2 F' D R L
B' U' R2 F' D' L R
B' U' R2 F' D' R L
B' U' R2 F' D2 L R
B' U' R2 F' D2 R L
B' U' F L D2 R2 F'
B' U' F' L R2 F' R'
B' U' F' R2 L F' R'
B' U' F' R2 F' L R'
B' U' F' R2 F' R' L
B U' F' R D2 L2 F
F' U' B' U' L B R
B' U2 R2 U L F' R
B' U2 R2 U F' L R
B' U2 R2 U F' R L
U F' L2 U R B' L
U F' L2 U B' L R
U F' L2 U B' R L
U2 F' U R D2 F L'
U2 F' U D2 R F L'
U F' U L2 R B' L
U F' U L2 B' L R
U F' U L2 B' R L
U F' U R L2 B' L
U2 F' D2 U R F L'
U' F' B' U' L B R
U2 F' B' U R F L
R' F2 U L' B' U L
B D2 U R' B' L U2
D2 B L2 U' R' F L'
D2 B L2 U' F L' R'
D2 B L2 U' F R' L'
B2 D2 B U' L R' F2
B2 D2 B U' L F2 R'
B2 D2 B U' R' L F2
B2 D2 B U' R' F2 L
B2 D2 B U' F2 L R'
B2 D2 B U' F2 R' L
D2 B U' L2 R' F L'
D2 B U' L2 F L' R'
D2 B U' L2 F R' L'
D2 B U' R' L2 F L'
B' F U L' B U2 L2
F' B U R' B' U2 R2
B' F U' L D2 R2 F'
F' B U' R D2 L2 F
B F U R' B' L' U2
F B U R' B' L' U2
R2 B' R2 U' L F' R
R2 B' R2 U' F' L R
R2 B' R2 U' F' R L
U' B' U' L D2 B R'
U' B' U' D2 L B R'
L' B' U' L R2 F' R
L' B' U' R2 L F' R
L' B' U' R2 F' L R
L' B' U' R2 F' R L
L2 B' U' L R2 F' R
L2 B' U' R2 L F' R
L2 B' U' R2 F' L R
L2 B' U' R2 F' R L
L B' U' L R2 F' R
L B' U' R2 L F' R
L B' U' R2 F' L R
L B' U' R2 F' R L
U' B' D2 U' L B R'
B' F' U' L R2 F' R'
B' F' U' R2 L F' R'
B' F' U' R2 F' L R'
B' F' U' R2 F' R' L
F' B' U' L R2 F' R'
F' B' U' R2 L F' R'
F' B' U' R2 F' L R'
F' B' U' R2 F' R' L
B F' U R' B' U2 R2
U' B' F' U' L B R
F B' U L' B U2 L2
B F' U' R D2 L2 F
F B' U' L D2 R2 F'
U2 B' F' U R F L
