F L F2 L2 B' U L
F L' U2 F' B' U' L
F L' U2 B' F' U' L
F' L' F2 L' B' U L
F L' B' U2 F' U' L
U L' B' D' L B' R'
F L' B2 U2 F' U' L'
U L' B2 D R' B L
F' L2 F2 B' L' U L2
F' L2 B' U2 R U' L
F' L2 B' F2 L' U L2
R2 U' B' D' L F2 B'
R2 U' B' D' L B' F2
R2 U' B' D' F2 L B'
B' R2 U' D' L F2 B'
B' R2 U' D' L B' F2
B' R2 U' D' F2 L B'
B' R2 D' U' L F2 B'
B' R2 D' U' L B' F2
B' R2 D' U' F2 L B'
F2 U L' B' L D R2
F2 U L' B' D L R2
F2 U L' B' D R2 L
B U' D R' U2 B R
F' U2 R D2 F U' L'
F' U2 R F B' U' L
F' U2 R B' F U' L
F' U2 D2 R F U' L'
F2 U2 F2 U' L' B' L
F2 U2 F2 B' R' U' L
F' U2 B' R F U' L
F2 U2 B' R' F2 U' L
F2 U2 B' F2 R' U' L
F D L' F U D R2
F D L' F U2 F2 U'
F D L' F D U R2
F D L' F D2 B2 U
B D U' R' U2 B R
F2 D F' L' F U R2
F' D2 U2 R F U' L'
B' F L' U2 F' U' L2
B2 F L' U2 F' U' L'
U2 B' R2 F' R U' L
F B' L' U2 F' U' L2
R2 B' U' D' L F2 B'
R2 B' U' D' L B' F2
R2 B' U' D' F2 L B'
U' B' D' L B' D2 F2
R2 B' D' U' L F2 B'
R2 B' D' U' L B' F2
R2 B' D' U' F2 L B'
B' F' U2 R F U' L
F' B' U2 R F U' L
F B2 L' U2 F' U' L'
