U' R' B' U L R'
U' R' B' U R' L
U2 L' U R' B' U L
R' U F' U' D2 F L'
R' U F' D2 U' F L'
R' U F' B' U' F L
D' R U' F' B R2 U
D' R U' B F' R2 U
R' U B' F' U' F L
D' R F' B R2 U B'
L' U' R' B' U L R'
L' U' R' B' U R' L
L2 U' R' B' U L R'
L2 U' R' B' U R' L
D' R B F' R2 U B'
L U' R' B' U L R'
L U' R' B' U R' L
U' R B' R2 U L R
U' R B' R2 U R L
R2 U' D' R F' U R
D' R' U F' B U' F
D' R' U B F' U' F
R U' B R2 U' R U2
R U' B R2 F2 U L'
U' R' F B' U L R'
U' R' F B' U R' L
U' R' F' B' U L R'
U' R' F' B' U R' L
U' R' F2 B' U L R'
U' R' F2 B' U R' L
U' R' B U' L R' U2
U' R' B U' R' L U2
U' R' B' U L R' D
U' R' B' U L R' D'
U' R' B' U L R' D2
U' R' B' U L D R'
U' R' B' U L D' R'
U' R' B' U L D2 R'
U' R' B' U R' L D
U' R' B' U R' L D'
U' R' B' U R' L D2
U' R' B' U R' D L
U' R' B' U R' D' L
U' R' B' U R' D2 L
U' R' B' U D L R'
U' R' B' U D R' L
U' R' B' U D' L R'
U' R' B' U D' R' L
U' R' B' U D2 L R'
U' R' B' U D2 R' L
U' R' B' D U L R'
U' R' B' D U R' L
U' R' B' D' U L R'
U' R' B' D' U R' L
U' R' B' D2 U L R'
U' R' B' D2 U R' L
U' R' B' F U L R'
U' R' B' F U R' L
U' R' B' F' U L R'
U' R' B' F' U R' L
U' R' B' F2 U L R'
U' R' B' F2 U R' L
R' U2 F' U' L2 B' L
U' R2 B' R U L R2
U' R2 B' R U R2 L
B U R' U2 F' B' R'
B U R' U2 B' F' R'
R2 D' U' R F' U R
F' U' R' B' U L R'
F' U' R' B' U R' L
F2 U' R' B' U L R'
F2 U' R' B' U R' L
F U' R' B' U L R'
F U' R' B' U R' L
B U' B2 L F B R'
B U' B2 L B R' F
B U' B2 L B F R'
U' F R' B' U L R'
U' F R' B' U R' L
U' F' R' B' U L R'
U' F' R' B' U R' L
R' F2 L2 B' U L B
U' F2 R' B' U L R'
U' F2 R' B' U R' L
U' B U' L R' U2 F
U' B U' R' L U2 F
R B R2 U' R U2 B'
R B R2 F2 U B' L'
R B' L D' F2 B R2
R B' L D' B R2 F2
R B' L D' B F2 R2
R' B' U2 F' U' L B
R B' D' L F2 B R2
R B' D' L B R2 F2
R B' D' L B F2 R2
R B' D' F2 L B R2
D B2 L B' U' B' R'
R' B2 U2 F' U' L' B2
R' B2 U2 F' U' B2 L'
