F2 U B' L F B2
F2 U B' L B2 F
F2 L U B' L F B2
F2 L U B' L B2 F
D' L' U D' F L' B
D' L' U D' F B L'
D' L' U D' B F L'
D' L' U B D' F L'
F2 L' U B' L F B2
F2 L' U B' L B2 F
D' L' D' U F L' B
D' L' D' U F B L'
D' L' D' U B F L'
F2 L2 U B' L F B2
F2 L2 U B' L B2 F
F' R U B' D2 L B'
F R' U2 L' U' B' L
F2 U L D2 F L' B
F2 U L D2 F B L'
F2 U L D2 B F L'
F2 U L F B' L B2
F2 U L B' F L B2
D' U L' D' F L' B
D' U L' D' F B L'
D' U L' D' B F L'
D' U L' B D' F L'
D2 U F D L' F B
D2 U F D L' B F
D2 U F D B L' F
F2 U D2 L F L' B
F2 U D2 L F B L'
F2 U D2 L B F L'
F2 U D2 B L F L'
D' U B L' D' F L'
F2 U F B' L F B2
F2 U F B' L B2 F
F2 U F' B' L F B2
F2 U F' B' L B2 F
F2 U F2 B' L F B2
F2 U F2 B' L B2 F
F2 U B U2 R' U2 F'
F2 U B' L F B2 D
F2 U B' L F B2 D'
F2 U B' L F B2 D2
F2 U B' L B2 D F
F2 U B' L B2 D' F
F2 U B' L B2 D2 F
F2 U B' L B2 F D
F2 U B' L B2 F D'
F2 U B' L B2 F D2
F2 U B' L2 B2 L' F
F2 U B' F L F B2
F2 U B' F L B2 F
F2 U B' F' L F B2
F2 U B' F' L B2 F
F2 U B' F2 L F B2
F2 U B' F2 L B2 F
F U B' L B2 D F2
U D' L' D' F L' B
U D' L' D' F B L'
U D' L' D' B F L'
U D' L' B D' F L'
F2 U' R B R' U2 B
U D' B L' D' F L'
F2 U' B' U2 L F B2
F2 U' B' U2 L B2 F
F U2 L' U' B' L B2
U D2 F D L' F B
U D2 F D L' B F
U D2 F D B L' F
F U2 L' B' U' L B2
D2 F U D L' F B
D2 F U D L' B F
D2 F U D B L' F
F U2 B' L' U' L2 B2
F U2 B' L' U' B2 L2
R' F U2 L' U' B' L
D2 F D U L' F B
D2 F D U L' B F
D2 F D U B L' F
F2 D L2 U B L F
U F B' L B2 D F2
R' F' R U B' L B2
R' F' D' R F' U B
R2 F2 L2 U B' L F
B2 D' B L B2 R2 F'
B2 D' B' R2 F2 L' F
L' F2 U B' L F B2
L' F2 U B' L B2 F
L2 F2 U B' L F B2
L2 F2 U B' L B2 F
L F2 U B' L F B2
L F2 U B' L B2 F
F2 D2 U L F L' B
F2 D2 U L F B L'
F2 D2 U L B F L'
F2 D2 U B L F L'
U' B D R' B U2 B'
U B U2 D R' B U2
U B D U2 R' B U2
U B' L2 B2 D' L' F
U B' F L B2 D F2
