B U' R' B U2 B2
U' B U' R' B U2
B' L B R D' F' R
D2 L' R2 F L' D R2
D2 L' R2 F D L' R2
D2 L' R2 F D R2 L'
D2 L' U' B U F L'
D L' U' F B R' U
D L' U' B R' F U
D L' U' B F R' U
D2 L' F L' U' B U
D2 L' F U' B U L'
D L' F B R' U B'
D2 L' B U F B' L'
D2 L' B U B' F L'
D L' B R' F U B'
D L' B F R' U B'
B L2 U' R' F B U2
B L2 U' R' B F U2
B L2 U' F R' B U2
R2 U F' L' B' U' L
R2 U F' B' L' U' L2
B R U D2 F' B' L2
B R U D2 B' L2 F'
B R U D2 B' F' L2
B R U F' D2 B' L2
B R U F' B' D2 L2
B R U B' D2 L2 F'
B R U B' D2 F' L2
B R U B' F' D2 L2
B R U' R2 B U2 B2
R2 U B' F' L' U' L2
B R D' F2 U F B'
B R D' F2 U B' F
B R D2 U F' B' L2
B R D2 U B' L2 F'
B R D2 U B' F' L2
U' R' U' B L R' U2
U' R' U' B R' L U2
L' U' B U' R' B U2
L2 U' B U' R' B U2
L U' B U' R' B U2
U2 R' B R' U' F' U'
B R' B U B' U B'
D2 R2 L' F L' D R2
D2 R2 L' F D L' R2
D2 R2 L' F D R2 L'
D2 R2 F L' D R2 F
D2 R2 F L' D F R2
B U R' B U2 R B2
B U R' B U2 B2 R
B U B' D2 L' F L'
B U B' D2 F L' F
R D' F' R U' F' U
D2 U' F B U L' F
U' D' F' B R F' U
D' U' F' B R F' U
R D' F2 D' F L' R
R D' F2 D' F R L'
B U' R' U2 B' D2 F2
B U' R' D B U2 B2
B U' R' D' B U2 B2
B U' R' D2 B U2 B2
B U' R' F B U2 B2
B U' R' F' B U2 B2
B U' R' F2 B U2 B2
B U' R' B U2 B2 D
B U' R' B U2 B2 D'
B U' R' B U2 B2 D2
B U' R' B D2 F2 U2
B U' R' B F U2 B2
B U' R' B F' U2 B2
B U' R' B F2 U2 B2
D' U' B R F' R U
U' D' B R F' R U
D2 U' B U L' F L'
D2 U' B U F L' F
U' D' B F' R F' U
D' U' B F' R F' U
D2 U' B F U L' F
B U' F R' B U2 B2
B U' F' R' B U2 B2
B U' F2 R' B U2 B2
F' U' B U' R' B U2
F2 U' B U' R' B U2
F U' B U' R' B U2
U' D2 F B U L' F
U' D2 B U L' F L'
U' D2 B U F L' F
U' D2 B F U L' F
D2 F L' R2 F D R2
D2 F L' U' B U F
D2 F L' F U' B U
D2 F R2 L' F D R2
D2 F U' B U L' F
U' F B U' R' B U2
D2 F B U B' L' F
D' F' U' B R F' U
U' F' B U' R' B U2
D' F' B R F' U B'
R F' B' L D B R'
R F' B' D L B R'
U' F2 B U' R' B U2
U' B R U D2 L2 F'
U' B R U D2 F' L2
U' B R U F' D2 L2
U' B R U' R2 B U2
U' B R D' F2 U F
U' B R D2 U L2 F'
U' B R D2 U F' L2
D' B R F' R U B'
R' B R' U' F' U' B'
U2 B R' B U B' U
D B R' U D' B' L
D B R' D' U B' L
D2 B U F B' L' F
D2 B U B' L' F L'
D2 B U B' F L' F
U' B U' R' D B U2
U' B U' R' D' B U2
U' B U' R' D2 B U2
U' B U' R' B U2 D
U' B U' R' B U2 D'
U' B U' R' B U2 D2
U' B U' R' B D U2
U' B U' R' B D' U2
U' B U' R' B D2 U2
L' B U' R' B U2 B2
L2 B U' R' B U2 B2
U B U R' B U2 R
L B U' R' B U2 B2
U B U' R' B U2 B'
D B D' R' U B' L
U' B F U' R' B U2
D2 B F U B' L' F
U' B F' U' R' B U2
D' B F' R F' U B'
U' B F2 U' R' B U2
F' B U' R' B U2 B2
F2 B U' R' B U2 B2
B F U' R' B U2 B2
F B U' R' B U2 B2
R B' L D F' B R'
R B' L D B F' R'
R B' L D' F' B R
R B' L D' B F' R
R B' L F' D B R'
R B' L B D' F' R
R B' D L F' B R'
R B' D L B F' R'
R B' D F' L B R'
R B' D' L F' B R
R B' D' L B F' R
R B' D' F' L B R
B F' U' R' B U2 B2
R B' F' L D B R'
R B' F' D L B R'
B F2 U' R' B U2 B2
