D2 R2 U B' L U
F U B' L' U L'
U F B' L' U L'
U B' F L' U L'
U L U D' L B' R'
B L D' L R2 F B'
B L D' L R2 B' F
B L D' L F R2 B'
B L D' L F B' R2
B L D' L B' R2 F
B L D' L B' F R2
B L D' R2 L F B'
B L D' R2 L B' F
U L D' U L B' R'
U L F L' B' U L2
D' L' D F L' U2 L'
U2 L2 U F U2 L' U
U2 L2 U F' R F2 U'
D' L2 U' F R B2 U'
D' L2 U' F B2 R U'
D' L2 U' B2 F R U'
B L2 F U' L' B2 U
B L2 F U' B2 L' U
R' U F B' L' U L'
R2 U F B' L' U L'
R U F B' L' U L'
F R U B' L' U L'
R' U B' F L' U L'
R2 U B' F L' U L'
R U B' F L' U L'
D R F' U F' B' U
D R F' U B' F' U
L2 U' F U2 L' F' U
D R' U F2 B' U B2
D R' U B' F2 U B2
F R' U B' L' U L'
D R' U2 B D' L2 R2
D R' U2 B D' R2 L2
D R' B D' L2 R2 F
D R' B D' L2 F R2
D R' B D' R2 L2 F
D2 R2 U B' L U D
D2 R2 U B' L U D'
D2 R2 U B' L U D2
D2 R2 U B' L D U
D2 R2 U B' L D' U
D2 R2 U B' L D2 U
D2 R2 U B' D L U
D2 R2 U B' D' L U
D2 R2 U B' D2 L U
F R2 U B' L' U L'
B' R2 F L' U L' F2
D2 R2 F U B' L U
D2 R2 F' U B' L U
D2 R2 F2 U B' L U
L' D F2 R F' L' U2
U2 D R' B D' L2 R2
U2 D R' B D' R2 L2
F' U D F2 B' L' U
F' U D B' F2 L' U
F U D B' L' F2 U
D U F2 D B' L U
D2 U B' L U D2 L2
D2 U B' L U' R2 U2
D2 U B' L D' F2 U
D2 U B' L D2 U L2
U D F2 D B' L U
D2 U B' D' L F2 U
D2 U B' D' F2 L U
D2 U B' D2 L U L
F' U F2 B' L' U L'
F U B L' B2 U L'
F2 U B' L' U B' L'
F' U B' U2 R U' L2
F' U B' D F2 L' U
F' U B' F2 L' U L'
F U B' L' U L' D
F U B' L' U L' D'
F U B' L' U L' D2
F U B' L' U D L'
F U B' L' U D' L'
F U B' L' U D2 L'
F U B' L' D U L'
F U B' L' D' U L'
F U B' L' D2 U L'
F U B' D L' F2 U
F U B2 L' B U L'
F' U' R U2 B' U L2
R' D2 R2 U B' L U
R2 D2 R2 U B' L U
R D2 R2 U B' L U
D U2 R' B D' L2 R2
D U2 R' B D' R2 L2
F' U2 L2 U R F U'
U D2 B' L U D2 L2
U D2 B' L U' R2 U2
U D2 B' L D' F2 U
U D2 B' L D2 U L2
U D2 B' D' L F2 U
U D2 B' D' F2 L U
U D2 B' D2 L U L
D2 F R2 U B' L U
R' F U B' L' U L'
R2 F U B' L' U L'
U' F U2 B' L' U L'
R F U B' L' U L'
U F D B' L' F2 U
U2 F B' L' U L' F'
U F B L' B2 U L'
F' D U F2 B' L' U
F' D U B' F2 L' U
U F B' L' U L' D
U F B' L' U L' D'
U F B' L' U L' D2
U F B' L' U D L'
U F B' L' U D' L'
U F B' L' U D2 L'
U F B' L' D U L'
U F B' L' D' U L'
U F B' L' D2 U L'
U F B' D L' F2 U
U F B2 L' B U L'
F D U B' L' F2 U
U' F' R U2 B' U L2
D2 F' R2 U B' L U
U F' D F2 B' L' U
U F' D B' F2 L' U
U F' B' U2 R U' L2
U F' B' D F2 L' U
D2 F2 R2 U B' L U
F D2 R2 U B' L' U
U F2 B' L' U L' B'
U F2 B' U L' B' L'
U2 B L D' L R2 B'
U2 B L D' L B' R2
U2 B L D' R2 L B'
B' F L' R2 U L' F'
B' F L' U' B U2 L'
B F L' B2 U L' F
F B L' B2 U L' F
B' F R2 L' U L' F'
U B F L' B2 U L'
D2 B' L U' R2 U2 F'
D2 B' L U' B R2 U2
U B' L U D' L B'
U B' L D' U L B'
U B' L F L' U L2
U B' L2 F L' U L
F B' L' R2 U L' F'
U B' U L D' L B'
F B' L' U' B U2 L'
F B' R2 L' U L' F'
U2 B' F L' U L' F'
U B' F L' U L' D
U B' F L' U L' D'
U B' F L' U L' D2
U B' F L' U D L'
U B' F L' U D' L'
U B' F L' U D2 L'
U B' F L' D U L'
U B' F L' D' U L'
U B' F L' D2 U L'
U B' F D L' F2 U
U B' F' U2 R U' L2
U B' F' D F2 L' U
U B' F2 L' U L' B'
U B' F2 U L' B' L'
U' B2 R2 F' R U' L2
U B2 F L' B U L'
