U L' B2 U L' B
U L' B2 U B L'
F' U L' B2 U L'
F' U B2 L' U L'
U B2 L' U B' L'
F' L U L2 B2 U L'
B2 L U L' B' L2 F
B2 L U' B2 R' F' U2
F' L U2 D' L R2 B2
F' L U2 D' L B2 R2
F' L U2 D' R2 L B2
F2 L U2 D' L R2 B'
F2 L U2 D' L B' R2
F2 L U2 D' R2 L B'
F' L D L2 F2 R U2
F' L D F2 L2 U2 L'
F2 L D' L B' R2 F'
F' L D' U2 L R2 B2
F' L D' U2 L B2 R2
F' L D' U2 R2 L B2
F2 L D' U2 L R2 B'
F2 L D' U2 L B' R2
F2 L D' U2 R2 L B'
U L B2 U' R' F U2
U L B2 U' F R' U2
B2 L' U L' D2 F2 B'
B2 L' U L' D2 B' F2
B2 L' U D2 L' F2 B'
B2 L' U D2 L' B' F2
U L' U D' R2 B' L'
U L' U D' B' L' R2
U L' U D' B' R2 L'
F' L' U B2 U L' B2
F' L' U B2 U B2 L'
B2 L' U' B2 U2 L' B'
B2 L' D' R2 U L' B'
U L' D' U R2 B' L'
U L' D' U B' L' R2
U L' D' U B' R2 L'
B2 L' D2 U L' F2 B'
B2 L' D2 U L' B' F2
B L' B U L' F B'
B L' B U L' B' F
F' L' B2 U L' D2 F2
F' L' B2 U D2 L' F2
U L' B2 L U L2 B
U L' B2 L U B L2
F' L' B2 U' B2 U2 L'
U L' B2 L2 U L B
F' L' B2 D' R2 U L'
F' L' B2 D2 U L' F2
U L' B2 U L B L2
U L' B2 U L' D B
U L' B2 U L' D' B
U L' B2 U L' D2 B
U L' B2 U L' B D
U L' B2 U L' B D'
U L' B2 U L' B D2
U L' B2 U D L' B
U L' B2 U D B L'
U L' B2 U D' L' B
U L' B2 U D' B L'
U L' B2 U D2 L' B
U L' B2 U D2 B L'
U L' B2 U B L' D
U L' B2 U B L' D'
U L' B2 U B L' D2
U L' B2 U B D L'
U L' B2 U B D' L'
U L' B2 U B D2 L'
U L' B2 U B' L' B2
U L' B2 D U L' B
U L' B2 D U B L'
U L' B2 D' U L' B
U L' B2 D' U B L'
U L' B2 D2 U L' B
U L' B2 D2 U B L'
U' L2 R D' B R2 F'
D L2 U L' F2 U B'
D L2 U F2 L' U B'
U2 L2 U' L' B2 U B
U2 L2 U' B2 L' U B'
L' U L B2 U L2 B'
R' U L' B2 U L' B
R' U L' B2 U B L'
R2 U L' B2 U L' B
R2 U L' B2 U B L'
L U L' B2 U L2 B
L U L' B2 U B L2
R U L' B2 U L' B
R U L' B2 U B L'
D L2 F' U L' F' U
U2 L2 B U' L B U
U L2 B2 L U B' L'
U' R L2 D' B R2 F'
F' R U L' B2 U L'
F' R U B2 L' U L'
U' R U' L2 D' B R2
F R U2 L2 D' R2 B2
F R U2 L2 D' B2 R2
U' R U2 B2 U B' L2
R' U B2 L' U B' L'
L' U B2 L U L2 B'
L' U B2 L2 U L B'
R2 U B2 L' U B' L'
R U B2 L' U B' L'
U' R D' B2 U' R2 B'
U' R D' B2 U' B' R2
F' R' U L' B2 U L'
F' R' U B2 L' U L'
U' R' U' L2 D' R2 B
U' R' D' B2 U' R2 B
F' R2 U L' B2 U L'
F' R2 U B2 L' U L'
D2 R2 U' R F2 U' B
D2 R2 U' F2 R U' B
F R2 U B2 L U L
D2 R2 F U' R F U'
F' U L' U L' D' R2
F' U L' U D' L' R2
F' U L' U D' R2 L'
F' U L' D' U L' R2
F' U L' D' U R2 L'
B2 U L' D2 B' L' F2
F' U L' B2 U L' D
F' U L' B2 U L' D'
F' U L' B2 U L' D2
F' U L' B2 U D L'
F' U L' B2 U D' L'
F' U L' B2 U D2 L'
F' U L' B2 D U L'
F' U L' B2 D' U L'
F' U L' B2 D2 U L'
B2 U L' B' L2 F L
D U L' F2 U R B'
D U L' F2 U B' R
U D L' F2 U R B'
U D L' F2 U B' R
F' U D L' F2 U R
F2 U F L' B2 U L'
F2 U F B2 L' U L'
F' U B L' B U L'
F U F2 L' B2 U L'
F U F2 B2 L' U L'
B2 U B' L' B' L' F
F' U B2 L' U L' D
F' U B2 L' U L' D'
F' U B2 L' U L' D2
F' U B2 L' U D L'
F' U B2 L' U D' L'
F' U B2 L' U D2 L'
F' U B2 L' D U L'
F' U B2 L' D' U L'
F' U B2 L' D2 U L'
F' U B2 D L' F2 U
F2 U B2 F L' U L'
F U B2 U2 R U' L2
F U B2 D F2 L' U
D2 U' R F2 U' L' B
D2 U' R F2 U' B L'
D' U' R B2 U' R B'
U' D' R B2 U' R B'
D' U' R B2 U' B' R
U' D' R B2 U' B' R
F U B2 F2 L' U L'
F' U' L' B2 R' U L'
B2 U' R B2 U2 B' L2
F U' R U' L2 D' R2
F U' R U2 B2 U L2
B2 U' R' F' B2 U2 L2
F U' R D' B2 U' R2
B2 U' R' B2 F' U2 L2
D' U' B2 R U' B R
U' D' B2 R U' B R
F U' D' R B2 U' R
F U' D' B2 R U' R
F U' D2 R F2 U' L'
U' D2 R F2 U' L' B
U' D2 R F2 U' B L'
B2 U' B2 R U2 L2 B
B2 U' B2 R U2 B L2
B2 U' B2 R' F' U2 L2
B2 U' B2 U2 L' B' L'
F' U2 L D' L R2 B2
F' U2 L D' L B2 R2
F' U2 L D' R2 L B2
F2 U2 L D' L R2 B'
F2 U2 L D' L B' R2
F2 U2 L D' R2 L B'
F' U2 L2 U' L B2 U
D F L2 U' R B' U'
D F L2 U' B' R U'
U F L' B2 U L' B
U F L' B2 U B L'
D2 F R2 U' R' F U'
D2 F R2 U' F R' U'
B2 U2 B' R' U' L2 F
D' F U' R B2 U' R
D' F U' B2 R U' R
F' D L2 U L F2 U
F' D L2 U F2 L U
F D L2 U F2 L' U
F' D U L' F2 U R
U F B2 L' U B' L'
D F' L2 U L F' U
D F' L2 U F' L U
U F' L' B2 U L' B
U F' L' B2 U B L'
D2 F' R2 U L' B U
D2 F' R2 U B L' U
R' F' U L' B2 U L'
R' F' U B2 L' U L'
R2 F' U L' B2 U L'
L2 F' U' L' B2 R' U
R2 F' U B2 L' U L'
L F' U L' B2 U L2
R F' U L' B2 U L'
R F' U B2 L' U L'
L F' U2 L D' R2 B2
L F' U2 L D' B2 R2
U F' B2 L' U B' L'
F D' U' R B2 U' R
F D' U' B2 R U' R
U F2 L' B2 U L' B
U F2 L' B2 U B L'
L' F2 D L2 R F' U2
L' F2 D R L2 F' U2
L' F2 D R F' L2 U2
L F2 U2 D' L R2 B'
L F2 U2 D' L B' R2
L F2 U2 D' R2 L B'
B2 D2 R U F2 L' B'
L F2 D' L B' R2 F'
L F2 D' U2 L R2 B'
L F2 D' U2 L B' R2
L F2 D' U2 R2 L B'
F' D2 R2 U' F2 R U'
F D2 R2 U' R' F2 U'
F D2 R2 U' F2 R' U'
U F2 B2 L' U B' L'
F D2 U' R F2 U' L'
U2 B L2 U' L' B U
U2 B L2 U' B L' U
U B L' B U L' B2
U B L' B U B2 L'
F' B L' B U L' F
U2 B' L2 U R' F U'
U2 B' L2 U F R' U'
B2 F' L' U L' D2 F2
B2 F' L' U D2 L' F2
B2 F' L' U' B2 U2 L'
B2 F' L' D' R2 U L'
B2 F' L' D2 U L' F2
B F' L' B U L' F
B2 F' D L' F2 R U
U B2 L U L2 B' L'
U B2 L U' F U2 L
U' B2 R U B L2 F
U B2 L' U D B' L'
U B2 L' U D' B' L'
U B2 L' U D2 B' L'
U B2 L' U B L' B2
U B2 L' U B' L' D
U B2 L' U B' L' D'
U B2 L' U B' L' D2
U B2 L' U B' D L'
U B2 L' U B' D' L'
U B2 L' U B' D2 L'
U B2 L' U B2 L' B
U B2 L' D U B' L'
U B2 L' D' U B' L'
U B2 L' D2 U B' L'
F' B2 L' U L' D2 F2
F' B2 L' U D2 L' F2
F' B2 L' U' B2 U2 L'
F' B2 L' D' R2 U L'
F' B2 L' D2 U L' F2
L' B2 U L' D2 F2 B'
L' B2 U L' D2 B' F2
L' B2 U D2 L' F2 B'
L' B2 U D2 L' B' F2
L' B2 U' B2 U2 L' B'
L B2 U' R' F' B2 U2
L B2 U' R' B2 F' U2
L' B2 D' R2 U L' B'
U B2 U2 R U' L2 B
U B2 U2 R U' B L2
U B2 D L' F2 U B'
L' B2 D2 U L' F2 B'
L' B2 D2 U L' B' F2
F' B2 D L' F2 R U
U B2 D F2 L' U B'
U B2 F L' U B' L'
U B2 F' L' U B' L'
U B2 F2 L' U B' L'
