L2 D' R' F' B
L2 D' R' B F'
R' L D L F' B'
R' L D L B' F'
R' L D F' L B'
R' L F' D L B'
L R' D L F' B'
L R' D L B' F'
L R' D F' L B'
L R' F' D L B'
F' L2 D' R' F' B
F' L2 D' R' B F'
F2 L2 D' R' F' B
F2 L2 D' R' B F'
F L2 D' R' F' B
F L2 D' R' B F'
D' R' D L2 F' B
D' R' D L2 B F'
D' R' D F' L2 B
D' R' D F' B L2
D' R' D B L2 F'
D' R' D B F' L2
D' R' F' D L2 B
D' R' F' D B L2
L D L R' F' B'
L D L R' B' F'
L D R' L F' B'
L D R' L B' F'
L D R' F' L B'
L' D' L' R' F' B
L' D' L' R' B F'
L D' L R' F' B
L D' L R' B F'
L' D' R' L' F' B
L' D' R' L' B F'
L' D' R' B L' F'
L D' R' L F' B
L D' R' L B F'
L2 D' R' D F' B
L2 D' R' D B F'
L2 D' R' D' F' B
L2 D' R' D' B F'
L2 D' R' D2 F' B
L2 D' R' D2 B F'
L D' R' F' L B
L2 D' R' F' D B
L2 D' R' F' D' B
L2 D' R' F' D2 B
L2 D' R' F' B D
L2 D' R' F' B D'
L2 D' R' F' B D2
L2 D' R' B D F'
L2 D' R' B D' F'
L2 D' R' B D2 F'
L2 D' R' B F' D
L2 D' R' B F' D'
L2 D' R' B F' D2
L2 D' F R' F' B
L2 D' F R' B F'
L2 D' F' R' F' B
L2 D' F' R' B F'
L2 D' F2 R' F' B
L2 D' F2 R' B F'
L2 F D' R' F' B
L2 F D' R' B F'
R' F' L D L B'
L2 F' D' R' F' B
L2 F' D' R' B F'
L2 F2 D' R' F' B
L2 F2 D' R' B F'
F' L R' D L F' B'
F' L R' D L B' F'
F' L R' D F' L B'
D' L R' D L2 F' B
D' L R' D L2 B F'
D' L R' D F' L2 B
U2 L R' D F L B'
D' L R' D F' B L2
D' L R' D B L2 F'
F2 L R' D L F' B'
F2 L R' D L B' F'
D' L R' D B F' L2
F2 L R' D F' L B'
F L R' D L F' B'
F L R' D L B' F'
F L R' D F' L B'
D L R' D' F' B' L2
D L R' D' B' L2 F'
D L R' D' B' F' L2
U2 L R' F D L B'
F' L R' F' D L B'
D' L R' F' D L2 B
D' L R' F' D B L2
F2 L R' F' D L B'
F L R' F' D L B'
D L R' B' D' L2 F'
D L R' B' D' F' L2
R' L D L D F' B'
R' L D L D B' F'
R' L D L D' F' B'
R' L D L D' B' F'
R' L D L D2 F' B'
R' L D L D2 B' F'
R' L D L F' D B'
R' L D L F' D' B'
R' L D L F' D2 B'
R' L D L F' B' D
R' L D L F' B' D'
R' L D L F' B' D2
R' L D L B' D F'
R' L D L B' D' F'
R' L D L B' D2 F'
R' L D L B' F' D
R' L D L B' F' D'
R' L D L B' F' D2
R' L D F L F2 B'
R' L D F L B' F2
R' L D F' L D B'
R' L D F' L D' B'
R' L D F' L D2 B'
R' L D F' L B' D
R' L D F' L B' D'
R' L D F' L B' D2
R' L D' F' D2 L B'
F' L D L R' F' B'
F' L D L R' B' F'
F2 L D L R' F' B'
F2 L D L R' B' F'
F L D L R' F' B'
F L D L R' B' F'
F' L D R' L F' B'
F' L D R' L B' F'
F' L D R' F' L B'
F2 L D R' L F' B'
F2 L D R' L B' F'
U2 L D R' F L B'
F2 L D R' F' L B'
F L D R' L F' B'
F L D R' L B' F'
F L D R' F' L B'
U2 L D F L R' B'
U2 L D F R' L B'
F' L D' L R' F' B
F' L D' L R' B F'
F2 L D' L R' F' B
F2 L D' L R' B F'
F L D' L R' F' B
F L D' L R' B F'
F' L D' R' L F' B
F' L D' R' L B F'
F' L D' R' F' L B
F2 L D' R' L F' B
F2 L D' R' L B F'
U2 L D' R' F L B
F2 L D' R' F' L B
D L D' R' F' B' L2
D L D' R' B' L2 F'
D L D' R' B' F' L2
F L D' R' L F' B
F L D' R' L B F'
F L D' R' F' L B
U2 L D' F L R' B
U2 L D' F R' L B
R' L F' D L D B'
R' L F' D L D' B'
R' L F' D L D2 B'
R' L F' D L B' D
R' L F' D L B' D'
R' L F' D L B' D2
R' L F2 D F L B'
U2 L F L D' R' B
U2 L F R' D L B'
U2 L F D L R' B'
U2 L F D R' L B'
U2 L F D' L R' B
U2 L F D' R' L B
R' L' D L F' B' L2
L' R' D L F' B' L2
R' L' D L B' L2 F'
R' L' D L B' F' L2
L' R' D L B' L2 F'
L' R' D L B' F' L2
R' L' D L' F' D2 B2
L' R' D L' F' D2 B2
L R' D L D F' B'
L R' D L D B' F'
L R' D L D' F' B'
L R' D L D' B' F'
L R' D L D2 F' B'
L R' D L D2 B' F'
L R' D L F' D B'
L R' D L F' D' B'
L R' D L F' D2 B'
L R' D L F' B' D
L R' D L F' B' D'
L R' D L F' B' D2
L R' D L B' D F'
L R' D L B' D' F'
L R' D L B' D2 F'
L R' D L B' F' D
L R' D L B' F' D'
L R' D L B' F' D2
L2 R' D L B' L' F'
D' L' R' D L2 F' B
D' L' R' D L2 B F'
D' L' R' D F' L2 B
D' L' R' D F' B L2
D' L' R' D B L2 F'
D' L' R' D B F' L2
L R' D F L F2 B'
L R' D F L B' F2
L R' D F' L D B'
L R' D F' L D' B'
L R' D F' L D2 B'
L R' D F' L B' D
L R' D F' L B' D'
L R' D F' L B' D2
L2 R' D F' L B' L'
D L' R' D' L2 F' B'
D L' R' D' L2 B' F'
D' L' R' F' D L2 B
D' L' R' F' D B L2
L2 R' D' R' B R F'
L2 R' D' F' R' B R
L R' D' F' D2 L B'
L2 R' D2 F' U R U'
L2 R' F' L' D L B'
L2 R' F' R D' R' B
L2 R' F' D L B' L'
L R' F' D L D B'
L R' F' D L D' B'
L R' F' D L D2 B'
L R' F' D L B' D
L R' F' D L B' D'
L R' F' D L B' D2
L2 R' F' D' R' B R
L2 R' F' B U R' U'
L2 R' F' B' U' L U
L R' F2 D F L B'
F' L' D' L' R' F' B
F' L' D' L' R' B F'
F2 L' D' L' R' F' B
F2 L' D' L' R' B F'
F' L' D' R' L' F' B
F' L' D' R' L' B F'
F' L' D' R' B L' F'
D L' D' L2 R' F' B'
D L' D' L2 R' B' F'
F2 L' D' R' L' F' B
F2 L' D' R' L' B F'
F L' D' L' R' F' B
F L' D' L' R' B F'
F2 L' D' R' B L' F'
D L' D' R' L2 F' B'
D L' D' R' L2 B' F'
F L' D' R' L' F' B
F L' D' R' L' B F'
F L' D' R' B L' F'
R' L' B' L' D' F' B2
R' L' B' L' D' B2 F'
R' L' B' L' F' D' B2
L' R' B' L' D' F' B2
L' R' B' L' D' B2 F'
L' R' B' L' F' D' B2
L2 R' B F' U R' U'
L2 R' B' U' L U F'
L2 R' B' F' U' L U
R' L2 D L B' L' F'
R' L2 D F' L B' L'
R' L2 D' R' B R F'
R' L2 D' F' R' B R
R' L2 D2 F' U R U'
D' L2 R' D L2 F' B
D' L2 R' D L2 B F'
D' L2 R' D F' L2 B
D' L2 R' D F' B L2
D' L2 R' D B L2 F'
D' L2 R' D B F' L2
D' L2 R' F' D L2 B
D' L2 R' F' D B L2
R' L2 F' L' D L B'
R' L2 F' R D' R' B
R' L2 F' D L B' L'
R' L2 F' D' R' B R
R' L2 F' B U R' U'
R' L2 F' B' U' L U
B L2 U R' F' L' U'
L2 R2 B R D F' B2
L2 R2 B R D B2 F'
L2 R2 B R F' D B2
R2 L2 B R D F' B2
R2 L2 B R D B2 F'
R2 L2 B R F' D B2
R' L2 B F' U R' U'
R' L2 B' U' L U F'
R' L2 B' F' U' L U
F' L2 D' R' D F' B
F' L2 D' R' D B F'
F' L2 D' R' D' F' B
F' L2 D' R' D' B F'
F' L2 D' R' D2 F' B
F' L2 D' R' D2 B F'
F' L2 D' R' F' D B
F' L2 D' R' F' D' B
F' L2 D' R' F' D2 B
F' L2 D' R' F' B D
F' L2 D' R' F' B D'
F' L2 D' R' F' B D2
F' L2 D' R' B D F'
F' L2 D' R' B D' F'
F' L2 D' R' B D2 F'
F' L2 D' R' B F' D
F' L2 D' R' B F' D'
F' L2 D' R' B F' D2
F2 L2 D' R' D F' B
F2 L2 D' R' D B F'
F2 L2 D' R' D' F' B
F2 L2 D' R' D' B F'
F2 L2 D' R' D2 F' B
F2 L2 D' R' D2 B F'
F2 L2 D' R' F' D B
F2 L2 D' R' F' D' B
F2 L2 D' R' F' D2 B
F2 L2 D' R' F' B D
F2 L2 D' R' F' B D'
F2 L2 D' R' F' B D2
F2 L2 D' R' B D F'
F2 L2 D' R' B D' F'
F2 L2 D' R' B D2 F'
F2 L2 D' R' B F' D
F2 L2 D' R' B F' D'
F2 L2 D' R' B F' D2
F' L2 D' F R' F' B
F' L2 D' F R' B F'
F' L2 D' F' R' F' B
F' L2 D' F' R' B F'
F L2 D' R' D F' B
F L2 D' R' D B F'
F L2 D' R' D' F' B
F L2 D' R' D' B F'
F L2 D' R' D2 F' B
F' L2 D' F2 R' F' B
F L2 D' R' D2 B F'
F' L2 D' F2 R' B F'
F L2 D' R' F' D B
F L2 D' R' F' D' B
F L2 D' R' F' D2 B
F L2 D' R' F' B D
F L2 D' R' F' B D'
F L2 D' R' F' B D2
F2 L2 D' F R' F' B
F2 L2 D' F R' B F'
F L2 D' R' B D F'
F L2 D' R' B D' F'
F L2 D' R' B D2 F'
F L2 D' R' B F' D
F L2 D' R' B F' D'
F L2 D' R' B F' D2
F2 L2 D' F' R' F' B
F2 L2 D' F' R' B F'
F2 L2 D' F2 R' F' B
F2 L2 D' F2 R' B F'
F L2 D' F R' F' B
F L2 D' F R' B F'
F L2 D' F' R' F' B
F L2 D' F' R' B F'
F L2 D' F2 R' F' B
F L2 D' F2 R' B F'
F' L2 F D' R' F' B
F' L2 F D' R' B F'
F2 L2 F D' R' F' B
F2 L2 F D' R' B F'
F L2 F D' R' F' B
F L2 F D' R' B F'
F' L2 F' D' R' F' B
F' L2 F' D' R' B F'
F2 L2 F' D' R' F' B
F2 L2 F' D' R' B F'
F L2 F' D' R' F' B
F L2 F' D' R' B F'
F' L2 F2 D' R' F' B
F' L2 F2 D' R' B F'
F2 L2 F2 D' R' F' B
F2 L2 F2 D' R' B F'
F L2 F2 D' R' F' B
F L2 F2 D' R' B F'
B L2 B' D' R' F' B
B L2 B' D' R' B F'
D' R' L D L2 F' B
D' R' L D L2 B F'
D' R' L D F' L2 B
D' R' L D F' B L2
D' R' L D B L2 F'
D' R' L D B F' L2
F' R' L D L F' B'
F' R' L D L B' F'
F' R' L D F' L B'
D' R' L F' D L2 B
D' R' L F' D B L2
F2 R' L D L F' B'
F2 R' L D L B' F'
F2 R' L D F' L B'
U2 R' L D F L B'
F' R' L F' D L B'
U2 R' L F D L B'
D R' L D' F' B' L2
D R' L D' B' L2 F'
D R' L D' B' F' L2
F2 R' L F' D L B'
D' R' L' D L2 F' B
D' R' L' D L2 B F'
D' R' L' D F' L2 B
D' R' L' D F' B L2
F R' L D L F' B'
F R' L D L B' F'
D' R' L' D B L2 F'
D' R' L' D B F' L2
F R' L D F' L B'
D R' L B' D' L2 F'
D R' L B' D' F' L2
D' R' L' F' D L2 B
D' R' L' F' D B L2
F R' L F' D L B'
D R' L' D' L2 F' B'
D R' L' D' L2 B' F'
D' R' L2 D L2 F' B
D' R' L2 D L2 B F'
D' R' L2 D F' L2 B
D' R' L2 D F' B L2
D' R' L2 D B L2 F'
D' R' L2 D B F' L2
D' R' L2 F' D L2 B
D' R' L2 F' D B L2
D' R' U B2 U' F' B'
D' R' U B2 U' B' F'
B R' U' L2 D F' R
D' R' D L F' L B
D' R' D L' B L' F'
D' R' D L2 D F' B
D' R' D L2 D B F'
D' R' D L2 D' F' B
D' R' D L2 D' B F'
D' R' D L2 D2 F' B
D' R' D L2 D2 B F'
D' R' D L2 F' D B
D' R' D L2 F' D' B
D' R' D L2 F' D2 B
D' R' D L2 F' B D
D' R' D L2 F' B D'
D' R' D L2 F' B D2
D' R' D L2 B D F'
D' R' D L2 B D' F'
D' R' D L2 B D2 F'
D' R' D L2 B F' D
D' R' D L2 B F' D'
D' R' D L2 B F' D2
D' R' D F L2 F2 B
D' R' D F L2 B F2
D' R' D F B L2 F2
D' R' D F' L' B L'
D' R' D F' L2 D B
D' R' D F' L2 D' B
D' R' D F' L2 D2 B
D' R' D F' L2 B D
D' R' D F' L2 B D'
D' R' D F' L2 B D2
D' R' D F' B L2 D
D' R' D F' B L2 D'
D' R' D F' B L2 D2
D' R' D F' B' L2 B2
D' R' D B L F' L
D' R' D B L2 D F'
D' R' D B L2 D' F'
D' R' D B L2 D2 F'
D' R' D B L2 F' D
D' R' D B L2 F' D'
D' R' D B L2 F' D2
D' R' D B F L2 F2
D' R' D B F' L2 D
D' R' D B F' L2 D'
D' R' D B F' L2 D2
D' R' D B' L2 F' B2
D' R' D B' L2 B2 F'
D' R' D B' F' L2 B2
D2 R' D' F' B2 L B'
D' R' D' F' D2 L2 B
D' R' D' F' D2 B L2
D' R' D' F' B D2 L2
D' R' D' B D2 L2 F'
D' R' D' B D2 F' L2
D' R' D' B F' D2 L2
D2 R' D' B2 L F' B'
D2 R' D' B2 L B' F'
D2 R' D' B2 F' L B'
D' R' D2 B D' L2 F'
D' R' D2 B D' F' L2
L U2 L D' R' F B
L U2 L D' R' B F
L U2 L D' F R' B
L U2 L F D' R' B
D' R' F' L D L2 B
D' R' F' L D B L2
D' R' F' L' D L2 B
D' R' F' L' D B L2
F' R' F' L D L B'
D' R' F' L2 D L2 B
D' R' F' L2 D B L2
F2 R' F' L D L B'
D' R' F' U B2 U' B'
D' R' F' D L' B L'
D' R' F' D L2 D B
D' R' F' D L2 D' B
D' R' F' D L2 D2 B
D' R' F' D L2 B D
D' R' F' D L2 B D'
D' R' F' D L2 B D2
D' R' F' D B L2 D
D' R' F' D B L2 D'
D' R' F' D B L2 D2
D' R' F' D B' L2 B2
D' R' F' D' B D2 L2
D' R' F' D2 B D' L2
D' R' F' B U B U'
F R' F' L D L B'
D' R' F2 D F L2 B
D' R' F2 D F B L2
D' R' F2 D B F L2
D' R' B U B U' F'
L U2 R' D L F B'
L U2 R' D L B' F
D' R' B F' U B U'
B R' B' U' L2 F' R'
B R' B' U' F' L2 R'
B R' B' U' F' R' L2
L U2 D L R' F B'
L U2 D L R' B' F
L U2 D L F R' B'
D2 R' B2 D' L F' B'
D2 R' B2 D' L B' F'
D2 R' B2 D' F' L B'
L U2 D R' L F B'
