B U' R' U' F L2
U2 F L D L B'
U' B R' U' F L2
B' L U' L' U2 F L2
F L D L D2 R2 B'
F L D L D2 B' R2
F L D L B' D2 R2
F' L F2 R D L B'
F' L F2 D L R B'
F' L F2 D L B' R
F' L F2 D R L B'
U2 L' D L F B' L2
U2 L' D L B' F L2
F L' D' B2 L' R' B
F L' D' B2 R' L' B
F L' D' B2 R' B L'
U2 L2 U2 B' U L U
F L2 D' R D' R2 B
F L2 D' R' D' B R2
F L2 D2 R' D R' B
B R U' R2 U' F L2
B R U2 F L2 D B2
D2 R D R F' U2 F2
D' R D F' U2 L2 F2
D' R D F' U2 F2 L2
D' R D' R2 U2 F B
D' R D' R2 U2 B F
D' R D' F' R2 U2 F2
U2 R F L2 D' R' B
D' R F' U' B2 U' F2
D' R F' U2 F2 D L2
U' R B R' U' F L2
R' U' B R' U' F L2
D' R' U' B2 U' F B'
D' R' U' B2 U' B' F
R2 U' B R' U' F L2
D' R' U2 D F L2 B
D' R' U2 D F B L2
D' R' U2 D B F L2
D' R' U2 F D L2 B
D' R' U2 F D B L2
R U' B R' U' F L2
B R' U2 F L2 D' B2
D2 R' D R' U2 F B
D2 R' D R' U2 B F
D' R' D U2 F L2 B
D' R' D U2 F B L2
D' R' D U2 B F L2
D' R' D' R2 F' U2 F2
U' R' B R' U' F L2
R' U2 F L D L B'
R2 U2 F L D L B'
R U2 F L D L B'
B R2 U' R U' F L2
D2 R2 U2 F U' L' U
L2 U2 B' L2 U L' U
L' D L U2 F B' L2
L' D L U2 B' F L2
D2 R2 F' U' R U' F2
U' R2 B R' U' F L2
F2 R2 B U' R' U' L2
B' U L U L' F L2
B2 U R U F L2 B
B2 U R U F B L2
B2 U R U B F L2
U2 D F L D' B' L
B' U D F2 L U F'
D U F2 L U F' B'
D U F2 L U B' F'
U D F2 L U F' B'
U D F2 L U B' F'
B' U F' L U L F2
B' U F' L U F2 L
B' U F2 L U L F'
B' U F2 L U F' L
U' D' R' B2 U' F B'
U' D' R' B2 U' B' F
D' U' R' B2 U' F B'
D' U' R' B2 U' B' F
B U' R' U' F L2 D
B U' R' U' F L2 D'
B U' R' U' F L2 D2
B U' R' U' F' L2 F2
B U' R' U' F2 L2 F'
B U' R' D' B2 U' F
B U' R' B U' F L2
B U' R' B' U' F L2
B U' R' B2 U' F L2
B' U' D' B2 R' U' F
B U' D' R' B2 U' F
D' U' B2 R' U' F B
D' U' B2 R' U' B F
U' D' B2 R' U' F B
U' D' B2 R' U' B F
F' U' B R' U' L2 F2
F' U' B R' U' F2 L2
B' U' B2 R' U' F L2
F2 U2 L D L F' B'
F2 U2 L D L B' F'
F2 U2 L D F' L B'
F' U2 L F2 D L B'
F2 U2 L F' D L B'
D U2 F L D' B' L
B U2 R' U' R F L2
U2 F L D L D B'
U2 F L D L D' B'
U2 F L D L D2 B'
U2 F L D L B' D
U2 F L D L B' D'
U2 F L D L B' D2
B' U2 F L' D' L' B2
B' U2 F L' D' B2 L'
B' U2 F L2 U' L' U
B2 U2 F L2 U R U'
B' U2 F U' L U L
U2 F L' D L B' L2
B2 U2 F U R U' L2
U2 F L' B' L' D' B2
U2 F L2 R D' R' B
B U2 F L2 U R' U'
F2 U2 F' L D L B'
U2 F L2 D L B' L'
U2 F L2 D' R' B R
B U2 F U R' U' L2
U2 F L2 B U R' U'
U2 F L2 B' U' L U
F' U2 F2 L D L B'
U2 F R L2 D' R' B
U2 F U B R' U' L2
U2 F D L D' B' L2
U2 F D L B' D' L2
U2 F D L' D' L2 B'
U2 F B L2 U R' U'
U2 F B U R' U' L2
U2 F B' L' D' L' B2
U2 F B' L' D' B2 L'
U2 F B' L2 U' L' U
B' D U F2 L U F'
U2 F B' U' L U L
U2 F' L F2 D L B'
D2 F' R2 U' R' U' F2
D2 F' U' R U' F2 L'
B' D' U' B2 R' U' F
U2 F2 L D L F' B'
U2 F2 L D L B' F'
U2 F2 L D F' L B'
U2 F2 L F' D L B'
B D' U' R' B2 U' F
B D2 R2 U' R U' F
U' B R' U' F L2 D
U' B R' U' F L2 D'
U' B R' U' F L2 D2
U' B R' U' F' L2 F2
U' B R' U' F2 L2 F'
U' B R' D' B2 U' F
U' B R' B U' F L2
U' B R' B' U' F L2
U' B R' B2 U' F L2
U2 B R' U' R F L2
U2 B U R' U' F L2
R' B U' R' U' F L2
R2 B U' R' U' F L2
B' F L' D' B2 L' R'
B' F L' D' B2 R' L'
R B U' R' U' F L2
U' B D' R' B2 U' F
U2 B F L2 U R' U'
U2 B F U R' U' L2
F' B U' R' U' L2 F2
F' B U' R' U' F2 L2
L2 B' L2 U L' U L'
B' F' L U F2 L R
B' F' L U F2 R L
F' B' L U F2 L R
F' B' L U F2 R L
F B' L' D' B2 L' R'
F B' L' D' B2 R' L'
U' B' D' B2 R' U' F
B' F' U L U L F2
B' F' U L U F2 L
F' B' U L U L F2
F' B' U L U F2 L
F2 B' U L U L F'
F2 B' U L U F' L
U2 B' F L' D' L' B2
U2 B' F L' D' B2 L'
U2 B' F L2 U' L' U
U2 B' F U' L U L
B F' U' R' U' L2 F2
B F' U' R' U' F2 L2
U' B2 U' F L' B' L'
B' F2 U L U L F'
B' F2 U L U F' L
