U' L2 F' B' R' B
U' L2 B' F' R' B
U F R F2 L2 B'
U' F' L2 B' R' B
U F' L2 B2 R' B
U' F' B' L2 R' B
U' F' B' R' L2 B
U' F' B' R' B L2
U' B' L2 F' R' B
U' B' F' L2 R' B
U' B' F' R' L2 B
U' B' F' R' B L2
U' L D2 L F' B' R'
U' L D2 L B' F' R'
U' L D2 F' L B' R'
U' L F' L B' R' B
U' L F' D2 L B' R'
U' L F' B' R' B L
U' L B' F' R' B L
U' L' B' L' F' R' B
F' L2 R B' D' R2 B
F' L2 R' U F' U' B
F' L2 R' B U F' U'
U L2 R' F B R F'
F' L2 R2 D R B R'
U L2 R' B F R F'
F' L2 U' B' U R' B
U' L2 F B' R' F2 B
U' L2 F B' R' B F2
U L2 F R' F2 B R2
U L2 F R' B R2 F2
U L2 F R' B F2 R2
U' L2 F' R' B' R' B2
U2 L2 F' R' D' B R'
U' L2 F' B' R' D B
U' L2 F' B' R' D' B
U' L2 F' B' R' D2 B
U' L2 F' B' R' B D
U' L2 F' B' R' B D'
U' L2 F' B' R' B D2
U' L2 F' B2 R' B R'
U' L2 F2 B' R' F B
U' L2 F2 B' R' B F
U' L2 B' F R' F2 B
U' L2 B' F R' B F2
U' L2 B' F' R' D B
U' L2 B' F' R' D' B
U' L2 B' F' R' D2 B
U' L2 B' F' R' B D
U' L2 B' F' R' B D'
U' L2 B' F' R' B D2
U' L2 B' F2 R' F B
U' L2 B' F2 R' B F
U' L2 B2 F' R' B R'
F' R L2 B' D' R2 B
L U' L F' B' R' B
L U' L B' F' R' B
L' U' L' F' B' R' B
L' U' L' B' F' R' B
U' R F2 L2 B' R' F'
F R F2 L2 B' D' R2
F R B U F2 L2 B'
F' R B' L2 D' R2 B
L U' D2 L F' B' R'
L U' D2 L B' F' R'
L U' D2 F' L B' R'
F' R' L2 U F' U' B
F' R' L2 B U F' U'
L U' F' L B' R' B
U R' L2 F B R F'
F' R' U F' U' L2 B
F' R' U F' U' B L2
U R' L2 B F R F'
L U' F' D2 L B' R'
L U' F' B' R' B L
L' U' B' L' F' R' B
L2 U' B' U F' R' B
L U' B' F' R' B L
F2 R' F L2 D B R2
F2 R' F L2 B D R2
U R' F L2 B R F'
D' R' F' R B2 U' F'
F2 R' F B L2 D R2
F' R' F' U' F L2 B
F' R' F' U' F B L2
F' R' F' U' B F L2
U R' F B L2 R F'
U R' F B R L2 F'
U R' F B R F' L2
F2 R' F' U' L2 F2 B
F2 R' F' U' L2 B F2
D' R' F' B2 R U' F'
F2 R' F' U' F2 L2 B
F2 R' F' U' F2 B L2
F2 R' F' U' B L2 F2
F2 R' F' U' B F2 L2
F R' F' U' L2 F' B
F R' F' U' L2 B F'
F R' F' U' F' L2 B
F R' F' U' F' B L2
F R' F' U' B L2 F'
F R' F' U' B F' L2
F R' F2 L2 B D' R2
F' R' B L2 U F' U'
U' R' B L2 F2 R F'
F' R' B U F' U' L2
F2 R' B F L2 D R2
U R' B L2 F R F'
U' R' B' R' B2 L2 F
U R' B F L2 R F'
U R' B F R L2 F'
U R' B F R F' L2
D' R' B2 F' R U' F'
F' R2 L2 D R B R'
U R2 B2 L2 F R B
F2 U R' F L2 B R
F2 U R' F B L2 R
F2 U R' F B R L2
F2 U R' B F L2 R
F2 U R' B F R L2
F2 U R2 F L2 R B
F2 U R2 F R L2 B
F2 U R2 F R B L2
B' U F R F2 L2 B'
F2 U F L2 R' B R2
B2 U F R F2 L2 B'
F2 U F R' L2 B R2
F2 U F R' B L2 R2
F2 U F R' B R2 L2
B U F R F2 L2 B'
B' U F' L2 B2 R' B
B2 U F' L2 B2 R' B
B U F' L2 B2 R' B
B' U' L2 F' B' R' B
B' U' L2 B' F' R' B
B2 U' L2 F' B' R' B
B2 U' L2 B' F' R' B
D2 U' R2 B L U2 B'
B U' L2 F' B' R' B
B U' L2 B' F' R' B
F U' L2 F2 B' R' B
F U' L2 B' R' F2 B
F U' L2 B' R' B F2
F U' L2 B' F2 R' B
F U' R F2 L2 B' R'
F U' R' B L2 F2 R
F2 U' F L2 B' R' B
B' U' F' L2 B' R' B
F2 U' F B' L2 R' B
F2 U' F B' R' L2 B
F2 U' F B' R' B L2
B2 U' F' L2 B' R' B
B' U' F' B' L2 R' B
B' U' F' B' R' L2 B
B' U' F' B' R' B L2
B2 U' F' B' L2 R' B
B2 U' F' B' R' L2 B
B2 U' F' B' R' B L2
B U' F' L2 B' R' B
B U' F' B' L2 R' B
B U' F' B' R' L2 B
B U' F' B' R' B L2
F U' F2 L2 B' R' B
B' U' B' L2 F' R' B
F U' F2 B' L2 R' B
F U' F2 B' R' L2 B
F U' F2 B' R' B L2
B2 U' B' L2 F' R' B
F' U' B' U L2 R' B
F' U' B' U R' L2 B
F' U' B' U R' B L2
F2 U' B' R' F L2 B
F2 U' B' R' F B L2
F2 U' B' R' B F L2
B' U' B' F' L2 R' B
B' U' B' F' R' L2 B
B' U' B' F' R' B L2
B2 U' B' F' L2 R' B
B2 U' B' F' R' L2 B
B2 U' B' F' R' B L2
F2 U' B' F L2 R' B
F2 U' B' F R' L2 B
F2 U' B' F R' B L2
B U' B' L2 F' R' B
F U' B' L2 R' F2 B
F U' B' L2 R' B F2
F U' B' L2 F2 R' B
F U' B' R' L2 F2 B
F U' B' R' L2 B F2
F U' B' R' F2 L2 B
F U' B' R' F2 B L2
F U' B' R' B L2 F2
F U' B' R' B F2 L2
B U' B' F' L2 R' B
B U' B' F' R' L2 B
B U' B' F' R' B L2
F U' B' F2 L2 R' B
F U' B' F2 R' L2 B
F U' B' F2 R' B L2
U' D2 R2 B L U2 B'
L D2 U' L F' B' R'
L D2 U' L B' F' R'
L D2 U' F' L B' R'
U' F L2 F2 B' R' B
U' F L2 B' R' F2 B
U' F L2 B' R' B F2
U' F L2 B' F2 R' B
U' F R F2 L2 B' R'
U F L2 R' F2 B R2
U F L2 R' B R2 F2
U F L2 R' B F2 R2
U' F R' B L2 F2 R
U F R F2 L2 D B'
U F R F2 L2 D' B'
U F R F2 L2 D2 B'
U F R F2 L2 B' D
U F R F2 L2 B' D'
U F R F2 L2 B' D2
U F R F2 B L2 B'
U F R F2 B' L2 B'
U F R F2 B2 L2 B'
U F R B F2 L2 B'
U F R B' F2 L2 B'
U F R B2 F2 L2 B'
U F R' L2 F2 B R2
U F R' L2 B R2 F2
U F R' L2 B F2 R2
U F R' F2 L2 B R2
U F R' F2 B L2 R2
U F R' F2 B R2 L2
U F R' B L2 R2 F2
U F R' B L2 F2 R2
U F R' B R2 L2 F2
U F R' B R2 F2 L2
U F R' B F2 L2 R2
U F R' B F2 R2 L2
U F U R F2 L2 B'
U F U' R F2 L2 B'
U F U2 R F2 L2 B'
U' F B' L2 R' F2 B
U' F B' L2 R' B F2
U' F B' L2 F2 R' B
U' F B' R' L2 F2 B
U' F B' R' L2 B F2
U' F B' R' F2 L2 B
U' F B' R' F2 B L2
U' F B' R' B L2 F2
U' F B' R' B F2 L2
U F B R F2 L2 B'
U' F' L D2 L B' R'
U F B' R F2 L2 B'
U' F' L B' R' B L
U F B2 R F2 L2 B'
U' F' L' B' L' R' B
U' F' L' B' R' L' B
U' F' L' B' R' B L'
U' F' L2 R' B' R' B2
U F' L D2 L R2 B'
U F' L D2 L B' R2
U F' L D2 R2 L B'
U' F' L2 B' R' D B
U' F' L2 B' R' D' B
U' F' L2 B' R' D2 B
U' F' L2 B' R' B D
U' F' L2 B' R' B D'
U' F' L2 B' R' B D2
U' F' L2 B2 R' B R'
U2 F' L2 R' D' B R'
U' F' R' L2 B' R' B2
U F' L2 R' B2 R' B'
U' F' R' B' L2 R' B2
U' F' R' B' R' L2 B2
U' F' R' B' R' B2 L2
U F' L2 B R' B R'
L2 F' R B' D' R2 B
U F' L2 B2 R' D B
U F' L2 B2 R' D' B
U F' L2 B2 R' D2 B
U F' L2 B2 R' B D
U F' L2 B2 R' B D'
U F' L2 B2 R' B D2
U2 F' R' L2 D' B R'
L2 F' R' U F' U' B
L2 F' R' B U F' U'
U F' R' L2 B2 R' B'
L2 F' R2 D R B R'
U F' R' B' L2 B2 R'
L2 F' U' B' U R' B
U' F' B' L' R' B L'
U' F' B' L2 R' D B
U' F' B' L2 R' D' B
U' F' B' L2 R' D2 B
U' F' B' L2 R' B D
U' F' B' L2 R' B D'
U' F' B' L2 R' B D2
U' F' B' R' L' B L'
U' F' B' R' L2 D B
U' F' B' R' L2 D' B
U' F' B' R' L2 D2 B
U' F' B' R' L2 B D
U' F' B' R' L2 B D'
U' F' B' R' L2 B D2
U' F' B' R' B L2 D
U' F' B' R' B L2 D'
U' F' B' R' B L2 D2
U' F' B' R' B' L2 B2
U' F' B2 L2 R' B R'
U' F' B2 L2 B R' B
U' F' B2 R' L2 B R'
U' F' B2 R' B L2 R'
U' F' B2 R' B R' L2
U F' B L2 B2 R' B
U F' B' L2 B2 R' B
U F' B2 L2 B2 R' B
L2 F2 R' F D B R2
L2 F2 R' F B D R2
L2 F2 R' B F D R2
U' F2 B' R' F L2 B
U' F2 B' R' F B L2
U' F2 B' R' B F L2
D F2 B2 U F R B
U B F R F2 L2 B'
U' B' L F' L R' B
U' B' L F' R' L B
U B F' L2 B2 R' B
D B' L F2 U F R
U' B' L2 F R' F2 B
U' B' L2 F R' B F2
U' B' L2 F' R' D B
U' B' L2 F' R' D' B
U' B' L2 F' R' D2 B
U' B' L2 F' R' B D
U' B' L2 F' R' B D'
U' B' L2 F' R' B D2
U' B' L2 F2 R' F B
U' B' L2 F2 R' B F
U' B' U L2 F' R' B
U' B' U F' L2 R' B
U' B' U F' R' L2 B
U' B' U F' R' B L2
U' B' U' L2 F' R' B
U' B' U' F' L2 R' B
U' B' U' F' R' L2 B
U' B' U' F' R' B L2
U' B' U2 L2 F' R' B
U' B' U2 F' L2 R' B
U' B' U2 F' R' L2 B
U' B' U2 F' R' B L2
U' B' F L2 R' F2 B
U' B' F L2 R' B F2
U' B' F L2 F2 R' B
U' B' F R' L2 F2 B
U' B' F R' L2 B F2
U' B' F R' F2 L2 B
U' B' F R' F2 B L2
U' B' F R' B L2 F2
U' B' F R' B F2 L2
U' B' F' L' R' B L'
U' B' F' L2 R' D B
U' B' F' L2 R' D' B
U' B' F' L2 R' D2 B
U' B' F' L2 R' B D
U' B' F' L2 R' B D'
U' B' F' L2 R' B D2
U' B' F' R' L' B L'
U' B' F' R' L2 D B
U' B' F' R' L2 D' B
U' B' F' R' L2 D2 B
U' B' F' R' L2 B D
U' B' F' R' L2 B D'
U' B' F' R' L2 B D2
U' B' F' R' B L2 D
U' B' F' R' B L2 D'
U' B' F' R' B L2 D2
U' B' F' R' B' L2 B2
U' B' F2 R' F L2 B
U' B' F2 R' F B L2
U' B' F2 R' B F L2
U B' F R F2 L2 B'
U B' F' L2 B2 R' B
U' B2 L2 F' R' B R'
U' B2 L2 F' B R' B
U' B2 L2 B F' R' B
D' B2 R' F' R U' F'
U' B2 F' L2 R' B R'
U' B2 F' L2 B R' B
U' B2 F' R' L2 B R'
U' B2 F' R' B L2 R'
U' B2 F' R' B R' L2
U B2 F R F2 L2 B'
U B2 F' L2 B2 R' B
D B2 F2 U F R B
