R2 D F2 B' L U
R2 D B' L F2 U
R2 D B' F2 L U
R B' R U L2 B2
R B' R U B2 L2
R2 L U L B' R' B
R2 L U D2 L B' R'
R2 L U B' R' B L
B' L R2 U D2 L B'
B' L R2 D2 U L B'
R2 L D2 U L B' R'
L R2 U L B' R' B
L R2 U D2 L B' R'
L R2 U B' R' B L
L R2 D2 U L B' R'
B2 L2 U' B L R2 U
B2 L2 U' B R2 L U
B L2 D' R B R F2
B L2 D' F2 R B R
R2 U R' B L2 D' R2
L2 U D' F R U' F
L2 U D2 F L2 R U'
L2 U D2 F R L2 U'
L2 U F R U2 R U
L2 U F D' R U' F2
L2 U F D2 L2 R U'
L2 U F D2 R L2 U'
R U B' R U L2 B2
R U B' R U B2 L2
D R B D' L2 R2 F'
L2 U' R2 U2 F R U'
D R B D' R2 L2 F'
D R B D' R2 F' L2
F' R B' R U L2 B2
F' R B' R U B2 L2
F2 R B' R U L2 B2
F2 R B' R U B2 L2
F R B' R U L2 B2
F R B' R U B2 L2
B R B2 R U B' L2
R U' B' R U L2 B2
R U' B' R U B2 L2
B' R' F2 R' U L2 B'
B' R2 L U D2 L B'
B' R2 L D2 U L B'
B' R2 U L D2 L B'
B' R2 U L2 R' B R
B' R2 U R' L2 B R
B' R2 U R' B L2 R
B' R2 U R' B R L2
B' R2 U' R F' U2 L2
B' R2 U' R' U2 L2 B
B' R2 U' R' U2 B L2
B' R2 U2 R' U' L2 B
B' R2 U2 R' U' B L2
F' R2 D F2 B' L U
R U2 B' R U L2 B2
R U2 B' R U B2 L2
F' R2 D B' L F2 U
F' R2 D B' F2 L U
F2 R2 D F2 B' L U
F2 R2 D B' L F2 U
F2 R2 D B' F2 L U
F R2 D F2 B' L U
F R2 D B' L F2 U
F R2 D B' F2 L U
U R2 F' B' L' U L'
U2 R2 B' L' U B' L'
U' R2 B' U2 R' U' L2
U R2 B' L' U L' B'
U R2 B' U L' B' L'
U R2 B' F' L' U L'
R2 D F' B' L F' U
R2 D F2 B' L U D
R2 D F2 B' L U D'
R2 D F2 B' L U D2
R2 D F2 B' L D U
R2 D F2 B' L D' U
R2 D F2 B' L D2 U
R2 D F2 B' D L U
R2 D F2 B' D' L U
R2 D F2 B' D2 L U
R2 D B' L U D' L2
R2 D B' L D' U L2
R2 D B' L F2 U D
R2 D B' L F2 U D'
R2 D B' L F2 U D2
R2 D B' L F2 D U
R2 D B' L F2 D' U
R2 D B' L F2 D2 U
R2 D B' L' F2 L2 U
R2 D B' D' L U L
R2 D B' F' L F' U
R2 D B' F2 L U D
R2 D B' F2 L U D'
R2 D B' F2 L U D2
R2 D B' F2 L D U
R2 D B' F2 L D' U
R2 D B' F2 L D2 U
R D B' R F2 U B2
R2 D B' F2 D L U
R2 D B' F2 D' L U
R2 D B' F2 D2 L U
L' D' L' R F2 B R'
L' D' L' R B R' F2
L' D' L' R B F2 R'
L' D' L' F2 R B R'
L' D' R L' F2 B R'
L' D' R L' B R' F2
L' D' R L' B F2 R'
L' D' R B L' R' F2
L' D' R B L' F2 R'
L' D' R B R' L' F2
L2 D' U F R U' F
R2 D' B' L2 F L' U
B2 U' B L R2 U L
B2 U' B R2 L U L
L2 D2 U F L2 R U'
L2 D2 U F R L2 U'
R2 F D F2 B' L U
R2 F D B' L F2 U
R2 F D B' F2 L U
R' F' U R' B' U L2
U F' R2 B' L' U L'
R2 F' D F2 B' L U
R2 F' D B' L F2 U
R2 F' D B' F2 L U
U F' B' L' R2 U L'
U F' B' R2 L' U L'
R' F2 R' B' U L2 B'
L2 F2 U' R2 B L U
R2 F2 D F2 B' L U
R2 F2 D B' L F2 U
R2 F2 D B' F2 L U
R B L2 R' D' R2 F2
R B L2 R' D' F2 R2
R B L2 U' R B2 U
R B L2 U' B2 R U
R B R B2 U L2 B2
R B R B2 U B2 L2
R B R' L2 D' R2 F2
R B R' L2 D' F2 R2
R B U' R B2 U L2
R B U' B2 R U L2
R2 B' L U D2 L B'
R2 B' L D2 U L B'
U2 B' L' R2 U B' L'
R B' L R U L B2
U B' L' R2 U L' B'
R B' L' R U L' B2
R B' L' R U B2 L'
U' B' R2 U2 R U' L2
U' B' R2 D F2 L' U
U' B' R2 F2 L' U L'
R B' R L U L B2
R B' R L' U L' B2
R B' R L' U B2 L'
R B' R U L' B2 L'
R B' R U L2 B2 D
R B' R U L2 B2 D'
R B' R U L2 B2 D2
U2 B' R2 L' U B' L'
R B' R U B L2 B
R B' R U B2 L2 D
R B' R U B2 L2 D'
R B' R U B2 L2 D2
R B' R D L2 F2 U
R B' R D F2 L2 U
R B' R F U L2 B2
R B' R F U B2 L2
R B' R F' U L2 B2
R B' R F' U B2 L2
R B' R F2 U L2 B2
R B' R F2 U B2 L2
U B' R2 L' U L' B'
R2 B' U L D2 L B'
U B' R2 U L' B' L'
R2 B' U L2 R' B R
R2 B' U R' L2 B R
R2 B' U R' B L2 R
R2 B' U R' B R L2
U B' R2 F' L' U L'
R2 B' U' R F' U2 L2
R2 B' U' R' U2 L2 B
R2 B' U' R' U2 B L2
R2 B' U2 R' U' L2 B
R2 B' U2 R' U' B L2
R B' D L2 R F2 U
R B' D R L2 F2 U
R B' D R F2 L2 U
U B' F' L' R2 U L'
U B' F' R2 L' U L'
