B2 U' F' R' U' L2
D' L R2 D B U L2
D' L R2 D2 F2 B U
D' L R2 D2 B F2 U
D' L R2 B U2 B U'
F' L U L D2 F2 R
F' L U D2 L F2 R
F' L U B2 R' U2 B2
F' L U B2 U2 B2 L
B2 L U' F' R' U' L
F' L U' B2 R' U2 R
F' L D2 U L F2 R
R2 L B U' B R' U2
D L F2 U2 F L U'
D' L B R2 F' B U
D' L B R2 B F' U
F' L' D2 R2 U' L' F2
D L' F2 L2 R B' U
D L' F2 L2 B' R U
D L' F2 R L2 B' U
L R2 B U' B R' U2
B' R U L2 F R B
L2 U' L' D' R2 B U
L2 U' D' L' R2 B U
L2 U' D' R2 L' B U
L2 U' D' R2 B L' U
L U2 D F' L2 U' L'
D' R2 L D B U L2
D' R2 L D2 F2 B U
D' R2 L D2 B F2 U
D' R2 L B U2 B U'
L U2 D2 F' U' L F'
L U2 D2 F' U' F' L
D2 R2 U L B U F2
L U2 F' U B2 R' U2
L U2 F' U' L D2 F2
L U2 F' U' D2 L F2
L U2 F' U' D2 F2 L
L U2 F' D L2 U' L'
L U2 F' D2 U' L F2
L U2 F' D2 U' F2 L
D' R2 D2 L F2 B U
D' R2 D2 L B F2 U
D' R2 D2 F2 L B U
D' R2 B U2 B R' U'
L D U2 F' L2 U' L'
R2 D' L B R2 F' U
L' D' R2 B U L' B
L' D' R2 B U B L'
L2 D' R2 B L' U L
F' U B2 U' R' U' L2
L2 D' U' L' R2 B U
L2 D' U' R2 L' B U
L2 D' U' R2 B L' U
L D' B' R2 B U L
B2 U' D' F' R' B2 U'
B2 U' F R' F2 U' L2
B2 U' F' R' U' L2 D
B2 U' F' R' U' L2 D'
B2 U' F' R' U' L2 D2
B2 U' F' R' D' B2 U'
B2 U' F' R' B U' L2
B2 U' F' R' B' U' L2
B2 U' F' R' B2 U' L2
B2 U' F' D' R' B2 U'
B2 U' F2 R' F U' L2
F' U2 L U L D2 F2
F' U2 L U D2 L F2
F' U2 L U D2 F2 L
F' U2 L U' B2 R' U2
F' U2 L D' R2 U L
F' U2 L D2 U L F2
F' U2 L D2 U F2 L
L D2 U2 F' U' L F'
L D2 U2 F' U' F' L
B2 U2 L2 U F' R' U'
L2 D2 F2 U R F U'
B2 U2 F' R' U' F L2
D F L2 F2 R B' U'
D F L2 F2 B' R U'
D F L2 B' F2 R U'
F' D L2 U2 L' F2 U
D F' L2 U2 L' F' U
D' F' R' B2 L R' U'
D' F' R' B2 R' L U'
L F' U L D2 F2 R
L F' U D2 L F2 R
L F' U B2 R' U2 B2
L F' U B2 U2 B2 L
L F' U' B2 R' U2 R
F' D' R' B2 L R' U'
F' D' R' B2 R' L U'
L F' D2 U L F2 R
D' F' B2 R' U2 R' U
D' F' B2 D' R' U' F2
D' F' B2 D2 L2 R' U'
D' F' B2 D2 R' L2 U'
B2 D' U' F' R' B2 U'
F' D' B2 R' U2 R' U
F' D' B2 D' R' U' F2
F' D' B2 D2 L2 R' U'
F' D' B2 D2 R' L2 U'
B2 F U' R' F2 U' L2
B2 F U' F2 R' U' L2
B' F' L' U' L' F B'
B' F' L' U' L' B' F
F' B' L' U' L' F B'
F' B' L' U' L' B' F
R B' U L2 F R B
B2 F' R' U' L2 D F2
B2 F' R' B U' L2 F
B' F' U' L' B' L' F
F' B' U' L' B' L' F
B2 F' U' R' U' L2 R
B2 F' U' R' U' R L2
D' B2 R' U2 R' B U
F' B2 R' U' L2 D F2
U' B2 U' F' R' U' L2
F' B2 R' B U' L2 F
U2 B2 U' F' R' U' L2
U B2 U' F' R' U' L2
F' B2 U' R' U' L2 R
F' B2 U' R' U' R L2
B2 F2 U' R' F U' L2
F2 B2 U' R' F U' L2
B2 F2 U' F R' U' L2
F2 B2 U' F R' U' L2
D' B2 D2 L2 F' R' U'
D' B2 D2 F' L2 R' U'
D' B2 D2 F' R' L2 U'
F B2 U' R' F2 U' L2
F B2 U' F2 R' U' L2
D' B2 F' R' U2 R' U
D' B2 F' D' R' U' F2
D' B2 F' D2 L2 R' U'
D' B2 F' D2 R' L2 U'
