R' D' L2 B R'
R' D' B L2 R'
R' D' B R' L2
R' L B D' L2 R2
R' L B D' R2 L2
L R' B D' L2 R2
L R' B D' R2 L2
D' L2 B D R' B
B' R' D' L2 B R'
B2 R' D' L2 B R'
B' R' D' B L2 R'
B' R' D' B R' L2
B2 R' D' B L2 R'
B2 R' D' B R' L2
B R' D' L2 B R'
B R' D' B L2 R'
B R' D' B R' L2
R' D' L' B L' R'
R' D' L' B R' L'
R' D' L2 B R' D
R' D' L2 B R' D'
R' D' L2 B R' D2
R' D' L2 B D R'
R' D' L2 B D' R'
R' D' L2 B D2 R'
R2 D' L2 R B R'
R2 D' R L2 B R'
R D' L2 R2 B R'
R2 D' R B L2 R'
R2 D' R B R' L2
R D' R2 L2 B R'
R D' R2 B L2 R'
R D' R2 B R' L2
R' D' B L2 R' D
R' D' B L2 R' D'
R' D' B L2 R' D2
R' D' B L2 D R'
R' D' B L2 D' R'
R' D' B L2 D2 R'
R' D' B R' L2 D
R' D' B R' L2 D'
R' D' B R' L2 D2
D' B L2 D R' B
B' L R' B D' L2 R2
B' L R' B D' R2 L2
B2 L R' B D' L2 R2
B2 L R' B D' R2 L2
F2 L R' B' U F2 B2
F2 L R' B' U B2 F2
B L R' B D' L2 R2
B L R' B D' R2 L2
R' L U' F2 B' U B2
R' L U' B' F2 U B2
R' L D' B L2 D' R2
F2 L D R2 B' L U
D2 L D B L2 R' B2
D2 L D B R' L2 B2
D2 L D B R' B2 L2
F2 L D B' L R2 U
F2 L D B' R2 L U
R' L F2 B' U F2 B2
R' L F2 B' U B2 F2
R' L B L D' L2 R2
R' L B L D' R2 L2
R' L B L' D' L2 R2
R' L B L' D' R2 L2
R' L B L2 D' L2 R2
R' L B L2 D' R2 L2
R' L B R D' L2 R2
R' L B R D' R2 L2
R' L B R' D' L2 R2
R' L B R' D' R2 L2
R' L B R2 D' L2 R2
R' L B R2 D' R2 L2
R' L B U' F2 B2 U
R' L B U' B2 F2 U
R' L B D' L2 R2 D
R' L B D' L2 R2 D'
R' L B D' L2 R2 D2
R' L B D' R2 L2 D
R' L B D' R2 L2 D'
R' L B D' R2 L2 D2
L R B D' L2 R2 B
L R B D' R2 L2 B
L R B D' R2 B L2
R L B D' L2 R2 B
R L B D' R2 L2 B
R L B D' R2 B L2
R' L B' F2 U F2 B2
R' L B' F2 U B2 F2
U' L F2 D B' L U
F2 L B' R' U F2 B
F2 L B' R' U B F2
L R' U' F2 B' U B2
L R' U' B' F2 U B2
R' L' D' L2 B D' R2
L' R' D' L2 B D' R2
L2 R' D' L2 D' B R'
L R' D' B L2 D' R2
D2 L' D L2 B R' B2
D2 L' D B L2 R' B'
D2 L' D B R' L2 B'
D2 L' D B2 L2 B' R'
L R' F2 B' U F2 B2
L R' F2 B' U B2 F2
L R' B L D' L2 R2
L R' B L D' R2 L2
L R' B L' D' L2 R2
L R' B L' D' R2 L2
L R' B L2 D' L2 R2
L R' B L2 D' R2 L2
L R' B R D' L2 R2
L R' B R D' R2 L2
L R' B R' D' L2 R2
L R' B R' D' R2 L2
L R' B R2 D' L2 R2
L R' B R2 D' R2 L2
L R' B U' F2 B2 U
L R' B U' B2 F2 U
L R' B D' L2 R2 D
L R' B D' L2 R2 D'
L R' B D' L2 R2 D2
L R' B D' R2 L2 D
L R' B D' R2 L2 D'
L R' B D' R2 L2 D2
L R' B' F2 U F2 B2
L R' B' F2 U B2 F2
D' L' B L' D R' B
D' L' B D L' R' B
D' L' B D R' L' B
D' L' B D R' B L'
R' L2 D' L2 D' B R'
D' L2 R B D R' B
D' L2 R' B D R' B
D' L2 R2 B D R' B
F2 L2 U F2 B' R' B
F2 L2 U B' R' F2 B
F2 L2 U B' R' B F2
F2 L2 U B' F2 R' B
D' L2 D R' D' B R'
U' L2 F2 U B' R' B
D' L2 B D R' D B
D' L2 B D R' D' B
D' L2 B D R' D2 B
D' L2 B D R' B D
D' L2 B D R' B D'
D' L2 B D R' B D2
D' L2 B' D B2 R' B
D' L2 B2 D B' R' B
D' R L2 B D R' B
U2 R D F' R2 U2 R'
B' R D' L2 R2 B R'
B2 R D' L2 R2 B R'
B' R D' R2 L2 B R'
B' R D' R2 B L2 R'
B' R D' R2 B R' L2
B2 R D' R2 L2 B R'
B2 R D' R2 B L2 R'
B2 R D' R2 B R' L2
B R D' L2 R2 B R'
B R D' R2 L2 B R'
B R D' R2 B L2 R'
B R D' R2 B R' L2
R' U' L F2 B' U B2
R' U' L B' F2 U B2
D' R B L2 D R' B
B' R' L B D' L2 R2
B' R' L B D' R2 L2
B2 R' L B D' L2 R2
B2 R' L B D' R2 L2
F2 R' L B' U F2 B2
F2 R' L B' U B2 F2
