U' R' D' L2 F' B
U' R' D' L2 B F'
U' R' D' F' L2 B
U' R' D' F' B L2
U' R' D' B L2 F'
U' R' D' B F' L2
U' R' B D' L2 F'
U' R' B D' F' L2
U2 F2 U R' F' B
U2 F2 U R' B F'
U' L R' D' L2 F' B
U' L R' D' L2 B F'
U' L R' D' F' L2 B
U' L R' D' F' B L2
U' L R' D' B L2 F'
U' L R' D' B F' L2
U L R' D' F L2 B
U L R' D' F B L2
U L R' D' B F L2
U' L R' B D' L2 F'
U' L R' B D' F' L2
U L R' B D' F L2
U2 L F2 U R' F' B
U2 L F2 U R' B F'
U L F2 U F' R' B
F' L' R U' R2 B L
F L' R U R2 B L
U' L' R' D' L2 F' B
U' L' R' D' L2 B F'
U' L' R' D' F' L2 B
U' L' R' D' F' B L2
U' L' R' D' B L2 F'
U' L' R' D' B F' L2
U L' R' D' L2 F B
U L' R' D' L2 B F
U' L' R' B D' L2 F'
U' L' R' B D' F' L2
F' L' U2 F' U R' B
U2 L' F2 U R' F' B
U2 L' F2 U R' B F'
U' L2 R' D' L2 F' B
U' L2 R' D' L2 B F'
U' L2 R' D' F' L2 B
U' L2 R' D' F' B L2
U' L2 R' D' B L2 F'
U' L2 R' D' B F' L2
U' L2 R' B D' L2 F'
U' L2 R' B D' F' L2
U2 L2 F2 U R' F' B
U2 L2 F2 U R' B F'
F' R L' U' R2 B L
F R L' U R2 B L
F R F U R2 D2 B2
F R F U' F2 U2 R2
L' U' R' D' L2 F' B
L' U' R' D' L2 B F'
L' U' R' D' F' L2 B
L' U' R' D' F' B L2
L' U' R' D' B L2 F'
L' U' R' D' B F' L2
L2 U' R' D' L2 F' B
L2 U' R' D' L2 B F'
L2 U' R' D' F' L2 B
L2 U' R' D' F' B L2
L' U' R' B D' L2 F'
L' U' R' B D' F' L2
L2 U' R' D' B L2 F'
L2 U' R' D' B F' L2
L U' R' D' L2 F' B
L U' R' D' L2 B F'
L2 U' R' B D' L2 F'
L2 U' R' B D' F' L2
L U' R' D' F' L2 B
L U' R' D' F' B L2
L U' R' D' B L2 F'
L U' R' D' B F' L2
L U' R' B D' L2 F'
L U' R' B D' F' L2
U' R' L D' L2 F' B
U' R' L D' L2 B F'
U' R' L D' F' L2 B
U' R' L D' F' B L2
U' R' L D' B L2 F'
U' R' L D' B F' L2
U' R' L B D' L2 F'
U' R' L B D' F' L2
U' R' L' D' L2 F' B
U' R' L' D' L2 B F'
U' R' L' D' F' L2 B
U' R' L' D' F' B L2
U R' L D' F L2 B
U' R' L' D' B L2 F'
U R' L D' F B L2
U' R' L' D' B F' L2
U R' L D' B F L2
U' R' L' B D' L2 F'
U' R' L' B D' F' L2
U R' L B D' F L2
U' R' L2 D' L2 F' B
U' R' L2 D' L2 B F'
U' R' L2 D' F' L2 B
U R' L' D' L2 F B
U R' L' D' L2 B F
U' R' L2 D' F' B L2
U' R' L2 D' B L2 F'
U' R' L2 D' B F' L2
U' R' L2 B D' L2 F'
U' R' L2 B D' F' L2
U' R' U' F2 U F B
U' R' U' F2 U B F
U' R' D F' D2 L2 B
U' R' D F' D2 B L2
U' R' D F' B D2 L2
U' R' D B D2 L2 F'
U' R' D B D2 F' L2
U' R' D B F' D2 L2
U' R' D' L F' L B
U' R' D' L' B L' F'
U' R' D' L2 D F' B
U' R' D' L2 D B F'
U' R' D' L2 D' F' B
U' R' D' L2 D' B F'
U' R' D' L2 D2 F' B
U' R' D' L2 D2 B F'
U' R' D' L2 F' D B
U' R' D' L2 F' D' B
U' R' D' L2 F' D2 B
U' R' D' L2 F' B D
U' R' D' L2 F' B D'
U' R' D' L2 F' B D2
U' R' D' L2 B D F'
U' R' D' L2 B D' F'
U' R' D' L2 B D2 F'
U' R' D' L2 B F' D
U' R' D' L2 B F' D'
U' R' D' L2 B F' D2
U' R' D' F L2 F2 B
U' R' D' F L2 B F2
U' R' D' F B L2 F2
U' R' D' F' L' B L'
U' R' D' F' L2 D B
U' R' D' F' L2 D' B
U' R' D' F' L2 D2 B
U' R' D' F' L2 B D
U' R' D' F' L2 B D'
U' R' D' F' L2 B D2
U' R' D' F' B L2 D
U' R' D' F' B L2 D'
U' R' D' F' B L2 D2
U' R' D' F' B' L2 B2
U' R' D' B L F' L
U' R' D' B L2 D F'
U' R' D' B L2 D' F'
U' R' D' B L2 D2 F'
U' R' D' B L2 F' D
U' R' D' B L2 F' D'
U' R' D' B L2 F' D2
U' R' D' B F L2 F2
U' R' D' B F' L2 D
U' R' D' B F' L2 D'
U' R' D' B F' L2 D2
U' R' D' B' L2 F' B2
U' R' D' B' L2 B2 F'
U' R' D' B' F' L2 B2
U R' D' L F L B
U R' D' B L F L
U' R' D2 F' D L2 B
U' R' D2 F' D B L2
F R' F R2 U R2 B
U' R' F' U' F' U B
U' R' F' B U' F' U
F R' F' D' L2 F2 B
F R' F' D' L2 B F2
F R' F' D' F2 L2 B
F R' F' D' F2 B L2
F R' F' D' B L2 F2
F R' F' D' B F2 L2
F R' F' B D' L2 F2
F R' F' B D' F2 L2
U' R' B L D' L2 F'
U' R' B L D' F' L2
U' R' B L' D' L2 F'
U' R' B L' D' F' L2
U' R' B L2 D' L2 F'
U' R' B L2 D' F' L2
U' R' B U' F2 U F
U' R' B D F' D2 L2
U' R' B D' L F' L
U' R' B D' L2 D F'
U' R' B D' L2 D' F'
U' R' B D' L2 D2 F'
U' R' B D' L2 F' D
U' R' B D' L2 F' D'
U' R' B D' L2 F' D2
U' R' B D' F L2 F2
U' R' B D' F' L2 D
U' R' B D' F' L2 D'
U' R' B D' F' L2 D2
U' R' B D2 F' D L2
U' R' B F' U' F' U
U R' B L D' F L2
U R' B L' D' L2 F
F R' B U' R2 F U
F R' B U' F R2 U
U R' B D' L F L
F R' B F' D' L2 F2
F R' B F' D' F2 L2
U' R' B2 D' F' B' L2
U' R' B2 D' B' L2 F'
U' R' B2 D' B' F' L2
L' U2 F2 U R' F' B
L' U2 F2 U R' B F'
L2 U2 F2 U R' F' B
L2 U2 F2 U R' B F'
L U2 F2 U R' F' B
L U2 F2 U R' B F'
F2 U R2 D R F' B
F2 U R2 D R B F'
F2 U F' R' D' F2 B
F2 U F' R' D' B F2
F2 U F' R' B D' F2
U' D' L2 D R' F' B
U' D' L2 D R' B F'
D' U' L2 D R' F' B
D' U' L2 D R' B F'
D' F L' R U L' R2
D' F L' R U R2 L'
F2 U2 F L' U' R' B
D' F R L' U L' R2
D' F R L' U R2 L'
R' F R F U R' B
F2 U2 F2 U' R' F' B
F2 U2 F2 U' R' B F'
U' F R' F' D' L2 B
U' F R' F' D' B L2
U' F R' F' B D' L2
U' F R' B F' D' L2
R' F B U' R F U
D' F' L' R U' L' R2
D' F' L' R U' R2 L'
D' F' R L' U' L' R2
D' F' R L' U' R2 L'
F D' R F L' U R2
U2 F2 L U R' F' B
U2 F2 L U R' B F'
U2 F2 L' U R' F' B
U2 F2 L' U R' B F'
U F2 L U R' F B
U F2 L U R' B F
U F2 L U F R' B
U' F2 R U R2 F' B
U' F2 R U R2 B F'
U2 F2 L2 U R' F' B
U2 F2 L2 U R' B F'
U2 F2 U R' D F' B
U2 F2 U R' D B F'
U2 F2 U R' D' F' B
U2 F2 U R' D' B F'
U2 F2 U R' D2 F' B
U2 F2 U R' D2 B F'
U2 F2 U R' F' D B
U2 F2 U R' F' D' B
U2 F2 U R' F' D2 B
U2 F2 U R' F' B D
U2 F2 U R' F' B D'
U2 F2 U R' F' B D2
U2 F2 U R' B D F'
U2 F2 U R' B D' F'
U2 F2 U R' B D2 F'
U2 F2 U R' B F' D
U2 F2 U R' B F' D'
U2 F2 U R' B F' D2
U2 F2 U F R' F' B
U2 F2 U F R' B F'
U2 F2 U F' R' F' B
U2 F2 U F' R' B F'
U2 F2 U F2 R' F' B
U2 F2 U F2 R' B F'
U2 F2 B' R' U B R'
R' B U' R' F2 U F
R' B U' F2 R' U F'
R' B F U' R F U
U2 B' R' F2 U B R'
U2 B' F2 R' U B R'
D2 B2 U L U2 F B'
D2 B2 U L U2 B' F
