L U' D' B' L2 R'
L U' D' B' R' L2
L U' B' R' D' L2
L U' B' D' L2 R'
L U' B' D' R' L2
L U2 F2 U B' R'
L D' U' B' L2 R'
L D' U' B' R' L2
F2 U2 L F U' B'
D2 L R' F' B2 U' B'
D2 L R' B2 F' U' B'
L R U' B' D' L2 R2
L R U' B' D' R2 L2
R L U' B' D' L2 R2
R L U' B' D' R2 L2
L R U2 F2 B U B2
L R U2 B F2 U B2
R L U2 F2 B U B2
R L U2 B F2 U B2
D' L U' D L B' R'
F L U' D' B' L R'
F L U' D' B' R' L
R' L D' F' U' B' L2
F' L U2 F' U B' R'
R' L D2 F' B2 U' B
R' L D2 B2 F' U' B
D' L D U' L B' R'
U2 L D' F U' B' L2
F L D' U' B' L R'
F L D' U' B' R' L
R' L F' R2 B U' B2
R' L F' U2 F' U B'
U2 L D2 F B2 U' B
U' L D2 B2 U' B R'
U2 L D2 B2 F U' B
U2 L F U2 F U B'
D2 L B2 R' F' U' B
D2 L B2 U' B' R' B
L R' D' F' U' B' L2
L R' D2 F' B2 U' B
L R' D2 B2 F' U' B
L R' F' R2 B U' B2
L R' F' U2 F' U B'
F L2 B' L' U' B' R'
L U D R2 U2 B' R'
L U' L2 D' L2 B' R'
L U' R D' B' L2 R'
L U' R D' B' R' L2
L U' R B' R' D' L2
L U' R B' D' L2 R'
L U' R B' D' R' L2
L U' R' D' B' L2 R'
L U' R' D' B' R' L2
L U' R' B' R' D' L2
L U' R' B' D' L2 R'
L U' R' B' D' R' L2
L U' R2 D' B' L2 R'
L U' R2 D' B' R' L2
L U' R2 B' R' D' L2
L U' R2 B' D' L2 R'
L U' R2 B' D' R' L2
L U' D B' D2 L2 R'
L U' D B' D2 R' L2
L U' D' R B' L2 R'
L U' D' R B' R' L2
L U' D' R' B' L2 R'
L U' D' R' B' R' L2
L U' D' R2 B' L2 R'
L U' D' R2 B' R' L2
D2 R' L F' B2 U' B'
D2 R' L B2 F' U' B'
L U' D' B' L2 R' D
L U' D' B' L2 R' D'
L U' D' B' L2 R' D2
L U' D' B' L2 D R'
L U' D' B' L2 D' R'
L U' D' B' L2 D2 R'
L U' D' B' R' L2 D
L U' D' B' R' L2 D'
L U' D' B' R' L2 D2
L U' D' B2 L2 B R'
F2 R' U2 L F' U' B'
F2 R' U2 F' L U' B'
L U' B' L R' D' L2
L U' B' L D' L2 R'
L U' B' L D' R' L2
L U' B' L' R' D' L2
L U' B' L' D' L2 R'
L U' B' L' D' R' L2
L U' B' L2 R' D' L2
L U' B' L2 D' L2 R'
L U' B' L2 D' R' L2
L U' B' R' L D' L2
L U' B' R' L' D' L2
L U' B' R' L2 D' L2
L U' B' R' U' F2 U
L U' B' R' D' L2 D
L U' B' R' D' L2 D'
L U' B' R' D' L2 D2
L U' B' R2 D' L2 R
L U' B' R2 D' R L2
L U' B' U' F2 U R'
L U' B' D' L2 R' D
L U' B' D' L2 R' D'
L U' B' D' L2 R' D2
L U' B' D' L2 D R'
L U' B' D' L2 D' R'
L U' B' D' L2 D2 R'
L U' B' D' R' L2 D
L U' B' D' R' L2 D'
L U' B' D' R' L2 D2
L U' B' D2 R' D L2
D2 R' F' L B2 U' B'
