F L2 B' L' R' U'
F L2 B' R' L' U'
F L U' D' L' B' L
F L U2 F' L' F U
F L D' U' L' B' L
F L D' B' R' U' L
F L D2 B' R' B U'
F L B' D2 R' B U'
F2 L' D2 R2 B L U
F2 L' F' L2 B' R' U'
F' L' F2 L2 B' R' U'
F L2 R B' L' R' U'
F L2 R B' R' L' U'
B2 L2 R' F2 B' L U
B2 L2 R' B' L F2 U
B2 L2 R' B' F2 L U
F L2 R' B' L' R' U'
F L2 R' B' R' L' U'
F L2 R2 B' L' R' U'
F L2 R2 B' R' L' U'
F L2 D B' L' R' U'
F L2 D B' R' L' U'
F L2 D' B' L' R' U'
F L2 D' B' R' L' U'
F L2 D2 B' L' R' U'
F L2 D2 B' R' L' U'
B2 L2 F2 R' B' L U
U L2 F2 R B' U B2
U L2 F2 B' R U B
F L2 B' L' R' U' D
F L2 B' L' R' U' D'
F L2 B' L' R' U' D2
F L2 B' L' R' D U'
F L2 B' L' R' D' U'
F L2 B' L' R' D2 U'
F L2 B' L' D R' U'
F L2 B' L' D' R' U'
F L2 B' L' D2 R' U'
F L2 B' R' L' U' D
F L2 B' R' L' U' D'
F L2 B' R' L' U' D2
F L2 B' R' L' D U'
F L2 B' R' L' D' U'
F L2 B' R' L' D2 U'
F L2 B' R' D L' U'
F L2 B' R' D' L' U'
F L2 B' R' D2 L' U'
F L2 B' D L' R' U'
F L2 B' D R' L' U'
F L2 B' D' L' R' U'
F L2 B' D' R' L' U'
F L2 B' D2 L' R' U'
F L2 B' D2 R' L' U'
F L2 B2 L' B R' U'
U L2 B' F2 R U B
F R L2 B' L' R' U'
F R L2 B' R' L' U'
L2 U F2 R B' U B2
L2 U F2 B' R U B
F2 R U2 L F R U'
L2 U B' F2 R U B
B2 R' L2 F2 B' L U
B2 R' L2 B' L F2 U
B2 R' L2 B' F2 L U
F R' L2 B' L' R' U'
F R' L2 B' R' L' U'
B' R' F U2 F R U
F R2 L2 B' L' R' U'
F R2 L2 B' R' L' U'
F2 R2 B2 R' B' L U
U2 D' F L R U' L
U2 D' F R L U' L
D' U2 F L R U' L
D2 U2 F L R B2 U'
D' U2 F R L U' L
D2 U2 F L B2 R U'
F2 U2 L F R F2 U'
F2 U2 L F' U2 L' U
D2 U2 F R L B2 U'
U2 D2 F L R B2 U'
U2 D2 F L B2 R U'
U2 D2 F R L B2 U'
D' F L U' L' B' L2
D2 F L B' R' B' U'
F2 U2 F L R F2 U'
F2 U2 F R L F2 U'
F2 U2 F R F2 L U'
U2 F L2 R B' L' U'
R' F L2 B' L' R' U'
R' F L2 B' R' L' U'
F2 U2 F' L U' D' B2
F2 U2 F' L U2 L2 U
F2 U2 F' L D' U' B2
F2 U2 F' L D2 R2 U'
U2 F L2 B' L' R U'
U2 F L2 B' R L' U'
F U2 F U2 L R U'
F U2 F U2 R L U'
U2 F R L2 B' L' U'
R2 F L2 B' L' R' U'
R2 F L2 B' R' L' U'
R F L2 B' L' R' U'
R F L2 B' R' L' U'
F D L2 B' L' R' U'
F D L2 B' R' L' U'
F D' L2 B' L' R' U'
F D' L2 B' R' L' U'
L2 F2 R B L B2 U
L2 F2 R B' U2 R' U'
U2 F2 U2 L F' R U'
U2 F2 U2 F' L R U'
U2 F2 U2 F' R L U'
F D2 L2 B' L' R' U'
F D2 L2 B' R' L' U'
L2 F2 B L R B2 U
L2 F2 B L B2 R U
L2 F2 B R L B2 U
L2 F2 B' R U D B2
L2 F2 B' R U2 R2 U'
L2 F2 B' R D U B2
L2 F2 B' R D2 L2 U
L B L F2 R B' U
L B L F2 B' R U
L B L B' F2 R U
B D2 F B2 L' R' U'
B D2 F B2 R' L' U'
B D2 B2 R' F L' U'
F2 B L R2 B R' U
B D2 B2 F L' R' U'
B D2 B2 F R' L' U'
L B U2 L F2 B' U
L B U2 L B' F2 U
L B U2 F2 L B' U
B' F R' U2 F R U
F2 B R2 L B R' U
L2 B F2 L R B2 U
L2 B F2 L B2 R U
L2 B F2 R L B2 U
L2 B' R2 F2 L' R U
L2 B' R2 F2 R L' U
F B' R' U2 F R U
F2 B' U2 F' L' R' U'
F2 B' U2 F' R' L' U'
L2 B' F2 R U D B2
L2 B' F2 R U2 R2 U'
L2 B' F2 R D U B2
L2 B' F2 R D2 L2 U
B F2 L R2 B R' U
B F2 R2 L B R' U
B' F2 U2 F' L' R' U'
B' F2 U2 F' R' L' U'
