F2 L' R2 B' U B
R2 L' F2 B' U B
R2 L' B' F2 U B
L' R2 F2 B' U B
L' R2 B' F2 U B
D' L2 F' D F' R
L' U' R2 F2 B' U
L' U' R2 B' F2 U
L' U' F2 R2 B' U
L' U' F2 B' R2 U
L' U' B' R2 F2 U
L U' F2 R2 B U
L' U' B' F2 R2 U
F2 R2 L' B' U B
B R2 F2 U B' R'
F2 R2 B U B' R'
F U' R2 F U R
F U' F R2 U R'
U' F R2 F U R'
D' F' L2 D F' R
R2 F2 L' B' U B
L' F2 R2 B' U B
L F2 R2 B U B'
R2 F2 B U B' R'
F2 B R2 U B' R'
R2 B F2 U B' R'
B F2 R2 U B' R'
L' R U' R F2 B' U
L' R U' R B' F2 U
L' R U' B' R F2 U
D2 L U F L B2 U'
D' L U F U' F L
D2 L F L B2 U' B2
D' L F' L D F' R2
D' L F' D L F' R2
D' L F' D F' L R2
D' L F' D F' R2 L
D' L F2 L U F' U'
D' L F2 U F' U' L
B2 L F2 R2 B U B
R' L' U' R' F2 B' U
L' R' U' R' F2 B' U
R' L' U' R' B' F2 U
L' R' U' R' B' F2 U
R L' U' R F2 B' U
R L' U' R B' F2 U
R' L' U' F2 R' B' U
L' R' U' F2 R' B' U
R L' U' B' R F2 U
F2 L' R2 D B' U B
F2 L' R2 D' B' U B
F2 L' R2 D2 B' U B
F2 L' R2 B' L U B
B2 L' R2 F2 B' U B'
F2 L' R2 B' L' U B
F2 L' R2 B' L2 U B
R2 L' D' B' U L2 B
F2 L' R2 B' U D B
F2 L' R2 B' U D' B
F2 L' R2 B' U D2 B
F2 L' R2 B' U B D
F2 L' R2 B' U B D'
F2 L' R2 B' U B D2
R2 L' D' B' U B L2
F2 L' R2 B' D U B
F2 L' R2 B' D' U B
F2 L' R2 B' D2 U B
B2 L' R2 B' F2 U B'
F L' R2 B' U B L
F' L' U' F' R2 B' U
F' L' U' F' B' R2 U
D' L' U' B' U L' F2
F' L' U' B' F' R2 U
R' L' F2 R' B' U B
L' R' F2 R' B' U B
R2 L' F2 D B' U B
R2 L' F2 D' B' U B
R2 L' F2 D2 B' U B
R2 L' F2 B' L U B
R2 L' F2 B' L' U B
R2 L' F2 B' L2 U B
R2 L' F2 B' U D B
R2 L' F2 B' U D' B
R2 L' F2 B' U D2 B
R2 L' F2 B' U B D
R2 L' F2 B' U B D'
R2 L' F2 B' U B D2
R2 L' F2 B' D U B
R2 L' F2 B' D' U B
R2 L' F2 B' D2 U B
F2 L' D' B' U F2 B
F2 L' D' B' U B F2
R2 L' B' L F2 U B
R2 L' B' L' F2 U B
R2 L' B' L2 F2 U B
R2 L' B' U D' L2 B
R2 L' B' U D' B L2
R2 L' B' U B D' L2
R2 L' B' D' U L2 B
R2 L' B' D' U B L2
R2 L' B' F2 L U B
R2 L' B' F2 L' U B
R2 L' B' F2 L2 U B
R2 L' B' F2 U D B
R2 L' B' F2 U D' B
R2 L' B' F2 U D2 B
R2 L' B' F2 U B D
R2 L' B' F2 U B D'
R2 L' B' F2 U B D2
R2 L' B' F2 D U B
R2 L' B' F2 D' U B
R2 L' B' F2 D2 U B
F' L' F' R2 B' U B
B2 L' F2 R2 B' U B'
B' L' F2 B' R2 U B2
B2 L' F2 B' R2 U B'
F2 L' B R2 B2 U B
B' L' B D' L2 R2 F2
B' L' B D' L2 F2 R2
B' L' B D' R2 L2 F2
B' L' B D' R2 F2 L2
B' L' B D' F2 L2 R2
B' L' B D' F2 R2 L2
D' L' B' U L' F2 B
D' L' B' U L' B F2
B' L' B' R2 F2 U B2
D' L' B' U B L' F2
F2 L' B' R2 U' F' U2
B2 L' B' R2 F2 U B'
F2 L' B' U D' F2 B
F2 L' B' U D' B F2
F2 L' B' U B D' F2
F2 L' B' D' U F2 B
F2 L' B' D' U B F2
B' L' B' F2 R2 U B2
B2 L' B' F2 R2 U B'
L' R2 D' B' U L2 B
L' R2 D' B' U B L2
D' L2 R F' D F' R
D' L2 R' F' D F' R
D' L2 R2 F' D F' R
D' L2 U L' F U' F
L2 R2 F2 L B' U B
R2 L2 F2 L B' U B
L' R2 F2 D B' U B
L' R2 F2 D' B' U B
L' R2 F2 D2 B' U B
L' R2 F2 B' L U B
L' R2 F2 B' L' U B
L' R2 F2 B' L2 U B
L' R2 F2 B' U D B
L' R2 F2 B' U D' B
L' R2 F2 B' U D2 B
L' R2 F2 B' U B D
L' R2 F2 B' U B D'
L' R2 F2 B' U B D2
L' R2 F2 B' D U B
L' R2 F2 B' D' U B
L' R2 F2 B' D2 U B
L' R2 B' L F2 U B
L' R2 B' L' F2 U B
L' R2 B' L2 F2 U B
L' R2 B' U D' L2 B
L' R2 B' U D' B L2
L' R2 B' U B D' L2
L' R2 B' D' U L2 B
L' R2 B' D' U B L2
L' R2 B' F2 L U B
L' R2 B' F2 L' U B
L' R2 B' F2 L2 U B
L' R2 B' F2 U D B
L' R2 B' F2 U D' B
L' R2 B' F2 U D2 B
L' R2 B' F2 U B D
L' R2 B' F2 U B D'
L' R2 B' F2 U B D2
L' R2 B' F2 D U B
L' R2 B' F2 D' U B
L' R2 B' F2 D2 U B
D' L2 D F D' F2 R
D' L2 D F' D' R F2
B' L2 D' L2 F2 B R'
B' L2 D' L2 B R' F2
B' L2 D' L2 B F2 R'
B' L2 D' F2 L2 B R'
B' L2 D' F2 B L2 R'
B' L2 D' F2 B R' L2
B' L2 D' B L2 R' F2
B' L2 D' B L2 F2 R'
B' L2 D' B R' L2 F2
B' L2 D' B R' F2 L2
B' L2 D' B F2 L2 R'
B' L2 D' B F2 R' L2
D' L2 F D F' R F2
D' L2 F' D F' R D
D' L2 F' D F' R D'
D' L2 F' D F' R D2
D' L2 F' D F' D R
D' L2 F' D F' D' R
D' L2 F' D F' D2 R
D' L2 F2 D F' R F
D' L2 F2 D' B R' B'
D' L2 F2 B' D' B R'
D' L2 B' F2 D' B R'
L' U D2 L2 F B2 U'
L' U D2 L2 B2 F U'
L U D' F U' F L2
L U D2 F L2 B2 U'
L U D2 F B2 L2 U'
L U D2 B2 F L2 U'
D' R L2 F' D F' R
L U F U2 R2 F U
L U F U2 F R2 U
L U F D2 L2 B' U'
U2 R U B R F2 U
F R U' R F U R
D' R F' L2 D F' R
L' U' R B' R F2 U
L' U' R' F2 R' B' U
F2 R B R U B' R'
L' U' R2 D' B' U L2
L' U' R2 F2 D B' U
L' U' R2 F2 D' B' U
L' U' R2 F2 D2 B' U
L' U' R2 F2 B' U D
L' U' R2 F2 B' U D'
L' U' R2 F2 B' U D2
L' U' R2 F2 B' D U
L' U' R2 F2 B' D' U
L' U' R2 F2 B' D2 U
L' U' R2 B' U D' L2
L' U' R2 B' D' U L2
L' U' R2 B' F2 U D
L' U' R2 B' F2 U D'
L' U' R2 B' F2 U D2
L' U' R2 B' F2 D U
L' U' R2 B' F2 D' U
L' U' R2 B' F2 D2 U
L U' R2 F2 U2 F' U'
L' U' D' B' U L2 F2
L' U' D' B' U F2 L2
R' U' F R' F U R2
L' U' F R2 F B' U
L' U' F R2 B' F U
L' U' F B' R2 F U
D' R' L2 F' D F' R
L' U' F2 R B' R U
L' U' F2 R2 D B' U
L' U' F2 R2 D' B' U
L' U' F2 R2 D2 B' U
L' U' F2 R2 B' U D
L' U' F2 R2 B' U D'
L' U' F2 R2 B' U D2
L' U' F2 R2 B' D U
L' U' F2 R2 B' D' U
L' U' F2 R2 B' D2 U
R' U' F2 D R' B U
L' U' F2 D' B' U F2
L' U' F2 B R2 B2 U
L' U' F2 B' R2 U D
L' U' F2 B' R2 U D'
L' U' F2 B' R2 U D2
L' U' F2 B' R2 D U
L' U' F2 B' R2 D' U
L' U' F2 B' R2 D2 U
L' U' F2 B' U D' F2
L' U' F2 B' D' U F2
L U' F2 R2 D B U
L U' F2 R2 D' B U
L U' F2 R2 D2 B U
L U' F2 R2 B U D
L U' F2 R2 B U D'
L U' F2 R2 B U D2
L U' F2 R2 B D U
L U' F2 R2 B D' U
L U' F2 R2 B D2 U
L' U' B R2 F2 B2 U
L' U' B R2 B2 F2 U
L U' F2 B R2 B U
F R' U' R' F U R
L U' F2 B' R2 B U
L U' F2 B2 R2 B U
L' U' B F2 R2 B2 U
F R' U' F R' U R2
L' U' B' R' F2 R' U
L' U' B' R2 U D' L2
L' U' B' R2 D' U L2
L' U' B' R2 F2 U D
L' U' B' R2 F2 U D'
L' U' B' R2 F2 U D2
L' U' B' R2 F2 D U
L' U' B' R2 F2 D' U
L' U' B' R2 F2 D2 U
L' U' B' U D' L2 F2
L' U' B' U D' F2 L2
L' U' B' D' U L2 F2
L' U' B' D' U F2 L2
L U' B F2 R2 B U
L' U' B' F R2 F U
L' U' B' F2 R2 U D
L' U' B' F2 R2 U D'
L' U' B' F2 R2 U D2
L' U' B' F2 R2 D U
L' U' B' F2 R2 D' U
L' U' B' F2 R2 D2 U
L' U' B' F2 U D' F2
L' U' B' F2 D' U F2
L U' B' F2 R2 B U
L U' B2 F2 R2 B U
U' R' F R' F U R2
D' R' F' L2 D F' R
U' R' F2 D R' B U
B R' F2 R' U B' R'
F2 R' B U B' R' F'
F2 R2 L' D B' U B
F2 R2 L' D' B' U B
F2 R2 L' D2 B' U B
B2 R2 L' F2 B' U B'
F2 R2 L' B' L U B
F2 R2 L' B' L' U B
F2 R2 L' B' L2 U B
B2 R2 L' B' F2 U B'
F2 R2 L' B' U D B
F2 R2 L' B' U D' B
F2 R2 L' B' U D2 B
F2 R2 L' B' U B D
F2 R2 L' B' U B D'
F2 R2 L' B' U B D2
F2 R2 L' B' D U B
F2 R2 L' B' D' U B
F2 R2 L' B' D2 U B
D' R2 L2 F' D F' R
F R2 L' B' U B L
B R2 U D' B' L2 R'
B R2 U D' B' R' L2
B R2 U B' R' D' L2
B R2 U B' D' L2 R'
B R2 U B' D' R' L2
F2 R2 D L' B' U B
F2 R2 D B U B' R'
F2 R2 D' L' B' U B
U' R2 D' F U L2 R
U' R2 D' F U R L2
F2 R2 D' B U B' R'
B R2 D' U B' L2 R'
B R2 D' U B' R' L2
F2 R2 D2 L' B' U B
F2 R2 D2 B U B' R'
D' R2 F' L2 D F' R
F R2 F L' B' U B
F R2 F B U B' R'
B2 R2 F2 L' B' U B'
U' R2 F2 U F' R F
B' R2 F2 U' F U2 R
U' R2 F2 U2 F' U' R
B2 R2 F2 U B' R' B'
U' R2 F2 D2 B U R'
B2 R2 F2 B' U B' R'
B R2 F2 U R B' R'
B R2 F2 U R' B' R'
B R2 F2 U R2 B' R'
B R2 F2 U D B' R'
B R2 F2 U D' B' R'
B R2 F2 U D2 B' R'
B R2 F2 U B' R' D
B R2 F2 U B' R' D'
B R2 F2 U B' R' D2
B R2 F2 U B' D R'
B R2 F2 U B' D' R'
B R2 F2 U B' D2 R'
B R2 F2 D U B' R'
B R2 F2 D' U B' R'
B R2 F2 D2 U B' R'
F2 R2 B U R B' R'
F2 R2 B U R' B' R'
F2 R2 B U R2 B' R'
F2 R2 B U D B' R'
F2 R2 B U D' B' R'
F2 R2 B U D2 B' R'
F2 R2 B U B' R' D
F2 R2 B U B' R' D'
F2 R2 B U B' R' D2
F2 R2 B U B' D R'
F2 R2 B U B' D' R'
F2 R2 B U B' D2 R'
F2 R2 B D U B' R'
F2 R2 B D' U B' R'
F2 R2 B D2 U B' R'
F2 R2 B' L' B' U B2
F2 R2 B' U B' R' B2
F R2 B F U B' R'
B2 R2 B' F2 U B' R'
F2 R2 B2 L' B' U B'
F2 R2 B2 U B' R' B'
L2 D F D2 F2 L2 R
L2 D F D2 F2 R L2
L2 D F' R D2 F2 L'
L2 D F' D2 L2 R F2
L2 D F' D2 R L2 F2
L2 D F' D2 R F2 L2
B' U D' B L2 F2 R
B U D' F2 B' L2 R'
B U D' F2 B' R' L2
B U D' B' L2 R' F2
B U D' B' L2 F2 R'
B U D' B' R' L2 F2
B U D' B' R' F2 L2
B U D' B' F2 L2 R'
B U D' B' F2 R' L2
F U D2 L2 B' U' R'
L' D' L2 U F U' F
D' U B U' L2 F2 R
R2 D' L' B' U L' B
R2 D' L' B' U B L'
L' D' L2 F' D F' R2
L' D' L2 F2 U F' U'
L2 D' L2 F' D2 F' R
L2 D' L2 F2 B R' B'
D' U B' U' L2 R' F2
D' U B' U' L2 F2 R'
D' U B' U' R' L2 F2
D' U B' U' R' F2 L2
L2 D' L2 B R' F2 B'
L2 D' L2 B R' B' F2
D' U B' U' F2 L2 R'
D' U B' U' F2 R' L2
L2 D' L2 B F2 R' B'
L D' L2 U' B' U F2
L D' L2 F2 U' B' U
B' U B D' L2 F2 R
B U B' D' L2 R' F2
B U B' D' L2 F2 R'
B U B' D' R' L2 F2
B U B' D' R' F2 L2
B U B' D' F2 L2 R'
B U B' D' F2 R' L2
L' D' U' B' U L2 F2
L' D' U' B' U F2 L2
L D' U F U' F L2
L' D' F' L2 F' D R2
L2 D' F' L2 D2 F' R
L' D' F2 L2 U F U'
L' D' F2 U' B' U L2
L D' F' L2 D F' R2
U' D' F U R F L2
D' U' F U R F L2
L2 D' F2 L2 B R' B'
L2 D' F2 B R' B' L2
L D' F2 L2 U F' U'
L2 D' B R' F2 B' L2
L2 D' B R' B' L2 F2
L2 D' B R' B' F2 L2
L D' F2 U F' U' L2
R2 D' B U B' L2 R'
R2 D' B U B' R' L2
L' D' B' U L2 F2 B
L' D' B' U L2 B F2
L' D' B' U F2 L2 B
L' D' B' U F2 B L2
L' D' B' U B L2 F2
L' D' B' U B F2 L2
L2 D' B F2 R' B' L2
L2 D' B' L2 F2 B R
L2 D' B' L2 B F2 R
F U' R' F R' U R2
F U' R2 D F U R
F U' R2 D' F U R
F U' R2 D2 F U R
F U' R2 F U R D
F U' R2 F U R D'
F U' R2 F U R D2
F U' R2 F U D R
F U' R2 F U D' R
F U' R2 F U D2 R
F U' R2 F D U R
F U' R2 F D' U R
F U' R2 F D2 U R
F U' R2 F B U R
F U' R2 F B' U R
F U' R2 F B2 U R
F U' R2 B F U R
F U' R2 B' F U R
F U' R2 B2 F U R
U D' B U' L2 F2 R
F U' D' F U R F
F' U' F R2 F2 U R'
U D' B' U' L2 R' F2
U D' B' U' L2 F2 R'
U D' B' U' R' L2 F2
U D' B' U' R' F2 L2
U D' B' U' F2 L2 R'
U D' B' U' F2 R' L2
L' D2 L2 F B2 U' B2
F' U' F' R2 U' L' U2
L' D2 L2 B2 F U' B2
F' U' F' U D' F2 R
F' U' F' D' U F2 R
F U' F R2 U R' D
F U' F R2 U R' D'
F U' F R2 U R' D2
F U' F R2 U D R'
F U' F R2 U D' R'
F U' F R2 U D2 R'
F U' F R2 D U R'
F U' F R2 D' U R'
F U' F R2 D2 U R'
F U' F U D' R F2
F U' F D' U R F2
F U' F B R2 U R'
F U' F B' R2 U R'
F U' F B2 R2 U R'
F U' F' R2 F2 U R
L' D2 U L2 F B2 U'
L' D2 U L2 B2 F U'
F U' B R2 F U R
F U' B F R2 U R'
F U' B' R2 F U R
F U' B' F R2 U R'
L D2 U F L2 B2 U'
L D2 U F B2 L2 U'
F U' B2 R2 F U R
L D2 U B2 F L2 U'
F U' B2 F R2 U R'
L D2 F L2 B2 U' B2
L D2 F B2 L2 U' B2
L D2 F' D L2 R2 F2
L D2 F' D L2 F2 R2
L D2 F' D R2 L2 F2
L D2 F' D R2 F2 L2
L D2 F' D F2 L2 R2
L D2 F' D F2 R2 L2
R' D2 B2 L F U' B2
L D2 B2 F L2 U' B2
R2 F L' B' U B L
U' F R' F R' U R'
U' F R2 D F U R'
U' F R2 D' F U R'
U' F R2 D2 F U R'
U' F R2 F U R' D
U' F R2 F U R' D'
U' F R2 F U R' D2
U' F R2 F U D R'
U' F R2 F U D' R'
U' F R2 F U D2 R'
U' F R2 F D U R'
U' F R2 F D' U R'
U' F R2 F D2 U R'
L' F R2 F B' U B
L' F R2 B' F U B
R' F U' R' F U R
R' F U' F R' U R2
L' F U' R2 F B' U
L' F U' R2 B' F U
L' F U' F R2 B' U
L' F U' F B' R2 U
L' F U' B' R2 F U
L' F U' B' F R2 U
L F U' R2 F U R2
L F U' F R2 U R2
U F U2 R2 F U R
U F U2 F R2 U R'
L F U2 F R2 U B
U' F B R2 F U R'
U F D2 L2 B' U' R'
U' F B' R2 F U R'
L F D2 L2 B' U' B
U' F B2 R2 F U R'
D' F' L F' L D R2
D' F' L F' D L R2
D' F' L F' D R2 L
D' F' L2 D F' R D
D' F' L2 D F' R D'
D' F' L2 D F' R D2
D' F' L2 D F' D R
D' F' L2 D F' D' R
D' F' L2 D F' D2 R
R2 F' L' F' B' U B
R2 F' L' B' F' U B
L' F' U' F' R2 B' U
L' F' U' F' B' R2 U
L' F' U' B' F' R2 U
L F' U' F' R2 B U
F2 D' L' B' U F2 B
F2 D' L' B' U B F2
B' D' L2 F2 D' B R'
U' F' D' F' U F' R
B' D' U B L2 F2 R
D' F2 L U F U' L
L2 F2 L R2 B' U B
R' F2 L' R' B' U B
B D' U F2 B' L2 R'
B D' U F2 B' R' L2
B D' U B' L2 R' F2
B D' U B' L2 F2 R'
B D' U B' R' L2 F2
B D' U B' R' F2 L2
B D' U B' F2 L2 R'
B D' U B' F2 R' L2
D' F2 L' U' B' U L'
F D' U' F U R F
L F2 L R2 B U B'
D' F2 L2 D F' R F
D' F2 L2 D' B R' B'
D' F2 L2 F D F' R
R2 F2 L' D B' U B
R2 F2 L' D' B' U B
R2 F2 L' D2 B' U B
D' F2 L2 B' D' B R'
R2 F2 L' B' L U B
R2 F2 L' B' L' U B
R2 F2 L' B' L2 U B
R2 F2 L' B' U D B
R2 F2 L' B' U D' B
R2 F2 L' B' U D2 B
R2 F2 L' B' U B D
R2 F2 L' B' U B D'
R2 F2 L' B' U B D2
R2 F2 L' B' D U B
R2 F2 L' B' D' U B
R2 F2 L' B' D2 U B
L F2 L' R2 B U B'
B' D' F2 L2 D' B R'
R' F2 R' L' B' U B
U' F2 R' D R' B U
L F2 L2 R2 B U B'
F' D' F2 U' F U R
R' F2 R' B U B' R'
U' F2 R2 U F' R F
U' F2 R2 U2 F' U' R
U' F2 R2 D2 B U R'
F2 D' B U F2 B' R'
F2 D' B U B' R' F2
F2 D' B U B' F2 R'
L' F2 R2 D B' U B
L' F2 R2 D' B' U B
L' F2 R2 D2 B' U B
L2 F2 R2 L B' U B
L' F2 R2 B' L U B
L' F2 R2 B' L' U B
L' F2 R2 B' L2 U B
L' F2 R2 B' U D B
L' F2 R2 B' U D' B
L' F2 R2 B' U D2 B
L' F2 R2 B' U B D
L' F2 R2 B' U B D'
L' F2 R2 B' U B D2
L' F2 R2 B' D U B
L' F2 R2 B' D' U B
L' F2 R2 B' D2 U B
U' F2 U F D' F2 R
U' F2 U F' D' R F2
D' F2 U B' U' L2 R'
D' F2 U B' U' R' L2
L F2 R2 L B U B'
L F2 R2 L' B U B'
L F2 R2 L2 B U B'
L F2 R2 D B U B'
L F2 R2 D' B U B'
L F2 R2 D2 B U B'
D' F2 U' F U L2 R
D' F2 U' F U R L2
L F2 R2 B U D B'
L F2 R2 B U D' B'
L F2 R2 B U D2 B'
L F2 R2 B U B' D
L F2 R2 B U B' D'
L F2 R2 B U B' D2
L F2 R2 B D U B'
L F2 R2 B D' U B'
L F2 R2 B D2 U B'
R2 F2 D L' B' U B
L' F2 D' B' U F2 B
L' F2 D' B' U B F2
R2 F2 D B U B' R'
R2 F2 D' L' B' U B
R2 F2 D' B U B' R'
R2 F2 D2 L' B' U B
R' F2 B U B' R' F'
L' F2 B R2 B2 U B
D' F2 B' L2 D' B R'
R2 F2 D2 B U B' R'
L' F2 B' R2 U' F' U2
L' F2 B' U D' F2 B
L' F2 B' U D' B F2
L' F2 B' U B D' F2
R2 F2 B U R B' R'
R2 F2 B U R' B' R'
R2 F2 B U R2 B' R'
R2 F2 B U D B' R'
R2 F2 B U D' B' R'
R2 F2 B U D2 B' R'
R2 F2 B U B' R' D
R2 F2 B U B' R' D'
R2 F2 B U B' R' D2
R2 F2 B U B' D R'
R2 F2 B U B' D' R'
R2 F2 B U B' D2 R'
L' F2 B' D' U F2 B
L' F2 B' D' U B F2
R2 F2 B D U B' R'
R2 F2 B D' U B' R'
R2 F2 B D2 U B' R'
R2 F2 B' L' B' U B2
L F2 B R2 B U B2
R2 F2 B' U B' R' B2
R2 F2 B2 L' B' U B'
R2 F2 B2 U B' R' B'
F D2 U L2 B' U' R'
L F2 B2 R2 B U B
L' B R2 F2 B2 U B
L' B R2 B2 F2 U B
R B R F2 U B' R'
D' B U F2 B' L2 R'
D' B U F2 B' R' L2
D' B U B' L2 R' F2
D' B U B' L2 F2 R'
D' B U B' R' L2 F2
D' B U B' R' F2 L2
D' B U B' F2 L2 R'
D' B U B' F2 R' L2
R2 B U D' B' L2 R'
R2 B U D' B' R' L2
R2 B U B' R' D' L2
R2 B U B' D' L2 R'
R2 B U B' D' R' L2
U B U' D' L2 F2 R
L' B D' L2 F2 R2 B
L' B D' R2 F2 B' L2
L' B D' R2 B' L2 F2
L' B D' R2 B' F2 L2
L' B D' F2 R2 B' L2
L' B D' F2 B' L2 R2
L' B D' F2 B' R2 L2
L' B D' B' L2 R2 F2
L' B D' B' L2 F2 R2
L' B D' B' R2 L2 F2
L' B D' B' R2 F2 L2
L' B D' B' F2 L2 R2
L' B D' B' F2 R2 L2
L2 B D' B' L2 F2 R
R2 B D' U B' L2 R'
R2 B D' U B' R' L2
U' B F R2 F U R'
U B D' U' L2 F2 R
F2 B R2 U R B' R'
F2 B R2 U R' B' R'
F2 B R2 U R2 B' R'
F2 B R2 U D B' R'
F2 B R2 U D' B' R'
F2 B R2 U D2 B' R'
F2 B R2 U B' R' D
F2 B R2 U B' R' D'
F2 B R2 U B' R' D2
F2 B R2 U B' D R'
F2 B R2 U B' D' R'
F2 B R2 U B' D2 R'
F2 B R2 D U B' R'
F2 B R2 D' U B' R'
F2 B R2 D2 U B' R'
R' B F2 U B' R' F'
U B D2 B2 L2 U' R'
L' B F2 R2 B2 U B
B F R2 F U B' R'
F2 B U D' F2 B' R'
F2 B U D' B' R' F2
F2 B U D' B' F2 R'
F2 B U B' D' R' F2
F2 B U B' D' F2 R'
F B R2 F U B' R'
R2 B F2 U R B' R'
R2 B F2 U R' B' R'
R2 B F2 U R2 B' R'
R2 B F2 U D B' R'
R2 B F2 U D' B' R'
R2 B F2 U D2 B' R'
R2 B F2 U B' R' D
R2 B F2 U B' R' D'
R2 B F2 U B' R' D2
R2 B F2 U B' D R'
R2 B F2 U B' D' R'
R2 B F2 U B' D2 R'
R2 B F2 D U B' R'
R2 B F2 D' U B' R'
R2 B F2 D2 U B' R'
L B F2 R2 B U B2
D' B' L2 F2 D' B R'
R2 B' L' F2 B' U B2
R2 B' L' B' F2 U B2
F2 B D' U F2 B' R'
F2 B D' U B' R' F2
F2 B D' U B' F2 R'
L' B' R2 F2 L2 U B'
L' B' R2 F2 U' F U2
L' B' U D' L2 F2 B
