D' F2 L' U F2
D' L F2 L' U F2
F2 L' R U F2 L'
F2 L' U F2 D2 L2
F2 L' U' R2 U2 F2
D' L' F2 L' U F2
D2 L2 U R U' R'
D' L2 F2 L' U F2
F2 R L' U F2 L'
U R U R U2 R2
U R U' R' D2 L2
U R F2 U' L' R'
U R F2 U' R' L'
U2 R2 U' R' U' R
D2 U R U' L2 R'
D2 U R U' R' L2
R' D B2 L D' R2
R' D B2 D' L R2
R' D B2 D' R2 L
D U B2 R U' R'
U D B2 R U' R'
L' D' F2 L' U F2
L2 D' F2 L' U F2
L2 D' F2 L' U F2
L D' F2 L' U F2
U D2 R U' L2 R'
U D2 R U' R' L2
F2 D' L' F2 R U
D' F2 L' R U F2
D2 F2 L' U L' F2
D' F2 L' R' U F2
D' F2 L' R2 U F2
D' F2 L' U F2 D
D' F2 L' U F2 D'
D' F2 L' U F2 D2
D' F2 L' D R2 U
D' F2 R L' U F2
D' F2 R' L' U F2
D' F2 R2 L' U F2
D' F2 D L' R2 U
D' F2 D R2 L' U
R' B2 D L B2 R'
U2 L R2 U' R' U' R
D2 L U R U' L R'
D2 L U R U' R' L
D L U B2 R U' R'
R' L D B2 L D' R2
R' L D B2 L D' R2
R' L D B2 D' L R2
R' L D B2 D' R2 L
U' L D' F2 L' U R
D L D2 F2 L' U F2
D2 L F2 L' U L2 F2
D2 L F2 L' U F2 L2
D' L F2 L' R U F2
D' L F2 L' R' U F2
D' L F2 L' R2 U F2
D' L F2 L' U F2 D
D' L F2 L' U F2 D'
D' L F2 L' U F2 D2
D' L F2 L' D R2 U
D' L F2 R L' U F2
D' L F2 R' L' U F2
D' L F2 R2 L' U F2
D' L F2 D L' R2 U
D' L F2 D R2 L' U
R' L B2 D L B2 R'
F2 L' R U L F2 L'
F2 L' R U L' F2 L'
F2 L' R U L2 F2 L'
F2 L' R U F2 L' D
F2 L' R U F2 L' D'
F2 L' R U F2 L' D2
F2 L' R U F2 D L'
F2 L' R U F2 D' L'
F2 L' R U F2 D2 L'
F2 L' R U' R U2 F2
F2 L' R F U F L'
F2 L' R' U' R' U2 F2
R' L' D B2 L D' R2
L' R' D B2 L D' R2
R' L' D B2 D' L R2
R' L' D B2 D' R2 L
L' R' D B2 D' L R2
L' R' D B2 D' R2 L
L R' D B2 L D' R2
L2 R' D B2 L D' R2
L R' D B2 D' L R2
L R' D B2 D' R2 L
L2 R' D B2 D' L R2
L2 R' D B2 D' R2 L
F2 L' R2 U F2 D' L2
U2 L' R2 U' R' U' R
D2 L' U R U' L' R'
D2 L' U R U' R' L'
F2 L' U L F2 D2 L2
F2 L' U L' F2 D2 L2
F2 L' U L2 F2 D2 L2
F2 L' U R F2 L' R'
F2 L' U R F2 R' L'
F2 L' U D2 L2 D2 F2
F2 L' U F D2 F L2
F2 L' U F' D2 L2 F'
F2 L' U F' D2 F' L2
F2 L' U F2 L D2 L2
F2 L' U F2 L' D2 L2
F2 L' U F2 L2 D2 L2
F2 L' U F2 U2 R2 U2
F2 L' U F2 D2 L2 D
F2 L' U F2 D2 L2 D'
F2 L' U F2 D2 L2 D2
D L' U B2 R U' R'
F2 L' U' R U2 F2 L'
F2 L' U' R2 U2 F2 D
F2 L' U' R2 U2 F2 D'
F2 L' U' R2 U2 F2 D2
F2 L' U' R2 D2 B2 U2
F2 L' U' R2 B U2 F2
F2 L' U' R2 B' U2 F2
F2 L' U' R2 B2 U2 F2
F2 L' U' D2 B2 U2 L2
F2 L' U' B R2 U2 F2
F2 L' U' B' R2 U2 F2
F2 L' U' B2 R2 U2 F2
F2 L' D R2 U D L2
F2 L' D R2 U2 B2 U'
F2 L' D R2 D U L2
F2 L' D R2 D2 F2 U
F2 L' D' F2 U D F2
F2 L' D' F2 U2 L2 U'
F2 L' D' F2 D U F2
F2 L' D' F2 D2 R2 U
F2 L' D2 U L2 D2 F2
F2 L' D2 U' B2 U2 L2
D L' D2 F2 L' U F2
R' L' B2 D L B2 R'
L' R' B2 D L B2 R'
F2 L' F U D2 F L2
F2 L' F U F D2 L2
F2 L' F U' R2 U2 F
L2 R' B2 D L B2 R'
L R' B2 D L B2 R'
F2 L' F D' F2 U F'
F2 L' F D2 U F L2
D2 L' F' U F L' B'
F2 L' F' U D2 L2 F'
F2 L' F' U D2 F' L2
F2 L' F' U F' D2 L2
F2 L' F' U' R2 B U2
F2 L' F' D' F2 U F
F2 L' F' D2 U L2 F'
F2 L' F' D2 U F' L2
D' L' F2 L' R U F2
D' L' F2 L' R' U F2
D' L' F2 L' R2 U F2
D' L' F2 L' U F2 D
D' L' F2 L' U F2 D'
D' L' F2 L' U F2 D2
D2 L' F2 L' U F2 L'
D' L' F2 L' D R2 U
D' L' F2 R L' U F2
D' L' F2 R' L' U F2
D' L' F2 R2 L' U F2
D' L' F2 D L' R2 U
D' L' F2 D R2 L' U
F2 L' F2 D' F2 U F2
R' L2 D B2 L D' R2
R' L2 D B2 D' L R2
R' L2 D B2 D' R2 L
D2 L2 R' U R2 U' R2
D2 L2 R' D B2 D' R2
D2 L2 R2 U R' U' R
U2 L2 R2 U' R' U' R
D2 L2 U R U' R' D
D2 L2 U R U' R' D'
D2 L2 U R U' R' D2
D2 L2 U R U' D R'
D2 L2 U R U' D' R'
D2 L2 U R U' D2 R'
D2 L2 U R D U' R'
D2 L2 U R D' U' R'
D2 L2 U R D2 U' R'
D2 L2 U R F U' R'
D2 L2 U R F' U' R'
D2 L2 U R F2 U' R'
D2 L2 U D R U' R'
D2 L2 U D' R U' R'
D2 L2 U D2 R U' R'
D L2 U B2 R U' R'
D2 L2 D U R U' R'
R' L2 B2 D L B2 R'
D2 L2 D' U R U' R'
U' L2 D' F2 L' B2 U
U' L2 D' F2 B2 L' U
U' L2 D' B2 F2 L' U
D2 L2 D2 U R U' R'
D L2 D2 F2 L' U F2
R' U L2 D F2 B2 L
R' U L2 D B2 L F2
R' U L2 D B2 F2 L
L' U R U R U2 R2
L' U R U' R' D2 L2
L2 U R U R U2 R2
D2 L2 F2 L' U L F2
D2 L2 F2 L' U F2 L
D' L2 F2 L' R U F2
D' L2 F2 L' R' U F2
D' L2 F2 L' R2 U F2
L2 U R U' R' D2 L2
D' L2 F2 L' U F2 D
D' L2 F2 L' U F2 D'
D' L2 F2 L' U F2 D2
D' L2 F2 L' D R2 U
L' U R F2 U' L' R'
L' U R F2 U' R' L'
D' L2 F2 R L' U F2
L U R U R U2 R2
D' L2 F2 R' L' U F2
L U R U' R' D2 L2
D' L2 F2 R2 L' U F2
L2 U R F2 U' L' R'
L2 U R F2 U' R' L'
D' L2 F2 D L' R2 U
D' L2 F2 D R2 L' U
L U R F2 U' L' R'
L U R F2 U' R' L'
R' U R2 U R U2 R
R' U R2 D' F2 U' L'
R' U R2 F2 U' L' R2
R' U R2 F2 U' R2 L'
L' U D B2 R U' R'
L2 U D B2 R U' R'
L U D B2 R U' R'
L' U D2 R U' L2 R'
L' U D2 R U' R' L2
L2 U D2 R U' L2 R'
L2 U D2 R U' R' L2
L U D2 R U' L2 R'
L U D2 R U' R' L2
F2 R L' U L F2 L'
F2 R L' U L' F2 L'
F2 R L' U L2 F2 L'
F2 R L' U F2 L' D
F2 R L' U F2 L' D'
F2 R L' U F2 L' D2
F2 R L' U F2 D L'
F2 R L' U F2 D' L'
F2 R L' U F2 D2 L'
F2 R L' U' R U2 F2
F2 R L' F U F L'
U2 R U R U R' U
F' R U F2 L' F' B'
F' R U F2 L' B' F'
