D2 L U F L B2
D' L F2 L U F'
L' U D2 L2 F B2
L' U D2 L2 B2 F
L U D2 F L2 B2
L U D2 F B2 L2
L U D2 B2 F L2
L U F D2 L2 B'
L' U' R2 F2 B' U2
L' U' R2 B' F2 U2
L U' R2 F2 U2 F'
L' U' F2 R2 B' U2
L' U' F2 B' R2 U2
L' U' B' R2 F2 U2
L U' F2 R2 B U2
L' U' B' F2 R2 U2
L' D' L2 F2 U F'
L' D' F2 L2 U F
L D' F2 L2 U F'
L' D2 U L2 F B2
L' D2 U L2 B2 F
L D2 U F L2 B2
L D2 U F B2 L2
L D2 U B2 F L2
D2 L R U F L B2
R' L U D2 F B2 L
R' L U D2 B2 F L
D' L R F2 L U F'
D2 L R' U F L B2
L' R U' R F2 B' U2
L' R U' R B' F2 U2
R' L U' R' F2 U2 F'
L R U' R F2 U2 F'
D' L R' F2 L U F'
R L U' R F2 U2 F'
L' R U' F2 B' U2 L'
L' R U' B' R F2 U2
D2 L R2 U F L B2
L' R U' B' F2 U2 L'
L2 R U' F2 U2 L' F
L R U' F2 U2 L' F'
R L U' F2 U2 L' F'
D' L R2 F2 L U F'
D L U D F L2 B2
D L U D F B2 L2
D L U D F B2 L2
F' L U F D2 L2 B2
F' L U F D2 B2 L2
D2 L U F L B2 D
D2 L U F L B2 D'
D2 L U F L B2 D2
D L U D B2 F L2
D2 L U F L' B2 L2
D2 L U F L2 B2 L'
D2 L U F' L F2 B2
D2 L U F' L B2 F2
D2 L U F2 L F' B2
D2 L U F2 L B2 F'
D L U F D L2 B2
D L U F D B2 L2
F' L U' R2 U2 F B
F' L U' R2 U2 B F
F' L U' F' R2 U2 F2
D L U2 R2 B2 U' F
R' L D2 U F B2 L
R' L D2 U B2 F L
D L U2 B2 R2 U' F
D L D U F L2 B2
D L D U F B2 L2
D L D U B2 F L2
D L D2 F2 L2 U F'
D2 L F L B2 D' R2
D' L F' L F' U F'
D2 L F' U L F2 B2
D2 L F' U L B2 F2
D2 L F' U F2 L B2
D' L F2 L U D F'
D' L F2 L U D' F'
D' L F2 L U D2 F'
D' L F2 L U F' D
D' L F2 L U F' D'
D' L F2 L U F' D2
D' L F2 L D U F'
D' L F2 L D' U F'
D' L F2 L D2 U F'
D2 L F2 U L F' B2
D2 L F2 U L B2 F'
D2 L F2 U F' L B2
D' L F2 D L U F'
D' L F2 D' L U F'
D' L F2 D2 L U F'
L R' U D2 F B2 L
L R' U D2 B2 F L
R' L' U' R' F2 B' U2
L' R' U' R' F2 B' U2
R' L' U' R' B' F2 U2
L' R' U' R' B' F2 U2
L R' U' R' F2 U2 F'
R L' U' R F2 B' U2
R L' U' R B' F2 U2
R' L' U' F2 R' B' U2
L' R' U' F2 R' B' U2
R L' U' F2 B' U2 L'
R L' U' B' R F2 U2
R L' U' B' F2 U2 L'
F2 L' R2 B' U B U
D2 L' U L2 F L B2
L R' D2 U F B2 L
L R' D2 U B2 F L
D L' U D L2 F B2
D L' U D L2 B2 F
F' L' U' R2 B' U2 B2
F' L' U' F' R2 B' U2
F' L' U' F' B' R2 U2
D2 L' U' B' U2 B' L'
F' L' U' B' R2 U2 B
F' L' U' B' F' R2 U2
D2 L' D L2 U F L
D L' U2 B2 R2 U' F'
D L' D U L2 F B2
D L' D U L2 B2 F
R2 L' F2 B' U B U
D' L' D' L' U L' F
D L' D2 L2 F2 U F'
D L' D2 F2 L2 U F
R2 L' B' F2 U B U
R L2 U' F2 U2 L' F
F2 L' B' R2 U' F' U'
D2 L' B2 L' D' R2 F'
D2 L' B2 D' L' R2 F'
D2 L' B2 D' R2 L' F'
D' L2 U L D' L2 F
D' L2 U L' D' F L2
L' R2 F2 B' U B U
L' R2 B' F2 U B U
L2 U L D2 L2 F B2
L2 U L D2 L2 B2 F
L2 U L' D2 F L2 B2
L2 U L' D2 F B2 L2
L2 U L' D2 B2 F L2
L2 U L' F D2 L2 B'
L' U L2 D2 F L2 B2
L' U L2 D2 F B2 L2
L' U L2 D2 B2 F L2
L' U L2 F D2 L2 B'
L U L2 D2 L2 F B2
L U L2 D2 L2 B2 F
D' L2 F' D F' R U
D' L2 F2 U L' F L
D' L2 F2 U2 L' U' F
D' L2 F2 D2 R U F'
L' U R2 F2 B' U2 R2
L' U R2 B' F2 U2 R2
L U R2 F2 U2 F' R2
L U D F D L2 B2
L U D F D B2 L2
D2 R L U F L B2
L' U D2 L' B2 L' F
L' U D2 L2 F B2 D
L' U D2 L2 F B2 D'
L' U D2 L2 F B2 D2
L' U D2 L2 B2 D F
L' U D2 L2 B2 D' F
L' U D2 L2 B2 D2 F
L' U D2 L2 B2 F D
L' U D2 L2 B2 F D'
L' U D2 L2 B2 F D2
L' U D2 F L2 F B2
L' U D2 F L2 B2 F
D' R L F2 L U F'
L' U D2 F' L2 F B2
L' U D2 F' L2 B2 F
L' U D2 F2 L2 F B2
L' U D2 F2 L2 B2 F
L U D2 F L' B2 L'
L U D2 F L2 B2 D
L U D2 F L2 B2 D'
L U D2 F L2 B2 D2
L U D2 F B L2 B
L U D2 F B2 L2 D
L U D2 F B2 L2 D'
L U D2 F B2 L2 D2
L U D2 F' L2 F2 B2
L U D2 F' L2 B2 F2
L U D2 F' B2 L2 F2
L U D2 F2 L2 F' B2
L U D2 F2 L2 B2 F'
L U D2 F2 B2 L2 F'
L U D2 B F L2 B
L U D2 B2 F L2 D
L U D2 B2 F L2 D'
L U D2 B2 F L2 D2
L U D2 B2 F' L2 F2
L U D2 B2 F2 L2 F'
L' U F D2 L2 F B'
L' U F D2 L2 B' F
L U F L2 D2 B' L2
L U F L2 B' D2 L2
L U F U2 R2 F U2
L U F U2 F R2 U2
L U F D2 L2 D B'
L U F D2 L2 D' B'
L U F D2 L2 D2 B'
L U F D2 L2 B' D
L U F D2 L2 B' D'
L U F D2 L2 B' D2
L U F D2 B L2 B'
L U F D2 B' L2 B'
L U F D2 B2 L2 B'
L U F B D2 L2 B'
L U F B' D2 L2 B'
L U F B2 D2 L2 B'
L' U F2 R2 B' U2 R2
U2 R U F2 B U2 L'
U2 R U B R F2 U2
U2 R U B F2 U2 L'
L' U F2 B' R2 U2 R2
L U F2 R2 U2 R2 F'
L U F2 R2 B U2 R2
L U F2 D2 F' L2 B'
L' U B D2 L2 F2 B2
L' U B D2 L2 B2 F2
L' U B D2 F2 L2 B2
L' U B D2 F2 B2 L2
L' U B D2 B2 L2 F2
L' U B D2 B2 F2 L2
L' U B' R2 F2 U2 R2
L U B D2 F L2 B2
L U B D2 F B2 L2
L U B D2 B2 F L2
L U B F D2 L2 B'
L' U B' F2 R2 U2 R2
L U B' D2 F L2 B2
L U B' D2 F B2 L2
L U B' D2 B2 F L2
L U B' F D2 L2 B'
L' U B2 D2 B2 L2 F
L U B2 D2 F L2 B2
L U B2 D2 F B2 L2
L U B2 D2 B2 F L2
L U B2 F D2 L2 B'
L' U' R F2 B' U2 L'
L' U' R B' R F2 U2
L' U' R B' F2 U2 L'
L2 U' R F2 U2 L' F
U' R F2 U2 D' L' F
U' R F2 D' U2 L' F
L U' R F2 U2 L' F'
L' U' R' F2 R' B' U2
L' U' R2 D2 B' U2 B'
L' U' R2 F2 D B' U2
L' U' R2 F2 D' B' U2
L' U' R2 F2 D2 B' U2
L' U' R2 F2 B' U2 D
L' U' R2 F2 B' U2 D'
L' U' R2 F2 B' U2 D2
L' U' R2 F2 B' D U2
L' U' R2 F2 B' D' U2
L' U' R2 F2 B' D2 U2
L' U' R2 B' U2 D2 B2
L' U' R2 B' D2 U2 B2
L' U' R2 B' F2 U2 D
L' U' R2 B' F2 U2 D'
L' U' R2 B' F2 U2 D2
L' U' R2 B' F2 D U2
L' U' R2 B' F2 D' U2
L' U' R2 B' F2 D2 U2
